VENTTUBE,INTUBATION,MINVOL,VENTALV,CATECHOL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,ONESIDED,NORMAL,NORMAL,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,ZERO,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,LOW,LOW,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,LOW,NORMAL
ZERO,NORMAL,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,NORMAL,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,LOW,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,ONESIDED,HIGH,NORMAL,NORMAL
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,LOW,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,LOW,NORMAL
LOW,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,LOW,ZERO,HIGH
LOW,ONESIDED,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,HIGH,NORMAL
HIGH,NORMAL,HIGH,HIGH,NORMAL
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,ONESIDED,HIGH,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,LOW,LOW,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,LOW,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,ONESIDED,NORMAL,NORMAL,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,NORMAL,NORMAL,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,ONESIDED,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,LOW,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,NORMAL,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,ZERO,LOW,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,ONESIDED,NORMAL,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,LOW,LOW,HIGH
LOW,NORMAL,HIGH,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,LOW,HIGH
HIGH,NORMAL,HIGH,HIGH,NORMAL
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,ZERO,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,LOW,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,ONESIDED,NORMAL,NORMAL,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,HIGH,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,ONESIDED,NORMAL,NORMAL,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,HIGH,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,LOW,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,LOW,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,ONESIDED,LOW,LOW,NORMAL
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
ZERO,NORMAL,LOW,NORMAL,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,ESOPHAGEAL,LOW,LOW,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,ESOPHAGEAL,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ONESIDED,NORMAL,NORMAL,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,ONESIDED,NORMAL,NORMAL,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,HIGH,NORMAL
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
ZERO,NORMAL,ZERO,ZERO,HIGH
HIGH,ONESIDED,HIGH,LOW,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
NORMAL,NORMAL,LOW,LOW,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,ONESIDED,LOW,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,ZERO,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,HIGH,NORMAL
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
HIGH,ESOPHAGEAL,ZERO,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ESOPHAGEAL,LOW,LOW,HIGH
HIGH,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
ZERO,NORMAL,HIGH,HIGH,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,NORMAL,HIGH,ZERO,HIGH
