HRBP,ERRCAUTER,INSUFFANESTH,HRSAT,HREKG
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,True,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,NORMAL,LOW
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,True,False,HIGH,NORMAL
HIGH,True,True,NORMAL,NORMAL
LOW,False,False,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,NORMAL,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,NORMAL,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
LOW,True,False,NORMAL,HIGH
HIGH,True,True,NORMAL,NORMAL
LOW,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,True,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,NORMAL
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,NORMAL,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
HIGH,False,False,NORMAL,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,HIGH,HIGH
NORMAL,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,True,True,NORMAL,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,NORMAL,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
LOW,False,False,LOW,NORMAL
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,NORMAL
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,True,False,NORMAL,NORMAL
LOW,True,False,HIGH,LOW
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
LOW,False,False,HIGH,LOW
NORMAL,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,True,False,LOW,NORMAL
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
NORMAL,False,False,HIGH,HIGH
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,HIGH,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,LOW,HIGH
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,True,False,NORMAL,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,True,False,NORMAL,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,LOW,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
NORMAL,True,False,HIGH,LOW
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,NORMAL
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,True,NORMAL,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,False,True,HIGH,HIGH
NORMAL,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
LOW,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,True,LOW,LOW
LOW,False,False,LOW,LOW
LOW,False,True,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
LOW,False,True,LOW,LOW
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,NORMAL,HIGH
HIGH,False,False,LOW,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
NORMAL,False,True,HIGH,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,True,False,NORMAL,NORMAL
LOW,True,False,NORMAL,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
NORMAL,False,False,LOW,LOW
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
LOW,False,False,LOW,LOW
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,True,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
LOW,True,False,LOW,NORMAL
NORMAL,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,True,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,True,False,NORMAL,NORMAL
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
HIGH,False,True,HIGH,HIGH
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
HIGH,False,False,HIGH,HIGH
LOW,False,False,LOW,LOW
