VENTMACH,ANAPHYLAXIS,INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,ARTCO2,HR,HYPOVOLEMIA,STROKEVOLUME
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,NORMAL,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,NORMAL,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
HIGH,False,True,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
ZERO,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
ZERO,False,False,False,HIGH,NORMAL,LOW,NORMAL,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,True,False,HIGH,NORMAL,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,HIGH,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,True,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,HIGH,LOW,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,True,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,LOW,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,False,NORMAL
ZERO,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
ZERO,False,True,False,NORMAL,LOW,NORMAL,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
ZERO,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
ZERO,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
LOW,False,False,False,HIGH,NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,LOW,NORMAL,True,LOW
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
ZERO,False,False,True,LOW,LOW,LOW,NORMAL,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,LOW,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,NORMAL,True,LOW
NORMAL,False,False,False,HIGH,LOW,HIGH,NORMAL,True,LOW
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
LOW,False,False,False,HIGH,HIGH,LOW,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,LOW,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,HIGH,HIGH,LOW,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,True,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
ZERO,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,LOW,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,LOW,False,NORMAL
NORMAL,False,True,False,LOW,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,HIGH,False,LOW
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,True,False,HIGH,NORMAL,HIGH,NORMAL,True,NORMAL
HIGH,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,True,NORMAL
HIGH,False,False,False,NORMAL,HIGH,NORMAL,HIGH,False,HIGH
NORMAL,False,False,False,HIGH,NORMAL,LOW,NORMAL,True,NORMAL
LOW,False,False,False,NORMAL,LOW,NORMAL,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,HIGH,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
ZERO,False,False,False,NORMAL,HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
LOW,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,NORMAL,NORMAL,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
LOW,False,True,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,NORMAL,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
ZERO,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
ZERO,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
ZERO,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,HIGH,NORMAL,NORMAL,NORMAL,True,NORMAL
LOW,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
LOW,False,False,True,LOW,LOW,LOW,NORMAL,False,LOW
NORMAL,False,False,False,HIGH,NORMAL,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
ZERO,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,False,NORMAL
ZERO,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,HIGH,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,True,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,HIGH,NORMAL,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,LOW,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,LOW,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
ZERO,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
LOW,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,True,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,NORMAL,False,LOW
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,LOW,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,HIGH,NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,LOW,NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,LOW,NORMAL,False,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,True,False,HIGH,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,HIGH,NORMAL,LOW,NORMAL,True,NORMAL
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,HIGH,LOW,HIGH,NORMAL,True,LOW
NORMAL,True,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,True,LOW
ZERO,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
ZERO,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
HIGH,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,LOW,HIGH,True,HIGH
NORMAL,False,False,True,LOW,LOW,HIGH,HIGH,False,LOW
NORMAL,False,True,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,LOW,LOW,NORMAL,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,True,False,False,NORMAL,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,True,NORMAL
ZERO,False,True,False,HIGH,HIGH,LOW,HIGH,True,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,HIGH
NORMAL,False,False,False,NORMAL,HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,False,False,False,LOW,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,HIGH,LOW,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,LOW,LOW,NORMAL,False,LOW
NORMAL,False,False,False,NORMAL,HIGH,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,False,False,False,HIGH,LOW,HIGH,HIGH,True,LOW
ZERO,False,False,False,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,False,False,False,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,False,False,False,HIGH,HIGH,HIGH,HIGH,True,NORMAL
