VENTMACH,LVEDVOLUME,CO,HYPOVOLEMIA,STROKEVOLUME
ZERO,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
LOW,LOW,HIGH,True,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,LOW
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,LOW,False,LOW
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,LOW,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,LOW,False,LOW
LOW,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
ZERO,HIGH,NORMAL,False,NORMAL
LOW,HIGH,LOW,True,LOW
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,HIGH,LOW,False,LOW
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,HIGH,LOW,True,LOW
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
HIGH,LOW,NORMAL,False,NORMAL
HIGH,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
ZERO,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
ZERO,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,NORMAL,False,LOW
HIGH,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
ZERO,NORMAL,NORMAL,False,NORMAL
LOW,HIGH,NORMAL,True,LOW
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
ZERO,HIGH,HIGH,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,LOW,LOW,False,LOW
HIGH,LOW,LOW,False,LOW
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,LOW,True,LOW
NORMAL,LOW,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,HIGH,LOW,True,LOW
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,NORMAL,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
HIGH,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,NORMAL,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,LOW
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,True,NORMAL
HIGH,LOW,NORMAL,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,LOW,False,NORMAL
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
HIGH,LOW,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
LOW,NORMAL,NORMAL,False,NORMAL
LOW,LOW,LOW,True,LOW
LOW,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,LOW
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,LOW,LOW,False,LOW
ZERO,HIGH,HIGH,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,NORMAL,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,LOW
HIGH,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,True,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,HIGH
LOW,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,LOW,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,LOW
NORMAL,HIGH,LOW,True,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
ZERO,NORMAL,HIGH,True,HIGH
NORMAL,LOW,LOW,False,LOW
NORMAL,HIGH,NORMAL,True,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,LOW,LOW,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,LOW,NORMAL,False,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
ZERO,NORMAL,HIGH,False,HIGH
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,NORMAL,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
ZERO,NORMAL,NORMAL,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,HIGH
ZERO,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,LOW,HIGH,False,NORMAL
HIGH,LOW,LOW,False,LOW
NORMAL,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
HIGH,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
ZERO,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,HIGH,NORMAL,True,LOW
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,HIGH,HIGH,False,NORMAL
LOW,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,HIGH,LOW,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,NORMAL,False,LOW
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,HIGH,HIGH,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,HIGH,False,HIGH
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,HIGH
ZERO,NORMAL,LOW,False,LOW
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,NORMAL,NORMAL,False,NORMAL
ZERO,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
ZERO,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
LOW,HIGH,NORMAL,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,True,LOW
NORMAL,HIGH,HIGH,True,NORMAL
ZERO,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
NORMAL,NORMAL,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,LOW,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,HIGH,LOW,True,LOW
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,NORMAL,False,NORMAL
LOW,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
LOW,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,LOW,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
HIGH,HIGH,HIGH,True,NORMAL
NORMAL,NORMAL,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,NORMAL,False,NORMAL
NORMAL,HIGH,HIGH,True,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,HIGH,LOW,True,LOW
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,LOW,LOW,False,LOW
NORMAL,NORMAL,HIGH,False,HIGH
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
NORMAL,NORMAL,HIGH,False,NORMAL
