LungFlow,ChestXray,DuctFlow,CardiacMixing,LungParench
High,Plethoric,,,Normal
Low,Normal,Lt_to_Rt,Mild,Normal
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
High,Oligaemic,,Transp.,Abnormal
High,Grd_Glass,,Transp.,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
High,Asy/Patch,,,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Plethoric,,Mild,Normal
Low,Grd_Glass,,,Congested
High,Plethoric,,Mild,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,,Transp.,Normal
High,Asy/Patch,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
High,Normal,,Transp.,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Normal,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Normal,,Transp.,Normal
High,Oligaemic,Rt_to_Lt,,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,,Congested
Low,Asy/Patch,,Mild,Abnormal
High,Oligaemic,,Transp.,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
High,Normal,,Transp.,Normal
Normal,Normal,,Transp.,Normal
High,Plethoric,,Transp.,Normal
High,Normal,,Transp.,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
High,Grd_Glass,Rt_to_Lt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Congested
Low,Asy/Patch,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Grd_Glass,,Transp.,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,,Abnormal
High,Plethoric,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Abnormal
High,Normal,,Mild,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Abnormal
High,Plethoric,,Transp.,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
High,Plethoric,,Mild,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Congested
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Mild,Normal
Low,Oligaemic,,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Normal,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Normal,Normal,,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Normal,Normal,,Transp.,Normal
High,Normal,,Transp.,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,,Abnormal
Normal,Asy/Patch,,Complete,Abnormal
High,Oligaemic,,Transp.,Abnormal
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
High,Normal,Rt_to_Lt,,Abnormal
Low,Plethoric,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
High,Plethoric,Lt_to_Rt,,Normal
High,Plethoric,Rt_to_Lt,,Normal
Low,Oligaemic,,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,Rt_to_Lt,Complete,Congested
High,Plethoric,,Complete,Congested
Low,Oligaemic,Rt_to_Lt,,Normal
High,Plethoric,,Mild,Normal
Normal,Normal,,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Congested
High,Plethoric,Rt_to_Lt,Transp.,Normal
High,Normal,,Mild,Normal
High,Plethoric,Rt_to_Lt,Complete,Normal
High,Grd_Glass,,Complete,Abnormal
Low,Oligaemic,,Mild,Normal
Normal,Normal,,Complete,Normal
High,Normal,,,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Normal,Plethoric,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
High,Oligaemic,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Complete,Congested
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Abnormal
Normal,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Plethoric,,Mild,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Normal,,Transp.,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,Rt_to_Lt,Complete,Congested
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Normal,Rt_to_Lt,,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,,Mild,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Grd_Glass,Rt_to_Lt,Complete,Congested
Low,Asy/Patch,Lt_to_Rt,Transp.,Abnormal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Abnormal
High,Grd_Glass,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Transp.,Abnormal
Low,Plethoric,Rt_to_Lt,Mild,Abnormal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
High,Grd_Glass,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
High,Oligaemic,Lt_to_Rt,Complete,Congested
Normal,Normal,Rt_to_Lt,,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Normal,Normal,,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Complete,Abnormal
Normal,Oligaemic,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Rt_to_Lt,,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Asy/Patch,,Mild,Abnormal
High,Grd_Glass,Lt_to_Rt,Transp.,Normal
Low,Normal,Rt_to_Lt,,Normal
High,Plethoric,Lt_to_Rt,,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
Normal,Normal,Lt_to_Rt,Transp.,Normal
Normal,Normal,,,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
High,Plethoric,Lt_to_Rt,Complete,Congested
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,,Complete,Normal
Normal,Normal,,Complete,Normal
Normal,Normal,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,,Complete,Abnormal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Asy/Patch,Rt_to_Lt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Transp.,Normal
Low,Grd_Glass,,Complete,Congested
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Normal,Normal,,Transp.,Normal
Normal,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Normal,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Mild,Abnormal
Normal,Grd_Glass,Lt_to_Rt,Complete,Congested
Normal,Asy/Patch,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Plethoric,,Mild,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Mild,Normal
Normal,Normal,,Transp.,Normal
Normal,Asy/Patch,Rt_to_Lt,,Abnormal
High,Normal,,Transp.,Normal
Low,Oligaemic,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Congested
High,Plethoric,,Transp.,Normal
Low,Plethoric,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Normal,,Transp.,Normal
High,Grd_Glass,,Complete,Congested
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Plethoric,,Transp.,Normal
Low,Normal,,Complete,Normal
High,Plethoric,Rt_to_Lt,Complete,Congested
Normal,Normal,,Mild,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Normal,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
High,Normal,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Normal,Asy/Patch,Rt_to_Lt,,Abnormal
High,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Oligaemic,,Complete,Abnormal
High,Plethoric,,Complete,Normal
High,Normal,,Complete,Congested
Low,Oligaemic,,,Normal
Normal,Normal,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Oligaemic,,,Abnormal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,Lt_to_Rt,Complete,Congested
High,Asy/Patch,Lt_to_Rt,Transp.,Congested
High,Oligaemic,,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Plethoric,Rt_to_Lt,,Abnormal
High,Plethoric,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
High,Oligaemic,Rt_to_Lt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Asy/Patch,,Complete,Abnormal
Low,Normal,,Complete,Normal
Low,Oligaemic,,Complete,Normal
High,Normal,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Oligaemic,,Transp.,Abnormal
Low,Plethoric,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Transp.,Congested
High,Oligaemic,,Transp.,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,,Complete,Normal
Low,Asy/Patch,,,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Oligaemic,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Asy/Patch,,Mild,Abnormal
High,Plethoric,,Mild,Normal
High,Plethoric,Lt_to_Rt,Complete,Congested
Low,Asy/Patch,Rt_to_Lt,Transp.,Abnormal
High,Grd_Glass,,,Congested
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Normal,,,Abnormal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,,Transp.,Normal
High,Plethoric,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Abnormal
Low,Normal,Lt_to_Rt,Mild,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,,Transp.,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Plethoric,,Complete,Normal
Normal,Grd_Glass,,Mild,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Mild,Abnormal
High,Plethoric,,,Normal
High,Plethoric,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Transp.,Abnormal
High,Oligaemic,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Congested
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Complete,Normal
High,Grd_Glass,Rt_to_Lt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Normal,Normal,Lt_to_Rt,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Asy/Patch,,Transp.,Abnormal
High,Plethoric,,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,,Mild,Abnormal
Normal,Normal,,,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Asy/Patch,,Complete,Abnormal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
High,Grd_Glass,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Plethoric,,Transp.,Normal
High,Normal,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Congested
High,Plethoric,,Transp.,Normal
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
High,Grd_Glass,Rt_to_Lt,Transp.,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
High,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,,Mild,Normal
High,Plethoric,,Transp.,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
High,Oligaemic,Lt_to_Rt,Transp.,Normal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Normal,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Normal,Normal,,Complete,Normal
High,Normal,,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Plethoric,Rt_to_Lt,Mild,Congested
High,Plethoric,Rt_to_Lt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Normal,Asy/Patch,Rt_to_Lt,,Abnormal
Normal,Oligaemic,,Transp.,Normal
Low,Oligaemic,Rt_to_Lt,Complete,Normal
High,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
High,Plethoric,,Complete,Normal
High,Oligaemic,Rt_to_Lt,Complete,Abnormal
Low,Grd_Glass,,Complete,Congested
High,Plethoric,,Transp.,Normal
Normal,Normal,Rt_to_Lt,Mild,Normal
High,Oligaemic,,Complete,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,,Congested
Normal,Normal,Lt_to_Rt,Mild,Normal
High,Normal,,,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Congested
High,Plethoric,Rt_to_Lt,Complete,Congested
High,Plethoric,Rt_to_Lt,Transp.,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Normal
High,Plethoric,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,Lt_to_Rt,Transp.,Normal
Low,Plethoric,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Normal,,Transp.,Normal
High,Normal,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Normal,Lt_to_Rt,Complete,Abnormal
Low,Plethoric,Lt_to_Rt,Complete,Normal
Normal,Normal,,Transp.,Normal
Normal,Asy/Patch,Rt_to_Lt,Mild,Abnormal
Low,Oligaemic,Lt_to_Rt,,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Plethoric,Lt_to_Rt,Complete,Normal
High,Plethoric,Rt_to_Lt,Transp.,Normal
Normal,Grd_Glass,Rt_to_Lt,,Congested
Normal,Grd_Glass,,Complete,Congested
High,Grd_Glass,Rt_to_Lt,Complete,Abnormal
Normal,Normal,Lt_to_Rt,Complete,Normal
Normal,Normal,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,,Normal
Normal,Normal,,Mild,Normal
Low,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,,Complete,Normal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Plethoric,,Complete,Normal
Low,Oligaemic,Rt_to_Lt,Mild,Normal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Normal,Plethoric,,Transp.,Normal
High,Oligaemic,Lt_to_Rt,Complete,Abnormal
Normal,Normal,,Transp.,Normal
High,Normal,,Transp.,Normal
High,Plethoric,,Transp.,Normal
Normal,Normal,Rt_to_Lt,Mild,Abnormal
Low,Asy/Patch,,Complete,Abnormal
Normal,Grd_Glass,Lt_to_Rt,Complete,Congested
Normal,Asy/Patch,Rt_to_Lt,,Abnormal
High,Grd_Glass,Lt_to_Rt,Complete,Congested
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,,Complete,Normal
High,Grd_Glass,,Transp.,Abnormal
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
High,Plethoric,Lt_to_Rt,Complete,Normal
Low,Oligaemic,,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Grd_Glass,Lt_to_Rt,Mild,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Abnormal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Asy/Patch,Rt_to_Lt,,Abnormal
Normal,Asy/Patch,Lt_to_Rt,Mild,Abnormal
Low,Asy/Patch,Lt_to_Rt,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Complete,Normal
Normal,Grd_Glass,Rt_to_Lt,,Abnormal
Low,Normal,Lt_to_Rt,Complete,Normal
High,Grd_Glass,,Transp.,Abnormal
Low,Asy/Patch,,Complete,Abnormal
High,Plethoric,,Transp.,Normal
Low,Oligaemic,Lt_to_Rt,Transp.,Normal
