LungFlow,ChestXray,Grunting,CO2,DuctFlow,Sick,CardiacMixing,LungParench
Low,Asy/Patch,no,Low,Lt_to_Rt,yes,Complete,Abnormal
Normal,Asy/Patch,no,Normal,Lt_to_Rt,yes,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Grd_Glass,yes,Normal,,no,Mild,Abnormal
High,Oligaemic,yes,High,Rt_to_Lt,yes,,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
Normal,Normal,no,Normal,Rt_to_Lt,yes,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Grd_Glass,yes,Normal,Rt_to_Lt,yes,Complete,Congested
Low,Normal,no,Normal,,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Asy/Patch,no,Low,,no,Complete,Abnormal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,High,,no,Complete,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Abnormal
Normal,Asy/Patch,yes,Normal,,no,Transp.,Abnormal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Abnormal
Normal,Grd_Glass,yes,Normal,,no,Transp.,Congested
Low,Oligaemic,yes,High,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Normal,no,High,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Low,,no,Transp.,Congested
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,High,Lt_to_Rt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,yes,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,High,,yes,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Complete,Congested
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Rt_to_Lt,yes,Mild,Congested
High,Plethoric,no,High,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Grd_Glass,yes,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,High,,no,Transp.,Normal
Normal,Asy/Patch,yes,High,,yes,Mild,Abnormal
Normal,Grd_Glass,yes,Normal,Lt_to_Rt,no,Complete,Congested
Low,Oligaemic,no,High,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Oligaemic,yes,High,,yes,Transp.,Abnormal
Normal,Normal,no,Normal,Rt_to_Lt,yes,Transp.,Normal
Normal,Normal,no,High,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,no,Low,,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
High,Grd_Glass,no,High,Lt_to_Rt,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,yes,High,Lt_to_Rt,yes,,Abnormal
High,Normal,no,Low,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,,Normal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
Normal,Asy/Patch,yes,High,,no,Complete,Abnormal
Normal,Normal,no,Normal,,no,,Normal
Normal,Asy/Patch,yes,Normal,,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Low,Oligaemic,no,High,Lt_to_Rt,yes,Complete,Normal
Normal,Grd_Glass,no,Normal,Rt_to_Lt,yes,Mild,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,Rt_to_Lt,no,Transp.,Normal
Normal,Plethoric,no,Normal,,no,Transp.,Congested
High,Plethoric,no,High,Rt_to_Lt,yes,Complete,Congested
Low,Grd_Glass,no,Low,,no,Complete,Congested
High,Asy/Patch,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Normal,Oligaemic,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,yes,High,,no,Mild,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Grd_Glass,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
High,Plethoric,no,Low,,no,Mild,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,yes,Normal,,yes,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,yes,High,,yes,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Grd_Glass,no,Normal,Lt_to_Rt,yes,Transp.,Congested
High,Normal,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,yes,Normal,,yes,Transp.,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
High,Plethoric,no,Low,,yes,Transp.,Normal
Low,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Low,,no,Complete,Normal
High,Plethoric,no,Low,Rt_to_Lt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Grd_Glass,no,Normal,,no,Transp.,Congested
High,Normal,yes,High,,yes,Transp.,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,Low,Rt_to_Lt,no,,Normal
Low,Normal,no,High,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Normal,Normal,no,High,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,Rt_to_Lt,yes,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,no,Normal,,yes,Transp.,Normal
Normal,Normal,no,Low,Lt_to_Rt,yes,Complete,Normal
High,Normal,yes,High,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Oligaemic,no,High,,no,Transp.,Abnormal
High,Plethoric,no,Low,,yes,Transp.,Normal
High,Oligaemic,no,Normal,,no,Transp.,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Congested
High,Normal,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Low,,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
High,Normal,yes,Normal,,yes,Transp.,Normal
Normal,Asy/Patch,yes,High,,yes,Mild,Abnormal
Normal,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Low,Asy/Patch,no,High,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Normal,no,High,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
High,Oligaemic,yes,Normal,Rt_to_Lt,no,Mild,Abnormal
Low,Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
Normal,Normal,no,Normal,Rt_to_Lt,no,Mild,Normal
Normal,Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Normal,Grd_Glass,no,High,,no,Transp.,Congested
Low,Asy/Patch,yes,High,,yes,Complete,Abnormal
High,Oligaemic,yes,Normal,Rt_to_Lt,no,Complete,Abnormal
High,Normal,no,Normal,,no,Transp.,Normal
Low,Asy/Patch,no,High,,no,Transp.,Abnormal
Low,Oligaemic,no,Low,Lt_to_Rt,yes,Complete,Normal
Low,Plethoric,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
High,Asy/Patch,no,Normal,,no,Transp.,Abnormal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,yes,Complete,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,Asy/Patch,no,High,Rt_to_Lt,yes,,Abnormal
Normal,Normal,no,High,,yes,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Mild,Normal
Normal,Plethoric,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,no,,Normal
Low,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
High,Plethoric,no,Low,,no,Mild,Normal
High,Plethoric,no,High,Lt_to_Rt,no,,Normal
Normal,Asy/Patch,no,High,,no,Transp.,Normal
Low,Plethoric,no,Normal,Lt_to_Rt,no,Mild,Congested
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Normal,no,Normal,,yes,Mild,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Complete,Normal
Normal,Normal,no,Normal,,no,Complete,Normal
Normal,Grd_Glass,no,Normal,Rt_to_Lt,no,Complete,Congested
Normal,Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
High,Plethoric,no,Low,,yes,Transp.,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
High,Grd_Glass,yes,Normal,,yes,Complete,Abnormal
High,Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,yes,Complete,Congested
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Normal,Normal,no,Normal,Rt_to_Lt,no,Transp.,Normal
Normal,Normal,no,Normal,Rt_to_Lt,yes,Mild,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Oligaemic,yes,High,,no,Transp.,Abnormal
Low,Grd_Glass,yes,Normal,,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Grd_Glass,yes,Normal,,yes,Complete,Congested
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,yes,Normal,Rt_to_Lt,yes,Complete,Congested
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Plethoric,no,High,Lt_to_Rt,yes,Complete,Normal
Low,Plethoric,no,Normal,,no,Mild,Normal
High,Plethoric,no,High,,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
Normal,Asy/Patch,yes,High,Lt_to_Rt,no,Mild,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Grd_Glass,no,Normal,,no,Transp.,Normal
Low,Asy/Patch,no,High,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Plethoric,yes,High,Rt_to_Lt,no,,Abnormal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,yes,High,Lt_to_Rt,yes,Complete,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Oligaemic,yes,Normal,,yes,Transp.,Abnormal
Low,Asy/Patch,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Low,Asy/Patch,no,High,Lt_to_Rt,no,Complete,Abnormal
High,Plethoric,yes,Normal,,no,Transp.,Congested
High,Plethoric,no,High,,yes,Transp.,Normal
Low,Plethoric,yes,High,Lt_to_Rt,no,Complete,Congested
High,Asy/Patch,no,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Mild,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,yes,High,,no,Transp.,Abnormal
Low,Asy/Patch,no,High,Lt_to_Rt,no,Complete,Abnormal
Normal,Normal,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Asy/Patch,yes,High,,no,,Abnormal
Normal,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,no,Low,Lt_to_Rt,no,Transp.,Abnormal
Low,Normal,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Normal,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Abnormal
High,Plethoric,no,Normal,Rt_to_Lt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Low,,no,Complete,Normal
Low,Grd_Glass,no,High,Lt_to_Rt,no,Complete,Congested
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Normal,Asy/Patch,no,High,,no,,Abnormal
Low,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,yes,High,,no,Transp.,Abnormal
Normal,Asy/Patch,no,Normal,,no,Transp.,Abnormal
Low,Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Low,Lt_to_Rt,yes,Mild,Normal
High,Grd_Glass,no,Normal,,yes,Complete,Normal
Normal,Plethoric,no,High,Lt_to_Rt,no,Transp.,Normal
High,Plethoric,no,Low,,no,Transp.,Normal
Low,Normal,no,Low,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,yes,Normal,Lt_to_Rt,yes,Transp.,Normal
Normal,Plethoric,no,Low,Lt_to_Rt,yes,Complete,Congested
High,Plethoric,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Normal,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,Rt_to_Lt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Plethoric,no,Normal,Rt_to_Lt,yes,,Normal
Low,Normal,no,Normal,,no,Complete,Normal
Low,Plethoric,yes,Normal,,yes,Complete,Congested
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Grd_Glass,no,Normal,Lt_to_Rt,no,Mild,Congested
Low,Asy/Patch,yes,Normal,,no,Mild,Abnormal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Oligaemic,no,High,Rt_to_Lt,no,Transp.,Abnormal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Normal,no,Low,Rt_to_Lt,no,,Normal
High,Plethoric,yes,Normal,Lt_to_Rt,no,,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Asy/Patch,yes,High,Lt_to_Rt,no,Complete,Abnormal
Normal,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
High,Asy/Patch,yes,Normal,,yes,Transp.,Congested
High,Plethoric,no,Normal,,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,yes,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
High,Oligaemic,no,Normal,Rt_to_Lt,no,Mild,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Normal,Grd_Glass,yes,High,Lt_to_Rt,no,Complete,Congested
Low,Plethoric,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
High,Normal,yes,High,Lt_to_Rt,yes,Transp.,Abnormal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
Normal,Normal,no,High,Lt_to_Rt,yes,Complete,Normal
High,Normal,no,Normal,,no,Transp.,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Normal,Grd_Glass,no,High,Rt_to_Lt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
Normal,Asy/Patch,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
Low,Oligaemic,no,Normal,,no,Complete,Normal
Low,Oligaemic,no,Normal,Rt_to_Lt,no,Complete,Normal
High,Normal,no,Normal,Rt_to_Lt,yes,Transp.,Normal
High,Plethoric,no,Normal,,no,Mild,Normal
High,Plethoric,no,High,Rt_to_Lt,no,Transp.,Normal
Low,Grd_Glass,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Mild,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Mild,Normal
Low,Oligaemic,yes,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Rt_to_Lt,no,,Normal
High,Oligaemic,yes,High,,yes,Mild,Abnormal
Normal,Asy/Patch,yes,Low,,yes,Mild,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Low,Lt_to_Rt,yes,Complete,Normal
High,Normal,no,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Normal,Grd_Glass,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Plethoric,no,Low,Rt_to_Lt,no,Complete,Congested
High,Normal,yes,Normal,,no,Transp.,Abnormal
High,Plethoric,no,High,,no,Transp.,Normal
High,Plethoric,yes,Normal,,yes,Complete,Normal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
High,Normal,no,Normal,,no,Transp.,Normal
Normal,Grd_Glass,no,Normal,Lt_to_Rt,no,Transp.,Congested
Normal,Normal,yes,Normal,,yes,Complete,Normal
Low,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Normal,no,Normal,,no,Transp.,Normal
Normal,Asy/Patch,yes,High,Rt_to_Lt,no,,Abnormal
Low,Oligaemic,yes,Normal,Lt_to_Rt,yes,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,yes,Normal,,yes,,Abnormal
High,Oligaemic,no,High,Rt_to_Lt,no,Mild,Abnormal
High,Plethoric,no,High,Rt_to_Lt,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,,yes,Mild,Normal
Low,Oligaemic,yes,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Normal,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Mild,Normal
Normal,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Grd_Glass,no,Normal,,no,Transp.,Congested
High,Plethoric,no,Normal,Lt_to_Rt,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Low,Normal,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Oligaemic,yes,Normal,,yes,Complete,Abnormal
Low,Oligaemic,no,Low,,no,Complete,Normal
Normal,Normal,no,High,Lt_to_Rt,no,Complete,Normal
Normal,Normal,no,Normal,Rt_to_Lt,no,Complete,Normal
Low,Normal,no,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,High,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Low,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Normal,,no,Complete,Normal
Low,Asy/Patch,yes,Normal,Rt_to_Lt,yes,Mild,Abnormal
High,Oligaemic,no,Normal,,no,Transp.,Normal
High,Normal,no,Low,Lt_to_Rt,yes,Mild,Normal
Normal,Normal,no,Low,,no,Transp.,Normal
Normal,Asy/Patch,no,Normal,Lt_to_Rt,no,Complete,Normal
High,Plethoric,no,Low,Rt_to_Lt,no,Transp.,Normal
High,Grd_Glass,no,Normal,,no,Transp.,Normal
High,Normal,no,Normal,,no,Transp.,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
High,Plethoric,yes,High,Rt_to_Lt,yes,Transp.,Normal
Low,Normal,yes,Normal,Lt_to_Rt,yes,Complete,Normal
Low,Oligaemic,no,Normal,,no,Complete,Normal
Normal,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
High,Normal,yes,High,,no,Transp.,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,no,Mild,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Mild,Normal
Low,Normal,no,High,,no,Complete,Normal
High,Oligaemic,yes,High,,no,Complete,Abnormal
Normal,Normal,no,Low,Lt_to_Rt,no,Complete,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,no,Normal,,no,Transp.,Normal
Normal,Normal,no,Normal,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
High,Plethoric,yes,Normal,,no,Transp.,Normal
Normal,Asy/Patch,yes,Normal,Lt_to_Rt,no,Mild,Abnormal
High,Plethoric,no,Low,,no,Transp.,Normal
Low,Oligaemic,no,Normal,Lt_to_Rt,yes,Complete,Normal
Normal,Normal,no,Normal,,no,,Normal
Low,Asy/Patch,yes,Normal,Lt_to_Rt,no,Complete,Abnormal
Low,Oligaemic,no,Normal,Lt_to_Rt,no,Complete,Normal
Normal,Asy/Patch,yes,Normal,Lt_to_Rt,yes,Complete,Abnormal
High,Plethoric,no,Normal,,yes,Transp.,Normal
Low,Oligaemic,no,Low,Lt_to_Rt,yes,Complete,Normal
Normal,Normal,no,Normal,Rt_to_Lt,no,,Normal
