INSUFFANESTH,LVFAILURE,LVEDVOLUME,CO,PCWP,VENTALV,CVP,DISCONNECT,STROKEVOLUME,BP,ERRLOWOUTPUT,HISTORY
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,LOW,LOW,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,True,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,LOW,HIGH,LOW,ZERO,LOW,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,True,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,HIGH,LOW,HIGH,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,LOW,HIGH,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,LOW,HIGH,NORMAL,NORMAL,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,True,LOW,LOW,LOW,NORMAL,LOW,False,LOW,HIGH,False,True
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,LOW,True,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,LOW,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,LOW,HIGH,LOW,ZERO,LOW,False,NORMAL,HIGH,False,False
True,True,LOW,NORMAL,LOW,HIGH,LOW,True,LOW,NORMAL,False,False
False,False,NORMAL,HIGH,LOW,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,HIGH,LOW,HIGH,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,LOW,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,True,NORMAL,LOW,False,False
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,True,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,HIGH,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,NORMAL,HIGH,ZERO,NORMAL,False,LOW,NORMAL,True,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,True,LOW,LOW,LOW,ZERO,LOW,False,LOW,LOW,False,True
True,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,True,False
False,False,HIGH,LOW,HIGH,ZERO,NORMAL,False,LOW,LOW,False,False
False,True,LOW,LOW,LOW,HIGH,LOW,True,LOW,NORMAL,False,True
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,True,NORMAL,HIGH,True,False
False,False,HIGH,HIGH,HIGH,HIGH,HIGH,True,NORMAL,NORMAL,False,False
False,False,HIGH,NORMAL,HIGH,ZERO,HIGH,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,HIGH,NORMAL,False,False
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,LOW,NORMAL,HIGH,NORMAL,True,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,True,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,True,False
True,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,True,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,LOW,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,True,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,False,False
False,False,HIGH,LOW,HIGH,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,NORMAL,HIGH,NORMAL,HIGH,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,True,NORMAL,LOW,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,LOW,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,True,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,LOW,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
False,True,LOW,LOW,LOW,ZERO,LOW,False,LOW,LOW,True,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,LOW,HIGH,HIGH,HIGH,True,LOW,LOW,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,True,NORMAL,LOW,False,False
False,False,HIGH,LOW,HIGH,ZERO,HIGH,False,LOW,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,LOW,NORMAL,NORMAL,NORMAL,True,LOW,NORMAL,False,False
False,True,HIGH,LOW,HIGH,ZERO,HIGH,False,LOW,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,True,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,HIGH,HIGH,False,False
False,False,HIGH,LOW,HIGH,ZERO,HIGH,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,LOW,HIGH,HIGH,HIGH,True,LOW,LOW,False,False
False,True,LOW,LOW,LOW,ZERO,LOW,False,LOW,LOW,False,True
False,False,HIGH,NORMAL,HIGH,ZERO,HIGH,False,LOW,NORMAL,False,False
False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,False,LOW,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,LOW,False,NORMAL,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,True,NORMAL,NORMAL,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,NORMAL,False,False
True,False,HIGH,NORMAL,NORMAL,ZERO,HIGH,False,NORMAL,NORMAL,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,LOW,NORMAL,False,False
False,False,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,NORMAL,NORMAL,True,NORMAL,HIGH,False,False
False,True,LOW,LOW,LOW,ZERO,LOW,False,LOW,NORMAL,False,True
False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,LOW,False,NORMAL,HIGH,False,False
False,False,HIGH,LOW,HIGH,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,True
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,True,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,HIGH,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
True,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,True,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,NORMAL,HIGH,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,LOW,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,HIGH,LOW,HIGH,HIGH,NORMAL,True,LOW,LOW,False,False
True,False,HIGH,LOW,HIGH,ZERO,NORMAL,True,LOW,NORMAL,False,False
False,False,NORMAL,HIGH,LOW,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,True
True,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,False,LOW,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,True,LOW,LOW,LOW,ZERO,LOW,False,LOW,LOW,False,True
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,False,False
False,False,LOW,HIGH,LOW,ZERO,LOW,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,LOW,HIGH,NORMAL,HIGH,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,LOW,NORMAL,ZERO,HIGH,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False,False
False,True,LOW,LOW,LOW,NORMAL,LOW,False,LOW,NORMAL,False,True
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,LOW,ZERO,HIGH,False,NORMAL,NORMAL,False,False
False,False,HIGH,NORMAL,HIGH,LOW,HIGH,True,LOW,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,True,False
False,True,LOW,LOW,LOW,HIGH,LOW,False,LOW,NORMAL,False,True
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,True,NORMAL,HIGH,False,False
False,True,LOW,LOW,LOW,ZERO,HIGH,False,LOW,NORMAL,False,True
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,True,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,NORMAL,NORMAL,HIGH,NORMAL,True,NORMAL,NORMAL,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,True,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,LOW,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,HIGH,True,NORMAL,NORMAL,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,LOW,True,NORMAL,NORMAL,False,False
False,False,HIGH,LOW,HIGH,ZERO,NORMAL,False,LOW,NORMAL,False,False
False,False,NORMAL,HIGH,LOW,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,True,LOW,LOW,LOW,ZERO,LOW,False,LOW,LOW,False,True
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,True,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,HIGH,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,LOW,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,LOW,HIGH,LOW,ZERO,LOW,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,True,NORMAL,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,LOW,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,HIGH,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,HIGH,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,NORMAL,HIGH,ZERO,HIGH,False,NORMAL,NORMAL,False,False
False,False,HIGH,NORMAL,HIGH,ZERO,HIGH,False,NORMAL,LOW,True,False
True,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,HIGH,NORMAL,False,False
False,False,HIGH,LOW,HIGH,ZERO,NORMAL,False,LOW,NORMAL,False,False
False,False,HIGH,NORMAL,HIGH,ZERO,HIGH,False,NORMAL,NORMAL,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
True,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,ZERO,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,True,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,True,NORMAL,NORMAL,False,False
False,False,HIGH,LOW,HIGH,HIGH,HIGH,True,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,HIGH,LOW,False,False
True,True,LOW,LOW,LOW,ZERO,LOW,False,LOW,LOW,True,True
False,False,HIGH,NORMAL,HIGH,NORMAL,HIGH,True,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,LOW,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,NORMAL,LOW,False,False
True,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,HIGH,HIGH,False,NORMAL,HIGH,False,False
False,True,HIGH,LOW,HIGH,ZERO,HIGH,False,LOW,NORMAL,False,True
False,False,HIGH,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,True,False
False,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,HIGH,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,False,NORMAL,HIGH,False,False
False,False,LOW,NORMAL,LOW,ZERO,LOW,False,NORMAL,HIGH,False,False
False,False,HIGH,HIGH,HIGH,LOW,HIGH,False,NORMAL,HIGH,False,False
False,False,HIGH,NORMAL,HIGH,ZERO,HIGH,True,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,True,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,LOW,False,False
False,False,NORMAL,LOW,NORMAL,ZERO,NORMAL,False,LOW,LOW,False,False
False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,False,LOW,LOW,False,False
False,False,HIGH,LOW,HIGH,HIGH,HIGH,False,LOW,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,False,NORMAL,HIGH,False,False
False,False,NORMAL,HIGH,LOW,ZERO,NORMAL,False,NORMAL,NORMAL,False,False
False,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,True,NORMAL,LOW,False,False
