Facility Type,Risk,City,State,Inspection Type,Results
Bakery,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Bakery,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 3 (Low),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Grocery Store,Risk 3 (Low),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Bakery,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Fail
Restaurant,Risk 3 (Low),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Fail
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
BANQUET,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 3 (Low),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Bakery,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass w/ Conditions
Bakery,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 3 (Low),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Hospital,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 3 (Low),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Non-Inspection,No Entry
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Catering,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Suspected Food Poisoning,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass
Grocery Store,Risk 2 (Medium),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Fail
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Bakery,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Tag Removal,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Short Form Complaint,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 1 (High),CHICAGO,IL,Complaint Re-Inspection,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Tag Removal,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass w/ Conditions
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,Pass
School,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Fail
Grocery Store,Risk 1 (High),CHICAGO,IL,Canvass,Pass
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass Re-Inspection,No Entry
Restaurant,Risk 1 (High),CHICAGO,IL,Canvass,Pass w/ Conditions
Restaurant,Risk 2 (Medium),CHICAGO,IL,Canvass,Pass w/ Conditions
