meldug_1,middel_2,lai_3,middel_1,meldug_2,meldug_3,meldug_4,lai_4,lai_2
0_00___0_01__,0_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
50___100__,0_25_l_ha,0_0___0_5,0_l_ha,50___100__,10___25__,2___6__,0_0___0_5,0_0___0_5
0_01___0_5__,0_50_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
50___100__,0_25_l_ha,1_5___2_5,0_25_l_ha,1___2__,0_5___1__,0_00___0_01__,0_5___1_5,2_5___3_5
0_01___0_5__,0_25_l_ha,3_5___4_5,0_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
50___100__,0_75_l_ha,0_5___1_5,0_l_ha,25___50__,0_01___0_5__,0_00___0_01__,0_0___0_5,0_5___1_5
10___25__,0_50_l_ha,2_5___3_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
10___25__,0_50_l_ha,4_5___5_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
6___10__,0_l_ha,1_5___2_5,0_75_l_ha,0_01___0_5__,1___2__,0_00___0_01__,0_5___1_5,3_5___4_5
0_5___1__,0_50_l_ha,3_5___4_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
1___2__,0_50_l_ha,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
10___25__,0_l_ha,3_5___4_5,0_75_l_ha,0_01___0_5__,1___2__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_50_l_ha,0_5___1_5,0_50_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
0_00___0_01__,0_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
25___50__,0_50_l_ha,0_5___1_5,0_25_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
6___10__,0_75_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
6___10__,0_50_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_01___0_5__,0_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
25___50__,0_75_l_ha,0_5___1_5,0_25_l_ha,6___10__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
6___10__,0_50_l_ha,3_5___4_5,0_25_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
25___50__,0_l_ha,0_0___0_5,0_l_ha,25___50__,50___100__,50___100__,0_0___0_5,1_5___2_5
50___100__,0_25_l_ha,0_5___1_5,0_l_ha,6___10__,1___2__,6___10__,0_0___0_5,1_5___2_5
0_01___0_5__,0_25_l_ha,2_5___3_5,0_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_01___0_5__,0_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_5___1__,0_25_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_25_l_ha,1_5___2_5,0_75_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
6___10__,0_25_l_ha,3_5___4_5,0_25_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
6___10__,0_75_l_ha,1_5___2_5,0_25_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
25___50__,0_25_l_ha,0_5___1_5,0_l_ha,25___50__,6___10__,0_5___1__,0_0___0_5,1_5___2_5
0_01___0_5__,0_25_l_ha,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_00___0_01__,0_l_ha,1_5___2_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
1___2__,0_25_l_ha,2_5___3_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_5___1__,0_25_l_ha,1_5___2_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
0_5___1__,0_l_ha,4_5___5_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,5_5___6_5
0_01___0_5__,0_75_l_ha,3_5___4_5,0_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
2___6__,0_75_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_00___0_01__,0_50_l_ha,1_5___2_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_0___0_5,2_5___3_5
2___6__,0_50_l_ha,2_5___3_5,0_l_ha,2___6__,0_01___0_5__,1___2__,0_5___1_5,2_5___3_5
50___100__,0_25_l_ha,0_5___1_5,0_l_ha,25___50__,0_00___0_01__,0_00___0_01__,0_0___0_5,0_5___1_5
10___25__,0_25_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_5___1__,0_75_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
0_01___0_5__,0_l_ha,3_5___4_5,0_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
25___50__,0_25_l_ha,0_5___1_5,0_l_ha,50___100__,2___6__,0_00___0_01__,0_0___0_5,0_5___1_5
50___100__,0_50_l_ha,0_5___1_5,0_75_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_0___0_5,0_5___1_5
0_5___1__,0_l_ha,3_5___4_5,0_75_l_ha,0_00___0_01__,0_01___0_5__,0_00___0_01__,0_5___1_5,4_5___5_5
0_5___1__,0_l_ha,3_5___4_5,0_l_ha,1___2__,1___2__,10___25__,0_5___1_5,___6_5
0_5___1__,0_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_00___0_01__,0_l_ha,1_5___2_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
0_00___0_01__,0_25_l_ha,3_5___4_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
1___2__,0_l_ha,2_5___3_5,0_50_l_ha,0_01___0_5__,2___6__,0_00___0_01__,0_5___1_5,4_5___5_5
25___50__,0_25_l_ha,1_5___2_5,0_l_ha,6___10__,2___6__,0_5___1__,0_5___1_5,2_5___3_5
50___100__,0_25_l_ha,0_0___0_5,0_l_ha,6___10__,0_00___0_01__,0_00___0_01__,0_0___0_5,0_5___1_5
2___6__,0_75_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
10___25__,0_50_l_ha,0_5___1_5,0_l_ha,10___25__,1___2__,0_00___0_01__,0_0___0_5,1_5___2_5
50___100__,0_25_l_ha,1_5___2_5,0_75_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
50___100__,0_50_l_ha,0_5___1_5,0_50_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
50___100__,0_25_l_ha,0_0___0_5,0_75_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_0___0_5,0_0___0_5
6___10__,0_75_l_ha,2_5___3_5,0_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
1___2__,0_25_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_01___0_5__,0_25_l_ha,5_5___6_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
2___6__,0_50_l_ha,1_5___2_5,0_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
0_00___0_01__,0_50_l_ha,1_5___2_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
0_01___0_5__,0_50_l_ha,4_5___5_5,0_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
10___25__,0_50_l_ha,0_5___1_5,0_l_ha,10___25__,1___2__,0_00___0_01__,0_0___0_5,1_5___2_5
0_01___0_5__,0_25_l_ha,3_5___4_5,0_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
0_00___0_01__,0_l_ha,0_5___1_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
0_00___0_01__,0_50_l_ha,3_5___4_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
1___2__,0_50_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
25___50__,0_75_l_ha,0_5___1_5,0_l_ha,50___100__,2___6__,0_00___0_01__,0_0___0_5,0_5___1_5
10___25__,0_50_l_ha,0_5___1_5,0_25_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
0_00___0_01__,0_l_ha,3_5___4_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
1___2__,0_25_l_ha,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
6___10__,0_25_l_ha,1_5___2_5,0_l_ha,25___50__,2___6__,0_00___0_01__,0_5___1_5,2_5___3_5
0_5___1__,0_50_l_ha,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
25___50__,0_75_l_ha,3_5___4_5,0_50_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_50_l_ha,0_5___1_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
6___10__,0_l_ha,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_75_l_ha,1_5___2_5,0_25_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
0_5___1__,0_25_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
50___100__,0_l_ha,0_0___0_5,0_50_l_ha,6___10__,6___10__,0_5___1__,0_0___0_5,0_5___1_5
50___100__,0_25_l_ha,0_5___1_5,0_25_l_ha,2___6__,0_5___1__,0_00___0_01__,0_0___0_5,0_5___1_5
25___50__,0_75_l_ha,2_5___3_5,0_25_l_ha,2___6__,0_01___0_5__,0_00___0_01__,0_5___1_5,4_5___5_5
0_00___0_01__,0_75_l_ha,5_5___6_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
2___6__,0_l_ha,2_5___3_5,0_l_ha,10___25__,6___10__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_l_ha,2_5___3_5,0_25_l_ha,0_01___0_5__,1___2__,0_00___0_01__,0_5___1_5,3_5___4_5
0_00___0_01__,0_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_00___0_01__,0_50_l_ha,4_5___5_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
1___2__,0_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
0_00___0_01__,0_l_ha,3_5___4_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
25___50__,0_75_l_ha,2_5___3_5,0_50_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
1___2__,0_25_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
1___2__,0_75_l_ha,4_5___5_5,0_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
6___10__,0_50_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
1___2__,0_l_ha,4_5___5_5,0_l_ha,0_5___1__,6___10__,0_00___0_01__,0_5___1_5,___6_5
0_5___1__,0_50_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_01___0_5__,0_75_l_ha,4_5___5_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
2___6__,0_50_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
25___50__,0_50_l_ha,0_5___1_5,0_50_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_0___0_5,0_5___1_5
0_00___0_01__,0_50_l_ha,3_5___4_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
25___50__,0_25_l_ha,0_5___1_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
6___10__,0_50_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
2___6__,0_25_l_ha,2_5___3_5,0_25_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
25___50__,0_75_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
25___50__,0_50_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
6___10__,0_75_l_ha,4_5___5_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,5_5___6_5
50___100__,0_50_l_ha,0_5___1_5,0_75_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
50___100__,0_25_l_ha,0_5___1_5,0_l_ha,50___100__,6___10__,0_5___1__,0_0___0_5,0_5___1_5
2___6__,0_25_l_ha,4_5___5_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
0_00___0_01__,0_l_ha,2_5___3_5,0_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_5___1__,0_25_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
25___50__,0_25_l_ha,2_5___3_5,0_50_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
6___10__,0_l_ha,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
0_5___1__,0_75_l_ha,4_5___5_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
0_01___0_5__,0_l_ha,1_5___2_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
10___25__,0_50_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
0_5___1__,0_50_l_ha,0_5___1_5,0_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
0_01___0_5__,0_25_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_00___0_01__,0_75_l_ha,2_5___3_5,0_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
10___25__,0_75_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_5___1__,0_50_l_ha,3_5___4_5,0_l_ha,2___6__,0_5___1__,0_00___0_01__,0_5___1_5,5_5___6_5
0_5___1__,0_50_l_ha,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,4_5___5_5
2___6__,0_l_ha,2_5___3_5,0_l_ha,6___10__,6___10__,0_00___0_01__,0_5___1_5,5_5___6_5
1___2__,0_75_l_ha,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
50___100__,0_25_l_ha,0_5___1_5,0_50_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_0___0_5,0_5___1_5
0_01___0_5__,0_25_l_ha,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,5_5___6_5
6___10__,0_75_l_ha,2_5___3_5,0_25_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
1___2__,0_50_l_ha,0_5___1_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
0_5___1__,0_25_l_ha,1_5___2_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_0___0_5,2_5___3_5
0_01___0_5__,0_75_l_ha,4_5___5_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
0_01___0_5__,0_75_l_ha,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
2___6__,0_25_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_01___0_5__,0_75_l_ha,2_5___3_5,0_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
1___2__,0_l_ha,2_5___3_5,0_l_ha,6___10__,2___6__,0_5___1__,0_5___1_5,4_5___5_5
1___2__,0_l_ha,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
25___50__,0_75_l_ha,0_5___1_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
0_01___0_5__,0_75_l_ha,3_5___4_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
6___10__,0_75_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
6___10__,0_75_l_ha,3_5___4_5,0_25_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_75_l_ha,3_5___4_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
50___100__,0_l_ha,0_0___0_5,0_50_l_ha,6___10__,10___25__,1___2__,0_0___0_5,0_0___0_5
1___2__,0_25_l_ha,2_5___3_5,0_75_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
6___10__,0_l_ha,1_5___2_5,0_25_l_ha,0_01___0_5__,6___10__,0_5___1__,0_5___1_5,3_5___4_5
0_5___1__,0_75_l_ha,2_5___3_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
1___2__,0_25_l_ha,1_5___2_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_01___0_5__,0_75_l_ha,3_5___4_5,0_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
50___100__,0_75_l_ha,0_5___1_5,0_50_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_0___0_5,1_5___2_5
6___10__,0_50_l_ha,4_5___5_5,0_25_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
25___50__,0_50_l_ha,1_5___2_5,0_25_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
2___6__,0_25_l_ha,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
10___25__,0_25_l_ha,0_5___1_5,0_l_ha,50___100__,6___10__,1___2__,0_0___0_5,1_5___2_5
25___50__,0_50_l_ha,2_5___3_5,0_25_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_01___0_5__,0_25_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_5___1__,0_50_l_ha,4_5___5_5,0_25_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
0_00___0_01__,0_25_l_ha,4_5___5_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
6___10__,0_25_l_ha,1_5___2_5,0_l_ha,50___100__,2___6__,0_00___0_01__,0_0___0_5,2_5___3_5
25___50__,0_25_l_ha,1_5___2_5,0_25_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_5___1__,0_25_l_ha,4_5___5_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
2___6__,0_50_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_01___0_5__,0_25_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_01___0_5__,0_75_l_ha,1_5___2_5,0_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_01___0_5__,0_75_l_ha,1_5___2_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
10___25__,0_l_ha,2_5___3_5,0_50_l_ha,1___2__,1___2__,0_00___0_01__,0_5___1_5,4_5___5_5
2___6__,0_75_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_50_l_ha,3_5___4_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
6___10__,0_l_ha,3_5___4_5,0_50_l_ha,0_5___1__,0_5___1__,0_00___0_01__,0_5___1_5,4_5___5_5
1___2__,0_50_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
0_01___0_5__,0_25_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
0_5___1__,0_50_l_ha,3_5___4_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
25___50__,0_l_ha,0_5___1_5,0_50_l_ha,2___6__,10___25__,10___25__,0_0___0_5,1_5___2_5
10___25__,0_25_l_ha,2_5___3_5,0_25_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
6___10__,0_75_l_ha,3_5___4_5,0_l_ha,6___10__,0_01___0_5__,0_00___0_01__,1_5___2_5,5_5___6_5
50___100__,0_50_l_ha,0_5___1_5,0_l_ha,50___100__,6___10__,0_01___0_5__,0_0___0_5,0_5___1_5
2___6__,0_75_l_ha,3_5___4_5,0_50_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,5_5___6_5
25___50__,0_75_l_ha,1_5___2_5,0_75_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,2_5___3_5
0_5___1__,0_25_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
50___100__,0_50_l_ha,0_0___0_5,0_l_ha,50___100__,2___6__,0_00___0_01__,0_0___0_5,0_0___0_5
0_00___0_01__,0_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
10___25__,0_25_l_ha,1_5___2_5,0_25_l_ha,6___10__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
1___2__,0_l_ha,2_5___3_5,0_l_ha,1___2__,1___2__,0_00___0_01__,0_5___1_5,4_5___5_5
2___6__,0_l_ha,2_5___3_5,0_l_ha,6___10__,2___6__,0_5___1__,0_5___1_5,3_5___4_5
6___10__,0_25_l_ha,2_5___3_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
2___6__,0_50_l_ha,2_5___3_5,0_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
10___25__,0_50_l_ha,1_5___2_5,0_25_l_ha,2___6__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
25___50__,0_l_ha,1_5___2_5,0_50_l_ha,0_01___0_5__,0_00___0_01__,0_00___0_01__,0_5___1_5,1_5___2_5
0_01___0_5__,0_l_ha,4_5___5_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,___6_5
1___2__,0_75_l_ha,3_5___4_5,0_25_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_l_ha,0_5___1_5,0_l_ha,25___50__,10___25__,0_00___0_01__,0_0___0_5,1_5___2_5
50___100__,0_50_l_ha,0_5___1_5,0_25_l_ha,6___10__,0_01___0_5__,0_00___0_01__,0_0___0_5,0_5___1_5
0_00___0_01__,0_25_l_ha,4_5___5_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
1___2__,0_50_l_ha,4_5___5_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,1_5___2_5,___6_5
25___50__,0_50_l_ha,2_5___3_5,0_25_l_ha,1___2__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
0_5___1__,0_75_l_ha,2_5___3_5,0_75_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,4_5___5_5
10___25__,0_50_l_ha,2_5___3_5,0_25_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
2___6__,0_25_l_ha,2_5___3_5,0_50_l_ha,0_00___0_01__,0_00___0_01__,0_00___0_01__,0_5___1_5,3_5___4_5
50___100__,0_75_l_ha,0_0___0_5,0_75_l_ha,0_5___1__,0_00___0_01__,0_00___0_01__,0_0___0_5,0_0___0_5
