A,E,F,K,L,N,P,S,V,Y,Z
MS,GT3,T,reputation,mother,1,no,yes,yes,4,5
MS,GT3,T,other,mother,2,no,yes,yes,3,4
MS,LE3,T,course,father,3,no,no,no,3,3
MS,GT3,T,course,mother,1,no,no,yes,4,5
MS,LE3,T,course,father,2,no,no,no,3,2
MS,GT3,T,reputation,mother,2,no,yes,no,3,2
MS,GT3,A,other,mother,2,no,no,yes,4,5
MS,GT3,T,other,mother,2,no,no,yes,3,2
MS,GT3,T,course,mother,1,no,yes,yes,1,3
MS,GT3,T,course,mother,1,no,no,yes,1,3
MS,LE3,T,reputation,mother,2,yes,no,no,3,5
MS,GT3,T,reputation,father,2,no,yes,yes,3,3
MS,LE3,T,reputation,mother,1,no,yes,yes,4,5
MS,GT3,A,reputation,father,2,no,no,yes,3,2
MS,GT3,T,reputation,mother,2,no,yes,yes,2,1
MS,LE3,T,other,mother,2,no,no,yes,3,2
MS,GT3,T,other,mother,2,no,yes,yes,3,3
MS,GT3,T,course,mother,2,no,no,yes,3,4
MS,LE3,T,home,mother,4,no,yes,yes,5,5
MS,LE3,T,other,mother,2,no,no,no,2,1
MS,LE3,T,home,mother,3,no,no,yes,4,3
MS,GT3,T,other,mother,1,no,no,yes,2,3
MS,LE3,T,other,mother,3,no,no,no,1,3
MS,GT3,T,other,mother,1,no,no,yes,1,3
MS,LE3,T,other,father,1,no,no,no,1,3
MS,GT3,T,home,mother,1,no,yes,yes,1,4
MS,GT3,T,other,mother,2,no,no,yes,1,3
MS,GT3,T,other,mother,2,no,no,yes,2,2
MS,LE3,T,other,mother,2,no,no,yes,2,2
MS,LE3,T,other,father,1,no,no,yes,1,2
MS,GT3,T,course,mother,2,no,yes,no,5,5
MS,LE3,A,reputation,mother,4,no,yes,no,4,5
MS,LE3,A,course,mother,1,no,yes,yes,3,3
MS,LE3,T,course,mother,3,no,no,no,3,3
MS,LE3,T,home,mother,2,no,yes,yes,2,4
MS,GT3,T,home,mother,1,no,no,no,3,3
MS,GT3,T,other,mother,2,yes,no,no,1,3
MS,GT3,T,course,mother,3,no,no,yes,3,5
MS,GT3,T,course,father,1,no,yes,yes,3,3
MS,LE3,T,course,father,1,no,yes,no,1,2
MS,GT3,T,other,mother,2,no,yes,yes,4,4
MS,GT3,T,course,father,2,no,no,yes,2,5
MS,LE3,T,other,father,1,no,no,yes,1,2
MS,GT3,A,other,mother,2,no,yes,yes,5,5
MS,GT3,T,course,mother,2,yes,no,yes,3,3
MS,LE3,A,course,father,2,no,no,yes,1,2
MS,GT3,T,other,father,2,no,no,yes,1,2
MS,GT3,T,other,mother,2,no,yes,yes,4,3
MS,LE3,A,home,mother,1,no,no,no,1,2
MS,GT3,T,course,father,1,no,yes,yes,5,5
MS,GT3,T,home,father,3,yes,no,yes,3,4
MS,LE3,T,course,mother,1,no,no,no,4,4
MS,GT3,T,course,mother,2,no,yes,yes,4,4
MS,GT3,T,course,mother,1,no,yes,no,5,5
MS,GT3,T,course,other,1,yes,no,no,3,2
MS,GT3,T,course,mother,1,no,yes,yes,5,5
MS,LE3,T,course,mother,2,no,yes,no,3,3
MS,LE3,T,course,father,2,no,yes,no,4,3
MS,GT3,T,course,mother,1,no,yes,no,2,1
MS,GT3,T,course,father,1,no,no,yes,5,5
MS,LE3,T,course,mother,1,no,yes,yes,5,5
MS,GT3,T,course,other,1,no,no,yes,3,3
MS,GT3,T,course,mother,1,no,no,yes,3,1
MS,GT3,T,course,mother,1,no,yes,no,2,1
MS,GT3,T,course,mother,2,no,yes,yes,4,5
MS,GT3,T,course,mother,1,no,yes,yes,4,3
MS,GT3,T,course,other,1,no,yes,yes,4,3
MS,GT3,A,course,mother,2,no,yes,no,5,5
MS,GT3,T,course,mother,1,no,yes,no,3,2
MS,GT3,T,course,other,1,no,no,yes,4,3
MS,GT3,A,course,mother,1,no,no,yes,4,4
MS,GT3,T,course,mother,1,no,no,yes,5,5
MS,GT3,T,home,other,2,no,no,yes,4,4
MS,GT3,T,course,mother,2,no,no,yes,5,4
MS,LE3,T,course,mother,1,no,no,yes,3,3
MS,GT3,T,home,other,1,no,no,yes,4,4
MS,GT3,A,course,mother,2,no,no,no,3,3
MS,LE3,A,course,mother,1,no,no,no,4,4
MS,GT3,T,other,mother,1,no,no,yes,5,5
MS,GT3,T,course,mother,1,no,no,yes,4,3
MS,LE3,A,course,other,3,no,no,no,2,3
MS,GT3,T,home,mother,2,yes,yes,yes,5,5
MS,LE3,T,course,mother,2,no,yes,yes,3,3
MS,GT3,T,course,mother,1,no,no,no,2,2
MS,LE3,T,course,father,1,no,no,yes,5,1
MS,GT3,T,course,mother,2,no,yes,no,4,4
MS,GT3,T,reputation,father,2,no,yes,yes,3,5
MS,GT3,T,course,mother,1,no,no,yes,4,3
MS,LE3,A,reputation,mother,2,no,no,yes,4,3
MS,GT3,T,reputation,mother,2,no,yes,yes,3,5
MS,LE3,T,reputation,mother,1,no,yes,yes,4,5
MS,GT3,T,course,mother,2,no,no,yes,3,3
MS,GT3,T,course,mother,2,no,yes,no,3,3
MS,LE3,T,home,mother,1,no,no,no,1,4
MS,GT3,T,other,mother,1,no,yes,yes,5,5
MS,GT3,T,other,father,1,no,no,no,2,3
MS,GT3,T,course,mother,2,no,no,yes,3,1
MS,LE3,T,course,father,3,no,no,yes,4,5
MS,LE3,A,reputation,mother,2,no,yes,yes,3,1
MS,GT3,T,course,mother,2,no,no,no,4,2
MS,GT3,T,other,father,1,no,no,no,5,5
MS,GT3,T,course,father,4,no,no,yes,2,3
MS,LE3,A,reputation,mother,2,no,yes,yes,3,3
MS,LE3,A,course,mother,2,no,no,no,2,3
MS,GT3,T,course,father,2,no,no,no,1,1
MS,GT3,A,course,other,2,no,yes,no,5,4
MS,GT3,T,home,mother,3,no,no,yes,2,1
MS,GT3,T,home,mother,2,no,yes,yes,5,5
MS,GT3,T,course,father,2,no,no,no,3,4
MS,GT3,T,other,father,2,no,yes,yes,3,3
MS,LE3,A,reputation,mother,2,no,no,no,2,3
MS,LE3,T,home,father,1,no,no,yes,3,2
MS,LE3,T,course,father,3,no,no,yes,3,2
MS,LE3,A,course,mother,2,no,no,no,3,4
MS,GT3,T,other,mother,2,no,no,yes,3,2
MS,LE3,T,course,mother,2,no,yes,yes,3,4
MS,GT3,T,course,father,2,no,no,no,2,2
MS,GT3,T,course,mother,2,no,no,no,3,4
MS,LE3,T,other,mother,3,no,no,yes,2,2
MS,GT3,T,reputation,mother,1,no,no,yes,2,1
MS,GT3,T,course,father,1,no,no,yes,2,3
MS,GT3,T,other,father,2,no,no,yes,2,2
MS,LE3,T,other,father,1,no,yes,yes,3,3
MS,GT3,T,home,mother,3,no,yes,no,4,3
MS,GT3,T,course,mother,1,no,yes,yes,5,5
MS,LE3,T,reputation,mother,3,no,no,yes,4,4
MS,GT3,T,home,mother,3,no,no,yes,3,2
MS,GT3,T,course,other,2,no,no,yes,3,3
MS,LE3,T,course,mother,2,no,yes,yes,4,3
MS,GT3,T,home,mother,2,no,no,yes,1,3
MS,GT3,T,reputation,mother,2,no,yes,yes,5,4
MS,GT3,T,home,father,2,no,yes,yes,2,4
MS,GT3,T,other,mother,1,no,yes,yes,4,3
MS,GT3,T,home,father,2,no,yes,yes,4,3
MS,GT3,T,other,mother,1,no,no,no,3,2
MS,GT3,T,home,father,1,no,no,no,4,3
MS,GT3,T,other,mother,3,no,no,no,3,3
MS,GT3,T,other,mother,2,no,no,yes,5,4
MS,GT3,T,reputation,mother,1,no,yes,yes,4,3
MS,GT3,T,course,mother,3,no,yes,yes,4,2
MS,LE3,T,course,mother,2,no,no,yes,3,4
MS,GT3,T,course,mother,2,no,yes,no,1,1
MS,LE3,T,course,mother,1,no,no,yes,4,5
MS,LE3,T,course,mother,1,no,no,yes,4,1
GP,GT3,A,course,mother,2,yes,no,no,3,4
GP,GT3,T,course,father,2,no,no,yes,3,3
GP,LE3,T,other,mother,2,yes,no,yes,3,2
GP,GT3,T,home,mother,3,no,yes,yes,2,2
GP,GT3,T,home,father,2,no,no,no,3,2
GP,LE3,T,reputation,mother,2,no,yes,yes,4,2
GP,LE3,T,home,mother,2,no,no,yes,4,4
GP,GT3,A,home,mother,2,yes,no,no,1,4
GP,LE3,A,home,mother,2,no,no,yes,2,2
GP,GT3,T,home,mother,2,no,yes,yes,5,1
GP,GT3,T,reputation,mother,2,no,no,yes,3,3
GP,GT3,T,reputation,father,3,no,yes,yes,2,2
GP,LE3,T,course,father,1,no,yes,yes,3,3
GP,GT3,T,course,mother,2,no,no,yes,4,3
GP,GT3,A,home,other,3,no,no,yes,5,2
GP,GT3,T,home,mother,1,no,no,yes,4,4
GP,GT3,T,reputation,mother,3,no,yes,yes,2,3
GP,GT3,T,reputation,mother,2,yes,yes,no,3,2
GP,GT3,T,course,mother,1,no,yes,yes,5,5
GP,LE3,T,home,father,1,no,yes,yes,1,3
GP,GT3,T,reputation,mother,2,no,no,yes,4,1
GP,GT3,T,other,father,1,no,no,yes,4,2
GP,LE3,T,course,mother,2,no,yes,yes,5,1
GP,LE3,T,reputation,mother,2,no,yes,yes,4,4
GP,GT3,T,course,mother,3,yes,yes,yes,3,2
GP,GT3,T,home,mother,1,no,no,yes,2,2
GP,GT3,T,home,mother,1,no,no,yes,2,2
GP,GT3,T,other,mother,1,no,no,yes,2,4
GP,LE3,A,home,mother,2,yes,yes,yes,3,3
GP,GT3,T,home,mother,2,no,yes,yes,4,5
GP,GT3,T,home,mother,2,no,no,yes,4,2
GP,GT3,T,reputation,mother,2,no,yes,yes,3,1
GP,GT3,T,course,mother,2,no,yes,yes,5,2
GP,LE3,T,course,mother,2,no,yes,yes,3,2
GP,GT3,T,home,mother,1,no,no,yes,4,3
GP,GT3,T,other,father,1,no,yes,no,5,1
GP,LE3,T,home,mother,3,no,yes,yes,4,3
GP,GT3,A,reputation,mother,3,no,yes,yes,4,3
GP,GT3,T,course,mother,3,yes,yes,yes,3,2
GP,GT3,T,reputation,mother,1,yes,yes,no,3,1
GP,LE3,T,home,mother,2,no,yes,yes,3,3
GP,LE3,T,home,other,1,no,no,yes,4,3
GP,GT3,T,course,father,2,no,yes,yes,3,3
GP,GT3,T,course,father,1,yes,no,yes,4,1
GP,LE3,T,course,father,2,yes,yes,yes,3,3
GP,LE3,A,course,mother,2,yes,yes,yes,2,2
GP,LE3,A,home,mother,2,no,no,yes,3,5
GP,GT3,T,reputation,mother,4,no,yes,yes,2,2
GP,GT3,T,home,mother,2,no,no,no,3,3
GP,GT3,T,other,father,2,yes,yes,yes,4,4
GP,LE3,T,course,mother,2,no,no,yes,3,3
GP,LE3,T,other,mother,2,no,no,yes,3,3
GP,LE3,A,other,father,1,no,no,no,5,5
GP,GT3,T,course,mother,1,yes,no,yes,3,4
GP,LE3,A,other,mother,1,no,no,yes,3,4
GP,GT3,A,other,mother,2,no,yes,yes,3,4
GP,GT3,A,reputation,mother,2,no,yes,yes,3,2
GP,GT3,T,reputation,mother,2,no,yes,no,2,2
GP,LE3,T,home,father,2,yes,yes,yes,3,2
GP,GT3,T,course,mother,2,no,no,yes,2,3
GP,GT3,T,other,mother,2,no,yes,no,4,4
GP,GT3,T,course,father,1,yes,yes,yes,5,5
GP,LE3,T,reputation,father,2,yes,yes,yes,4,3
GP,GT3,T,home,mother,3,yes,yes,yes,4,4
GP,LE3,T,reputation,father,2,yes,yes,yes,4,4
GP,LE3,T,course,mother,2,no,yes,yes,4,3
GP,GT3,A,reputation,mother,4,no,yes,yes,3,3
GP,GT3,T,course,mother,4,yes,no,yes,3,3
GP,LE3,T,reputation,mother,2,yes,no,yes,1,3
GP,LE3,T,reputation,father,4,no,no,yes,4,2
GP,GT3,T,reputation,father,4,no,no,yes,3,2
GP,GT3,T,course,mother,4,no,no,yes,3,3
GP,GT3,T,reputation,mother,2,yes,no,yes,3,4
GP,GT3,T,reputation,mother,1,no,yes,no,3,2
GP,GT3,T,home,mother,2,yes,yes,yes,3,3
GP,GT3,T,home,mother,2,no,yes,yes,3,3
GP,GT3,T,course,mother,4,no,yes,yes,4,3
GP,GT3,T,reputation,mother,4,no,no,yes,2,3
GP,GT3,T,home,mother,1,yes,yes,yes,5,1
GP,GT3,T,course,mother,2,no,no,yes,4,3
GP,GT3,T,course,father,1,yes,yes,yes,2,2
GP,GT3,T,home,mother,3,yes,no,yes,3,2
GP,LE3,T,reputation,mother,2,no,no,yes,4,4
GP,LE3,T,home,mother,2,no,yes,yes,3,3
GP,GT3,T,home,father,2,no,yes,yes,3,2
GP,GT3,T,reputation,father,2,no,no,yes,4,4
GP,LE3,T,course,mother,2,no,no,no,3,4
GP,GT3,T,reputation,mother,3,no,yes,yes,3,3
GP,GT3,T,reputation,father,2,no,yes,yes,4,2
GP,LE3,A,reputation,mother,2,no,no,no,1,3
GP,GT3,T,home,mother,3,no,no,yes,3,3
GP,GT3,T,reputation,mother,1,no,yes,yes,5,5
GP,LE3,T,home,father,2,yes,no,no,3,3
GP,GT3,T,home,mother,2,no,yes,yes,3,3
GP,LE3,T,reputation,mother,4,no,yes,yes,3,4
GP,GT3,T,home,mother,4,yes,yes,yes,1,2
GP,GT3,T,reputation,mother,1,yes,yes,yes,3,3
GP,GT3,T,course,mother,2,no,no,no,3,5
GP,GT3,T,reputation,mother,1,no,yes,yes,3,4
GP,GT3,T,course,mother,3,yes,no,yes,3,5
GP,GT3,T,other,mother,1,yes,yes,yes,5,5
GP,GT3,T,other,father,3,no,yes,yes,4,3
GP,GT3,T,course,mother,1,no,yes,yes,3,3
GP,GT3,T,home,mother,2,yes,no,yes,3,5
GP,GT3,A,course,mother,2,no,yes,yes,4,4
GP,GT3,A,reputation,father,4,yes,no,no,3,3
GP,GT3,T,course,mother,4,yes,no,yes,1,2
GP,GT3,T,home,father,3,no,yes,yes,3,3
GP,GT3,T,home,father,4,no,yes,yes,3,5
GP,LE3,T,other,mother,3,no,yes,yes,4,5
GP,LE3,A,course,mother,1,no,yes,yes,5,3
GP,GT3,T,reputation,father,3,yes,yes,yes,1,2
GP,GT3,T,home,mother,2,yes,yes,yes,1,2
GP,LE3,T,course,mother,1,no,no,yes,5,2
GP,GT3,T,reputation,mother,2,no,yes,yes,4,2
GP,GT3,T,course,father,2,no,yes,yes,4,4
GP,GT3,T,reputation,father,2,no,yes,no,4,3
GP,GT3,T,home,father,1,no,yes,yes,4,2
GP,GT3,T,course,father,2,no,yes,yes,2,4
GP,GT3,T,reputation,father,1,no,no,yes,4,3
GP,GT3,T,course,mother,2,no,no,yes,2,3
GP,GT3,T,home,father,4,no,yes,yes,5,4
GP,LE3,T,course,father,2,no,yes,yes,2,2
GP,GT3,T,course,mother,1,no,yes,yes,4,4
GP,GT3,T,home,mother,2,no,no,yes,4,4
GP,GT3,T,home,father,1,yes,no,yes,5,5
GP,LE3,A,home,mother,2,yes,yes,yes,3,2
GP,GT3,T,course,other,2,no,no,no,4,2
GP,GT3,T,reputation,mother,1,no,yes,yes,3,3
GP,GT3,T,course,mother,1,no,yes,yes,5,5
GP,GT3,T,course,father,3,no,no,yes,2,2
GP,GT3,T,course,mother,1,no,yes,yes,3,3
GP,LE3,T,course,father,1,no,no,yes,4,4
GP,GT3,A,course,father,1,no,no,yes,2,1
GP,GT3,T,course,mother,2,no,no,no,3,3
GP,GT3,T,course,mother,3,no,yes,yes,3,3
GP,GT3,T,course,mother,2,no,no,no,4,5
GP,GT3,A,course,other,1,no,yes,yes,3,2
GP,LE3,T,course,mother,2,no,no,no,4,4
GP,GT3,T,course,mother,1,no,yes,yes,3,2
GP,GT3,T,course,father,4,yes,no,yes,2,2
GP,LE3,T,reputation,father,1,no,yes,yes,3,3
GP,GT3,T,course,mother,3,no,yes,yes,2,2
GP,LE3,T,course,mother,1,no,no,yes,4,4
GP,GT3,T,home,mother,1,no,no,yes,4,5
GP,GT3,T,course,father,2,no,no,yes,4,2
GP,GT3,T,home,father,2,no,no,yes,3,2
GP,GT3,T,course,mother,2,no,no,yes,3,2
GP,GT3,T,course,mother,1,no,no,yes,3,2
GP,LE3,A,course,mother,1,no,no,yes,5,5
GP,LE3,T,course,mother,1,no,no,yes,3,5
GP,LE3,T,course,mother,1,no,yes,no,4,4
GP,GT3,T,reputation,other,3,no,yes,yes,2,1
GP,GT3,T,home,mother,1,no,no,yes,5,4
GP,GT3,T,course,mother,1,yes,no,no,2,1
GP,GT3,T,course,mother,2,yes,yes,no,4,4
GP,LE3,T,reputation,mother,1,no,no,no,2,2
GP,GT3,T,course,mother,1,no,yes,no,2,5
GP,GT3,T,course,mother,1,no,no,no,2,2
GP,GT3,T,course,father,2,no,no,yes,5,5
GP,LE3,T,course,mother,1,no,yes,yes,3,2
GP,GT3,T,course,mother,2,yes,no,yes,4,4
GP,LE3,T,course,mother,1,no,yes,no,4,4
GP,GT3,T,course,father,1,no,no,yes,3,3
GP,LE3,T,course,mother,2,no,yes,no,3,5
GP,GT3,T,course,mother,1,no,yes,no,5,2
GP,GT3,T,course,father,2,no,no,yes,3,5
GP,GT3,T,home,father,2,no,no,yes,2,3
GP,GT3,T,home,mother,2,no,no,yes,1,5
GP,GT3,T,reputation,mother,2,no,no,yes,4,2
GP,GT3,T,course,father,1,no,yes,yes,4,5
GP,GT3,T,reputation,mother,2,no,yes,yes,3,2
GP,LE3,T,reputation,mother,2,no,yes,yes,4,4
GP,GT3,T,home,mother,2,no,yes,yes,3,5
GP,LE3,T,reputation,mother,2,no,yes,yes,4,5
GP,LE3,T,course,mother,2,no,yes,yes,4,4
GP,GT3,T,reputation,mother,2,no,yes,yes,4,4
GP,GT3,T,reputation,father,2,no,yes,yes,3,4
GP,GT3,T,other,mother,1,no,yes,yes,3,3
GP,GT3,T,course,mother,2,no,yes,yes,2,3
GP,GT3,T,home,mother,2,no,yes,yes,4,3
GP,GT3,T,home,mother,2,no,yes,yes,2,3
GP,GT3,T,reputation,father,2,no,yes,no,4,2
GP,LE3,T,reputation,mother,2,no,yes,yes,3,3
GP,GT3,T,reputation,mother,2,no,no,yes,2,2
GP,GT3,T,other,mother,2,no,yes,yes,3,4
GP,GT3,T,other,mother,1,no,yes,yes,3,3
GP,LE3,T,course,mother,2,no,yes,yes,2,3
GP,GT3,A,reputation,mother,2,no,no,yes,3,3
GP,GT3,T,home,mother,2,no,no,no,1,3
GP,GT3,T,course,mother,2,no,no,yes,3,3
GP,GT3,T,course,mother,2,no,yes,yes,3,3
GP,GT3,T,other,other,2,no,yes,yes,4,4
GP,GT3,T,reputation,mother,1,no,yes,yes,3,2
GP,GT3,T,home,father,1,no,no,yes,3,3
GP,LE3,T,course,father,2,no,yes,yes,3,2
GP,GT3,T,home,mother,1,no,no,yes,2,3
GP,LE3,T,home,father,1,no,yes,yes,3,4
GP,GT3,T,home,mother,1,no,no,yes,2,4
GP,LE3,T,reputation,mother,2,no,no,yes,5,2
GP,GT3,T,home,mother,2,no,yes,yes,3,5
GP,GT3,T,reputation,mother,2,yes,yes,no,4,3
GP,GT3,T,course,mother,2,no,no,no,4,4
GP,GT3,T,reputation,mother,1,no,no,yes,3,2
GP,GT3,T,reputation,mother,4,no,yes,yes,3,5
GP,GT3,T,home,mother,3,no,no,yes,4,3
GP,GT3,A,course,mother,2,no,no,yes,3,3
GP,GT3,T,other,mother,2,no,yes,yes,3,2
GP,GT3,T,home,mother,1,no,no,no,3,2
GP,GT3,T,reputation,mother,3,no,yes,yes,4,2
GP,GT3,T,reputation,other,4,no,yes,yes,3,3
GP,LE3,T,home,mother,2,no,no,yes,3,5
GP,GT3,A,reputation,mother,2,yes,no,yes,3,4
GP,GT3,T,home,mother,2,no,yes,yes,4,4
GP,LE3,T,other,mother,1,no,no,no,2,1
GP,LE3,T,reputation,mother,2,no,no,yes,4,4
GP,GT3,T,reputation,mother,2,no,no,yes,4,5
GP,LE3,T,home,father,2,no,no,yes,2,4
GP,GT3,T,home,father,1,no,no,no,3,3
GP,GT3,T,course,mother,3,no,yes,yes,3,3
GP,GT3,T,reputation,mother,2,no,yes,yes,2,5
GP,GT3,T,reputation,mother,3,no,yes,no,3,4
GP,GT3,T,other,mother,2,yes,no,yes,3,1
GP,GT3,T,home,mother,2,no,no,yes,3,3
GP,GT3,T,home,mother,3,no,yes,yes,3,2
GP,GT3,T,reputation,mother,2,no,yes,yes,3,3
GP,GT3,T,course,mother,2,no,yes,yes,3,4
GP,LE3,T,reputation,father,2,no,no,yes,3,3
GP,LE3,T,course,mother,2,yes,yes,yes,3,2
GP,GT3,A,course,mother,3,no,yes,yes,2,3
GP,LE3,T,reputation,father,2,no,yes,yes,2,3
GP,GT3,T,course,father,2,no,yes,yes,5,2
GP,GT3,T,reputation,mother,2,yes,yes,yes,5,5
GP,GT3,T,reputation,father,2,no,yes,yes,2,4
GP,LE3,T,home,mother,2,no,no,yes,4,2
GP,GT3,T,reputation,mother,3,no,yes,yes,3,3
GP,LE3,T,home,father,2,no,yes,yes,4,2
GP,GT3,T,home,mother,1,no,no,yes,5,2
GP,GT3,T,course,mother,2,no,yes,no,1,1
GP,GT3,T,reputation,father,2,no,no,yes,5,4
GP,LE3,T,course,mother,2,no,yes,yes,5,5
GP,LE3,A,course,mother,2,no,no,yes,3,3
GP,LE3,T,course,mother,1,no,yes,yes,4,5
GP,GT3,T,course,mother,1,no,yes,yes,3,2
GP,GT3,T,course,other,3,no,no,yes,4,4
GP,GT3,T,course,mother,1,no,no,yes,3,3
GP,GT3,T,course,father,1,no,no,yes,2,2
GP,GT3,T,other,mother,1,no,no,yes,4,5
GP,LE3,T,course,mother,2,no,no,yes,3,3
GP,GT3,T,other,mother,1,no,no,yes,3,2
GP,GT3,T,course,mother,1,no,no,yes,4,5
GP,GT3,T,reputation,other,2,yes,no,yes,3,3
GP,GT3,T,other,mother,1,no,no,yes,2,5
GP,GT3,T,course,mother,1,no,yes,no,3,2
GP,GT3,T,course,mother,1,no,no,yes,4,2
GP,LE3,T,course,mother,1,no,yes,yes,4,4
GP,LE3,T,reputation,mother,4,no,yes,yes,2,3
GP,LE3,A,reputation,mother,2,no,no,yes,3,1
GP,GT3,T,home,mother,2,no,yes,yes,2,4
GP,LE3,T,course,father,4,no,yes,yes,4,1
GP,GT3,T,home,father,2,no,no,yes,1,2
GP,GT3,T,course,mother,2,no,no,yes,3,2
GP,GT3,T,course,mother,3,no,yes,no,3,2
GP,GT3,T,home,mother,3,no,yes,no,2,3
GP,GT3,T,home,mother,3,no,yes,yes,3,3
GP,LE3,A,reputation,mother,2,no,yes,yes,2,5
GP,GT3,T,other,mother,2,no,yes,yes,4,4
GP,GT3,T,reputation,mother,2,no,yes,yes,3,4
GP,GT3,T,reputation,father,2,no,yes,yes,4,5
GP,GT3,T,reputation,mother,2,no,no,yes,3,5
GP,GT3,T,home,other,2,no,yes,yes,3,5
GP,GT3,T,reputation,father,4,no,yes,yes,5,5
GP,LE3,T,home,mother,2,no,no,no,4,3
GP,GT3,T,home,mother,2,no,yes,no,5,2
GP,GT3,T,reputation,mother,2,no,no,yes,3,3
GP,LE3,T,course,mother,2,yes,no,yes,4,4
GP,GT3,A,home,mother,2,no,no,yes,1,1
GP,GT3,T,home,mother,1,no,yes,yes,2,4
GP,GT3,T,reputation,father,2,yes,yes,yes,4,4
GP,LE3,T,course,mother,1,no,yes,yes,2,3
GP,LE3,A,home,mother,1,no,yes,yes,5,4
GP,LE3,A,home,mother,1,no,no,yes,4,4
GP,LE3,T,reputation,mother,4,no,yes,no,2,2
GP,GT3,T,home,mother,2,yes,yes,yes,4,4
GP,GT3,T,course,mother,2,no,no,yes,4,5
GP,GT3,T,reputation,father,2,no,no,yes,3,3
GP,GT3,T,other,mother,3,no,no,yes,3,3
GP,GT3,T,reputation,mother,3,no,no,yes,3,3
GP,GT3,T,reputation,mother,3,no,yes,yes,2,4
GP,LE3,A,reputation,mother,2,no,yes,yes,4,3
GP,GT3,T,home,mother,2,no,yes,yes,3,2
GP,GT3,T,reputation,mother,3,no,no,yes,2,2
GP,LE3,T,reputation,mother,2,no,no,yes,4,3
GP,LE3,T,reputation,mother,4,no,no,no,1,2
GP,LE3,T,reputation,mother,3,no,yes,yes,4,2
GP,GT3,T,home,mother,1,no,no,yes,4,3
GP,GT3,T,reputation,other,2,no,yes,yes,3,4
GP,LE3,T,home,other,2,no,no,yes,4,5
GP,GT3,T,reputation,father,4,no,no,yes,3,3
GP,LE3,T,home,mother,1,no,no,yes,4,2
GP,LE3,A,home,mother,2,no,no,yes,2,4
GP,LE3,T,home,father,1,no,no,yes,1,1
GP,GT3,T,reputation,mother,3,no,no,yes,3,3
GP,GT3,T,reputation,father,4,no,yes,yes,2,2
GP,GT3,T,home,other,2,no,yes,yes,4,4
GP,GT3,T,reputation,other,2,no,yes,yes,4,3
GP,GT3,A,course,other,1,no,yes,no,5,3
GP,GT3,T,reputation,other,1,no,no,yes,3,4
GP,GT3,T,reputation,father,2,no,yes,no,5,3
GP,LE3,T,reputation,other,2,yes,yes,yes,4,3
GP,LE3,T,home,other,2,no,yes,no,2,4
GP,GT3,T,other,other,2,no,no,yes,4,1
GP,GT3,T,course,other,2,no,no,yes,5,2
GP,LE3,T,reputation,other,2,no,no,yes,2,2
GP,GT3,T,home,other,3,no,no,yes,1,2
GP,GT3,T,reputation,other,3,no,no,yes,1,2
GP,GT3,T,course,mother,2,no,yes,yes,3,3
GP,GT3,T,course,mother,3,no,yes,yes,3,4
GP,GT3,T,course,father,3,no,yes,yes,3,4
GP,GT3,T,course,mother,2,no,no,yes,4,4
GP,GT3,A,course,mother,2,no,no,yes,2,2
GP,GT3,T,course,mother,2,no,no,no,2,2
GP,LE3,T,course,mother,3,no,yes,yes,3,2
GP,GT3,T,course,father,3,no,no,yes,4,3
GP,LE3,T,home,father,3,no,no,yes,3,3
GP,GT3,T,course,mother,3,no,yes,yes,3,3
GP,GT3,T,reputation,mother,1,no,yes,yes,3,5
GP,GT3,T,course,mother,1,no,no,yes,4,5
GP,GT3,T,course,mother,3,no,yes,yes,4,4
GP,GT3,T,course,mother,3,no,no,yes,3,3
GP,LE3,T,course,mother,4,no,yes,yes,5,5
GP,GT3,T,course,father,3,no,no,yes,4,3
GP,GT3,T,home,mother,2,no,yes,yes,3,4
GP,LE3,T,home,other,2,no,yes,yes,3,3
GP,GT3,T,course,mother,4,no,yes,no,4,4
GP,GT3,T,course,mother,3,no,no,yes,4,5
GP,GT3,A,home,other,3,no,no,no,4,3
GP,GT3,T,home,mother,2,no,no,yes,3,2
GP,LE3,T,home,mother,4,no,no,yes,3,3
GP,GT3,A,home,mother,2,no,no,yes,3,3
GP,GT3,T,home,other,3,no,yes,yes,3,4
GP,GT3,T,home,father,2,no,yes,yes,3,3
GP,LE3,T,home,mother,2,no,yes,yes,3,3
GP,GT3,A,home,father,2,no,no,yes,3,1
GP,GT3,T,course,mother,3,no,no,yes,3,3
GP,GT3,T,other,mother,3,no,no,yes,4,3
GP,GT3,T,course,mother,3,no,no,yes,3,2
GP,GT3,T,course,mother,3,no,no,yes,4,5
GP,GT3,T,reputation,mother,3,no,yes,yes,4,3
MS,GT3,T,course,mother,1,no,no,yes,5,5
MS,GT3,T,home,other,2,no,no,yes,4,4
MS,GT3,T,course,mother,2,no,no,yes,5,4
MS,LE3,T,course,mother,1,no,no,yes,3,3
MS,GT3,T,home,other,1,no,no,yes,4,4
MS,GT3,T,home,mother,2,no,yes,yes,5,5
MS,GT3,T,course,father,2,no,no,no,3,4
MS,GT3,T,other,father,2,no,yes,yes,3,3
MS,LE3,A,reputation,mother,2,no,no,no,2,3
MS,LE3,T,home,father,1,no,no,yes,3,2
MS,LE3,T,course,father,3,no,no,yes,3,2
MS,LE3,A,course,mother,2,no,no,no,3,4
MS,LE3,T,other,mother,2,no,yes,no,4,3
