A,D,H,K,M,V
GP,U,4,course,2,yes
GP,U,2,course,1,yes
GP,R,4,course,1,yes
GP,U,3,home,1,yes
GP,U,2,home,1,yes
GP,R,2,course,2,no
GP,U,4,course,1,yes
GP,R,1,home,1,no
GP,U,2,home,1,yes
GP,U,3,home,1,yes
GP,R,2,home,1,yes
GP,U,1,home,1,yes
GP,U,4,home,1,yes
GP,U,4,home,1,yes
GP,U,2,home,1,yes
GP,U,3,course,1,yes
GP,U,2,other,1,yes
GP,R,3,course,1,yes
GP,U,3,course,1,yes
GP,U,3,reputation,1,yes
MS,R,2,course,2,yes
MS,R,1,home,3,yes
MS,U,3,course,2,yes
MS,U,3,course,1,yes
MS,R,1,home,3,yes
MS,R,3,home,2,yes
MS,U,3,course,1,no
MS,R,4,other,2,yes
MS,U,2,reputation,2,no
MS,U,1,home,2,yes
MS,U,1,course,2,yes
MS,R,4,course,3,no
MS,R,1,other,2,no
MS,U,3,other,2,yes
MS,U,4,course,1,yes
MS,R,2,course,2,no
MS,R,3,course,2,no
MS,U,4,other,2,yes
MS,R,1,reputation,3,yes
MS,U,3,course,2,yes
MS,R,4,other,3,yes
MS,U,2,home,2,no
MS,R,2,other,3,yes
MS,U,2,home,1,no
MS,R,2,course,1,yes
MS,R,4,reputation,2,yes
MS,R,1,home,4,yes
MS,U,2,course,2,yes
MS,R,4,course,1,yes
MS,U,3,home,1,yes
MS,R,1,reputation,1,yes
MS,U,4,home,1,yes
MS,R,1,other,2,yes
MS,U,3,home,2,yes
MS,R,1,other,2,no
MS,R,2,home,2,no
MS,R,2,other,2,no
MS,R,4,reputation,3,yes
MS,R,3,course,1,yes
MS,U,1,course,1,yes
MS,U,1,course,2,no
MS,U,2,course,1,no
MS,U,1,course,2,yes
MS,R,1,course,1,no
MS,R,2,course,3,yes
MS,U,1,course,1,yes
