A,D,G,H,I,J,K,M,S,V,Y
MS,U,3,4,services,other,other,1,yes,yes,4
MS,U,4,4,health,health,course,1,no,yes,2
MS,R,4,1,other,at_home,other,1,no,yes,1
MS,U,1,1,at_home,at_home,other,1,yes,yes,5
MS,R,4,2,other,other,course,2,no,yes,3
MS,U,2,2,other,services,course,2,no,yes,1
MS,U,3,2,other,other,other,2,no,yes,1
MS,U,1,1,other,other,other,1,yes,yes,4
MS,U,1,0,other,other,home,1,no,no,1
MS,R,1,1,at_home,at_home,course,2,yes,yes,5
MS,R,1,2,other,other,home,1,no,yes,3
MS,R,1,2,other,at_home,course,1,no,no,4
MS,R,3,1,other,other,course,2,yes,yes,4
MS,R,2,2,other,other,course,2,yes,no,5
MS,R,1,0,at_home,at_home,course,3,no,no,3
MS,R,1,1,other,services,course,2,yes,yes,5
MS,U,1,1,at_home,at_home,course,2,yes,no,3
MS,R,2,2,other,services,course,1,yes,no,4
MS,U,2,2,other,other,course,1,yes,no,2
MS,R,3,2,services,other,course,2,no,yes,5
MS,R,1,1,at_home,other,course,2,yes,yes,5
MS,R,1,1,services,other,course,2,no,yes,3
MS,R,3,2,services,other,course,1,no,yes,3
MS,U,3,2,at_home,services,course,2,yes,no,2
MS,U,3,3,at_home,at_home,course,1,yes,yes,4
MS,R,2,2,services,services,course,2,yes,yes,4
MS,U,2,1,at_home,other,course,2,yes,yes,4
MS,U,3,2,services,at_home,course,2,yes,no,5
MS,U,1,1,other,at_home,course,1,yes,no,3
MS,R,1,1,other,other,course,2,no,yes,4
MS,R,4,3,services,services,course,1,no,yes,4
MS,R,3,2,other,other,course,2,no,yes,5
MS,R,1,1,other,services,home,3,no,yes,4
MS,U,3,3,health,other,course,2,no,yes,5
MS,U,1,3,at_home,services,course,1,no,yes,3
MS,R,1,1,other,other,home,3,no,yes,4
MS,U,1,2,at_home,other,course,2,no,no,3
MS,U,1,1,at_home,other,course,1,no,no,4
MS,R,2,2,other,other,other,2,no,yes,5
MS,R,0,0,at_home,other,course,2,no,yes,4
MS,R,3,1,other,at_home,course,2,no,no,2
MS,U,4,2,teacher,services,home,1,yes,yes,5
MS,R,2,2,services,services,course,1,yes,yes,3
MS,U,4,1,health,at_home,course,1,no,no,2
MS,U,1,2,at_home,other,course,1,no,yes,5
MS,U,1,1,other,other,course,3,yes,no,4
MS,U,2,2,services,at_home,reputation,2,yes,yes,3
MS,U,3,3,services,services,course,2,no,yes,4
MS,U,1,2,at_home,other,reputation,2,no,yes,4
MS,U,4,4,teacher,teacher,reputation,2,yes,yes,3
MS,U,4,4,services,other,reputation,1,yes,yes,4
MS,U,4,2,other,other,course,2,no,yes,3
MS,R,2,2,at_home,other,course,3,yes,no,3
MS,U,1,2,at_home,services,home,2,no,no,1
MS,R,4,4,at_home,services,other,3,yes,yes,5
MS,R,1,1,other,services,other,3,no,no,2
MS,U,2,2,other,other,course,2,no,yes,3
MS,U,2,2,services,services,course,2,no,yes,4
MS,R,4,2,teacher,other,reputation,1,yes,yes,3
MS,U,1,1,at_home,services,course,3,no,no,4
MS,U,1,1,at_home,services,other,2,no,no,5
MS,U,4,2,teacher,other,course,2,no,yes,2
MS,R,2,1,services,other,reputation,2,yes,yes,3
MS,U,1,1,at_home,services,course,1,no,no,2
MS,U,1,2,at_home,at_home,course,2,no,no,1
MS,R,1,1,at_home,at_home,course,2,yes,no,5
MS,R,2,2,services,other,home,2,no,yes,2
MS,R,4,3,services,other,home,2,yes,yes,5
MS,U,3,3,services,services,course,1,no,no,3
MS,R,4,4,teacher,services,other,2,yes,yes,3
MS,U,3,2,services,other,reputation,2,no,no,2
MS,U,1,1,other,services,home,2,no,yes,3
MS,U,1,1,at_home,services,course,2,no,yes,3
MS,R,1,2,at_home,other,course,3,no,no,3
MS,U,3,3,services,services,other,2,no,yes,3
MS,U,4,4,at_home,at_home,course,1,yes,yes,3
MS,R,1,2,other,services,course,2,no,no,2
MS,R,1,3,at_home,other,course,2,no,no,3
MS,U,4,4,teacher,services,other,2,no,yes,2
MS,R,1,1,other,services,reputation,3,no,yes,2
MS,U,2,3,at_home,services,course,2,no,yes,2
MS,R,4,4,other,teacher,other,3,no,yes,2
MS,R,1,2,at_home,services,other,3,yes,yes,3
MS,U,2,2,other,at_home,home,1,yes,no,4
MS,R,1,2,other,other,course,1,yes,yes,5
MS,R,4,4,other,other,reputation,2,no,yes,4
MS,R,1,1,other,other,home,4,no,yes,3
MS,R,1,1,at_home,other,course,2,no,yes,3
MS,R,4,4,teacher,services,course,1,yes,yes,4
MS,U,3,3,other,other,home,1,no,yes,1
MS,R,3,1,at_home,other,reputation,1,yes,yes,5
MS,U,4,4,teacher,teacher,home,1,yes,yes,2
MS,R,2,1,other,other,other,2,yes,yes,4
MS,U,2,3,other,services,home,2,yes,yes,4
MS,R,1,1,other,services,other,2,no,no,3
MS,R,4,2,other,other,home,2,no,no,4
MS,R,2,2,at_home,other,other,2,no,no,3
MS,U,4,3,teacher,other,other,2,no,yes,5
MS,R,4,4,teacher,at_home,reputation,3,yes,yes,4
MS,R,2,3,services,other,course,1,yes,yes,4
MS,U,3,1,teacher,services,course,1,no,yes,3
MS,U,1,1,other,other,course,2,yes,no,1
MS,U,3,1,services,services,course,2,no,yes,4
MS,R,3,2,services,other,course,3,no,yes,4
GP,U,4,4,at_home,teacher,course,2,no,no,3
GP,U,1,1,at_home,other,course,1,no,yes,3
GP,U,1,1,at_home,other,other,1,no,yes,3
GP,U,4,2,health,services,home,1,yes,yes,2
GP,U,3,3,other,other,home,1,no,no,3
GP,U,4,3,services,other,reputation,1,yes,yes,4
GP,U,2,2,other,other,home,1,no,yes,4
GP,U,4,4,other,teacher,home,2,no,no,1
GP,U,3,2,services,other,home,1,no,yes,2
GP,U,3,4,other,other,home,1,yes,yes,5
GP,U,4,4,teacher,health,reputation,1,no,yes,3
GP,U,2,1,services,other,reputation,3,yes,yes,2
GP,U,4,4,health,services,course,1,yes,yes,3
GP,U,4,3,teacher,other,course,2,no,yes,4
GP,U,2,2,other,other,home,1,no,yes,5
GP,U,4,4,health,other,home,1,no,yes,4
GP,U,4,4,services,services,reputation,1,yes,yes,2
GP,U,3,3,other,other,reputation,3,yes,no,3
GP,U,3,2,services,services,course,1,yes,yes,5
GP,U,4,3,health,other,home,1,yes,yes,1
GP,U,4,3,teacher,other,reputation,1,no,yes,4
GP,U,4,4,health,health,other,1,no,yes,4
GP,U,4,2,teacher,other,course,1,yes,yes,5
GP,U,2,2,other,other,reputation,2,yes,yes,4
GP,R,2,4,services,health,course,1,yes,yes,3
GP,U,2,2,services,services,home,1,no,yes,2
GP,U,2,2,other,other,home,1,no,yes,2
GP,U,4,2,health,services,other,1,no,yes,2
GP,U,3,4,services,other,home,1,yes,yes,3
GP,U,4,4,teacher,teacher,home,1,yes,yes,4
GP,U,4,4,health,services,home,1,no,yes,4
GP,U,4,4,services,services,reputation,2,yes,yes,3
GP,R,4,3,teacher,at_home,course,1,yes,yes,5
GP,U,3,3,other,other,course,1,yes,yes,3
GP,U,3,2,other,other,home,1,no,yes,4
GP,U,2,3,other,other,other,2,yes,no,5
GP,U,4,3,teacher,services,home,1,yes,yes,4
GP,R,4,4,other,teacher,reputation,2,yes,yes,4
GP,R,3,4,services,health,course,1,yes,yes,3
GP,R,2,2,at_home,other,reputation,1,yes,no,3
GP,U,2,2,other,other,home,2,yes,yes,3
GP,U,4,4,teacher,other,home,1,no,yes,4
GP,U,4,4,services,teacher,course,1,yes,yes,3
GP,U,2,2,services,services,course,1,no,yes,4
GP,U,2,2,other,at_home,course,2,yes,yes,3
GP,U,4,3,other,other,course,1,yes,yes,2
GP,U,3,3,other,services,home,1,no,yes,3
GP,U,4,3,health,services,reputation,1,yes,yes,2
GP,U,4,2,teacher,other,home,1,no,no,3
GP,U,4,4,services,teacher,other,1,yes,yes,4
GP,U,2,2,services,services,course,3,no,yes,3
GP,U,4,2,health,other,other,1,no,yes,3
GP,U,4,2,health,health,other,2,no,no,5
GP,U,4,4,services,services,course,1,no,yes,3
GP,U,3,3,other,other,other,1,no,yes,3
GP,U,2,1,other,other,other,1,yes,yes,3
GP,U,4,3,services,services,reputation,1,yes,yes,3
GP,U,4,4,teacher,health,reputation,1,yes,no,2
GP,U,1,2,other,at_home,home,1,yes,yes,3
GP,U,4,2,services,other,course,1,no,yes,2
GP,R,4,4,health,teacher,other,1,yes,no,4
GP,U,1,1,services,services,course,4,yes,yes,5
GP,U,1,2,other,services,reputation,1,yes,yes,4
GP,U,4,3,teacher,health,home,1,yes,yes,4
GP,U,4,3,services,services,reputation,1,yes,yes,4
GP,U,4,3,teacher,services,course,3,yes,yes,4
GP,U,4,4,other,services,reputation,1,yes,yes,3
GP,U,3,1,services,other,course,1,no,yes,3
GP,R,2,2,health,services,reputation,2,no,yes,1
GP,R,3,1,other,other,reputation,2,no,yes,4
GP,U,3,1,other,other,reputation,2,no,yes,3
GP,U,4,2,other,other,course,1,no,yes,3
GP,R,1,1,other,other,reputation,1,no,yes,3
GP,U,3,1,other,other,reputation,1,yes,no,3
GP,U,3,3,other,services,home,1,yes,yes,3
GP,U,4,3,teacher,other,home,1,yes,yes,3
GP,U,4,0,teacher,other,course,2,yes,yes,4
GP,U,2,2,other,other,reputation,1,no,yes,2
GP,U,2,1,other,other,home,2,yes,yes,5
GP,U,3,4,at_home,other,course,1,no,yes,4
GP,U,2,3,other,services,course,1,yes,yes,2
GP,U,2,3,other,other,home,1,no,yes,3
GP,U,3,2,services,other,reputation,1,no,yes,4
GP,U,2,2,services,services,home,2,yes,yes,3
GP,U,1,1,other,other,home,1,yes,yes,3
GP,U,4,4,services,services,reputation,2,no,yes,4
GP,U,2,2,at_home,other,course,1,no,no,3
GP,U,4,2,other,other,reputation,1,yes,yes,3
GP,U,2,2,services,other,reputation,2,yes,yes,4
GP,U,4,4,teacher,health,reputation,1,no,no,1
GP,U,3,3,other,other,home,1,no,yes,3
GP,U,4,3,services,other,reputation,1,yes,yes,5
GP,U,3,1,other,other,home,1,no,no,3
GP,U,4,2,teacher,services,home,2,yes,yes,3
GP,U,2,2,services,health,reputation,1,yes,yes,3
GP,R,1,1,at_home,other,home,2,yes,yes,1
GP,R,4,3,services,other,reputation,2,yes,yes,3
GP,U,2,1,other,other,course,1,no,no,3
GP,U,4,4,other,other,reputation,1,yes,yes,3
GP,U,4,3,other,at_home,course,1,no,yes,3
GP,U,4,4,services,services,other,1,yes,yes,5
GP,U,4,4,services,teacher,other,1,yes,yes,4
GP,U,4,4,services,other,course,1,yes,yes,3
GP,U,3,2,services,other,home,2,no,yes,3
GP,U,3,4,services,other,course,1,yes,yes,4
GP,U,3,3,other,health,reputation,1,no,no,3
GP,U,2,2,other,other,course,1,no,yes,1
GP,U,3,3,services,other,home,1,yes,yes,3
GP,R,4,4,other,other,home,4,yes,yes,3
GP,U,4,4,health,health,other,1,yes,yes,4
GP,U,4,4,teacher,teacher,course,1,yes,yes,5
GP,R,3,3,services,other,reputation,1,yes,yes,1
GP,U,2,2,at_home,other,home,1,yes,yes,1
GP,U,4,2,teacher,other,course,1,no,yes,5
GP,R,2,1,health,services,reputation,1,yes,yes,4
GP,U,4,4,teacher,teacher,course,1,yes,yes,4
GP,U,4,4,other,teacher,reputation,2,yes,no,4
GP,U,3,3,other,services,home,2,yes,yes,4
GP,R,1,3,other,other,course,3,yes,yes,2
GP,U,3,4,other,other,reputation,1,no,yes,4
GP,U,1,2,at_home,services,course,1,no,yes,2
GP,U,2,2,services,services,home,1,yes,yes,5
GP,U,2,4,other,health,course,2,yes,yes,2
GP,U,4,4,health,other,course,1,yes,yes,4
GP,U,2,2,other,other,home,1,no,yes,4
GP,U,3,4,services,services,home,1,no,yes,5
GP,U,3,4,other,other,home,1,yes,yes,3
GP,U,0,1,at_home,other,course,1,no,no,4
GP,R,2,2,services,other,reputation,1,yes,yes,3
GP,R,4,4,teacher,teacher,course,1,yes,yes,5
GP,R,3,4,services,teacher,course,2,no,yes,2
GP,U,1,1,at_home,other,course,3,yes,yes,3
GP,U,2,2,other,other,course,1,no,yes,4
GP,U,3,4,services,other,course,1,no,yes,2
GP,R,3,4,at_home,teacher,course,4,no,no,3
GP,U,4,4,services,at_home,course,1,yes,yes,3
GP,R,3,4,at_home,other,course,3,no,no,4
GP,U,3,3,other,other,course,2,yes,yes,3
GP,U,1,1,services,other,course,1,no,no,4
GP,U,4,4,teacher,teacher,course,2,yes,yes,3
GP,U,4,3,teacher,services,course,2,no,yes,2
GP,U,2,2,services,services,reputation,2,yes,yes,3
GP,U,4,4,teacher,services,course,1,yes,yes,2
GP,U,1,1,at_home,at_home,course,1,no,yes,4
GP,U,2,1,other,other,home,1,no,yes,4
GP,U,1,1,other,services,course,1,no,yes,4
GP,U,3,2,health,services,home,1,no,yes,3
GP,U,1,2,at_home,other,course,1,no,yes,3
GP,U,4,4,teacher,teacher,course,1,no,yes,3
GP,U,2,1,services,other,course,4,no,yes,5
GP,U,1,1,other,other,course,1,no,yes,3
GP,U,2,1,at_home,other,course,1,yes,no,4
GP,R,3,3,services,services,reputation,2,yes,yes,2
GP,U,3,2,services,at_home,home,1,no,yes,5
GP,U,4,4,other,teacher,course,1,no,no,2
GP,R,2,3,at_home,services,course,1,yes,no,4
GP,R,1,2,other,other,reputation,1,no,no,2
GP,R,1,1,at_home,other,course,3,yes,no,2
GP,R,2,2,at_home,other,course,3,no,no,2
GP,U,3,3,other,services,course,1,no,yes,5
GP,R,2,1,at_home,other,course,2,yes,yes,3
GP,R,3,2,other,other,course,2,no,yes,4
GP,U,1,2,other,other,course,2,yes,no,4
GP,U,1,3,at_home,services,course,1,no,yes,3
GP,R,1,1,other,services,course,4,yes,no,3
GP,U,3,2,services,services,course,2,yes,no,5
GP,U,2,2,other,other,course,1,no,yes,3
GP,U,4,2,health,services,home,1,no,yes,2
GP,U,2,2,other,other,home,1,no,yes,1
GP,U,4,4,health,health,reputation,1,no,yes,4
GP,U,3,4,other,other,course,3,yes,yes,4
GP,U,1,0,other,other,reputation,2,yes,yes,3
GP,U,4,4,teacher,other,reputation,1,yes,yes,4
GP,U,1,3,at_home,services,home,1,yes,yes,3
GP,U,3,3,other,other,reputation,2,yes,yes,4
GP,U,4,3,teacher,other,course,2,yes,yes,4
GP,U,2,2,services,other,reputation,2,yes,yes,4
GP,U,3,3,other,other,reputation,1,yes,yes,3
GP,R,4,2,teacher,services,other,1,yes,yes,3
GP,U,4,3,other,other,course,1,yes,yes,2
GP,U,4,3,teacher,other,home,1,yes,yes,4
GP,U,3,3,services,other,home,1,yes,yes,2
GP,U,2,4,services,services,reputation,1,yes,no,4
GP,U,3,3,other,other,reputation,1,yes,yes,3
GP,U,3,2,other,other,reputation,1,no,yes,2
GP,U,3,3,services,services,other,1,yes,yes,3
GP,U,1,2,services,services,other,1,yes,yes,3
GP,U,2,1,other,other,course,1,yes,yes,2
GP,U,3,3,health,other,reputation,1,no,yes,3
GP,R,1,2,at_home,other,home,1,no,no,1
GP,U,2,3,services,services,course,1,no,yes,3
GP,U,1,1,at_home,services,course,1,yes,yes,3
GP,U,1,2,at_home,services,other,2,yes,yes,4
GP,R,3,3,services,services,reputation,1,yes,yes,3
GP,U,2,3,other,other,home,2,no,yes,3
GP,U,2,4,services,services,course,1,yes,yes,3
GP,U,4,4,services,teacher,home,1,no,yes,2
GP,R,3,3,teacher,other,home,3,yes,yes,3
GP,U,4,4,services,teacher,home,2,no,yes,2
GP,U,4,4,teacher,teacher,reputation,1,no,yes,5
GP,U,4,3,health,other,home,1,yes,yes,3
GP,U,2,3,other,other,reputation,1,yes,no,4
GP,U,1,1,other,other,course,1,no,no,4
GP,R,2,2,other,other,reputation,1,no,yes,3
GP,R,2,2,services,services,reputation,2,yes,yes,3
GP,U,3,4,at_home,services,home,1,no,yes,4
GP,U,3,1,services,other,course,1,no,yes,3
GP,U,4,3,teacher,other,other,1,yes,yes,3
GP,U,1,1,at_home,other,home,2,no,no,3
GP,R,4,3,teacher,other,reputation,2,yes,yes,4
GP,U,3,3,other,other,reputation,1,yes,yes,3
GP,U,4,4,services,other,home,1,no,yes,3
GP,U,2,2,other,other,reputation,1,no,yes,3
GP,U,2,2,services,other,home,1,yes,yes,4
GP,R,4,4,services,other,other,1,no,no,2
GP,U,3,2,other,other,reputation,2,no,yes,4
GP,U,4,3,other,other,reputation,1,no,yes,4
GP,U,3,3,services,health,home,1,no,yes,2
GP,U,2,3,at_home,other,home,2,no,no,3
GP,U,2,2,at_home,at_home,course,1,yes,yes,3
GP,R,2,1,at_home,services,reputation,2,yes,yes,2
GP,U,1,1,at_home,other,reputation,1,yes,no,3
GP,U,2,3,services,teacher,other,1,no,yes,3
GP,U,2,2,other,other,home,2,no,yes,3
GP,U,4,4,teacher,services,home,1,yes,yes,3
GP,R,3,1,other,other,reputation,1,yes,yes,3
GP,U,3,2,other,other,course,1,yes,yes,3
GP,U,2,3,services,services,reputation,1,no,yes,3
GP,U,2,1,at_home,other,course,4,yes,yes,3
GP,U,2,1,other,other,course,2,yes,yes,2
GP,U,4,3,health,other,reputation,1,yes,yes,2
GP,R,2,2,other,other,course,2,yes,yes,5
GP,U,4,4,teacher,teacher,reputation,1,yes,yes,5
GP,U,4,4,health,other,reputation,1,yes,yes,2
GP,U,1,1,other,other,home,2,no,yes,4
GP,U,3,2,at_home,other,reputation,2,yes,yes,3
GP,U,2,2,other,other,home,1,yes,yes,4
GP,U,2,1,other,other,home,1,no,yes,5
GP,R,2,1,at_home,services,course,3,yes,no,1
GP,U,2,2,other,services,reputation,1,no,yes,5
GP,U,4,3,health,other,course,2,yes,yes,5
GP,R,4,4,teacher,other,course,2,no,yes,3
GP,U,4,3,teacher,other,course,1,yes,yes,4
GP,U,4,4,services,services,course,1,yes,yes,3
GP,U,2,1,other,other,course,2,no,yes,4
GP,U,2,1,other,other,course,3,no,yes,3
GP,U,2,3,other,other,course,2,no,yes,2
GP,U,3,1,services,services,other,1,no,yes,4
GP,R,3,3,other,services,course,1,no,yes,3
GP,U,0,2,other,other,other,1,no,yes,3
GP,U,3,2,services,other,course,2,no,yes,4
GP,U,3,3,at_home,other,reputation,3,no,yes,3
GP,U,2,1,services,services,other,1,no,yes,2
GP,R,2,1,other,other,course,2,yes,no,3
GP,R,2,1,other,other,course,1,no,yes,4
GP,U,1,1,health,other,course,2,yes,yes,4
GP,U,4,2,teacher,services,reputation,1,yes,yes,2
GP,U,4,3,services,at_home,reputation,1,no,yes,3
GP,U,2,1,other,other,home,1,yes,yes,2
GP,U,2,2,services,services,course,1,yes,yes,4
GP,U,4,3,services,other,home,1,no,yes,1
GP,U,4,3,teacher,other,course,1,no,yes,3
GP,R,3,2,other,other,course,1,yes,no,3
GP,U,3,3,other,other,home,1,yes,no,2
GP,U,2,2,at_home,services,home,1,yes,yes,3
GP,R,3,4,other,other,reputation,2,yes,yes,2
GP,U,3,1,services,other,other,1,yes,yes,4
GP,R,4,4,teacher,other,reputation,2,yes,yes,3
GP,U,4,2,health,other,reputation,1,yes,yes,4
GP,R,2,1,other,other,reputation,2,no,yes,3
GP,U,3,3,other,services,home,1,yes,yes,3
GP,U,2,3,other,services,reputation,1,yes,yes,5
GP,U,1,1,other,other,home,2,no,no,4
GP,R,1,2,at_home,at_home,home,1,yes,no,5
GP,U,2,4,at_home,health,reputation,2,no,yes,3
GP,U,2,2,services,other,course,2,no,yes,4
GP,R,3,2,other,services,home,2,no,yes,1
GP,U,4,4,teacher,services,home,2,yes,yes,2
GP,U,4,4,health,health,reputation,1,yes,yes,4
GP,U,4,3,teacher,services,course,2,yes,yes,2
GP,U,4,1,services,other,home,2,yes,yes,5
GP,U,3,2,teacher,services,home,1,no,yes,4
GP,R,1,1,at_home,other,reputation,2,yes,no,2
GP,U,1,1,other,other,home,2,yes,yes,4
GP,U,2,2,other,other,course,1,no,yes,4
GP,U,1,1,other,other,reputation,1,no,yes,3
GP,U,2,2,at_home,at_home,other,1,no,yes,3
GP,U,1,1,services,teacher,reputation,1,no,yes,3
GP,U,2,1,services,services,reputation,1,yes,yes,2
GP,U,4,4,teacher,teacher,reputation,1,yes,yes,4
GP,U,4,2,teacher,other,home,1,yes,yes,3
GP,U,4,3,health,services,reputation,1,no,yes,2
GP,U,2,1,services,at_home,reputation,1,no,yes,4
GP,R,3,1,services,other,reputation,2,no,no,1
GP,R,3,2,services,other,reputation,2,yes,yes,4
GP,U,3,3,health,other,home,1,no,yes,4
GP,U,4,4,health,other,reputation,2,yes,yes,3
GP,U,4,3,other,other,home,2,no,yes,4
GP,U,4,3,other,other,reputation,1,no,yes,3
GP,U,4,4,teacher,teacher,home,1,no,yes,4
GP,U,4,4,health,other,home,1,no,yes,2
GP,U,4,4,other,teacher,home,2,no,yes,1
GP,U,4,2,other,other,reputation,2,no,yes,3
GP,U,3,2,health,health,reputation,1,yes,yes,2
GP,U,3,3,other,other,home,1,yes,yes,4
GP,U,2,4,services,at_home,reputation,1,yes,yes,4
GP,U,3,2,services,other,course,1,yes,no,5
GP,U,4,4,teacher,services,reputation,2,no,yes,3
GP,R,3,3,other,services,reputation,1,yes,no,5
GP,U,1,1,at_home,other,reputation,1,yes,yes,4
GP,U,1,2,services,services,home,1,yes,no,2
GP,U,2,1,at_home,other,other,3,no,yes,4
GP,U,1,2,other,services,course,1,no,yes,5
GP,U,3,2,services,other,reputation,2,no,yes,2
GP,U,1,1,at_home,health,home,1,no,yes,1
GP,R,2,3,other,other,reputation,1,no,yes,1
GP,U,2,1,services,other,course,2,yes,yes,3
GP,U,4,3,other,other,course,1,yes,yes,3
GP,R,3,4,at_home,services,course,1,yes,yes,3
GP,U,4,4,teacher,other,course,1,no,yes,4
GP,U,4,3,services,services,course,1,no,yes,2
GP,U,2,2,other,other,course,1,no,no,2
GP,R,2,2,services,services,course,1,yes,yes,3
GP,U,3,1,services,services,course,1,no,yes,4
GP,U,0,2,at_home,at_home,home,2,no,yes,3
GP,U,4,4,other,other,course,1,yes,yes,3
GP,U,3,3,other,services,reputation,1,yes,yes,3
GP,R,2,2,services,other,course,4,no,yes,4
GP,U,4,4,teacher,services,course,1,yes,yes,4
GP,U,4,4,teacher,teacher,course,2,no,yes,3
GP,U,2,2,other,other,course,1,yes,yes,5
GP,R,2,4,at_home,other,course,1,no,yes,4
GP,U,3,3,services,services,home,1,yes,yes,3
GP,U,2,2,other,other,home,1,yes,yes,3
GP,R,2,2,at_home,other,course,2,yes,no,4
GP,U,3,4,services,other,course,1,no,yes,4
GP,R,3,1,services,at_home,home,1,no,no,4
GP,U,3,2,other,other,home,1,no,yes,3
GP,U,3,3,services,services,home,1,no,yes,3
GP,R,3,2,other,other,home,1,no,yes,3
GP,U,2,1,services,services,home,1,yes,yes,3
GP,U,4,4,teacher,services,home,1,yes,yes,3
GP,U,3,4,services,other,home,1,yes,yes,3
GP,U,2,2,at_home,at_home,home,1,no,yes,3
GP,U,2,3,at_home,other,course,1,no,yes,3
GP,U,3,2,other,services,other,1,no,yes,4
GP,R,4,3,teacher,services,course,1,no,yes,3
GP,U,4,3,teacher,other,course,1,no,yes,4
GP,U,4,3,health,other,reputation,1,yes,yes,4
MS,R,3,2,other,other,course,2,no,yes,5
MS,R,1,1,other,services,home,3,no,yes,4
MS,U,3,3,health,other,course,2,no,yes,5
MS,U,1,3,at_home,services,course,1,no,yes,3
MS,R,1,1,other,other,home,3,no,yes,4
MS,R,4,3,services,other,home,2,yes,yes,5
MS,U,3,3,services,services,course,1,no,no,3
MS,R,4,4,teacher,services,other,2,yes,yes,3
MS,U,3,2,services,other,reputation,2,no,no,2
MS,U,1,1,other,services,home,2,no,yes,3
MS,U,1,1,at_home,services,course,2,no,yes,3
MS,R,1,4,at_home,other,course,3,no,no,3
MS,R,1,1,at_home,other,other,2,yes,no,4
MS,U,3,3,services,services,other,2,no,yes,3
MS,U,4,4,at_home,at_home,course,1,yes,yes,3
MS,R,1,2,other,services,course,2,no,no,2
MS,R,1,3,at_home,other,course,2,no,no,3
MS,U,4,4,teacher,services,other,2,no,yes,2
MS,R,1,1,other,services,reputation,3,no,yes,2
MS,U,2,3,at_home,services,course,2,no,yes,2
MS,R,4,4,other,teacher,other,3,no,yes,2
MS,U,3,2,services,services,home,2,yes,no,2
MS,R,1,2,at_home,services,other,3,yes,yes,3
MS,U,2,2,other,at_home,home,1,yes,no,4
MS,R,1,2,other,other,course,1,yes,yes,5
MS,R,4,4,other,other,reputation,2,no,yes,4
MS,R,1,1,other,other,home,4,no,yes,3
MS,U,4,2,health,other,course,2,no,yes,4
MS,R,4,4,teacher,services,course,1,yes,yes,4
MS,U,3,3,other,other,home,1,no,yes,1
MS,R,3,1,at_home,other,reputation,1,yes,yes,5
MS,U,4,4,teacher,teacher,home,1,yes,yes,2
MS,R,2,1,other,other,other,2,yes,yes,4
MS,U,2,3,other,services,home,2,yes,yes,4
MS,R,1,1,other,services,other,2,no,no,3
MS,R,4,2,other,other,home,2,no,no,4
MS,R,2,2,at_home,other,other,2,no,no,3
MS,R,4,4,teacher,at_home,reputation,3,yes,yes,4
MS,R,2,3,services,other,course,1,yes,yes,4
MS,U,3,1,teacher,services,course,1,no,yes,3
MS,U,1,1,other,other,course,2,yes,no,1
MS,U,2,2,services,services,course,1,no,no,5
MS,U,3,1,services,services,course,2,no,yes,4
MS,R,1,1,other,other,course,1,no,no,5
MS,R,3,2,services,other,course,3,no,yes,4
MS,U,1,1,other,at_home,course,1,no,yes,2
