HRBP,VENTMACH,VENTTUBE,ANAPHYLAXIS,PULMEMBOLUS,ERRCAUTER,INSUFFANESTH,LVFAILURE,LVEDVOLUME,INTUBATION,EXPCO2,PVSAT,PAP,CO,MINVOL,HRSAT,HREKG,PCWP,KINKEDTUBE,VENTALV,SHUNT,TPR,VENTLUNG,ARTCO2,HR,FIO2,CVP,SAO2,PRESS,HYPOVOLEMIA,CATECHOL,DISCONNECT,STROKEVOLUME,BP,ERRLOWOUTPUT,MINVOLSET,HISTORY
NORMAL,NORMAL,LOW,False,False,False,False,False,NORMAL,ONESIDED,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,HIGH,HIGH,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,True,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,True,LOW,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
NORMAL,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,True,HIGH,False,LOW,LOW,True,NORMAL,False
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,True,LOW,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,False,HIGH,False,LOW,LOW,False,NORMAL,True
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,HIGH,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,HIGH,True,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ESOPHAGEAL,NORMAL,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,HIGH,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ONESIDED,ZERO,LOW,NORMAL,LOW,NORMAL,HIGH,HIGH,LOW,False,NORMAL,HIGH,LOW,ZERO,LOW,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,LOW,LOW,False,NORMAL,False
HIGH,NORMAL,NORMAL,False,False,False,True,False,HIGH,NORMAL,HIGH,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,False,LOW,NORMAL,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,ZERO,HIGH,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL,ZERO,LOW,HIGH,NORMAL,NORMAL,HIGH,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,True,HIGH,False,LOW,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,HIGH,True,NORMAL,NORMAL,False,NORMAL,False
LOW,NORMAL,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,True,LOW,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,NORMAL,LOW,LOW,False,HIGH,False,LOW,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,True,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,ESOPHAGEAL,NORMAL,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,HIGH,LOW,HIGH,True,HIGH,False,LOW,HIGH,False,NORMAL,False
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,NORMAL,True,ZERO,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,LOW,NORMAL,False,NORMAL,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,LOW,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
NORMAL,NORMAL,LOW,False,False,True,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,NORMAL,True,HIGH,False,NORMAL,LOW,True,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ONESIDED,NORMAL,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,HIGH,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,True,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,NORMAL,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,True,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
LOW,NORMAL,ZERO,False,False,False,False,False,NORMAL,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,LOW,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,HIGH,False,NORMAL,True,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,ZERO,False,False,False,False,False,NORMAL,NORMAL,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL,HIGH,HIGH,False,HIGH,True,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,True,False,NORMAL,NORMAL,HIGH,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,HIGH,False,LOW,NORMAL,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
LOW,NORMAL,LOW,False,False,False,False,True,LOW,NORMAL,LOW,LOW,LOW,LOW,ZERO,LOW,LOW,LOW,False,ZERO,NORMAL,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,LOW,HIGH,False,HIGH,False,LOW,LOW,False,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,False,True,LOW,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,LOW,True,HIGH,False,LOW,LOW,False,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,True,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,True,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,NORMAL,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,LOW,NORMAL,True,HIGH,False,LOW,NORMAL,False,NORMAL,False
HIGH,NORMAL,ZERO,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,True,HIGH,True,LOW,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ESOPHAGEAL,LOW,LOW,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,LOW,LOW,False,NORMAL,False
NORMAL,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,LOW,LOW,HIGH,False,ZERO,NORMAL,HIGH,ZERO,HIGH,NORMAL,LOW,LOW,LOW,HIGH,True,HIGH,False,LOW,NORMAL,False,NORMAL,False
NORMAL,NORMAL,LOW,False,False,False,True,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,NORMAL,HIGH,HIGH,True,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,NORMAL,True,HIGH,False,LOW,LOW,True,NORMAL,False
LOW,NORMAL,ZERO,False,False,False,False,True,LOW,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,LOW,HIGH,LOW,False,NORMAL,True,LOW,NORMAL,False,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,NORMAL,True,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,ZERO,False,False,True,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,True,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,ZERO,False,HIGH,True,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,True,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH,LOW,HIGH,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,NORMAL,False,False,False,False,False,HIGH,NORMAL,NORMAL,LOW,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,NORMAL,HIGH,LOW,HIGH,True,HIGH,False,LOW,LOW,False,NORMAL,False
LOW,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,HIGH,LOW,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,ZERO,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,LOW,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,True,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,True,HIGH,False,NORMAL,LOW,False,NORMAL,False
LOW,NORMAL,ZERO,False,False,True,False,False,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,False,HIGH,NORMAL,NORMAL,LOW,NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,NORMAL,True,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,True,LOW,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,True,HIGH,False,LOW,LOW,False,NORMAL,True
LOW,NORMAL,LOW,False,False,False,False,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,LOW,ZERO,True,HIGH,False,LOW,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,True,False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,ONESIDED,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,LOW,ZERO,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,NORMAL,False,NORMAL,False
HIGH,NORMAL,NORMAL,False,False,False,False,False,NORMAL,ONESIDED,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL,LOW,ZERO,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,LOW,False,HIGH,False,LOW,NORMAL,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,False,True,LOW,NORMAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,False,ZERO,NORMAL,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,LOW,False,HIGH,False,LOW,LOW,False,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,False,False,NORMAL,NORMAL,NORMAL,LOW,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
LOW,NORMAL,ZERO,False,False,False,False,False,NORMAL,NORMAL,ZERO,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH,HIGH,False,HIGH,True,NORMAL,LOW,False,NORMAL,False
HIGH,NORMAL,LOW,False,False,True,False,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL,LOW,NORMAL,False,HIGH,False,NORMAL,HIGH,False,NORMAL,False
