HRBP,VENTTUBE,LVFAILURE,LVEDVOLUME,CO,HRSAT,HREKG,PCWP,VENTALV,TPR,VENTLUNG,ARTCO2,HR,FIO2,CVP
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,NORMAL
HIGH,HIGH,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,HIGH,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW
HIGH,LOW,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL
NORMAL,HIGH,False,NORMAL,HIGH,HIGH,HIGH,LOW,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL
LOW,ZERO,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,NORMAL,NORMAL,NORMAL,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,LOW,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW
HIGH,HIGH,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,HIGH,LOW,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,LOW,NORMAL,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,LOW,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,NORMAL
HIGH,NORMAL,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,HIGH,LOW,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,LOW,NORMAL
HIGH,HIGH,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,ZERO,False,NORMAL,LOW,HIGH,HIGH,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,HIGH,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,LOW,HIGH
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,HIGH,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,NORMAL
LOW,ZERO,False,HIGH,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,ZERO,False,NORMAL,LOW,LOW,LOW,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,ZERO,True,LOW,LOW,LOW,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,LOW
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,ZERO,LOW,HIGH,NORMAL,NORMAL
NORMAL,HIGH,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,LOW,HIGH,HIGH,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,HIGH,LOW,LOW,LOW,HIGH,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,HIGH
LOW,LOW,False,HIGH,LOW,LOW,LOW,HIGH,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,HIGH
NORMAL,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW
LOW,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,NORMAL
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,LOW,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,LOW,LOW,NORMAL
HIGH,LOW,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH
HIGH,LOW,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,HIGH,NORMAL,LOW,LOW,HIGH,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,HIGH
HIGH,LOW,False,HIGH,HIGH,NORMAL,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,True,LOW,LOW,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,NORMAL,NORMAL,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,True,LOW,LOW,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW
NORMAL,LOW,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,LOW,HIGH,HIGH,LOW,NORMAL
LOW,ZERO,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
LOW,LOW,False,NORMAL,NORMAL,LOW,LOW,NORMAL,LOW,HIGH,LOW,HIGH,NORMAL,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,LOW,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,LOW
NORMAL,LOW,False,NORMAL,LOW,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,NORMAL
HIGH,LOW,False,LOW,HIGH,HIGH,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW
HIGH,LOW,False,NORMAL,NORMAL,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,False,HIGH,NORMAL,NORMAL,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,NORMAL
LOW,HIGH,False,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,HIGH,LOW,NORMAL
HIGH,HIGH,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,NORMAL,HIGH,NORMAL,NORMAL
LOW,ZERO,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL
LOW,ZERO,False,NORMAL,LOW,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,HIGH,NORMAL,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,LOW,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,HIGH,LOW,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW
HIGH,NORMAL,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,NORMAL,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,HIGH,LOW,HIGH,HIGH,HIGH,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,HIGH,NORMAL,NORMAL,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,LOW,False,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL,ZERO,NORMAL,NORMAL,NORMAL,HIGH
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,LOW,HIGH,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,HIGH
HIGH,ZERO,False,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
LOW,ZERO,False,NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,NORMAL
NORMAL,LOW,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,NORMAL
HIGH,LOW,True,LOW,LOW,HIGH,HIGH,LOW,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW
HIGH,ZERO,False,HIGH,LOW,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH
LOW,LOW,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,ZERO,NORMAL,NORMAL,NORMAL,HIGH
HIGH,ZERO,False,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,NORMAL
