E,F,G,H,I,J,O
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
6,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Divorced,Adm-clerical,Other-relative,White,Female,<=50K
13,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
9,Divorced,Adm-clerical,Own-child,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Separated,Prof-specialty,Unmarried,White,Female,<=50K
6,Never-married,Prof-specialty,Not-in-family,White,Male,>50K
14,Never-married,Prof-specialty,Not-in-family,Black,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
11,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Divorced,Prof-specialty,Not-in-family,White,Male,<=50K
13,Never-married,Sales,Own-child,White,Male,<=50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
3,Married-civ-spouse,Sales,Husband,White,Male,>50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
13,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Never-married,Sales,Own-child,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Widowed,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,<=50K
9,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
9,Never-married,Adm-clerical,Own-child,White,Female,<=50K
9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
9,Divorced,Craft-repair,Own-child,White,Male,<=50K
13,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
6,Never-married,Farming-fishing,Own-child,White,Male,<=50K
9,Divorced,Sales,Not-in-family,White,Male,<=50K
9,Never-married,Tech-support,Not-in-family,White,Female,<=50K
10,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Male,<=50K
13,Separated,Other-service,Unmarried,Asian-Pac-Islander,Female,<=50K
9,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
12,Married-civ-spouse,Tech-support,Husband,Black,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
9,Never-married,Other-service,Unmarried,Black,Female,<=50K
13,Never-married,Protective-serv,Not-in-family,White,Male,>50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
13,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
9,Never-married,Transport-moving,Not-in-family,White,Female,<=50K
4,Married-civ-spouse,Machine-op-inspct,Husband,Other,Male,<=50K
14,Divorced,Exec-managerial,Unmarried,White,Male,>50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
9,Separated,noValueSetHere123156456,Unmarried,White,Female,<=50K
10,Never-married,Sales,Own-child,White,Male,<=50K
10,Divorced,Adm-clerical,Unmarried,Black,Female,<=50K
14,Divorced,Prof-specialty,Unmarried,White,Male,>50K
10,Never-married,Sales,Not-in-family,White,Male,<=50K
6,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
12,Never-married,Transport-moving,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,>50K
4,Widowed,Adm-clerical,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
14,Never-married,Prof-specialty,Not-in-family,White,Male,>50K
13,Never-married,Prof-specialty,Own-child,White,Female,<=50K
11,Never-married,Sales,Not-in-family,White,Male,>50K
9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
13,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Divorced,Machine-op-inspct,Not-in-family,White,Male,<=50K
9,Separated,Transport-moving,Not-in-family,White,Male,<=50K
10,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
7,Married-civ-spouse,Other-service,Husband,Black,Male,<=50K
7,Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
9,Divorced,Sales,Not-in-family,White,Male,<=50K
5,Never-married,Machine-op-inspct,Unmarried,Black,Female,<=50K
9,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
12,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
10,Widowed,Sales,Unmarried,White,Male,>50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Never-married,noValueSetHere123156456,Not-in-family,Asian-Pac-Islander,Female,<=50K
9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,<=50K
10,Divorced,Tech-support,Own-child,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
13,Divorced,Prof-specialty,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
6,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
12,Never-married,Tech-support,Not-in-family,White,Male,<=50K
10,Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
15,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,>50K
9,Never-married,noValueSetHere123156456,Own-child,Black,Female,<=50K
9,Never-married,Adm-clerical,Unmarried,Black,Female,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
7,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
11,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
10,Married-civ-spouse,Sales,Own-child,Asian-Pac-Islander,Male,<=50K
13,Never-married,Farming-fishing,Own-child,White,Male,<=50K
9,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
9,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
9,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
7,Separated,Other-service,Not-in-family,Black,Female,<=50K
11,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Separated,Other-service,Not-in-family,White,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,<=50K
7,Divorced,Priv-house-serv,Unmarried,White,Female,<=50K
14,Never-married,Craft-repair,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Never-married,Other-service,Other-relative,White,Male,<=50K
10,Never-married,Exec-managerial,Other-relative,White,Female,<=50K
10,Divorced,Machine-op-inspct,Own-child,White,Female,<=50K
4,Married-spouse-absent,Adm-clerical,Not-in-family,White,Male,>50K
11,Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
9,Widowed,Sales,Not-in-family,White,Female,<=50K
10,Never-married,Sales,Own-child,White,Male,<=50K
9,Never-married,Other-service,Unmarried,Black,Female,<=50K
14,Divorced,Sales,Unmarried,White,Female,>50K
10,Never-married,Sales,Not-in-family,White,Male,<=50K
9,Never-married,Handlers-cleaners,Other-relative,White,Male,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,>50K
13,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
13,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Married-spouse-absent,Other-service,Not-in-family,Black,Female,<=50K
4,Widowed,Machine-op-inspct,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,>50K
9,Never-married,Other-service,Not-in-family,White,Male,<=50K
10,Never-married,Other-service,Not-in-family,Black,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Protective-serv,Husband,White,Male,<=50K
9,Widowed,Adm-clerical,Unmarried,White,Female,<=50K
9,Never-married,Other-service,Not-in-family,White,Female,<=50K
5,Never-married,Handlers-cleaners,Other-relative,White,Male,<=50K
13,Married-civ-spouse,Tech-support,Husband,White,Male,>50K
14,Never-married,Exec-managerial,Not-in-family,White,Female,<=50K
9,Never-married,Transport-moving,Not-in-family,White,Male,<=50K
10,Separated,Sales,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
10,Separated,Adm-clerical,Own-child,Black,Male,<=50K
3,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
14,Divorced,Exec-managerial,Not-in-family,White,Male,>50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
12,Divorced,Craft-repair,Unmarried,White,Female,<=50K
7,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
9,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,<=50K
7,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
9,Never-married,Other-service,Unmarried,White,Female,<=50K
10,Married-spouse-absent,Sales,Own-child,Black,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,<=50K
12,Divorced,Prof-specialty,Unmarried,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
13,Never-married,Sales,Not-in-family,White,Male,<=50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
16,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
9,Never-married,Machine-op-inspct,Own-child,White,Male,<=50K
12,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
13,Divorced,Prof-specialty,Not-in-family,White,Male,<=50K
9,Widowed,Craft-repair,Unmarried,White,Male,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
10,Separated,noValueSetHere123156456,Unmarried,White,Male,<=50K
8,Never-married,Adm-clerical,Own-child,Black,Male,<=50K
14,Never-married,Adm-clerical,Not-in-family,White,Male,>50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
11,Never-married,Handlers-cleaners,Own-child,White,Female,<=50K
9,Divorced,Transport-moving,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,>50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
7,Divorced,Machine-op-inspct,Unmarried,Black,Female,<=50K
10,Married-civ-spouse,Craft-repair,Husband,Black,Male,>50K
10,Divorced,Other-service,Own-child,White,Female,<=50K
10,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
9,Married-civ-spouse,Other-service,Husband,White,Male,>50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
10,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Wife,White,Female,>50K
9,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
7,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
14,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
7,Never-married,Handlers-cleaners,Not-in-family,White,Male,<=50K
11,Divorced,Tech-support,Not-in-family,White,Female,<=50K
11,Never-married,Prof-specialty,Own-child,Other,Female,<=50K
12,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Never-married,Tech-support,Not-in-family,Black,Male,<=50K
13,Married-civ-spouse,Tech-support,Wife,White,Female,>50K
9,Never-married,Sales,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
9,Married-civ-spouse,Sales,Husband,White,Male,<=50K
11,Divorced,Sales,Not-in-family,White,Male,<=50K
6,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Never-married,Sales,Unmarried,White,Male,<=50K
10,Never-married,Adm-clerical,Own-child,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
13,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
9,Married-civ-spouse,Other-service,Husband,White,Male,>50K
6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
9,Never-married,Prof-specialty,Unmarried,Black,Male,<=50K
9,Never-married,Adm-clerical,Own-child,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
9,Separated,Machine-op-inspct,Not-in-family,Black,Female,<=50K
9,Married-civ-spouse,Other-service,Wife,White,Female,<=50K
10,Never-married,Adm-clerical,Own-child,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
14,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
4,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
7,Divorced,Sales,Not-in-family,White,Male,<=50K
9,Divorced,Exec-managerial,Own-child,White,Male,<=50K
12,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
5,Separated,Other-service,Other-relative,White,Female,<=50K
16,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Divorced,Exec-managerial,Not-in-family,Black,Female,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
9,Never-married,Handlers-cleaners,Other-relative,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
13,Divorced,Sales,Unmarried,White,Male,>50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
8,Married-civ-spouse,Transport-moving,Husband,Black,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
9,Married-spouse-absent,Farming-fishing,Other-relative,White,Male,<=50K
7,Never-married,Other-service,Own-child,Black,Male,<=50K
6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,<=50K
10,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
5,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Adm-clerical,Husband,White,Male,<=50K
10,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
9,Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Female,<=50K
15,Divorced,Prof-specialty,Not-in-family,White,Male,>50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
9,Never-married,Handlers-cleaners,Unmarried,Black,Male,<=50K
9,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Never-married,Handlers-cleaners,Other-relative,Black,Female,<=50K
10,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
9,Separated,noValueSetHere123156456,Unmarried,White,Female,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Never-married,Farming-fishing,Own-child,White,Male,<=50K
9,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
12,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
14,Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Divorced,Transport-moving,Own-child,White,Male,<=50K
10,Never-married,Other-service,Not-in-family,White,Female,<=50K
10,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
9,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
10,Never-married,Other-service,Own-child,White,Male,<=50K
13,Widowed,Prof-specialty,Unmarried,White,Male,>50K
10,Never-married,Other-service,Own-child,White,Male,<=50K
10,Married-civ-spouse,Sales,Husband,White,Male,<=50K
9,Divorced,Other-service,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,>50K
9,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,<=50K
13,Divorced,noValueSetHere123156456,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
10,Never-married,Machine-op-inspct,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
13,Divorced,Prof-specialty,Own-child,White,Female,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
4,Divorced,Craft-repair,Not-in-family,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
9,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
10,Never-married,Farming-fishing,Own-child,White,Male,<=50K
13,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
10,Divorced,Adm-clerical,Own-child,White,Female,<=50K
9,Never-married,Craft-repair,Own-child,White,Male,<=50K
13,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
7,Divorced,Priv-house-serv,Unmarried,Black,Female,<=50K
9,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
10,Never-married,Adm-clerical,Own-child,White,Male,<=50K
10,Never-married,Other-service,Unmarried,White,Female,<=50K
10,Divorced,Exec-managerial,Unmarried,White,Female,<=50K
9,Divorced,Machine-op-inspct,Not-in-family,Black,Female,<=50K
10,Never-married,Adm-clerical,Other-relative,Black,Female,<=50K
9,Never-married,Farming-fishing,Own-child,White,Male,<=50K
10,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
7,Never-married,Sales,Own-child,White,Male,<=50K
9,Never-married,Other-service,Not-in-family,White,Male,<=50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
12,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
7,Separated,Craft-repair,Unmarried,White,Female,<=50K
13,Never-married,Exec-managerial,Own-child,White,Female,<=50K
14,Never-married,Other-service,Not-in-family,White,Female,<=50K
7,Never-married,Sales,Own-child,White,Female,<=50K
12,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
13,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Other-service,Wife,White,Female,<=50K
9,Never-married,Sales,Unmarried,White,Female,<=50K
4,Married-civ-spouse,Transport-moving,Husband,White,Male,<=50K
10,Married-civ-spouse,Sales,Wife,White,Female,>50K
10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
10,Divorced,Exec-managerial,Not-in-family,Black,Female,<=50K
10,Divorced,Exec-managerial,Not-in-family,White,Female,<=50K
9,Never-married,Sales,Not-in-family,White,Female,<=50K
6,Widowed,Sales,Unmarried,White,Female,<=50K
9,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Never-married,Sales,Own-child,White,Female,<=50K
9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
10,Divorced,Exec-managerial,Other-relative,Black,Female,<=50K
9,Widowed,Adm-clerical,Not-in-family,White,Female,<=50K
9,Divorced,Prof-specialty,Not-in-family,White,Male,<=50K
13,Never-married,Prof-specialty,Own-child,White,Female,<=50K
9,Divorced,Handlers-cleaners,Own-child,White,Male,<=50K
10,Married-civ-spouse,Exec-managerial,Wife,White,Female,>50K
9,Separated,Tech-support,Not-in-family,White,Female,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Female,>50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,<=50K
10,Never-married,Adm-clerical,Not-in-family,White,Male,<=50K
6,Never-married,Other-service,Own-child,White,Male,<=50K
10,Divorced,Exec-managerial,Not-in-family,White,Male,<=50K
12,Never-married,Sales,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Sales,Husband,White,Male,>50K
9,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
9,Married-civ-spouse,Prof-specialty,Husband,White,Male,<=50K
7,Divorced,Transport-moving,Not-in-family,White,Male,<=50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
10,Divorced,Adm-clerical,Not-in-family,Black,Female,<=50K
5,Never-married,Handlers-cleaners,Own-child,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
14,Divorced,Prof-specialty,Unmarried,White,Female,<=50K
10,Widowed,Adm-clerical,Not-in-family,White,Female,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,>50K
14,Divorced,Prof-specialty,Unmarried,White,Female,<=50K
10,Never-married,Other-service,Own-child,White,Male,<=50K
8,Never-married,Exec-managerial,Not-in-family,White,Male,<=50K
10,Separated,Adm-clerical,Other-relative,White,Female,<=50K
13,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50K
9,Never-married,Other-service,Unmarried,White,Male,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
13,Married-civ-spouse,Sales,Wife,White,Female,>50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
11,Widowed,Prof-specialty,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Adm-clerical,Wife,White,Female,<=50K
9,Married-civ-spouse,Prof-specialty,Wife,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Married-civ-spouse,Protective-serv,Husband,White,Male,>50K
10,Married-civ-spouse,Craft-repair,Husband,White,Male,>50K
9,Divorced,Transport-moving,Own-child,White,Male,<=50K
9,Married-civ-spouse,Transport-moving,Own-child,White,Male,<=50K
10,Never-married,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,<=50K
10,Never-married,Adm-clerical,Not-in-family,White,Female,<=50K
9,Never-married,Adm-clerical,Not-in-family,Black,Female,<=50K
7,Never-married,Other-service,Own-child,White,Male,<=50K
13,Divorced,Sales,Not-in-family,White,Female,<=50K
9,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
9,Married-civ-spouse,Exec-managerial,Husband,White,Male,<=50K
9,Never-married,noValueSetHere123156456,Own-child,White,Female,<=50K
12,Separated,Adm-clerical,Not-in-family,Black,Female,<=50K
11,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,>50K
10,Never-married,Other-service,Own-child,White,Female,<=50K
1,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
10,Divorced,Sales,Own-child,White,Female,<=50K
9,Never-married,Transport-moving,Own-child,White,Male,<=50K
4,Divorced,Handlers-cleaners,Other-relative,Black,Male,<=50K
9,Married-spouse-absent,Other-service,Unmarried,White,Female,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
13,Never-married,Tech-support,Not-in-family,White,Female,>50K
14,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,<=50K
11,Married-civ-spouse,Tech-support,Husband,White,Male,<=50K
8,Married-civ-spouse,Farming-fishing,Husband,White,Male,<=50K
6,Never-married,Other-service,Own-child,White,Male,<=50K
13,Separated,Prof-specialty,Unmarried,White,Female,<=50K
14,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
9,Never-married,noValueSetHere123156456,Own-child,White,Male,<=50K
9,Never-married,Machine-op-inspct,Unmarried,Other,Female,<=50K
14,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
12,Married-civ-spouse,Sales,Husband,White,Male,>50K
10,Separated,Protective-serv,Unmarried,White,Male,<=50K
9,Separated,Adm-clerical,Unmarried,White,Female,<=50K
7,Married-civ-spouse,Other-service,Husband,White,Male,<=50K
11,Married-spouse-absent,Prof-specialty,Unmarried,White,Female,<=50K
13,Never-married,Prof-specialty,Not-in-family,White,Male,<=50K
4,Divorced,Transport-moving,Unmarried,White,Male,<=50K
13,Never-married,Sales,Own-child,White,Male,<=50K
10,Never-married,Adm-clerical,Own-child,White,Male,<=50K
9,Divorced,Adm-clerical,Not-in-family,White,Female,<=50K
15,Married-civ-spouse,Prof-specialty,Husband,White,Male,>50K
10,Divorced,Adm-clerical,Unmarried,White,Female,<=50K
10,Never-married,Prof-specialty,Not-in-family,Black,Male,<=50K
8,Never-married,Other-service,Not-in-family,White,Male,<=50K
11,Married-civ-spouse,Craft-repair,Husband,White,Male,<=50K
10,Never-married,Sales,Own-child,White,Female,<=50K
10,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,<=50K
13,Married-civ-spouse,Adm-clerical,Husband,White,Male,>50K
6,Married-spouse-absent,Transport-moving,Not-in-family,White,Male,<=50K
7,Never-married,Craft-repair,Not-in-family,White,Male,<=50K
13,Married-civ-spouse,Exec-managerial,Husband,White,Male,>50K
