F,G,H,J,M,O
Married-civ-spouse,Tech-support,Wife,Female,23,<=50K
Never-married,Sales,Not-in-family,Male,45,<=50K
Divorced,Other-service,Unmarried,Female,40,<=50K
Divorced,Other-service,Unmarried,Male,40,<=50K
Separated,Machine-op-inspct,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,36,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Farming-fishing,Own-child,Male,30,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Widowed,Other-service,Unmarried,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Other-service,Unmarried,Female,24,<=50K
Never-married,Other-service,Own-child,Female,38,<=50K
Never-married,Craft-repair,Not-in-family,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Male,41,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Prof-specialty,Not-in-family,Female,30,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,50,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,70,<=50K
Married-civ-spouse,Transport-moving,Other-relative,Male,40,<=50K
Married-spouse-absent,Exec-managerial,Not-in-family,Female,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,55,>50K
Never-married,Sales,Own-child,Female,40,<=50K
Widowed,Other-service,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,60,>50K
Never-married,Tech-support,Not-in-family,Female,48,<=50K
Divorced,Other-service,Not-in-family,Male,32,<=50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Never-married,Exec-managerial,Own-child,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Divorced,Prof-specialty,Not-in-family,Male,45,<=50K
Married-civ-spouse,noValueSetHere123156456,Wife,Female,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,70,<=50K
Divorced,Tech-support,Not-in-family,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Never-married,Other-service,Not-in-family,Female,50,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Other-service,Not-in-family,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,50,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,20,>50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,<=50K
Divorced,Exec-managerial,Not-in-family,Male,60,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,60,>50K
Never-married,Other-service,Own-child,Female,20,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Wife,Female,70,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Separated,Other-service,Unmarried,Female,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Never-married,Transport-moving,Not-in-family,Male,55,<=50K
Never-married,Other-service,Own-child,Male,16,<=50K
Divorced,Craft-repair,Not-in-family,Male,45,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Never-married,Other-service,Not-in-family,Female,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Married-spouse-absent,Sales,Not-in-family,Male,40,<=50K
Separated,Exec-managerial,Unmarried,Female,50,<=50K
Never-married,Sales,Own-child,Male,24,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,60,<=50K
Never-married,Adm-clerical,Own-child,Male,40,<=50K
Divorced,Protective-serv,Not-in-family,Female,32,<=50K
Never-married,Adm-clerical,Own-child,Male,40,<=50K
Widowed,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,55,>50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,60,<=50K
Divorced,Other-service,Not-in-family,Female,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,35,>50K
Never-married,Adm-clerical,Own-child,Female,15,<=50K
Never-married,Craft-repair,Unmarried,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,25,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,5,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,2,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Never-married,Exec-managerial,Not-in-family,Male,40,<=50K
Separated,Other-service,Unmarried,Female,35,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,40,>50K
Never-married,Adm-clerical,Not-in-family,Male,50,<=50K
Married-civ-spouse,Other-service,Wife,Female,35,>50K
Never-married,Handlers-cleaners,Unmarried,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,52,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,45,<=50K
Never-married,Other-service,Own-child,Female,9,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,35,>50K
Separated,Exec-managerial,Unmarried,Female,30,<=50K
Never-married,Sales,Own-child,Female,15,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,20,>50K
Married-civ-spouse,Exec-managerial,Wife,Female,40,>50K
Divorced,Other-service,Not-in-family,Female,40,<=50K
Divorced,Exec-managerial,Not-in-family,Female,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Separated,Prof-specialty,Unmarried,Female,60,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,>50K
Divorced,Protective-serv,Unmarried,Male,40,<=50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,60,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,20,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,45,>50K
Never-married,Craft-repair,Not-in-family,Male,45,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Never-married,Adm-clerical,Not-in-family,Male,40,<=50K
Divorced,Sales,Not-in-family,Male,60,<=50K
Never-married,Adm-clerical,Own-child,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,40,>50K
Married-civ-spouse,Adm-clerical,Wife,Female,40,>50K
Never-married,Prof-specialty,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,55,>50K
Divorced,Exec-managerial,Not-in-family,Female,50,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,20,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,35,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,55,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,50,<=50K
Never-married,Handlers-cleaners,Not-in-family,Female,35,<=50K
Separated,Adm-clerical,Other-relative,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,35,<=50K
Married-spouse-absent,Prof-specialty,Own-child,Female,40,<=50K
Never-married,Prof-specialty,Not-in-family,Female,48,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Never-married,Other-service,Own-child,Female,24,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,60,>50K
Never-married,Craft-repair,Own-child,Male,37,<=50K
Never-married,Sales,Own-child,Female,35,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,<=50K
Never-married,Adm-clerical,Own-child,Male,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Never-married,Sales,Own-child,Female,60,<=50K
Never-married,Sales,Own-child,Male,42,<=50K
Widowed,Sales,Unmarried,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,55,>50K
Never-married,Other-service,Own-child,Male,25,<=50K
Never-married,Prof-specialty,Not-in-family,Male,50,<=50K
Separated,Protective-serv,Not-in-family,Male,60,<=50K
Divorced,Craft-repair,Other-relative,Female,40,<=50K
Separated,Adm-clerical,Unmarried,Female,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,10,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,65,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Farming-fishing,Husband,Male,30,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Other-service,Own-child,Female,4,<=50K
Never-married,Other-service,Own-child,Male,30,<=50K
Married-civ-spouse,Prof-specialty,Other-relative,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Adm-clerical,Unmarried,Female,20,<=50K
Divorced,Sales,Own-child,Female,30,<=50K
Never-married,Adm-clerical,Own-child,Female,20,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,60,<=50K
Never-married,Protective-serv,Own-child,Female,30,<=50K
Divorced,Protective-serv,Not-in-family,Male,56,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,25,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,43,<=50K
Never-married,Sales,Own-child,Female,20,<=50K
Never-married,noValueSetHere123156456,Not-in-family,Female,30,<=50K
Never-married,noValueSetHere123156456,Own-child,Male,10,<=50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,38,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,60,>50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,45,>50K
Never-married,Sales,Own-child,Male,20,<=50K
Never-married,Adm-clerical,Not-in-family,Male,42,<=50K
Never-married,Other-service,Unmarried,Female,36,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,30,>50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Separated,Other-service,Unmarried,Female,28,<=50K
Divorced,Other-service,Not-in-family,Female,23,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Craft-repair,Not-in-family,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,39,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Never-married,Adm-clerical,Own-child,Male,12,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Never-married,Exec-managerial,Not-in-family,Male,60,<=50K
Divorced,Sales,Not-in-family,Female,55,<=50K
Married-civ-spouse,Tech-support,Wife,Female,25,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Sales,Own-child,Male,15,<=50K
Divorced,Exec-managerial,Not-in-family,Male,55,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Separated,Exec-managerial,Unmarried,Female,38,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,20,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Married-spouse-absent,Other-service,Not-in-family,Male,35,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,55,<=50K
Never-married,Sales,Own-child,Male,8,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,50,<=50K
Never-married,Tech-support,Own-child,Male,25,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Divorced,Other-service,Unmarried,Female,40,<=50K
Never-married,Adm-clerical,Not-in-family,Male,30,<=50K
Never-married,Adm-clerical,Own-child,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Exec-managerial,Wife,Female,35,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Divorced,Prof-specialty,Not-in-family,Male,40,>50K
Married-civ-spouse,Sales,Wife,Female,40,<=50K
Divorced,Prof-specialty,Unmarried,Female,45,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,70,>50K
Never-married,Protective-serv,Own-child,Male,40,<=50K
Married-civ-spouse,Tech-support,Wife,Female,40,<=50K
Divorced,Exec-managerial,Own-child,Female,40,<=50K
Never-married,Sales,Not-in-family,Male,48,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,30,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,>50K
Divorced,Craft-repair,Unmarried,Male,25,<=50K
Never-married,Exec-managerial,Own-child,Male,40,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Never-married,Sales,Other-relative,Male,55,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Divorced,Adm-clerical,Unmarried,Female,45,<=50K
Never-married,noValueSetHere123156456,Unmarried,Female,30,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Wife,Female,24,<=50K
Married-civ-spouse,Sales,Husband,Male,44,<=50K
Never-married,Sales,Not-in-family,Male,45,<=50K
Divorced,Craft-repair,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,20,>50K
Never-married,Priv-house-serv,Not-in-family,Female,40,<=50K
Divorced,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,25,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,48,<=50K
Never-married,Exec-managerial,Unmarried,Female,55,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,40,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Unmarried,Female,30,<=50K
Never-married,Handlers-cleaners,Own-child,Male,16,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,>50K
Never-married,Adm-clerical,Unmarried,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Never-married,Exec-managerial,Not-in-family,Male,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,50,>50K
Never-married,Exec-managerial,Not-in-family,Female,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,20,<=50K
Never-married,Prof-specialty,Own-child,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Divorced,Adm-clerical,Not-in-family,Male,40,>50K
Never-married,Transport-moving,Not-in-family,Male,87,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,65,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Divorced,Exec-managerial,Unmarried,Female,50,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,<=50K
Never-married,Craft-repair,Not-in-family,Male,54,<=50K
Never-married,Handlers-cleaners,Own-child,Male,30,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,88,<=50K
Married-civ-spouse,Prof-specialty,Wife,Female,48,>50K
Separated,Prof-specialty,Not-in-family,Male,40,>50K
Separated,Priv-house-serv,Unmarried,Female,16,<=50K
Never-married,Adm-clerical,Own-child,Female,40,<=50K
Never-married,Tech-support,Own-child,Female,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,<=50K
Never-married,Other-service,Not-in-family,Female,40,<=50K
Never-married,Transport-moving,Own-child,Male,45,<=50K
Never-married,Tech-support,Own-child,Male,8,<=50K
Divorced,Adm-clerical,Unmarried,Female,73,<=50K
Never-married,Prof-specialty,Not-in-family,Male,35,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Never-married,Farming-fishing,Own-child,Male,70,<=50K
Divorced,Other-service,Not-in-family,Female,40,<=50K
Married-civ-spouse,Sales,Husband,Male,50,>50K
Divorced,noValueSetHere123156456,Own-child,Male,50,<=50K
Never-married,Sales,Not-in-family,Female,40,<=50K
Never-married,Exec-managerial,Own-child,Male,46,<=50K
Never-married,Other-service,Own-child,Male,8,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,60,<=50K
Never-married,Handlers-cleaners,Own-child,Male,17,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,45,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Widowed,Adm-clerical,Not-in-family,Female,40,>50K
Divorced,Farming-fishing,Not-in-family,Male,40,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,35,>50K
Never-married,Sales,Not-in-family,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Separated,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Other-service,Wife,Female,32,<=50K
Married-civ-spouse,Sales,Wife,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Sales,Husband,Male,25,>50K
Never-married,Other-service,Not-in-family,Male,18,<=50K
Never-married,Other-service,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,70,>50K
Never-married,Prof-specialty,Not-in-family,Male,40,<=50K
Never-married,Craft-repair,Other-relative,Male,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,15,<=50K
Married-civ-spouse,Farming-fishing,Other-relative,Male,24,<=50K
Divorced,Craft-repair,Unmarried,Female,48,<=50K
Widowed,Machine-op-inspct,Unmarried,Female,37,<=50K
Never-married,Sales,Other-relative,Female,25,<=50K
Never-married,Other-service,Own-child,Male,10,<=50K
Married-civ-spouse,Sales,Husband,Male,52,<=50K
Widowed,Other-service,Not-in-family,Female,24,<=50K
Never-married,Craft-repair,Own-child,Male,50,<=50K
Never-married,Prof-specialty,Own-child,Male,40,<=50K
Married-civ-spouse,Exec-managerial,Wife,Female,30,>50K
Never-married,Exec-managerial,Own-child,Male,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,38,<=50K
Never-married,Machine-op-inspct,Own-child,Female,40,<=50K
Never-married,Other-service,Not-in-family,Female,24,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,48,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Never-married,Other-service,Own-child,Female,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Never-married,Machine-op-inspct,Not-in-family,Male,52,<=50K
Never-married,Exec-managerial,Not-in-family,Female,60,>50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Other-service,Not-in-family,Male,32,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,60,>50K
Divorced,Sales,Unmarried,Female,30,<=50K
Never-married,Sales,Other-relative,Male,51,<=50K
Married-spouse-absent,Adm-clerical,Unmarried,Female,20,<=50K
Widowed,Adm-clerical,Not-in-family,Female,17,<=50K
Never-married,Adm-clerical,Not-in-family,Female,20,<=50K
Married-civ-spouse,Sales,Husband,Male,65,<=50K
Never-married,Exec-managerial,Not-in-family,Female,43,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,>50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,20,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Divorced,Adm-clerical,Other-relative,Female,40,<=50K
Never-married,Adm-clerical,Not-in-family,Female,35,<=50K
Divorced,Adm-clerical,Own-child,Male,42,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,35,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Separated,Prof-specialty,Unmarried,Female,38,<=50K
Never-married,Prof-specialty,Not-in-family,Male,90,>50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,33,<=50K
Married-civ-spouse,Exec-managerial,Husband,Male,40,>50K
Divorced,Prof-specialty,Not-in-family,Male,40,<=50K
Never-married,Sales,Own-child,Male,45,<=50K
Never-married,Prof-specialty,Not-in-family,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,55,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,60,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,75,>50K
Widowed,Exec-managerial,Unmarried,Female,48,<=50K
Divorced,Exec-managerial,Unmarried,Female,40,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,<=50K
Never-married,Adm-clerical,Own-child,Female,10,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,40,<=50K
Divorced,Craft-repair,Own-child,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Farming-fishing,Own-child,Male,36,<=50K
Divorced,Sales,Not-in-family,Male,50,<=50K
Never-married,Tech-support,Not-in-family,Female,40,<=50K
Never-married,Handlers-cleaners,Own-child,Male,40,<=50K
Separated,Other-service,Unmarried,Female,36,<=50K
Married-civ-spouse,Other-service,Husband,Male,30,<=50K
Married-civ-spouse,Tech-support,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,40,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,40,<=50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,30,<=50K
Never-married,Other-service,Unmarried,Female,13,<=50K
Never-married,Protective-serv,Not-in-family,Male,55,>50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,37,<=50K
Married-civ-spouse,Sales,Husband,Male,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,40,<=50K
Never-married,Transport-moving,Not-in-family,Female,49,<=50K
Married-civ-spouse,Machine-op-inspct,Husband,Male,38,<=50K
Divorced,Exec-managerial,Unmarried,Male,50,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Separated,noValueSetHere123156456,Unmarried,Female,40,<=50K
Never-married,Sales,Own-child,Male,40,<=50K
Divorced,Adm-clerical,Unmarried,Female,37,<=50K
Divorced,Prof-specialty,Unmarried,Male,80,>50K
Never-married,Sales,Not-in-family,Male,40,<=50K
Married-civ-spouse,Adm-clerical,Husband,Male,45,<=50K
Never-married,Transport-moving,Not-in-family,Male,55,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,40,>50K
Never-married,Adm-clerical,Not-in-family,Female,10,<=50K
Married-civ-spouse,Sales,Husband,Male,40,>50K
Widowed,Adm-clerical,Not-in-family,Female,35,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,50,<=50K
Never-married,Prof-specialty,Not-in-family,Male,55,>50K
Never-married,Prof-specialty,Own-child,Female,20,<=50K
Never-married,Sales,Not-in-family,Male,40,>50K
Married-civ-spouse,noValueSetHere123156456,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,>50K
Divorced,Machine-op-inspct,Not-in-family,Male,35,<=50K
Separated,Transport-moving,Not-in-family,Male,40,<=50K
Never-married,Adm-clerical,Not-in-family,Male,45,<=50K
Married-civ-spouse,Other-service,Husband,Male,40,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,8,<=50K
Divorced,Sales,Not-in-family,Male,15,<=50K
Never-married,Machine-op-inspct,Unmarried,Female,40,<=50K
Divorced,Adm-clerical,Not-in-family,Female,40,<=50K
Married-civ-spouse,Protective-serv,Husband,Male,45,>50K
Widowed,Sales,Unmarried,Male,50,>50K
Married-civ-spouse,Exec-managerial,Husband,Male,50,>50K
Never-married,noValueSetHere123156456,Not-in-family,Female,50,<=50K
Married-civ-spouse,Handlers-cleaners,Husband,Male,45,<=50K
Divorced,Tech-support,Own-child,Female,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Divorced,Prof-specialty,Unmarried,Female,55,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Craft-repair,Husband,Male,45,>50K
Married-civ-spouse,Prof-specialty,Husband,Male,30,>50K
Never-married,Tech-support,Not-in-family,Male,20,<=50K
Never-married,noValueSetHere123156456,Own-child,Female,40,<=50K
Married-civ-spouse,Farming-fishing,Husband,Male,40,<=50K
Never-married,Prof-specialty,Not-in-family,Male,50,<=50K
Married-civ-spouse,Prof-specialty,Husband,Male,50,>50K
Married-civ-spouse,Transport-moving,Husband,Male,40,<=50K
Married-civ-spouse,Transport-moving,Husband,Male,52,>50K
Never-married,noValueSetHere123156456,Own-child,Female,30,<=50K
Never-married,Adm-clerical,Unmarried,Female,30,<=50K
