H,I,N
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Own-child,White,United-States
Unmarried,White,United-States
Other-relative,Other,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,South
Unmarried,White,Nicaragua
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Trinadad&Tobago
Not-in-family,Other,United-States
Own-child,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,noValueSetHere123156456
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Unmarried,White,United-States
Not-in-family,Asian-Pac-Islander,noValueSetHere123156456
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Other-relative,Black,Haiti
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,El-Salvador
Husband,White,noValueSetHere123156456
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Not-in-family,Black,United-States
Not-in-family,Black,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,Vietnam
Wife,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Unmarried,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Husband,Black,Haiti
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,Other,Dominican-Republic
Unmarried,Black,United-States
Husband,White,Canada
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,Peru
Not-in-family,White,El-Salvador
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,Asian-Pac-Islander,United-States
Husband,Asian-Pac-Islander,Germany
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Own-child,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Unmarried,Black,United-States
Own-child,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,Vietnam
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,South
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,Other,noValueSetHere123156456
Own-child,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,France
Other-relative,White,Mexico
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,Mexico
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,El-Salvador
Not-in-family,White,Germany
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,Germany
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,Dominican-Republic
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,Black,Haiti
Husband,Asian-Pac-Islander,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,Black,Jamaica
Husband,White,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,Black,Jamaica
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,India
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,Black,United-States
Husband,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,England
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,Philippines
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Canada
Own-child,White,United-States
Wife,White,United-States
Not-in-family,White,Puerto-Rico
Not-in-family,White,United-States
Own-child,Amer-Indian-Eskimo,United-States
Husband,White,Iran
Wife,White,United-States
Husband,White,Columbia
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Not-in-family,Asian-Pac-Islander,China
Wife,White,Mexico
Unmarried,Black,United-States
Unmarried,White,Cuba
Not-in-family,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Other-relative,Other,Mexico
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,Black,United-States
Husband,Amer-Indian-Eskimo,United-States
Other-relative,Asian-Pac-Islander,Philippines
Own-child,Black,noValueSetHere123156456
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,White,El-Salvador
Not-in-family,White,United-States
Wife,White,United-States
Unmarried,Black,United-States
Husband,White,England
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Philippines
Own-child,Asian-Pac-Islander,Taiwan
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Not-in-family,Other,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,South
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Cuba
Not-in-family,Black,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,Asian-Pac-Islander,India
Not-in-family,White,United-States
Wife,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,Iran
Unmarried,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Unmarried,Black,United-States
Husband,Asian-Pac-Islander,Taiwan
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,China
Husband,White,United-States
Husband,Black,United-States
Other-relative,White,Mexico
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Other-relative,White,United-States
Wife,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,England
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Wife,Other,Guatemala
Not-in-family,White,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Husband,White,Mexico
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Wife,Black,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,noValueSetHere123156456
Unmarried,Amer-Indian-Eskimo,United-States
Unmarried,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,Asian-Pac-Islander,United-States
Husband,Asian-Pac-Islander,Philippines
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,Cuba
Husband,White,United-States
Other-relative,White,Puerto-Rico
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,Black,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Not-in-family,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Taiwan
Not-in-family,Other,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,Germany
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,India
Wife,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Husband,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Wife,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,Iran
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Wife,White,Puerto-Rico
Wife,White,United-States
Wife,Black,United-States
Not-in-family,Amer-Indian-Eskimo,United-States
Husband,White,United-States
Own-child,Black,Jamaica
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,Mexico
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,Black,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Own-child,White,United-States
Not-in-family,White,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,Hong
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Ireland
Own-child,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Philippines
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,Black,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Husband,Asian-Pac-Islander,South
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,Italy
Wife,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Not-in-family,Asian-Pac-Islander,South
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,White,Ireland
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Unmarried,Black,United-States
Unmarried,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Other-relative,White,United-States
Not-in-family,White,England
Husband,White,Mexico
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Husband,White,Italy
Unmarried,White,United-States
Other-relative,Asian-Pac-Islander,Philippines
Own-child,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,noValueSetHere123156456
Unmarried,White,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Own-child,White,United-States
Not-in-family,White,Germany
Not-in-family,White,United-States
Husband,White,India
Own-child,White,United-States
Husband,White,Mexico
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,Dominican-Republic
Own-child,White,United-States
Not-in-family,White,Peru
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,Mexico
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,Asian-Pac-Islander,Vietnam
Own-child,White,United-States
Husband,White,United-States
Other-relative,Black,United-States
Husband,White,United-States
Husband,Amer-Indian-Eskimo,United-States
Other-relative,Asian-Pac-Islander,Puerto-Rico
Husband,White,United-States
Not-in-family,Black,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,Mexico
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Wife,White,noValueSetHere123156456
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,Peru
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,Vietnam
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,South
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,Asian-Pac-Islander,United-States
Husband,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,Asian-Pac-Islander,Philippines
Own-child,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,noValueSetHere123156456
Unmarried,Black,Puerto-Rico
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Unmarried,White,Puerto-Rico
Husband,White,United-States
Husband,White,United-States
Wife,White,Germany
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,Black,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,Italy
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Other-relative,White,Mexico
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Own-child,Black,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,Puerto-Rico
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,England
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,China
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Wife,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,England
Husband,Asian-Pac-Islander,Philippines
Husband,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Other-relative,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,Ecuador
Husband,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Not-in-family,White,Mexico
Husband,White,United-States
Other-relative,White,United-States
Husband,White,United-States
Wife,White,Puerto-Rico
Husband,White,United-States
Own-child,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Unmarried,White,Mexico
Husband,White,United-States
Own-child,Black,United-States
Husband,Black,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Other-relative,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,Asian-Pac-Islander,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,Black,noValueSetHere123156456
Unmarried,White,Puerto-Rico
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Wife,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Not-in-family,Asian-Pac-Islander,India
Husband,White,United-States
Unmarried,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Other-relative,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,Black,United-States
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Unmarried,White,Mexico
Husband,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,Black,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Unmarried,Black,United-States
Husband,White,Poland
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,Germany
Not-in-family,Asian-Pac-Islander,Thailand
Own-child,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Wife,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Own-child,White,United-States
Unmarried,White,United-States
Husband,Black,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Husband,White,noValueSetHere123156456
Husband,White,United-States
Own-child,White,United-States
Husband,Black,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,White,Greece
Husband,White,United-States
Husband,Asian-Pac-Islander,India
Own-child,White,United-States
Husband,White,United-States
Unmarried,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
Husband,White,United-States
Husband,White,United-States
Own-child,Black,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Husband,White,United-States
Husband,Asian-Pac-Islander,noValueSetHere123156456
Husband,White,United-States
Husband,White,United-States
Own-child,White,United-States
Husband,White,United-States
Unmarried,Black,United-States
Not-in-family,White,United-States
Wife,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Not-in-family,White,United-States
Own-child,White,United-States
Own-child,White,United-States
Husband,White,United-States
Not-in-family,White,United-States
