E,H,J,K,L,M,O
10,Own-child,Male,0,0,35,<=50K
13,Husband,Male,0,0,38,<=50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,45,>50K
10,Unmarried,Female,0,0,40,<=50K
7,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,>50K
11,Unmarried,Female,0,0,40,<=50K
10,Own-child,Female,0,0,40,<=50K
9,Other-relative,Female,0,0,60,<=50K
11,Not-in-family,Female,0,0,40,<=50K
10,Husband,Male,0,0,65,<=50K
13,Unmarried,Female,0,0,32,<=50K
11,Husband,Male,0,0,40,>50K
9,Not-in-family,Male,0,0,99,<=50K
6,Husband,Male,0,0,40,<=50K
13,Unmarried,Male,0,0,45,>50K
6,Own-child,Male,0,0,30,<=50K
10,Not-in-family,Male,0,0,25,<=50K
9,Own-child,Male,0,0,50,<=50K
9,Husband,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,60,<=50K
6,Not-in-family,Male,0,0,48,<=50K
10,Unmarried,Female,0,0,15,<=50K
13,Unmarried,Female,0,0,40,<=50K
10,Husband,Male,0,0,40,>50K
9,Husband,Male,5178,0,40,>50K
13,Husband,Male,0,0,42,>50K
9,Husband,Male,0,0,40,>50K
10,Husband,Male,0,0,84,>50K
10,Wife,Female,0,0,44,<=50K
14,Not-in-family,Male,0,0,60,<=50K
6,Unmarried,Female,0,0,40,<=50K
11,Own-child,Female,0,0,40,<=50K
11,Husband,Male,0,0,70,>50K
10,Own-child,Male,0,0,40,<=50K
13,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
9,Own-child,Female,0,1602,20,<=50K
14,Not-in-family,Male,0,0,50,<=50K
13,Own-child,Male,0,1590,35,<=50K
10,Husband,Male,0,0,40,<=50K
13,Wife,Female,0,0,30,>50K
9,Not-in-family,Female,0,0,37,<=50K
9,Husband,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,40,<=50K
6,Husband,Male,0,0,40,>50K
13,Own-child,Female,0,0,20,<=50K
11,Husband,Male,0,0,36,>50K
10,Husband,Male,0,0,40,<=50K
10,Own-child,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,50,<=50K
15,Husband,Male,10605,0,10,>50K
9,Own-child,Female,0,0,40,<=50K
14,Husband,Male,0,0,37,>50K
10,Not-in-family,Male,0,0,40,<=50K
14,Husband,Male,0,0,40,>50K
14,Unmarried,Female,9562,0,40,>50K
9,Husband,Male,0,0,40,<=50K
9,Other-relative,Female,0,0,40,<=50K
13,Own-child,Female,0,0,40,<=50K
10,Not-in-family,Female,0,0,40,<=50K
10,Not-in-family,Male,0,0,80,<=50K
14,Not-in-family,Male,0,0,60,<=50K
11,Unmarried,Female,0,0,40,<=50K
13,Not-in-family,Female,0,0,40,<=50K
13,Own-child,Female,0,0,15,<=50K
10,Own-child,Male,0,0,25,<=50K
15,Husband,Male,99999,0,65,>50K
6,Husband,Male,2414,0,80,<=50K
9,Husband,Male,0,1672,45,<=50K
11,Wife,Female,0,0,20,<=50K
9,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,16,<=50K
9,Own-child,Female,0,0,40,<=50K
5,Husband,Male,0,0,40,<=50K
13,Other-relative,Male,0,0,50,<=50K
10,Husband,Male,0,0,40,<=50K
9,Other-relative,Male,0,0,40,<=50K
16,Husband,Male,15024,0,50,>50K
13,Husband,Male,0,0,40,>50K
8,Own-child,Male,0,0,27,<=50K
6,Husband,Male,4064,0,45,<=50K
13,Wife,Female,0,0,50,>50K
9,Husband,Male,0,0,40,<=50K
11,Not-in-family,Female,0,0,30,<=50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,38,>50K
9,Not-in-family,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,40,<=50K
10,Not-in-family,Male,3325,0,40,<=50K
14,Own-child,Female,2597,0,31,<=50K
10,Husband,Male,0,0,40,<=50K
12,Husband,Male,2829,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
12,Unmarried,Male,0,2258,38,>50K
10,Wife,Female,0,0,36,<=50K
9,Not-in-family,Male,0,0,60,<=50K
13,Husband,Male,99999,0,50,>50K
13,Husband,Male,7688,0,45,>50K
14,Husband,Male,99999,0,60,>50K
14,Husband,Male,0,0,38,<=50K
9,Other-relative,Male,0,0,50,<=50K
9,Husband,Male,0,0,80,<=50K
10,Wife,Female,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,20,<=50K
10,Unmarried,Female,0,0,40,<=50K
9,Husband,Male,0,0,65,>50K
10,Own-child,Female,0,0,35,<=50K
2,Husband,Male,0,0,40,<=50K
9,Own-child,Male,0,0,40,<=50K
13,Not-in-family,Male,0,0,40,>50K
13,Not-in-family,Female,0,0,50,<=50K
10,Own-child,Female,0,0,16,<=50K
9,Husband,Male,0,0,50,>50K
9,Not-in-family,Male,0,0,60,<=50K
13,Not-in-family,Female,0,0,45,>50K
11,Husband,Male,0,0,48,>50K
9,Unmarried,Female,0,0,40,<=50K
10,Not-in-family,Male,0,0,40,<=50K
4,Husband,Male,0,0,35,<=50K
10,Own-child,Male,0,0,60,<=50K
14,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,0,0,50,<=50K
13,Husband,Male,0,0,45,>50K
10,Own-child,Female,0,0,40,<=50K
14,Not-in-family,Female,0,0,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
9,Unmarried,Female,5455,0,40,<=50K
9,Husband,Male,0,0,40,>50K
9,Husband,Male,7688,0,40,>50K
1,Own-child,Male,0,0,32,<=50K
9,Husband,Male,0,0,60,<=50K
5,Husband,Male,0,0,40,<=50K
14,Husband,Male,0,0,33,>50K
10,Husband,Male,0,0,40,<=50K
16,Unmarried,Female,0,0,80,<=50K
13,Husband,Male,15024,0,48,>50K
12,Own-child,Male,0,0,15,<=50K
12,Husband,Male,0,0,45,<=50K
11,Own-child,Male,0,0,45,<=50K
9,Husband,Male,0,0,50,<=50K
9,Not-in-family,Female,0,0,38,<=50K
10,Own-child,Male,0,0,60,<=50K
10,Own-child,Female,0,1602,20,<=50K
9,Not-in-family,Female,4101,0,40,<=50K
9,Wife,Female,0,0,40,>50K
6,Husband,Male,0,0,40,>50K
9,Husband,Male,15024,0,40,>50K
9,Husband,Male,0,0,52,<=50K
9,Husband,Male,0,0,40,<=50K
4,Husband,Male,0,0,40,>50K
13,Husband,Male,15024,0,99,>50K
9,Own-child,Male,0,0,40,<=50K
10,Own-child,Male,0,1721,16,<=50K
12,Not-in-family,Female,0,0,40,<=50K
11,Not-in-family,Male,0,0,40,>50K
9,Not-in-family,Female,0,0,35,>50K
10,Not-in-family,Male,0,0,38,<=50K
13,Own-child,Female,0,0,12,<=50K
9,Not-in-family,Male,0,0,40,<=50K
7,Other-relative,Male,0,0,40,<=50K
15,Husband,Male,20051,0,72,>50K
13,Not-in-family,Female,0,0,50,<=50K
13,Husband,Male,3137,0,40,<=50K
16,Not-in-family,Male,0,0,40,>50K
9,Unmarried,Female,0,0,40,<=50K
6,Wife,Female,0,0,50,<=50K
12,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,60,>50K
10,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,7688,0,50,>50K
10,Own-child,Male,0,0,40,<=50K
4,Husband,Male,0,0,19,<=50K
9,Wife,Female,0,0,30,<=50K
15,Not-in-family,Male,0,0,60,<=50K
4,Husband,Male,0,2179,40,<=50K
9,Not-in-family,Female,0,0,9,<=50K
9,Husband,Male,0,0,90,<=50K
9,Unmarried,Female,0,0,40,>50K
9,Husband,Male,0,0,75,>50K
13,Husband,Male,4386,0,50,>50K
9,Husband,Male,0,0,50,>50K
10,Own-child,Male,0,0,20,<=50K
9,Husband,Male,0,0,60,>50K
13,Husband,Male,6418,0,45,>50K
13,Own-child,Female,0,0,40,<=50K
14,Not-in-family,Female,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
13,Own-child,Male,0,0,30,<=50K
10,Not-in-family,Female,0,0,40,<=50K
13,Husband,Male,5178,0,40,>50K
13,Not-in-family,Female,0,0,40,<=50K
7,Own-child,Male,0,0,16,<=50K
5,Unmarried,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,52,<=50K
9,Wife,Female,0,0,40,<=50K
12,Not-in-family,Female,0,0,47,<=50K
10,Own-child,Male,0,0,30,<=50K
10,Unmarried,Female,0,0,40,<=50K
10,Not-in-family,Female,0,0,6,<=50K
13,Not-in-family,Female,0,0,6,<=50K
9,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,35,<=50K
14,Husband,Male,0,0,15,<=50K
10,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
9,Not-in-family,Female,0,0,12,<=50K
9,Husband,Male,15024,0,60,>50K
6,Own-child,Female,0,0,10,<=50K
9,Husband,Male,0,0,40,>50K
13,Not-in-family,Male,0,0,55,>50K
13,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
6,Not-in-family,Male,0,0,45,<=50K
10,Unmarried,Female,0,0,41,<=50K
14,Husband,Male,0,0,55,>50K
9,Not-in-family,Male,0,0,50,<=50K
13,Husband,Male,0,0,40,>50K
9,Wife,Female,0,0,40,<=50K
12,Unmarried,Male,0,0,40,<=50K
7,Unmarried,Male,0,0,40,<=50K
9,Own-child,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,>50K
9,Own-child,Male,0,0,40,<=50K
8,Unmarried,Female,0,0,35,<=50K
9,Wife,Female,7688,0,35,>50K
9,Own-child,Female,0,0,40,<=50K
9,Not-in-family,Male,10520,0,40,>50K
10,Unmarried,Female,0,0,40,<=50K
9,Own-child,Male,0,0,11,<=50K
9,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
13,Husband,Male,0,0,40,>50K
4,Own-child,Male,0,0,75,<=50K
14,Husband,Male,0,0,40,<=50K
15,Husband,Male,0,1977,60,>50K
3,Not-in-family,Female,0,0,40,<=50K
14,Husband,Male,0,0,38,>50K
2,Husband,Male,0,0,40,<=50K
2,Husband,Male,0,0,20,<=50K
4,Husband,Male,0,0,40,<=50K
10,Not-in-family,Male,0,0,40,<=50K
9,Unmarried,Male,0,0,50,<=50K
10,Own-child,Female,0,0,20,<=50K
10,Unmarried,Female,0,0,70,<=50K
6,Wife,Female,0,0,35,<=50K
14,Not-in-family,Female,0,0,25,<=50K
13,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,41,>50K
10,Husband,Male,0,0,60,<=50K
6,Not-in-family,Female,0,0,28,<=50K
9,Husband,Male,0,0,40,<=50K
10,Own-child,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
10,Unmarried,Female,0,0,40,<=50K
9,Not-in-family,Female,0,0,50,<=50K
9,Husband,Male,0,1672,50,<=50K
10,Own-child,Female,0,0,20,<=50K
13,Not-in-family,Male,0,0,50,<=50K
16,Not-in-family,Male,0,0,36,>50K
13,Husband,Male,0,0,45,>50K
10,Not-in-family,Male,0,0,45,<=50K
13,Husband,Male,0,1902,40,>50K
9,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,55,>50K
9,Unmarried,Female,0,0,40,<=50K
10,Not-in-family,Female,0,0,30,<=50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,60,>50K
13,Husband,Male,0,0,35,>50K
9,Unmarried,Female,0,0,20,<=50K
13,Not-in-family,Male,0,0,35,<=50K
13,Not-in-family,Female,0,0,50,<=50K
13,Own-child,Male,0,0,30,<=50K
9,Husband,Male,0,0,55,<=50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,50,<=50K
11,Husband,Male,0,0,40,>50K
13,Wife,Female,0,0,50,>50K
13,Husband,Male,0,0,50,<=50K
9,Not-in-family,Male,0,0,42,<=50K
10,Own-child,Female,0,0,15,<=50K
10,Own-child,Male,0,0,20,<=50K
4,Husband,Male,0,0,10,<=50K
10,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,50,<=50K
10,Husband,Male,0,0,40,>50K
10,Husband,Male,0,0,58,<=50K
10,Not-in-family,Male,0,0,50,<=50K
12,Husband,Male,0,0,50,>50K
10,Not-in-family,Male,0,0,30,<=50K
11,Unmarried,Female,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,58,<=50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,50,<=50K
4,Unmarried,Female,0,0,40,<=50K
10,Not-in-family,Female,0,0,40,<=50K
11,Not-in-family,Female,0,0,40,<=50K
13,Not-in-family,Female,0,0,40,<=50K
10,Unmarried,Female,0,0,45,<=50K
9,Husband,Male,0,0,40,>50K
13,Husband,Male,0,0,30,<=50K
11,Husband,Male,0,0,50,>50K
10,Wife,Female,0,0,55,>50K
9,Husband,Male,0,0,72,<=50K
10,Husband,Male,0,0,50,<=50K
9,Husband,Male,4064,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
10,Unmarried,Female,0,0,40,<=50K
13,Husband,Male,0,0,30,<=50K
15,Wife,Female,15024,0,50,>50K
9,Not-in-family,Female,0,4356,40,<=50K
13,Not-in-family,Female,0,0,30,<=50K
9,Not-in-family,Female,0,0,40,<=50K
11,Husband,Male,3103,0,48,>50K
13,Husband,Male,0,0,50,>50K
5,Not-in-family,Male,0,0,25,<=50K
10,Own-child,Male,0,0,43,<=50K
10,Not-in-family,Male,0,0,45,<=50K
11,Husband,Male,0,0,40,<=50K
9,Not-in-family,Female,0,0,40,>50K
13,Husband,Male,9386,0,15,>50K
9,Unmarried,Female,0,0,35,<=50K
9,Husband,Male,0,0,40,>50K
6,Other-relative,Male,0,0,40,<=50K
10,Husband,Male,0,0,45,>50K
3,Husband,Male,0,0,40,<=50K
15,Not-in-family,Female,0,0,60,>50K
7,Husband,Male,0,0,65,<=50K
14,Husband,Male,0,0,65,>50K
9,Husband,Male,0,0,43,>50K
3,Husband,Male,0,0,45,<=50K
10,Not-in-family,Female,4101,0,40,<=50K
11,Unmarried,Female,0,0,40,<=50K
10,Husband,Male,0,0,35,<=50K
9,Husband,Male,3908,0,40,<=50K
15,Husband,Male,0,1977,60,>50K
13,Unmarried,Male,0,0,44,>50K
9,Husband,Male,0,0,60,<=50K
9,Wife,Female,0,0,40,<=50K
10,Own-child,Male,0,0,20,<=50K
11,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,>50K
3,Not-in-family,Male,0,0,25,<=50K
10,Not-in-family,Male,0,0,40,<=50K
7,Unmarried,Female,0,0,38,<=50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,48,<=50K
2,Husband,Male,0,2179,18,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,48,<=50K
12,Unmarried,Female,0,0,36,<=50K
10,Husband,Male,0,0,40,>50K
13,Husband,Male,0,0,40,>50K
6,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,45,>50K
16,Own-child,Male,0,0,40,<=50K
10,Own-child,Female,0,0,20,<=50K
9,Other-relative,Male,0,0,40,<=50K
10,Other-relative,Female,0,0,40,<=50K
15,Not-in-family,Female,0,1564,55,>50K
9,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
13,Husband,Male,7688,0,45,>50K
10,Not-in-family,Female,0,0,40,>50K
2,Unmarried,Male,0,0,40,<=50K
4,Husband,Male,0,0,48,<=50K
10,Not-in-family,Male,0,0,30,<=50K
13,Husband,Male,0,0,60,>50K
9,Husband,Male,0,0,50,>50K
10,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,45,>50K
7,Husband,Male,0,0,42,<=50K
11,Husband,Male,0,0,40,>50K
10,Husband,Male,0,0,50,<=50K
13,Husband,Male,0,0,8,<=50K
10,Husband,Male,0,0,50,>50K
9,Husband,Male,0,0,15,<=50K
9,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,65,<=50K
10,Husband,Male,0,0,40,>50K
9,Not-in-family,Female,0,0,30,<=50K
6,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,25,<=50K
10,Own-child,Male,0,0,35,<=50K
9,Husband,Male,0,0,44,>50K
9,Own-child,Female,0,0,22,<=50K
13,Own-child,Female,0,1408,40,<=50K
13,Husband,Male,15024,0,40,>50K
9,Not-in-family,Female,0,0,48,<=50K
10,Own-child,Female,0,0,40,<=50K
11,Own-child,Male,0,0,40,<=50K
13,Own-child,Female,0,0,40,<=50K
3,Husband,Male,0,0,35,<=50K
11,Not-in-family,Female,0,0,35,<=50K
8,Own-child,Male,0,0,50,<=50K
9,Unmarried,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,>50K
13,Own-child,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,32,<=50K
9,Not-in-family,Female,0,0,55,<=50K
9,Own-child,Male,0,0,40,<=50K
13,Not-in-family,Female,0,0,8,<=50K
5,Not-in-family,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,<=50K
10,Own-child,Female,0,0,80,<=50K
15,Husband,Male,15024,0,50,>50K
10,Husband,Male,7298,0,40,>50K
9,Own-child,Female,0,0,40,<=50K
15,Husband,Male,7688,0,60,>50K
13,Husband,Male,0,0,40,>50K
15,Not-in-family,Male,0,0,60,<=50K
9,Husband,Male,0,0,40,<=50K
11,Husband,Male,0,0,40,>50K
5,Other-relative,Female,0,0,45,<=50K
9,Not-in-family,Male,0,0,40,<=50K
8,Not-in-family,Female,0,0,40,<=50K
13,Husband,Male,0,0,45,>50K
9,Husband,Male,0,0,40,<=50K
13,Husband,Male,7298,0,50,>50K
10,Not-in-family,Female,0,0,40,<=50K
11,Husband,Male,0,0,20,<=50K
9,Husband,Male,0,0,60,<=50K
11,Own-child,Female,0,0,60,<=50K
10,Own-child,Female,0,0,48,<=50K
12,Not-in-family,Male,0,0,40,<=50K
13,Husband,Male,0,0,60,>50K
6,Own-child,Male,0,0,40,<=50K
11,Other-relative,Male,0,0,40,<=50K
9,Not-in-family,Female,0,0,40,<=50K
9,Husband,Male,0,0,24,<=50K
13,Not-in-family,Male,0,0,45,>50K
11,Husband,Male,0,0,40,<=50K
10,Not-in-family,Male,0,1590,40,<=50K
9,Husband,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,45,<=50K
6,Unmarried,Female,0,0,40,<=50K
14,Husband,Male,0,0,40,>50K
9,Unmarried,Male,0,0,40,<=50K
10,Husband,Male,0,0,50,>50K
6,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,<=50K
7,Husband,Male,0,0,40,<=50K
14,Not-in-family,Female,0,0,40,<=50K
13,Not-in-family,Male,0,0,40,<=50K
6,Husband,Male,0,0,50,<=50K
9,Not-in-family,Male,0,0,40,<=50K
12,Wife,Female,0,0,40,>50K
10,Unmarried,Female,0,0,40,<=50K
10,Not-in-family,Female,0,0,20,<=50K
13,Not-in-family,Male,0,0,40,<=50K
14,Husband,Male,0,0,50,>50K
4,Other-relative,Female,0,0,16,<=50K
9,Husband,Male,0,0,40,<=50K
14,Husband,Male,4386,0,45,>50K
13,Not-in-family,Male,0,0,40,<=50K
13,Not-in-family,Female,0,0,40,<=50K
10,Own-child,Male,0,0,10,<=50K
10,Not-in-family,Male,0,0,50,<=50K
10,Husband,Male,0,0,40,>50K
10,Other-relative,Male,0,0,40,<=50K
13,Not-in-family,Male,3325,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
10,Own-child,Female,0,0,50,<=50K
6,Other-relative,Male,0,0,40,<=50K
14,Own-child,Female,0,0,40,<=50K
9,Not-in-family,Male,0,0,40,<=50K
7,Husband,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,94,<=50K
10,Own-child,Male,0,0,35,<=50K
16,Husband,Male,20051,0,55,>50K
6,Unmarried,Male,0,0,50,<=50K
9,Unmarried,Female,0,0,30,<=50K
10,Husband,Male,0,1485,40,>50K
14,Husband,Male,0,0,50,>50K
14,Unmarried,Male,0,0,60,>50K
10,Not-in-family,Male,0,0,40,<=50K
10,Own-child,Female,0,0,20,<=50K
9,Husband,Male,0,0,50,>50K
3,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,4064,0,40,<=50K
7,Husband,Male,0,0,26,<=50K
13,Husband,Male,0,0,15,<=50K
11,Not-in-family,Female,0,0,40,<=50K
14,Husband,Male,9386,0,6,>50K
6,Unmarried,Female,0,0,35,<=50K
9,Husband,Male,0,2174,40,>50K
4,Husband,Male,0,0,48,<=50K
13,Husband,Male,0,0,40,<=50K
15,Not-in-family,Male,10520,0,40,>50K
14,Husband,Male,0,0,55,>50K
6,Other-relative,Female,0,0,1,<=50K
9,Not-in-family,Female,0,0,40,<=50K
9,Own-child,Female,4101,0,40,<=50K
9,Husband,Male,0,0,40,>50K
9,Not-in-family,Female,0,1721,30,<=50K
9,Husband,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,20,<=50K
9,Not-in-family,Male,0,0,40,<=50K
9,Not-in-family,Male,0,0,30,<=50K
10,Wife,Female,0,0,36,<=50K
9,Not-in-family,Female,0,0,30,<=50K
7,Husband,Male,0,0,55,<=50K
9,Not-in-family,Male,3325,0,60,<=50K
9,Husband,Male,0,0,70,<=50K
10,Wife,Female,0,0,15,<=50K
13,Not-in-family,Female,0,0,40,<=50K
14,Not-in-family,Female,0,0,40,<=50K
13,Husband,Male,1455,0,6,<=50K
9,Wife,Female,0,0,40,>50K
13,Husband,Male,0,1902,40,>50K
11,Not-in-family,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,40,>50K
10,Husband,Male,0,0,40,<=50K
10,Own-child,Male,0,0,20,<=50K
10,Own-child,Female,0,0,10,<=50K
10,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,1887,40,>50K
10,Own-child,Female,0,0,15,<=50K
7,Unmarried,Female,0,0,45,<=50K
10,Own-child,Female,0,0,38,<=50K
11,Husband,Male,0,0,40,>50K
13,Not-in-family,Male,0,0,40,<=50K
13,Husband,Male,0,0,60,>50K
9,Husband,Male,0,0,44,>50K
14,Not-in-family,Female,0,0,40,<=50K
10,Husband,Male,0,0,48,>50K
7,Other-relative,Male,0,0,30,<=50K
13,Husband,Male,99999,0,50,>50K
11,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,0,0,50,<=50K
10,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
13,Not-in-family,Male,4101,0,35,<=50K
10,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
10,Husband,Male,0,0,45,<=50K
10,Unmarried,Male,0,0,40,<=50K
16,Husband,Male,0,0,50,>50K
13,Not-in-family,Male,0,0,39,<=50K
9,Not-in-family,Male,0,0,40,<=50K
13,Husband,Male,0,0,36,>50K
13,Husband,Male,0,1977,40,>50K
15,Husband,Male,0,0,75,>50K
4,Husband,Male,0,0,40,>50K
13,Wife,Female,0,0,24,<=50K
9,Unmarried,Female,0,0,40,<=50K
12,Not-in-family,Female,0,0,40,<=50K
13,Husband,Male,0,0,50,>50K
9,Husband,Male,0,0,50,>50K
4,Other-relative,Female,0,0,45,<=50K
9,Not-in-family,Female,0,0,40,<=50K
9,Own-child,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
14,Wife,Female,0,0,30,>50K
11,Own-child,Female,7688,0,50,>50K
9,Not-in-family,Male,0,0,40,<=50K
9,Husband,Male,0,0,40,>50K
13,Own-child,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,15,<=50K
13,Husband,Male,0,0,45,>50K
13,Husband,Male,0,1902,40,>50K
9,Unmarried,Female,0,0,55,<=50K
9,Not-in-family,Female,0,0,40,<=50K
7,Not-in-family,Male,0,0,40,<=50K
9,Not-in-family,Female,0,0,40,<=50K
9,Other-relative,Male,0,0,50,<=50K
7,Husband,Male,0,0,40,<=50K
12,Husband,Male,0,2002,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
14,Not-in-family,Female,27828,0,35,>50K
13,Husband,Male,99999,0,40,>50K
9,Husband,Male,0,0,50,<=50K
6,Unmarried,Female,0,0,40,<=50K
4,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,40,<=50K
13,Not-in-family,Female,0,0,50,<=50K
10,Husband,Male,0,1977,60,>50K
10,Not-in-family,Male,0,0,40,<=50K
13,Husband,Male,0,1902,50,>50K
9,Unmarried,Female,0,0,40,<=50K
8,Own-child,Female,1055,0,40,<=50K
9,Own-child,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,>50K
13,Husband,Male,7688,0,55,>50K
10,Other-relative,Female,0,0,18,<=50K
12,Not-in-family,Female,10520,0,50,>50K
10,Husband,Male,9386,0,30,>50K
9,Husband,Male,0,0,40,<=50K
9,Husband,Male,7298,0,40,>50K
10,Unmarried,Female,0,0,45,<=50K
9,Wife,Female,0,0,16,<=50K
9,Own-child,Male,0,0,45,<=50K
13,Unmarried,Male,0,0,25,<=50K
3,Husband,Male,0,1579,40,<=50K
9,Not-in-family,Female,0,0,40,<=50K
10,Husband,Male,0,0,40,>50K
13,Not-in-family,Male,0,0,45,<=50K
9,Husband,Male,0,0,40,<=50K
9,Own-child,Male,0,0,20,<=50K
7,Unmarried,Female,0,0,40,<=50K
6,Husband,Male,0,0,40,<=50K
9,Husband,Male,0,0,50,<=50K
6,Not-in-family,Female,0,0,60,<=50K
9,Unmarried,Female,0,0,40,<=50K
14,Not-in-family,Male,0,0,40,<=50K
8,Own-child,Male,0,0,12,<=50K
9,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,48,<=50K
7,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,40,>50K
9,Husband,Male,0,0,45,>50K
9,Husband,Male,0,0,40,<=50K
9,Own-child,Male,0,0,40,<=50K
10,Own-child,Female,0,0,40,<=50K
13,Husband,Male,0,0,50,>50K
13,Husband,Male,0,0,40,>50K
10,Not-in-family,Male,0,1602,10,<=50K
14,Husband,Male,0,0,50,<=50K
13,Not-in-family,Female,0,0,40,<=50K
13,Not-in-family,Female,0,0,40,<=50K
9,Wife,Female,4386,0,40,>50K
10,Husband,Male,0,0,40,<=50K
4,Unmarried,Female,0,0,40,<=50K
9,Husband,Male,0,0,40,<=50K
6,Not-in-family,Male,0,0,40,<=50K
10,Husband,Male,0,0,60,<=50K
3,Husband,Male,0,0,51,<=50K
9,Not-in-family,Female,0,0,40,<=50K
13,Not-in-family,Female,0,0,50,<=50K
9,Husband,Male,0,0,40,<=50K
12,Not-in-family,Female,0,0,50,<=50K
7,Wife,Female,3908,0,28,<=50K
9,Unmarried,Female,0,0,32,<=50K
4,Husband,Male,0,1672,55,<=50K
10,Own-child,Male,0,0,60,<=50K
9,Not-in-family,Female,0,0,40,<=50K
13,Not-in-family,Male,0,0,70,<=50K
12,Husband,Male,0,0,40,<=50K
10,Not-in-family,Female,0,0,36,<=50K
13,Not-in-family,Male,0,0,40,<=50K
13,Husband,Male,0,0,40,<=50K
9,Unmarried,Female,0,0,40,<=50K
10,Own-child,Male,0,0,24,<=50K
13,Husband,Male,0,0,40,<=50K
13,Husband,Male,0,0,8,<=50K
9,Other-relative,Male,0,0,20,<=50K
