A,F,H,J
37,Married-civ-spouse,Husband,Male
53,Divorced,Not-in-family,Female
44,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Female
17,Never-married,Own-child,Female
19,Never-married,Own-child,Male
53,Married-civ-spouse,Wife,Female
44,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Wife,Female
35,Married-civ-spouse,Husband,Male
44,Divorced,Not-in-family,Male
54,Married-civ-spouse,Husband,Male
37,Divorced,Unmarried,Female
18,Never-married,Own-child,Female
24,Married-civ-spouse,Husband,Male
29,Divorced,Not-in-family,Female
22,Divorced,Not-in-family,Female
35,Never-married,Not-in-family,Male
56,Married-civ-spouse,Husband,Male
32,Widowed,Not-in-family,Female
24,Never-married,Not-in-family,Male
43,Married-civ-spouse,Husband,Male
73,Widowed,Other-relative,Female
47,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
31,Married-civ-spouse,Husband,Male
39,Divorced,Unmarried,Female
42,Divorced,Not-in-family,Female
41,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
31,Divorced,Not-in-family,Female
51,Married-civ-spouse,Husband,Male
38,Divorced,Not-in-family,Male
40,Married-civ-spouse,Husband,Male
21,Never-married,Not-in-family,Female
44,Divorced,Not-in-family,Male
55,Married-civ-spouse,Husband,Male
29,Divorced,Not-in-family,Male
49,Married-civ-spouse,Wife,Female
31,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Male
46,Never-married,Not-in-family,Male
26,Never-married,Not-in-family,Male
35,Never-married,Not-in-family,Male
27,Never-married,Not-in-family,Male
64,Married-civ-spouse,Husband,Male
26,Never-married,Other-relative,Male
21,Never-married,Not-in-family,Female
45,Divorced,Not-in-family,Male
57,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Wife,Female
50,Divorced,Not-in-family,Female
38,Never-married,Own-child,Female
43,Married-civ-spouse,Husband,Male
42,Widowed,Not-in-family,Female
32,Never-married,Own-child,Male
20,Never-married,Not-in-family,Female
27,Never-married,Not-in-family,Female
45,Widowed,Unmarried,Female
40,Never-married,Not-in-family,Female
38,Divorced,Not-in-family,Male
37,Divorced,Unmarried,Female
60,Divorced,Not-in-family,Female
53,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Own-child,Female
47,Divorced,Not-in-family,Male
40,Never-married,Not-in-family,Male
51,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
42,Married-civ-spouse,Wife,Female
65,Married-civ-spouse,Husband,Male
41,Divorced,Unmarried,Female
28,Never-married,Own-child,Male
46,Divorced,Not-in-family,Female
49,Married-civ-spouse,Wife,Female
24,Never-married,Other-relative,Male
32,Married-civ-spouse,Husband,Male
71,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
29,Married-spouse-absent,Not-in-family,Male
50,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Female
49,Married-civ-spouse,Wife,Female
31,Married-civ-spouse,Husband,Male
23,Married-civ-spouse,Husband,Male
59,Widowed,Unmarried,Male
17,Never-married,Own-child,Male
43,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
29,Never-married,Own-child,Male
39,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Male
42,Married-spouse-absent,Not-in-family,Female
35,Married-civ-spouse,Wife,Female
39,Married-civ-spouse,Husband,Male
40,Divorced,Unmarried,Female
66,Married-spouse-absent,Unmarried,Female
30,Married-civ-spouse,Husband,Male
43,Divorced,Not-in-family,Male
47,Never-married,Unmarried,Female
45,Never-married,Not-in-family,Female
31,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
32,Never-married,Not-in-family,Male
28,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
63,Divorced,Not-in-family,Female
28,Married-civ-spouse,Husband,Male
38,Widowed,Unmarried,Female
52,Divorced,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
41,Never-married,Not-in-family,Male
50,Never-married,Not-in-family,Male
59,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
73,Married-civ-spouse,Husband,Male
52,Divorced,Unmarried,Male
57,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
22,Widowed,Own-child,Female
49,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
46,Married-civ-spouse,Husband,Male
48,Divorced,Unmarried,Female
52,Married-civ-spouse,Husband,Male
43,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Male
19,Never-married,Own-child,Male
19,Never-married,Own-child,Male
51,Married-civ-spouse,Husband,Male
51,Divorced,Unmarried,Male
22,Never-married,Unmarried,Female
37,Divorced,Unmarried,Female
19,Never-married,Own-child,Female
45,Divorced,Unmarried,Female
21,Never-married,Own-child,Male
52,Widowed,Not-in-family,Female
46,Married-civ-spouse,Husband,Male
42,Divorced,Not-in-family,Female
56,Never-married,Not-in-family,Male
23,Never-married,Not-in-family,Female
58,Married-civ-spouse,Husband,Male
70,Married-civ-spouse,Husband,Male
30,Divorced,Unmarried,Male
45,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Wife,Female
24,Married-civ-spouse,Husband,Male
53,Never-married,Not-in-family,Male
45,Never-married,Not-in-family,Male
21,Never-married,Own-child,Female
21,Never-married,Own-child,Female
34,Never-married,Not-in-family,Female
32,Married-civ-spouse,Husband,Male
21,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
28,Divorced,Unmarried,Male
29,Never-married,Unmarried,Male
25,Never-married,Own-child,Female
44,Never-married,Not-in-family,Female
18,Never-married,Own-child,Female
26,Never-married,Own-child,Male
47,Married-civ-spouse,Wife,Female
23,Divorced,Not-in-family,Male
46,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
25,Never-married,Other-relative,Male
38,Married-civ-spouse,Husband,Male
60,Married-spouse-absent,Unmarried,Female
23,Never-married,Not-in-family,Male
36,Divorced,Not-in-family,Female
46,Divorced,Not-in-family,Male
32,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
31,Never-married,Own-child,Male
31,Married-civ-spouse,Husband,Male
32,Never-married,Not-in-family,Male
21,Never-married,Own-child,Male
63,Married-civ-spouse,Husband,Male
44,Separated,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
30,Divorced,Not-in-family,Female
24,Never-married,Unmarried,Male
42,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Wife,Female
27,Never-married,Not-in-family,Male
27,Never-married,Unmarried,Male
22,Never-married,Not-in-family,Female
68,Never-married,Not-in-family,Female
55,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
25,Married-civ-spouse,Wife,Female
68,Married-civ-spouse,Husband,Male
62,Widowed,Not-in-family,Female
26,Divorced,Other-relative,Male
34,Married-civ-spouse,Husband,Male
68,Widowed,Not-in-family,Male
42,Separated,Not-in-family,Male
45,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
25,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
29,Never-married,Not-in-family,Male
65,Widowed,Unmarried,Female
31,Never-married,Not-in-family,Male
26,Never-married,Not-in-family,Female
39,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
45,Divorced,Unmarried,Female
26,Never-married,Not-in-family,Female
26,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
39,Never-married,Unmarried,Male
52,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
41,Divorced,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Male
35,Never-married,Not-in-family,Female
32,Separated,Unmarried,Female
38,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
21,Never-married,Own-child,Female
27,Never-married,Own-child,Female
30,Never-married,Not-in-family,Male
30,Never-married,Not-in-family,Male
45,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
57,Never-married,Not-in-family,Male
43,Divorced,Not-in-family,Male
50,Married-civ-spouse,Own-child,Female
28,Married-civ-spouse,Other-relative,Female
25,Married-civ-spouse,Other-relative,Female
25,Married-civ-spouse,Husband,Male
90,Married-civ-spouse,Husband,Male
38,Separated,Unmarried,Male
35,Married-spouse-absent,Unmarried,Female
50,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Female
39,Married-civ-spouse,Husband,Male
56,Married-civ-spouse,Husband,Male
24,Divorced,Unmarried,Female
46,Married-civ-spouse,Wife,Female
18,Never-married,Other-relative,Female
37,Married-civ-spouse,Husband,Male
57,Divorced,Not-in-family,Female
43,Never-married,Unmarried,Female
29,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
77,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Male
21,Married-civ-spouse,Husband,Male
66,Married-civ-spouse,Husband,Male
40,Never-married,Own-child,Male
68,Married-civ-spouse,Husband,Male
64,Widowed,Not-in-family,Female
26,Never-married,Not-in-family,Female
32,Married-civ-spouse,Husband,Male
32,Never-married,Own-child,Male
51,Married-civ-spouse,Husband,Male
50,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
28,Never-married,Unmarried,Male
29,Divorced,Unmarried,Female
21,Never-married,Own-child,Male
28,Never-married,Unmarried,Female
55,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Male
31,Separated,Not-in-family,Male
26,Never-married,Not-in-family,Male
30,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
40,Married-spouse-absent,Not-in-family,Male
23,Never-married,Not-in-family,Male
35,Never-married,Not-in-family,Female
48,Married-civ-spouse,Husband,Male
39,Divorced,Own-child,Male
53,Divorced,Not-in-family,Female
49,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Female
36,Married-civ-spouse,Husband,Male
60,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
54,Married-civ-spouse,Husband,Male
28,Married-AF-spouse,Wife,Female
34,Married-civ-spouse,Husband,Male
30,Never-married,Not-in-family,Female
19,Never-married,Not-in-family,Female
26,Never-married,Not-in-family,Male
47,Never-married,Not-in-family,Male
50,Divorced,Unmarried,Male
30,Never-married,Unmarried,Female
44,Divorced,Not-in-family,Male
49,Married-civ-spouse,Husband,Male
75,Married-spouse-absent,Not-in-family,Female
37,Married-civ-spouse,Husband,Male
51,Divorced,Unmarried,Male
35,Never-married,Unmarried,Male
28,Never-married,Other-relative,Female
66,Married-civ-spouse,Husband,Male
72,Married-civ-spouse,Wife,Female
39,Separated,Not-in-family,Male
27,Never-married,Own-child,Male
57,Never-married,Other-relative,Female
24,Married-civ-spouse,Husband,Male
28,Never-married,Own-child,Male
23,Married-spouse-absent,Not-in-family,Female
31,Never-married,Not-in-family,Female
23,Never-married,Own-child,Female
31,Never-married,Not-in-family,Female
27,Never-married,Not-in-family,Female
30,Married-civ-spouse,Husband,Male
31,Never-married,Not-in-family,Female
34,Never-married,Not-in-family,Male
57,Never-married,Not-in-family,Male
39,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
24,Married-civ-spouse,Wife,Female
36,Never-married,Not-in-family,Male
32,Divorced,Other-relative,Male
35,Divorced,Own-child,Female
36,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Female
47,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Male
44,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Wife,Female
63,Married-civ-spouse,Wife,Female
34,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Own-child,Male
23,Separated,Unmarried,Female
19,Never-married,Other-relative,Female
50,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
23,Never-married,Unmarried,Male
61,Widowed,Unmarried,Female
41,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Husband,Male
53,Divorced,Not-in-family,Male
17,Never-married,Own-child,Male
23,Never-married,Not-in-family,Male
53,Never-married,Not-in-family,Male
28,Married-civ-spouse,Husband,Male
24,Married-spouse-absent,Own-child,Female
22,Never-married,Not-in-family,Female
53,Married-civ-spouse,Husband,Male
18,Never-married,Other-relative,Male
24,Never-married,Unmarried,Male
20,Never-married,Not-in-family,Female
30,Married-civ-spouse,Husband,Male
37,Never-married,Not-in-family,Male
34,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Male
20,Never-married,Own-child,Female
47,Divorced,Not-in-family,Female
20,Never-married,Own-child,Male
22,Never-married,Own-child,Female
42,Married-civ-spouse,Husband,Male
60,Divorced,Not-in-family,Female
32,Never-married,Unmarried,Female
46,Married-civ-spouse,Husband,Male
66,Widowed,Not-in-family,Female
37,Married-civ-spouse,Wife,Female
34,Divorced,Own-child,Male
45,Never-married,Not-in-family,Male
35,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Male
51,Divorced,Unmarried,Female
25,Never-married,Own-child,Male
19,Never-married,Own-child,Male
47,Married-civ-spouse,Husband,Male
59,Separated,Unmarried,Female
34,Married-civ-spouse,Husband,Male
40,Separated,Unmarried,Female
42,Divorced,Not-in-family,Male
28,Married-civ-spouse,Wife,Female
37,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Male
31,Married-civ-spouse,Wife,Female
37,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
29,Never-married,Not-in-family,Male
35,Divorced,Not-in-family,Male
51,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
49,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
56,Divorced,Not-in-family,Female
52,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
47,Divorced,Not-in-family,Female
52,Married-civ-spouse,Husband,Male
30,Divorced,Unmarried,Female
43,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
17,Never-married,Own-child,Male
42,Married-civ-spouse,Husband,Male
26,Married-spouse-absent,Other-relative,Female
58,Married-civ-spouse,Husband,Male
66,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
46,Separated,Unmarried,Female
45,Married-civ-spouse,Wife,Female
57,Never-married,Unmarried,Female
25,Never-married,Own-child,Male
21,Never-married,Own-child,Female
37,Divorced,Not-in-family,Male
45,Divorced,Not-in-family,Female
61,Widowed,Not-in-family,Female
39,Never-married,Own-child,Male
42,Married-civ-spouse,Wife,Female
20,Never-married,Own-child,Female
23,Never-married,Own-child,Male
25,Never-married,Own-child,Male
47,Never-married,Own-child,Female
24,Never-married,Own-child,Male
20,Never-married,Own-child,Female
35,Never-married,Not-in-family,Male
44,Married-civ-spouse,Wife,Female
47,Married-civ-spouse,Husband,Male
28,Separated,Unmarried,Female
41,Divorced,Unmarried,Female
31,Never-married,Not-in-family,Female
27,Never-married,Not-in-family,Female
47,Married-civ-spouse,Husband,Male
44,Never-married,Not-in-family,Female
61,Never-married,Not-in-family,Female
42,Divorced,Other-relative,Female
46,Never-married,Not-in-family,Female
46,Married-civ-spouse,Husband,Male
54,Widowed,Unmarried,Female
49,Widowed,Unmarried,Male
56,Widowed,Unmarried,Female
52,Divorced,Own-child,Female
34,Married-civ-spouse,Husband,Male
25,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Female
58,Married-civ-spouse,Husband,Male
31,Divorced,Not-in-family,Male
29,Married-civ-spouse,Husband,Male
28,Never-married,Not-in-family,Male
30,Never-married,Not-in-family,Male
21,Never-married,Own-child,Male
44,Married-civ-spouse,Husband,Male
75,Widowed,Not-in-family,Female
66,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Husband,Male
41,Married-civ-spouse,Husband,Male
21,Never-married,Not-in-family,Female
17,Never-married,Own-child,Male
61,Married-civ-spouse,Husband,Male
47,Married-civ-spouse,Wife,Female
22,Never-married,Own-child,Female
47,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
32,Divorced,Unmarried,Male
59,Separated,Not-in-family,Female
38,Married-civ-spouse,Husband,Male
33,Separated,Own-child,Female
41,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Wife,Female
60,Married-civ-spouse,Husband,Male
64,Divorced,Not-in-family,Female
37,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Wife,Female
34,Married-civ-spouse,Husband,Male
41,Divorced,Unmarried,Male
35,Married-civ-spouse,Husband,Male
63,Married-civ-spouse,Husband,Male
46,Divorced,Other-relative,Male
47,Divorced,Not-in-family,Male
24,Never-married,Not-in-family,Male
29,Never-married,Not-in-family,Male
74,Widowed,Not-in-family,Female
50,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Female
48,Separated,Own-child,Female
30,Married-civ-spouse,Other-relative,Male
32,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
49,Married-civ-spouse,Husband,Male
25,Never-married,Own-child,Female
50,Married-civ-spouse,Wife,Female
44,Married-civ-spouse,Husband,Male
65,Married-civ-spouse,Husband,Male
28,Married-civ-spouse,Husband,Male
55,Widowed,Unmarried,Female
49,Never-married,Own-child,Female
31,Separated,Unmarried,Female
47,Married-civ-spouse,Wife,Female
45,Married-civ-spouse,Husband,Male
35,Never-married,Not-in-family,Female
34,Married-civ-spouse,Husband,Male
49,Widowed,Not-in-family,Male
39,Divorced,Not-in-family,Female
27,Never-married,Not-in-family,Female
42,Married-civ-spouse,Husband,Male
60,Married-civ-spouse,Husband,Male
64,Never-married,Not-in-family,Male
33,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
34,Never-married,Unmarried,Female
53,Divorced,Not-in-family,Female
22,Never-married,Not-in-family,Male
57,Separated,Not-in-family,Female
20,Never-married,Own-child,Female
23,Never-married,Own-child,Male
31,Never-married,Unmarried,Male
23,Never-married,Not-in-family,Male
30,Separated,Unmarried,Female
32,Separated,Not-in-family,Female
42,Married-civ-spouse,Wife,Female
51,Married-civ-spouse,Husband,Male
59,Married-civ-spouse,Husband,Male
36,Never-married,Own-child,Female
45,Never-married,Not-in-family,Male
35,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
43,Divorced,Unmarried,Female
60,Married-civ-spouse,Wife,Female
37,Married-civ-spouse,Husband,Male
35,Never-married,Unmarried,Female
36,Married-civ-spouse,Husband,Male
38,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
51,Married-civ-spouse,Husband,Male
45,Married-civ-spouse,Husband,Male
63,Divorced,Unmarried,Female
51,Married-civ-spouse,Husband,Male
58,Divorced,Not-in-family,Male
64,Divorced,Not-in-family,Female
20,Never-married,Own-child,Male
44,Married-civ-spouse,Husband,Male
39,Divorced,Unmarried,Female
45,Never-married,Unmarried,Female
44,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Female
63,Married-civ-spouse,Husband,Male
26,Separated,Not-in-family,Male
42,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Female
29,Married-civ-spouse,Husband,Male
38,Never-married,Unmarried,Male
25,Never-married,Own-child,Male
27,Married-civ-spouse,Other-relative,Male
46,Divorced,Not-in-family,Female
31,Divorced,Not-in-family,Male
24,Never-married,Own-child,Male
43,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Male
32,Never-married,Unmarried,Female
44,Married-civ-spouse,Husband,Male
40,Married-civ-spouse,Husband,Male
38,Divorced,Unmarried,Male
23,Never-married,Not-in-family,Male
19,Never-married,Own-child,Female
41,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
23,Married-civ-spouse,Husband,Male
47,Widowed,Own-child,Female
42,Married-civ-spouse,Husband,Male
17,Never-married,Other-relative,Female
29,Never-married,Not-in-family,Female
21,Never-married,Not-in-family,Female
18,Never-married,Own-child,Male
31,Married-civ-spouse,Husband,Male
27,Never-married,Unmarried,Female
29,Never-married,Not-in-family,Male
23,Never-married,Not-in-family,Female
41,Married-civ-spouse,Husband,Male
46,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Other-relative,Female
42,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Female
46,Divorced,Not-in-family,Male
18,Never-married,Own-child,Male
52,Married-civ-spouse,Husband,Male
56,Divorced,Unmarried,Female
21,Never-married,Own-child,Male
22,Never-married,Other-relative,Male
31,Divorced,Unmarried,Female
41,Married-civ-spouse,Husband,Male
25,Separated,Unmarried,Female
43,Divorced,Not-in-family,Male
45,Separated,Not-in-family,Female
26,Divorced,Not-in-family,Male
90,Never-married,Not-in-family,Male
45,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Wife,Female
42,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
53,Married-civ-spouse,Husband,Male
64,Widowed,Not-in-family,Female
56,Widowed,Not-in-family,Male
42,Married-spouse-absent,Not-in-family,Male
26,Married-civ-spouse,Wife,Female
31,Never-married,Own-child,Female
40,Married-civ-spouse,Wife,Female
58,Widowed,Not-in-family,Male
41,Married-civ-spouse,Husband,Male
58,Never-married,Not-in-family,Male
62,Married-civ-spouse,Husband,Male
65,Married-civ-spouse,Husband,Male
40,Never-married,Not-in-family,Male
45,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Male
23,Never-married,Own-child,Male
63,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
37,Widowed,Unmarried,Male
25,Married-spouse-absent,Not-in-family,Male
56,Married-civ-spouse,Husband,Male
32,Divorced,Not-in-family,Male
53,Married-civ-spouse,Wife,Female
32,Divorced,Not-in-family,Male
23,Married-civ-spouse,Husband,Male
35,Separated,Not-in-family,Male
51,Married-civ-spouse,Husband,Male
19,Never-married,Own-child,Female
41,Married-spouse-absent,Not-in-family,Male
22,Never-married,Own-child,Male
23,Never-married,Own-child,Female
36,Married-civ-spouse,Husband,Male
27,Divorced,Not-in-family,Female
45,Married-civ-spouse,Husband,Male
23,Never-married,Not-in-family,Male
21,Never-married,Unmarried,Female
44,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
18,Never-married,Own-child,Male
62,Married-civ-spouse,Husband,Male
25,Never-married,Not-in-family,Male
34,Divorced,Not-in-family,Female
31,Never-married,Not-in-family,Female
37,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
22,Never-married,Own-child,Female
28,Married-civ-spouse,Husband,Male
22,Separated,Own-child,Male
47,Married-civ-spouse,Husband,Male
67,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
34,Married-civ-spouse,Husband,Male
26,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
28,Never-married,Own-child,Male
22,Never-married,Own-child,Male
47,Separated,Not-in-family,Female
33,Never-married,Not-in-family,Male
34,Separated,Not-in-family,Female
25,Never-married,Own-child,Male
37,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
61,Separated,Not-in-family,Male
74,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
55,Never-married,Not-in-family,Male
20,Divorced,Not-in-family,Female
43,Never-married,Not-in-family,Female
54,Married-civ-spouse,Husband,Male
25,Separated,Unmarried,Female
42,Divorced,Not-in-family,Male
23,Never-married,Not-in-family,Female
17,Never-married,Own-child,Male
39,Never-married,Not-in-family,Male
63,Married-spouse-absent,Unmarried,Female
19,Never-married,Own-child,Female
56,Married-civ-spouse,Husband,Male
33,Married-civ-spouse,Husband,Male
37,Married-civ-spouse,Husband,Male
27,Married-civ-spouse,Husband,Male
36,Married-civ-spouse,Husband,Male
30,Married-civ-spouse,Husband,Male
22,Never-married,Not-in-family,Male
35,Married-civ-spouse,Husband,Male
20,Never-married,Not-in-family,Male
18,Never-married,Own-child,Female
25,Never-married,Not-in-family,Male
53,Never-married,Not-in-family,Female
21,Never-married,Own-child,Female
19,Never-married,Own-child,Female
34,Divorced,Not-in-family,Male
32,Never-married,Not-in-family,Female
20,Never-married,Own-child,Male
70,Married-civ-spouse,Husband,Male
57,Married-civ-spouse,Husband,Male
54,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
48,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Wife,Female
45,Never-married,Not-in-family,Male
27,Never-married,Own-child,Male
51,Married-civ-spouse,Husband,Male
36,Divorced,Unmarried,Female
33,Never-married,Own-child,Male
50,Never-married,Not-in-family,Male
44,Divorced,Unmarried,Male
39,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Husband,Male
24,Never-married,Own-child,Female
35,Never-married,Not-in-family,Male
32,Married-civ-spouse,Husband,Male
66,Married-civ-spouse,Husband,Male
68,Widowed,Not-in-family,Female
29,Married-civ-spouse,Husband,Male
24,Never-married,Not-in-family,Male
61,Married-civ-spouse,Husband,Male
34,Married-civ-spouse,Husband,Male
55,Married-civ-spouse,Husband,Male
20,Never-married,Own-child,Male
41,Never-married,Own-child,Female
36,Married-civ-spouse,Husband,Male
60,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
42,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
44,Never-married,Unmarried,Female
31,Never-married,Not-in-family,Male
39,Never-married,Not-in-family,Male
20,Never-married,Own-child,Female
32,Married-civ-spouse,Husband,Male
32,Married-civ-spouse,Husband,Male
61,Married-civ-spouse,Husband,Male
54,Divorced,Unmarried,Female
23,Never-married,Other-relative,Male
19,Never-married,Own-child,Male
31,Married-civ-spouse,Husband,Male
35,Married-civ-spouse,Husband,Male
29,Divorced,Not-in-family,Female
29,Never-married,Not-in-family,Female
25,Separated,Own-child,Female
46,Divorced,Not-in-family,Female
35,Never-married,Unmarried,Female
20,Never-married,Not-in-family,Male
24,Married-civ-spouse,Wife,Female
48,Divorced,Unmarried,Female
37,Divorced,Not-in-family,Female
60,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
29,Separated,Unmarried,Female
31,Divorced,Own-child,Male
38,Married-civ-spouse,Husband,Male
26,Never-married,Not-in-family,Male
64,Married-civ-spouse,Husband,Male
46,Divorced,Not-in-family,Male
69,Married-civ-spouse,Husband,Male
39,Married-civ-spouse,Husband,Male
48,Divorced,Not-in-family,Female
46,Divorced,Other-relative,Female
42,Divorced,Not-in-family,Male
39,Married-civ-spouse,Wife,Female
50,Married-civ-spouse,Husband,Male
24,Never-married,Not-in-family,Female
30,Married-civ-spouse,Other-relative,Female
39,Married-civ-spouse,Husband,Male
29,Married-civ-spouse,Husband,Male
23,Never-married,Own-child,Female
21,Never-married,Not-in-family,Male
32,Separated,Not-in-family,Male
69,Married-civ-spouse,Husband,Male
55,Separated,Unmarried,Male
41,Married-civ-spouse,Husband,Male
44,Married-civ-spouse,Husband,Male
18,Never-married,Not-in-family,Male
74,Married-civ-spouse,Husband,Male
