A,B,C,E,I,J,M,N,P,Q,U,W,X,Y
GP,F,18,LE3,teacher,other,1,2,no,yes,yes,no,4,2
GP,M,21,LE3,at_home,other,2,2,no,yes,no,yes,5,3
GP,F,20,GT3,other,other,2,3,no,no,yes,yes,3,2
GP,F,19,GT3,teacher,other,1,1,no,yes,yes,yes,3,2
GP,M,17,LE3,other,other,1,2,no,yes,yes,no,4,4
GP,F,18,GT3,at_home,other,1,3,no,yes,yes,yes,4,3
GP,M,18,GT3,other,services,1,1,no,no,yes,no,3,1
GP,M,19,GT3,other,other,1,1,no,no,yes,no,5,3
GP,F,18,LE3,services,other,2,2,no,yes,yes,no,4,1
GP,F,20,GT3,other,other,2,1,yes,no,yes,yes,5,3
GP,F,18,GT3,services,other,1,2,no,yes,yes,yes,3,1
MS,F,16,GT3,at_home,other,2,1,no,yes,no,yes,4,3
MS,F,16,GT3,other,other,2,2,no,yes,yes,no,4,4
MS,F,15,GT3,at_home,services,1,1,no,yes,yes,yes,4,1
MS,F,15,GT3,at_home,other,2,1,no,yes,yes,no,5,4
MS,F,16,GT3,at_home,services,2,2,no,no,yes,no,4,5
MS,F,15,LE3,at_home,other,2,1,no,no,no,no,1,3
MS,M,16,LE3,at_home,other,1,2,no,yes,yes,no,5,3
MS,M,16,GT3,other,other,1,3,yes,no,yes,no,4,4
MS,F,17,GT3,at_home,other,1,2,no,no,yes,yes,4,5
MS,F,17,GT3,other,other,1,1,no,yes,no,no,5,4
MS,F,15,GT3,teacher,other,2,1,no,no,yes,yes,1,5
MS,F,16,LE3,at_home,other,2,4,no,no,no,yes,1,2
MS,F,15,LE3,at_home,services,2,2,no,yes,yes,no,5,4
MS,F,15,LE3,other,services,2,1,no,yes,yes,yes,4,4
MS,F,16,GT3,other,other,2,1,no,yes,yes,no,3,2
MS,F,17,GT3,other,other,2,1,no,yes,yes,no,5,5
MS,F,15,GT3,other,services,2,1,no,no,yes,no,4,1
MS,M,16,GT3,at_home,services,2,2,no,yes,yes,yes,5,4
MS,M,17,GT3,other,other,1,2,no,no,yes,no,4,4
MS,M,15,LE3,health,services,1,2,no,yes,yes,no,5,3
MS,M,15,LE3,health,services,1,2,no,yes,yes,no,5,3
MS,M,16,GT3,other,health,3,2,no,no,yes,no,3,4
MS,M,15,GT3,other,other,4,2,no,yes,yes,yes,5,4
MS,M,15,LE3,at_home,at_home,1,2,no,yes,yes,no,5,3
MS,M,17,GT3,other,other,3,1,no,no,no,yes,5,5
MS,F,16,GT3,teacher,teacher,2,3,no,no,yes,yes,4,2
MS,F,15,GT3,other,services,2,1,no,no,yes,no,5,1
MS,F,16,GT3,other,services,3,2,no,yes,yes,no,4,5
MS,M,16,GT3,other,other,2,2,no,no,yes,no,4,3
MS,F,16,GT3,other,other,3,2,no,yes,yes,no,4,4
MS,F,16,GT3,other,services,1,3,no,yes,yes,no,1,3
MS,F,16,GT3,other,services,1,3,no,yes,yes,no,1,3
MS,F,15,GT3,at_home,other,1,2,yes,yes,yes,no,4,4
MS,F,16,GT3,at_home,other,1,2,no,yes,yes,yes,5,4
MS,M,17,LE3,at_home,services,1,1,no,yes,yes,no,5,5
MS,F,16,GT3,other,other,4,4,no,yes,yes,no,4,3
MS,F,16,GT3,at_home,other,4,3,yes,yes,yes,no,4,4
MS,F,15,GT3,at_home,other,2,2,no,yes,yes,no,4,3
MS,F,16,GT3,at_home,other,2,1,no,no,yes,yes,4,2
MS,F,15,GT3,at_home,at_home,3,2,no,yes,yes,no,4,2
MS,F,15,LE3,other,other,1,3,yes,yes,yes,no,4,4
MS,M,16,GT3,at_home,other,2,1,no,no,yes,no,3,4
MS,F,18,GT3,other,other,1,2,no,yes,yes,yes,3,4
MS,M,15,GT3,other,services,2,1,no,yes,yes,no,3,2
MS,F,16,GT3,other,services,3,2,no,yes,yes,no,5,3
MS,M,15,GT3,health,other,3,1,no,no,yes,no,4,3
MS,M,16,GT3,other,teacher,1,2,no,yes,yes,yes,4,3
MS,F,15,GT3,services,other,1,2,no,yes,yes,yes,4,5
MS,F,16,GT3,at_home,other,2,2,no,yes,yes,no,4,4
MS,F,16,LE3,other,other,3,1,no,yes,yes,yes,4,3
MS,M,16,LE3,at_home,services,2,1,no,yes,yes,no,2,4
MS,M,15,LE3,at_home,other,3,1,no,yes,yes,no,4,2
MS,F,15,GT3,other,services,2,3,no,yes,yes,no,5,3
MS,F,16,LE3,other,other,1,1,no,yes,yes,yes,5,4
MS,M,15,GT3,services,services,2,1,no,yes,yes,no,4,3
MS,F,16,GT3,at_home,other,2,2,yes,yes,yes,no,3,4
MS,F,17,GT3,other,at_home,1,1,no,yes,no,no,4,5
MS,F,19,GT3,at_home,services,1,1,no,no,no,yes,4,4
MS,F,17,GT3,at_home,other,3,1,no,yes,no,yes,5,5
MS,F,15,LE3,at_home,other,2,1,no,yes,no,yes,5,2
MS,F,16,GT3,other,other,3,2,no,yes,no,no,3,4
MS,F,16,LE3,other,other,1,1,no,yes,no,no,4,3
MS,F,17,GT3,at_home,other,2,2,no,yes,yes,no,4,3
MS,F,16,GT3,other,services,1,1,no,yes,yes,no,4,4
MS,F,18,LE3,other,other,2,3,no,yes,no,yes,3,3
MS,F,19,GT3,at_home,services,1,3,no,no,no,yes,5,3
MS,M,18,GT3,other,other,2,1,no,no,no,no,4,4
MS,F,18,GT3,at_home,at_home,2,1,no,no,no,yes,3,2
MS,F,19,GT3,other,other,2,2,no,yes,yes,yes,1,1
MS,F,16,GT3,health,other,1,2,no,no,yes,yes,3,3
MS,F,17,GT3,other,at_home,2,1,no,no,yes,no,2,4
MS,F,16,LE3,at_home,other,1,2,no,no,no,no,4,4
MS,F,16,GT3,other,other,1,1,no,no,no,yes,4,5
MS,F,16,LE3,services,services,1,1,no,yes,yes,yes,4,4
MS,M,17,GT3,services,at_home,2,4,no,yes,yes,no,5,4
MS,F,16,GT3,other,services,1,2,no,yes,yes,no,5,3
MS,F,16,GT3,services,other,1,1,no,yes,yes,yes,4,2
MS,M,17,GT3,other,other,1,1,no,yes,no,yes,5,3
MS,M,16,LE3,other,other,1,1,no,no,yes,no,4,2
MS,M,17,LE3,services,services,3,4,no,yes,yes,no,1,3
MS,F,16,GT3,other,other,1,4,yes,yes,yes,no,2,2
MS,F,19,LE3,other,other,1,3,no,no,yes,yes,5,4
MS,F,17,GT3,at_home,other,2,1,no,yes,yes,yes,4,4
MS,F,20,GT3,at_home,services,2,2,no,no,yes,yes,3,3
MS,F,17,LE3,other,services,1,3,no,yes,yes,yes,4,3
MS,M,17,GT3,other,other,3,1,no,yes,yes,no,4,4
MS,F,16,LE3,at_home,other,3,2,no,yes,yes,no,5,3
MS,F,17,GT3,other,other,2,2,no,yes,yes,no,5,3
MS,F,17,GT3,other,other,2,2,no,no,yes,yes,4,4
MS,F,18,GT3,at_home,other,1,2,no,yes,yes,yes,4,3
MS,F,16,GT3,other,other,1,1,no,no,yes,no,3,1
MS,F,16,GT3,services,at_home,1,1,no,no,yes,no,3,1
MS,F,18,LE3,other,at_home,2,2,yes,no,yes,no,2,3
MS,F,16,GT3,health,teacher,1,2,no,no,yes,yes,4,3
MS,F,16,LE3,other,other,2,1,no,no,yes,no,5,4
MS,F,18,GT3,other,services,1,2,no,yes,yes,no,2,3
MS,M,16,GT3,other,services,2,2,no,no,yes,no,5,2
MS,F,16,LE3,at_home,other,3,2,no,yes,yes,no,4,3
MS,F,16,GT3,at_home,services,2,2,no,yes,yes,no,3,3
MS,F,16,GT3,health,health,1,2,no,yes,yes,yes,4,3
MS,M,18,LE3,at_home,health,1,4,no,yes,no,yes,5,5
MS,F,16,LE3,at_home,other,3,2,no,yes,yes,no,4,2
MS,M,17,LE3,other,services,1,3,no,yes,yes,no,4,4
MS,F,17,GT3,other,other,1,1,no,no,yes,yes,4,2
MS,M,16,LE3,services,services,4,3,no,no,yes,no,5,1
MS,F,17,GT3,at_home,other,1,1,no,yes,yes,no,5,1
MS,F,16,LE3,services,services,2,1,no,yes,yes,no,5,1
MS,M,17,GT3,services,services,1,1,no,yes,yes,no,4,1
MS,M,17,GT3,at_home,services,3,2,no,no,yes,yes,5,1
MS,M,16,GT3,health,services,2,2,no,no,yes,yes,4,2
MS,F,16,LE3,other,services,1,2,no,no,yes,yes,3,2
MS,M,16,LE3,teacher,health,1,1,no,yes,yes,no,4,1
MS,M,15,GT3,other,services,3,2,no,yes,yes,no,5,5
MS,M,15,LE3,other,other,3,4,no,yes,yes,no,5,4
MS,M,15,LE3,services,services,1,1,no,no,yes,no,4,3
MS,F,16,LE3,other,other,1,3,no,yes,yes,yes,4,3
MS,F,16,LE3,other,other,2,2,no,yes,yes,no,1,2
MS,F,17,GT3,at_home,other,2,1,no,no,yes,yes,4,3
MS,F,17,GT3,other,other,2,2,yes,no,yes,no,5,1
MS,F,16,GT3,teacher,services,2,3,no,yes,yes,yes,5,3
MS,M,17,GT3,health,other,3,1,no,no,yes,yes,3,3
MS,M,17,LE3,other,other,2,1,no,no,yes,yes,5,1
MS,M,17,GT3,services,other,1,2,no,yes,yes,yes,5,4
MS,F,17,GT3,health,health,1,2,no,yes,yes,no,5,2
MS,M,16,LE3,other,at_home,1,1,no,no,yes,no,4,1
MS,F,17,GT3,at_home,at_home,1,2,no,no,yes,yes,4,5
MS,F,17,GT3,other,other,2,2,yes,yes,yes,no,4,3
MS,M,16,LE3,other,services,2,2,no,yes,yes,yes,4,1
MS,M,17,GT3,other,other,2,2,no,yes,yes,no,4,1
MS,M,19,GT3,other,other,1,2,no,yes,no,no,4,4
MS,M,17,LE3,other,other,1,1,no,no,yes,yes,4,1
MS,F,17,GT3,at_home,at_home,2,1,no,yes,no,yes,3,5
MS,F,16,GT3,other,other,1,3,yes,yes,yes,yes,4,3
MS,M,16,LE3,other,at_home,1,1,no,no,yes,no,4,4
MS,F,17,GT3,other,other,2,2,no,yes,yes,yes,5,4
MS,M,17,GT3,other,other,2,1,no,no,no,yes,5,5
MS,M,18,GT3,at_home,at_home,3,1,yes,yes,yes,no,4,3
MS,M,17,GT3,other,services,2,1,no,yes,yes,yes,4,5
MS,M,18,LE3,at_home,at_home,2,2,no,yes,yes,no,4,3
MS,F,16,LE3,other,services,1,2,no,no,yes,yes,5,4
MS,M,17,GT3,other,other,1,1,no,no,yes,yes,1,2
MS,M,16,GT3,services,other,2,1,no,no,yes,no,4,5
MS,M,16,LE3,at_home,other,2,1,no,no,yes,no,4,5
MS,M,18,GT3,services,other,2,1,no,yes,no,yes,5,3
MS,M,18,GT3,services,other,1,1,no,no,no,no,2,3
MS,M,19,GT3,at_home,services,2,1,no,no,yes,no,3,2
MS,M,18,GT3,at_home,at_home,1,2,no,yes,no,no,4,4
MS,M,16,GT3,services,services,2,1,no,yes,yes,yes,5,4
MS,M,19,GT3,at_home,other,2,1,no,no,no,yes,4,4
MS,F,16,GT3,services,at_home,2,2,no,yes,yes,yes,2,5
MS,F,17,GT3,other,at_home,1,1,no,yes,yes,no,4,3
MS,M,20,GT3,other,other,2,1,no,yes,no,yes,4,4
MS,F,18,GT3,services,services,1,1,no,yes,yes,no,5,4
MS,M,18,GT3,other,other,2,1,no,yes,yes,no,2,5
MS,M,19,GT3,other,services,3,2,no,no,yes,no,5,4
MS,M,17,GT3,health,other,2,2,no,yes,yes,no,4,5
MS,M,18,LE3,at_home,services,1,1,no,no,no,yes,4,3
MS,M,19,GT3,other,other,3,1,no,yes,yes,no,4,4
MS,F,18,GT3,at_home,other,2,2,no,yes,yes,no,4,3
MS,F,19,LE3,at_home,other,1,1,no,yes,no,no,1,4
MS,F,18,GT3,other,other,2,1,no,no,no,yes,5,5
MS,F,17,GT3,at_home,other,2,1,no,yes,yes,no,4,4
MS,F,17,LE3,other,at_home,2,3,no,yes,no,no,4,2
MS,F,17,GT3,teacher,services,1,2,yes,yes,yes,no,5,5
MS,F,18,LE3,services,services,1,2,no,yes,yes,no,2,3
MS,F,17,GT3,health,at_home,1,1,no,yes,yes,yes,3,2
MS,F,17,LE3,at_home,other,1,1,no,no,yes,no,5,5
MS,F,18,GT3,other,other,3,2,no,no,yes,yes,3,4
MS,F,18,GT3,services,at_home,2,2,no,no,yes,no,4,3
MS,F,17,GT3,services,services,2,1,no,yes,yes,no,4,4
MS,F,18,LE3,at_home,other,2,2,no,no,yes,no,4,4
MS,F,18,GT3,teacher,teacher,2,2,no,no,yes,no,4,3
MS,M,18,LE3,services,other,1,1,no,yes,yes,no,5,4
MS,F,17,GT3,other,other,2,2,no,yes,yes,no,4,3
MS,F,18,GT3,at_home,other,3,2,no,no,yes,yes,4,3
MS,M,18,LE3,at_home,services,2,1,no,yes,yes,no,4,1
MS,M,18,GT3,at_home,services,3,1,no,yes,yes,yes,2,5
MS,M,17,GT3,other,services,3,1,no,no,no,no,4,2
MS,F,18,GT3,other,other,2,2,no,yes,yes,yes,1,3
MS,F,18,LE3,services,services,2,3,no,no,yes,yes,5,4
MS,F,18,LE3,teacher,other,1,2,no,no,yes,yes,5,3
MS,F,18,GT3,at_home,services,3,2,no,no,no,no,4,4
MS,F,19,GT3,at_home,services,2,1,no,no,no,no,5,5
MS,F,17,GT3,teacher,other,2,4,no,no,yes,yes,4,2
MS,F,17,LE3,services,other,2,2,no,no,yes,yes,5,3
MS,F,18,LE3,at_home,services,1,2,no,no,yes,yes,5,2
MS,F,18,GT3,at_home,at_home,2,2,no,yes,no,no,4,1
MS,F,19,GT3,at_home,at_home,2,2,no,yes,no,yes,3,5
MS,F,18,GT3,services,other,2,3,no,no,yes,yes,4,2
MS,M,17,GT3,services,other,2,2,no,yes,yes,yes,4,5
MS,F,18,GT3,services,services,1,2,no,yes,yes,yes,5,3
MS,F,17,GT3,teacher,services,2,2,no,yes,yes,no,4,3
MS,F,17,LE3,services,other,2,2,no,no,yes,yes,1,2
MS,M,18,LE3,other,services,2,1,no,no,yes,yes,3,3
MS,F,18,LE3,at_home,services,2,3,no,no,yes,no,5,3
MS,F,18,LE3,at_home,other,3,2,no,no,yes,yes,4,3
MS,F,18,GT3,services,services,2,2,no,yes,yes,yes,4,3
MS,F,17,LE3,at_home,at_home,1,2,no,yes,yes,yes,2,3
MS,F,17,GT3,other,services,2,2,no,no,yes,no,3,2
MS,M,18,GT3,at_home,other,2,2,no,yes,yes,no,3,3
MS,M,18,LE3,teacher,services,2,3,no,no,yes,yes,4,2
MS,F,17,GT3,other,services,3,1,no,yes,yes,yes,5,2
MS,F,18,GT3,at_home,services,2,1,no,yes,yes,yes,5,2
MS,F,18,GT3,other,teacher,3,2,no,yes,yes,yes,3,2
MS,M,18,LE3,at_home,services,3,1,no,yes,no,yes,4,3
MS,F,17,GT3,other,at_home,1,3,no,no,yes,yes,3,4
MS,F,17,GT3,other,other,1,1,no,no,yes,no,3,5
MS,F,18,LE3,other,other,2,3,no,no,yes,no,5,4
MS,F,18,GT3,other,other,4,3,no,no,yes,no,4,3
MS,F,19,GT3,at_home,other,2,2,no,yes,yes,yes,4,3
MS,F,18,LE3,teacher,services,1,2,no,no,yes,no,5,4
MS,F,18,GT3,other,other,1,2,no,no,yes,yes,4,1
MS,F,17,GT3,at_home,other,1,2,no,yes,yes,no,4,5
MS,M,18,GT3,teacher,teacher,1,2,no,no,yes,no,3,2
MS,M,18,GT3,other,other,2,1,no,no,yes,yes,4,4
MS,M,17,GT3,other,services,2,2,no,no,yes,no,4,4
MS,M,19,GT3,other,services,2,1,no,no,yes,no,4,3
MS,M,18,GT3,other,other,2,1,no,no,yes,no,5,4
MS,F,18,GT3,at_home,other,2,3,no,no,yes,no,5,3
MS,F,17,GT3,teacher,other,2,2,no,no,yes,no,5,5
MS,F,18,GT3,teacher,at_home,3,1,no,yes,yes,yes,4,4
MS,F,19,GT3,services,other,1,3,no,no,yes,no,5,4
MS,F,18,LE3,teacher,services,1,2,no,yes,yes,no,4,3
MS,F,18,GT3,other,other,2,2,no,no,yes,no,1,1
MS,M,17,LE3,services,services,2,1,no,no,yes,no,2,4
MS,M,18,LE3,services,other,3,1,no,no,yes,no,4,4
GP,F,18,GT3,at_home,teacher,2,2,yes,no,yes,no,4,3
GP,F,17,GT3,at_home,other,1,2,no,yes,yes,no,5,3
GP,F,15,LE3,at_home,other,1,2,yes,no,yes,no,4,3
GP,F,15,GT3,health,services,1,3,no,yes,yes,yes,3,2
GP,F,16,GT3,other,other,1,2,no,yes,yes,no,4,3
GP,M,16,LE3,services,other,1,2,no,yes,yes,no,5,4
GP,M,16,LE3,other,other,1,2,no,no,yes,no,4,4
GP,F,17,GT3,other,teacher,2,2,yes,yes,yes,no,4,1
GP,M,15,LE3,services,other,1,2,no,yes,yes,no,4,2
GP,M,15,GT3,other,other,1,2,no,yes,yes,no,5,5
GP,F,15,GT3,teacher,health,1,2,no,yes,yes,no,3,3
GP,F,15,GT3,services,other,3,3,no,yes,yes,no,5,2
GP,M,15,LE3,health,services,1,1,no,yes,yes,no,4,3
GP,M,15,GT3,teacher,other,2,2,no,yes,yes,no,5,4
GP,M,15,GT3,other,other,1,3,no,yes,yes,yes,4,5
GP,F,16,GT3,health,other,1,1,no,yes,yes,no,4,4
GP,F,16,GT3,services,services,1,3,no,yes,yes,no,3,2
GP,F,16,GT3,other,other,3,2,yes,yes,yes,no,5,3
GP,M,17,GT3,services,services,1,1,no,yes,yes,no,5,5
GP,M,16,LE3,health,other,1,1,no,no,yes,no,3,1
GP,M,15,GT3,teacher,other,1,2,no,no,yes,no,4,4
GP,M,15,GT3,health,health,1,1,no,yes,yes,no,5,4
GP,M,16,LE3,teacher,other,1,2,no,no,yes,no,4,5
GP,M,16,LE3,other,other,2,2,no,yes,yes,no,5,4
GP,F,15,GT3,services,health,1,3,yes,yes,yes,no,4,3
GP,F,16,GT3,services,services,1,1,no,yes,yes,no,1,2
GP,M,15,GT3,other,other,1,1,no,yes,yes,no,4,2
GP,M,15,GT3,health,services,1,1,no,no,yes,no,2,2
GP,M,16,LE3,services,other,1,2,yes,yes,yes,no,5,3
GP,M,16,GT3,teacher,teacher,1,2,no,yes,yes,yes,4,4
GP,M,15,GT3,health,services,1,2,no,yes,yes,no,5,4
GP,M,15,GT3,services,services,2,2,no,yes,yes,no,4,3
GP,M,15,GT3,teacher,at_home,1,2,no,yes,yes,yes,4,5
GP,M,15,LE3,other,other,1,2,no,no,yes,no,5,3
GP,M,16,GT3,other,other,1,1,no,yes,yes,no,5,4
GP,F,15,GT3,other,other,2,1,no,yes,yes,no,3,5
GP,M,15,LE3,teacher,services,1,3,no,yes,yes,no,5,4
GP,M,16,GT3,other,teacher,2,3,no,yes,yes,yes,2,4
GP,F,15,GT3,services,health,1,3,yes,yes,yes,no,4,3
GP,F,15,GT3,at_home,other,1,1,yes,yes,yes,no,4,3
GP,F,16,LE3,other,other,2,2,no,yes,yes,yes,3,3
GP,M,15,LE3,teacher,other,1,1,no,yes,yes,yes,5,4
GP,M,15,GT3,services,teacher,1,2,no,yes,yes,no,4,3
GP,M,15,GT3,services,services,1,1,yes,yes,yes,no,5,4
GP,F,16,LE3,other,at_home,2,2,yes,no,yes,no,4,3
GP,F,15,LE3,other,other,1,2,yes,yes,yes,yes,5,2
GP,F,16,LE3,other,services,1,2,no,yes,yes,no,2,3
GP,M,16,GT3,health,services,1,4,no,no,yes,no,4,2
GP,M,15,GT3,teacher,other,1,2,no,yes,yes,no,4,3
GP,F,15,GT3,services,teacher,1,2,yes,yes,yes,no,4,4
GP,F,16,LE3,services,services,3,2,no,yes,yes,no,4,3
GP,F,15,LE3,health,other,1,2,no,yes,yes,no,4,3
GP,M,15,LE3,health,health,2,1,no,no,yes,no,5,5
GP,F,15,GT3,services,services,1,1,yes,yes,yes,no,3,3
GP,F,15,LE3,other,other,1,1,no,no,yes,no,5,3
GP,F,16,GT3,other,other,1,2,no,no,yes,yes,5,3
GP,F,15,GT3,services,services,1,2,no,yes,yes,no,4,3
GP,M,15,GT3,teacher,health,1,2,no,yes,yes,no,3,2
GP,M,15,LE3,other,at_home,1,2,yes,yes,yes,no,4,3
GP,F,16,GT3,services,other,1,2,no,yes,yes,no,4,2
GP,F,16,GT3,health,teacher,1,2,no,yes,yes,no,2,4
GP,F,16,GT3,services,services,4,1,yes,yes,yes,yes,5,5
GP,F,16,LE3,other,services,1,2,yes,no,yes,no,4,4
GP,F,16,GT3,teacher,health,1,3,yes,yes,yes,no,3,4
GP,F,15,LE3,services,services,1,2,yes,no,yes,yes,4,4
GP,F,16,LE3,teacher,services,3,2,no,yes,yes,no,5,4
GP,M,15,GT3,other,services,1,4,no,yes,yes,yes,1,3
GP,F,16,GT3,services,other,1,4,yes,yes,yes,no,4,3
GP,F,15,LE3,health,services,2,2,yes,yes,yes,no,4,1
GP,F,15,LE3,other,other,2,4,no,yes,yes,no,4,4
GP,M,16,GT3,other,other,2,4,no,yes,yes,no,4,3
GP,M,15,GT3,other,other,1,4,no,no,yes,no,3,3
GP,F,15,GT3,other,other,1,2,yes,yes,yes,yes,3,3
GP,M,16,GT3,other,other,1,1,no,no,yes,no,5,3
GP,F,16,GT3,other,services,1,2,yes,yes,yes,no,4,3
GP,M,15,GT3,teacher,other,1,2,no,yes,yes,no,4,3
GP,M,15,GT3,teacher,other,2,4,no,no,yes,no,3,4
GP,F,16,GT3,other,other,1,4,no,no,yes,yes,5,2
GP,M,17,GT3,other,other,2,1,yes,yes,no,no,4,5
GP,F,16,GT3,at_home,other,1,2,no,yes,yes,no,2,4
GP,M,15,GT3,other,services,1,1,yes,yes,yes,yes,3,2
GP,M,15,GT3,other,other,1,3,yes,no,yes,no,5,3
GP,F,15,LE3,services,other,1,2,no,yes,yes,no,4,4
GP,M,15,LE3,services,services,2,2,no,no,yes,no,5,3
GP,F,15,GT3,other,other,1,2,no,yes,yes,no,4,3
GP,F,15,GT3,services,services,2,2,no,no,yes,yes,4,4
GP,F,16,LE3,at_home,other,1,2,no,yes,yes,no,4,3
GP,F,15,GT3,other,other,1,3,no,yes,yes,no,5,3
GP,M,16,GT3,services,other,2,2,no,no,yes,no,4,4
GP,M,16,LE3,teacher,health,1,2,no,yes,yes,no,4,1
GP,F,16,GT3,other,other,1,3,no,yes,yes,yes,4,3
GP,F,15,GT3,services,other,1,1,no,no,yes,no,4,5
GP,F,16,LE3,other,other,1,2,yes,yes,yes,no,3,3
GP,F,16,GT3,teacher,services,2,2,no,yes,yes,no,5,3
GP,M,15,LE3,services,health,1,4,no,yes,yes,no,4,3
GP,F,15,GT3,at_home,other,2,4,yes,yes,yes,no,3,1
GP,M,16,GT3,services,other,2,1,yes,yes,yes,no,3,3
GP,F,16,GT3,other,other,1,2,no,yes,yes,yes,4,3
GP,F,16,GT3,other,other,1,1,no,no,yes,no,5,3
GP,F,16,GT3,other,at_home,1,3,yes,yes,yes,no,5,3
GP,M,16,GT3,services,services,1,1,yes,yes,yes,no,4,5
GP,M,16,GT3,services,teacher,1,3,no,yes,yes,yes,4,4
GP,M,15,GT3,services,other,1,1,no,yes,yes,no,5,3
GP,F,15,GT3,services,other,2,2,yes,yes,yes,no,4,3
GP,M,15,GT3,services,other,1,2,no,yes,yes,no,5,4
GP,F,15,GT3,other,health,1,4,yes,no,yes,no,4,3
GP,F,15,GT3,other,other,1,4,yes,yes,yes,no,5,1
GP,M,16,GT3,services,other,1,3,no,yes,yes,no,5,3
GP,M,15,GT3,other,other,4,4,no,yes,yes,yes,1,3
GP,F,16,LE3,health,health,1,3,no,yes,yes,yes,5,4
GP,M,15,LE3,teacher,teacher,1,1,no,no,yes,no,5,5
GP,F,16,GT3,services,other,1,3,yes,yes,yes,no,4,1
GP,F,16,GT3,at_home,other,1,2,yes,no,yes,no,3,1
GP,M,15,LE3,teacher,other,1,1,no,no,yes,no,3,5
GP,M,15,GT3,health,services,1,2,no,no,yes,yes,5,4
GP,M,16,GT3,teacher,teacher,1,2,no,yes,yes,no,5,4
GP,M,15,GT3,other,teacher,2,2,no,yes,yes,no,4,4
GP,M,16,GT3,other,services,2,1,no,no,yes,no,5,4
GP,M,17,GT3,other,other,3,2,no,yes,yes,no,5,2
GP,M,15,GT3,other,other,1,1,no,no,yes,no,3,4
GP,F,15,GT3,at_home,services,1,2,no,no,yes,no,3,2
GP,M,15,GT3,services,services,1,4,no,yes,yes,no,5,5
GP,F,16,LE3,other,health,2,2,no,yes,yes,yes,4,2
GP,M,16,GT3,health,other,1,1,no,yes,yes,no,3,4
GP,F,16,GT3,other,other,1,2,no,no,yes,yes,5,4
GP,M,15,GT3,services,services,1,1,yes,no,yes,no,5,5
GP,F,15,LE3,other,other,1,2,yes,no,yes,yes,5,3
GP,F,19,GT3,at_home,other,1,2,no,yes,no,no,3,4
GP,M,18,GT3,services,other,1,1,no,yes,yes,no,3,3
GP,M,16,GT3,teacher,teacher,1,1,no,no,yes,no,3,5
GP,F,15,GT3,services,teacher,2,3,no,yes,yes,yes,4,2
GP,F,15,GT3,at_home,other,3,1,no,yes,yes,yes,4,3
GP,F,17,LE3,other,other,1,1,no,yes,yes,yes,3,4
GP,F,16,GT3,services,other,1,1,no,no,yes,no,3,2
GP,M,15,GT3,at_home,teacher,4,2,no,yes,yes,yes,5,3
GP,F,15,GT3,services,at_home,1,3,no,yes,yes,yes,4,3
GP,M,17,GT3,at_home,other,3,2,no,no,yes,no,5,4
GP,F,16,GT3,other,other,2,1,no,yes,yes,yes,4,3
GP,M,16,LE3,services,other,1,2,no,no,yes,yes,4,4
GP,F,15,GT3,teacher,teacher,2,1,no,no,yes,no,4,3
GP,M,15,GT3,teacher,services,2,4,yes,yes,yes,no,2,2
GP,M,16,LE3,services,services,2,1,no,yes,yes,no,2,3
GP,F,15,GT3,teacher,services,1,3,no,yes,yes,no,4,2
GP,F,16,LE3,at_home,at_home,1,1,no,no,yes,no,3,4
GP,M,17,GT3,other,other,1,1,no,yes,yes,no,5,4
GP,F,15,GT3,other,services,1,2,no,yes,yes,no,4,4
GP,F,15,GT3,health,services,1,2,no,yes,yes,no,3,3
GP,F,15,GT3,at_home,other,1,2,no,yes,yes,no,4,3
GP,M,16,GT3,teacher,teacher,1,1,no,yes,no,yes,3,3
GP,M,15,LE3,services,other,4,1,no,no,yes,no,4,5
GP,M,18,LE3,other,other,1,1,no,no,no,yes,2,3
GP,M,16,LE3,at_home,other,1,1,no,no,yes,yes,4,4
GP,F,15,GT3,services,services,2,3,no,yes,yes,yes,4,2
GP,M,19,GT3,services,at_home,1,1,no,yes,no,yes,4,5
GP,F,17,GT3,other,teacher,1,1,yes,yes,yes,yes,4,2
GP,M,15,GT3,at_home,services,1,2,yes,no,yes,no,4,4
GP,M,17,LE3,other,other,1,1,no,no,yes,no,2,2
GP,F,18,GT3,at_home,other,3,1,no,yes,yes,no,5,2
GP,M,16,GT3,at_home,other,3,1,no,no,yes,no,4,2
GP,M,16,GT3,other,services,1,2,no,yes,yes,yes,4,5
GP,M,17,LE3,at_home,other,2,1,no,no,no,yes,3,3
GP,M,15,GT3,other,other,2,2,yes,yes,yes,yes,4,4
GP,M,16,LE3,other,other,2,1,no,no,yes,no,4,4
GP,M,17,GT3,at_home,services,1,1,no,no,no,no,5,3
GP,M,17,LE3,other,services,4,2,no,no,no,yes,5,3
GP,M,16,GT3,services,services,2,1,no,yes,no,no,4,5
GP,M,16,GT3,other,other,1,2,no,no,no,no,4,3
GP,F,16,GT3,health,services,1,2,no,no,yes,yes,4,2
GP,F,16,GT3,other,other,1,2,no,yes,yes,no,5,1
GP,F,16,GT3,health,health,1,2,no,yes,yes,yes,4,4
GP,M,16,GT3,other,other,3,1,no,yes,yes,no,3,4
GP,M,16,GT3,other,other,2,2,no,yes,yes,yes,4,3
GP,M,17,LE3,teacher,other,1,2,no,yes,yes,no,4,4
GP,F,16,GT3,at_home,services,1,2,no,no,yes,yes,4,3
