A,C,D,I,M,N,P,T,U,V,X,Y,Z
MS,15,R,at_home,2,2,no,yes,yes,yes,4,3,3
MS,16,R,at_home,2,1,no,yes,yes,yes,4,2,2
MS,15,R,at_home,3,2,no,yes,yes,no,4,2,1
MS,15,R,other,1,3,yes,yes,yes,no,4,4,3
MS,16,R,at_home,2,1,no,yes,yes,no,3,4,4
MS,18,U,other,1,2,no,yes,yes,yes,3,4,4
MS,15,U,other,2,1,no,yes,yes,no,3,2,3
MS,16,R,other,3,2,no,yes,yes,yes,5,3,4
MS,15,U,health,3,1,no,yes,yes,no,4,3,3
MS,16,U,other,1,2,no,yes,yes,no,4,3,1
MS,15,R,services,1,2,no,yes,yes,yes,4,5,4
MS,16,R,at_home,2,2,no,no,yes,no,4,4,4
MS,16,R,other,3,1,no,yes,yes,no,4,3,2
MS,16,U,at_home,2,1,no,yes,yes,yes,2,4,3
MS,15,R,at_home,3,1,no,yes,yes,yes,4,2,4
MS,15,U,other,2,3,no,yes,yes,no,5,3,2
MS,16,R,other,1,1,no,yes,yes,yes,5,4,3
MS,15,U,services,2,1,no,no,yes,yes,4,3,3
MS,16,R,at_home,2,2,yes,yes,yes,no,3,4,3
MS,17,U,other,1,1,no,yes,no,no,4,5,3
MS,19,U,at_home,1,1,no,yes,no,yes,4,4,4
MS,17,R,at_home,3,1,no,yes,no,no,5,5,3
MS,15,R,at_home,2,1,no,yes,no,no,5,2,1
MS,16,R,other,3,2,no,yes,no,yes,3,4,5
MS,16,U,other,1,1,no,yes,no,no,4,3,4
MS,17,R,at_home,2,2,no,yes,yes,yes,4,3,5
MS,16,U,other,1,1,no,no,yes,yes,4,4,3
MS,18,R,other,2,3,no,no,no,no,3,3,2
MS,19,U,at_home,1,3,no,yes,no,no,5,3,1
MS,18,R,other,2,1,no,yes,no,yes,4,4,3
MS,18,R,at_home,2,1,no,no,no,yes,3,2,3
MS,19,U,other,2,2,no,yes,yes,yes,1,1,4
MS,16,R,health,1,2,no,no,yes,no,3,3,2
MS,17,U,other,2,1,no,no,yes,no,2,4,4
MS,16,R,at_home,1,2,no,yes,no,yes,4,4,5
MS,16,U,other,1,1,no,yes,no,yes,4,5,4
MS,16,R,services,1,1,no,yes,yes,yes,4,4,4
MS,17,U,services,2,4,no,yes,yes,no,5,4,5
MS,16,U,other,1,2,no,yes,yes,yes,5,3,3
MS,16,U,services,1,1,no,yes,yes,no,4,2,5
MS,17,U,other,1,1,no,yes,no,yes,5,3,5
MS,16,U,other,1,1,no,yes,yes,yes,4,2,5
MS,17,R,services,3,4,no,yes,yes,no,1,3,5
MS,16,U,other,1,4,yes,yes,yes,yes,2,2,1
MS,19,U,other,1,3,no,yes,yes,yes,5,4,5
MS,17,R,at_home,2,1,no,no,yes,yes,4,4,5
MS,20,U,at_home,2,2,no,yes,yes,yes,3,3,4
MS,17,U,other,1,3,no,yes,yes,no,4,3,3
MS,17,R,other,3,1,no,no,yes,yes,4,4,5
MS,16,R,at_home,3,2,no,yes,yes,no,5,3,2
MS,17,R,other,2,2,no,yes,yes,no,5,3,2
MS,17,U,other,2,2,no,yes,yes,yes,4,4,5
MS,18,R,at_home,1,2,no,yes,yes,yes,4,3,2
MS,16,U,other,1,1,no,yes,yes,yes,3,1,3
MS,16,U,services,1,1,no,yes,yes,yes,3,1,3
MS,18,U,other,2,2,yes,yes,yes,no,2,3,5
MS,16,R,health,1,2,no,no,yes,yes,4,3,3
MS,16,R,other,2,1,no,yes,yes,yes,5,4,5
MS,18,U,other,1,2,no,yes,yes,yes,2,3,2
MS,16,R,other,2,2,no,yes,yes,yes,5,2,1
MS,16,U,at_home,3,2,no,yes,yes,yes,4,3,2
MS,16,R,at_home,2,2,no,yes,yes,yes,3,3,3
MS,16,U,health,1,2,no,yes,yes,yes,4,3,4
MS,18,U,at_home,1,4,no,yes,no,yes,5,5,5
MS,16,R,at_home,3,2,no,no,yes,no,4,2,1
MS,17,U,other,1,3,no,yes,yes,yes,4,4,3
MS,17,R,other,1,1,no,yes,yes,yes,4,2,3
MS,16,U,services,4,3,no,yes,yes,no,5,1,3
MS,17,R,at_home,1,1,no,yes,yes,yes,5,1,3
MS,16,U,services,2,1,no,yes,yes,no,5,1,3
MS,17,U,services,1,1,no,yes,yes,yes,4,1,4
MS,17,U,at_home,3,2,no,yes,yes,yes,5,1,3
MS,16,U,health,2,2,no,no,yes,yes,4,2,2
MS,16,U,other,1,2,no,yes,yes,yes,3,2,2
MS,16,U,teacher,1,1,no,yes,yes,yes,4,1,2
MS,15,R,other,3,2,no,yes,yes,no,5,5,5
MS,15,U,other,3,4,no,yes,yes,no,5,4,5
MS,15,U,services,1,1,no,yes,yes,yes,4,3,3
MS,16,R,other,1,3,no,no,yes,no,4,3,3
MS,16,U,other,2,2,no,yes,yes,yes,1,2,4
MS,17,U,at_home,2,1,no,yes,yes,no,4,3,3
MS,17,R,other,2,2,yes,yes,yes,no,5,1,3
MS,16,U,teacher,2,3,no,yes,yes,yes,5,3,5
MS,17,R,health,3,1,no,yes,yes,yes,3,3,3
MS,17,R,other,2,1,no,yes,yes,no,5,1,2
MS,17,U,services,1,2,no,no,yes,yes,5,4,4
MS,17,U,health,1,2,no,yes,yes,yes,5,2,5
MS,16,R,other,1,1,no,yes,yes,yes,4,1,2
MS,17,U,at_home,1,2,no,yes,yes,yes,4,5,5
MS,17,R,other,2,2,yes,no,yes,yes,4,3,3
MS,16,U,other,2,2,no,no,yes,yes,4,1,2
MS,17,U,other,2,2,no,yes,yes,yes,4,1,2
MS,19,U,other,1,2,no,yes,no,yes,4,4,3
MS,17,U,other,1,1,no,yes,yes,no,4,1,2
MS,17,R,at_home,2,1,no,yes,no,yes,3,5,5
MS,16,R,other,1,3,yes,no,yes,yes,4,3,4
MS,16,R,other,1,1,no,yes,yes,no,4,4,4
MS,17,R,other,2,2,no,no,yes,yes,5,4,4
MS,17,R,other,2,1,no,yes,no,no,5,5,5
MS,18,R,at_home,3,1,yes,yes,yes,no,4,3,2
MS,17,R,other,2,1,no,no,yes,yes,4,5,5
MS,18,U,at_home,2,2,no,yes,yes,no,4,3,3
MS,16,R,other,1,2,no,yes,yes,no,5,4,3
MS,17,U,other,1,1,no,yes,yes,no,1,2,1
MS,16,R,services,2,1,no,yes,yes,yes,4,5,5
MS,16,R,at_home,2,1,no,yes,yes,yes,4,5,5
MS,18,R,services,2,1,no,yes,no,yes,5,3,3
MS,18,R,services,1,1,no,yes,no,yes,2,3,1
MS,19,U,at_home,2,1,no,yes,yes,no,3,2,1
MS,18,U,at_home,1,2,no,yes,no,yes,4,4,5
MS,16,R,services,2,1,no,yes,yes,yes,5,4,3
MS,19,U,at_home,2,1,no,no,no,yes,4,4,3
MS,16,U,services,2,2,no,yes,yes,no,2,5,5
MS,17,U,other,1,1,no,yes,yes,no,4,3,2
MS,20,R,other,2,1,no,yes,no,yes,4,4,3
MS,18,R,services,1,1,no,yes,yes,yes,5,4,4
MS,18,R,other,2,1,no,no,yes,yes,2,5,5
MS,19,R,other,3,2,no,yes,yes,yes,5,4,4
MS,17,U,health,2,2,no,yes,yes,yes,4,5,4
MS,18,U,at_home,1,1,no,yes,no,yes,4,3,3
MS,19,R,other,3,1,no,yes,yes,yes,4,4,4
MS,18,U,at_home,2,2,no,yes,yes,no,4,3,3
MS,19,U,at_home,1,1,no,yes,no,no,1,4,4
MS,18,R,other,2,1,no,yes,no,yes,5,5,5
MS,17,R,at_home,2,1,no,yes,yes,yes,4,4,3
MS,17,R,other,2,3,no,yes,no,no,4,2,3
MS,17,U,teacher,1,2,yes,yes,yes,yes,5,5,5
MS,18,R,services,1,2,no,yes,yes,yes,2,3,3
MS,17,U,health,1,1,no,yes,yes,no,3,2,2
MS,17,U,at_home,1,1,no,yes,yes,yes,5,5,1
MS,18,U,other,3,2,no,yes,yes,no,3,4,4
MS,18,U,services,2,2,no,no,yes,yes,4,3,5
MS,17,U,services,2,1,no,yes,yes,yes,4,4,3
MS,18,U,at_home,2,2,no,yes,yes,yes,4,4,3
MS,18,U,teacher,2,2,no,no,yes,yes,4,3,5
MS,18,U,services,1,1,no,yes,yes,yes,5,4,5
MS,17,U,other,2,2,no,yes,yes,yes,4,3,3
MS,18,R,at_home,3,2,no,yes,yes,no,4,3,3
MS,18,U,at_home,2,1,no,no,yes,no,4,1,4
MS,18,R,at_home,3,1,no,yes,yes,yes,2,5,5
MS,17,R,other,3,1,no,no,no,no,4,2,3
MS,18,U,other,2,2,no,no,yes,yes,1,3,1
MS,18,U,services,2,3,no,yes,yes,yes,5,4,5
MS,18,R,teacher,1,2,no,yes,yes,yes,5,3,1
MS,18,U,at_home,3,2,no,yes,no,no,4,4,2
MS,19,U,at_home,2,1,no,yes,no,no,5,5,5
MS,17,U,teacher,2,4,no,yes,yes,yes,4,2,3
MS,17,R,services,2,2,no,yes,yes,yes,5,3,3
MS,18,U,at_home,1,2,no,yes,yes,no,5,2,3
MS,18,U,at_home,2,2,no,yes,no,no,4,1,1
MS,19,R,at_home,2,2,no,yes,no,no,3,5,4
MS,18,R,services,2,3,no,yes,yes,yes,4,2,1
MS,17,R,services,2,2,no,no,yes,yes,4,5,5
MS,18,U,services,1,2,no,yes,yes,no,5,3,4
MS,17,R,teacher,2,2,no,yes,yes,yes,4,3,3
MS,17,U,services,2,2,no,yes,yes,no,1,2,3
MS,18,U,other,2,1,no,no,yes,yes,3,3,2
MS,18,U,at_home,2,3,no,yes,yes,yes,5,3,2
MS,18,R,at_home,3,2,no,yes,yes,no,4,3,4
MS,18,U,services,2,2,no,yes,yes,yes,4,3,2
MS,17,U,at_home,1,2,no,yes,yes,yes,2,3,4
MS,17,R,other,2,2,no,no,yes,no,3,2,2
MS,18,R,at_home,2,2,no,yes,yes,no,3,3,4
MS,18,U,teacher,2,3,no,yes,yes,yes,4,2,2
MS,17,R,other,3,1,no,yes,yes,yes,5,2,1
MS,18,U,at_home,2,1,no,yes,yes,yes,5,2,3
MS,18,R,other,3,2,no,no,yes,yes,3,2,2
MS,18,R,at_home,3,1,no,yes,no,yes,4,3,3
MS,17,U,other,1,3,no,yes,yes,no,3,4,3
MS,17,R,other,1,1,no,yes,yes,yes,3,5,5
MS,18,R,other,2,3,no,yes,yes,yes,5,4,4
MS,18,R,other,4,3,no,yes,yes,yes,4,3,2
MS,19,R,at_home,2,2,no,yes,yes,yes,4,3,3
MS,18,R,teacher,1,2,no,yes,yes,yes,5,4,3
MS,18,U,other,1,2,no,yes,yes,yes,4,1,3
MS,17,R,at_home,1,2,no,no,yes,yes,4,5,4
MS,18,U,teacher,1,2,no,no,yes,yes,3,2,4
MS,18,R,other,2,1,no,no,yes,yes,4,4,3
MS,17,U,other,2,2,no,yes,yes,yes,4,4,3
MS,19,R,other,2,1,no,yes,yes,no,4,3,2
MS,18,R,other,2,1,no,yes,yes,no,5,4,3
MS,18,R,at_home,2,3,no,yes,yes,no,5,3,3
MS,17,U,teacher,2,2,no,yes,yes,yes,5,5,4
MS,18,R,teacher,3,1,no,yes,yes,yes,4,4,3
MS,19,R,services,1,3,no,no,yes,yes,5,4,2
MS,18,U,teacher,1,2,no,yes,yes,yes,4,3,4
MS,18,U,other,2,2,no,yes,yes,no,1,1,1
MS,17,U,services,2,1,no,no,yes,yes,2,4,5
MS,18,R,services,3,1,no,no,yes,yes,4,4,1
GP,18,U,at_home,2,2,yes,yes,yes,no,4,3,4
GP,17,U,at_home,1,2,no,no,yes,yes,5,3,3
GP,15,U,at_home,1,2,yes,yes,yes,yes,4,3,2
GP,15,U,health,1,3,no,yes,yes,yes,3,2,2
GP,16,U,other,1,2,no,yes,yes,no,4,3,2
GP,16,U,services,1,2,no,yes,yes,yes,5,4,2
GP,16,U,other,1,2,no,yes,yes,yes,4,4,4
GP,17,U,other,2,2,yes,yes,yes,no,4,1,4
GP,15,U,services,1,2,no,yes,yes,yes,4,2,2
GP,15,U,other,1,2,no,yes,yes,yes,5,5,1
GP,15,U,teacher,1,2,no,yes,yes,yes,3,3,3
GP,15,U,services,3,3,no,yes,yes,yes,5,2,2
GP,15,U,health,1,1,no,yes,yes,yes,4,3,3
GP,15,U,teacher,2,2,no,yes,yes,yes,5,4,3
GP,15,U,other,1,3,no,yes,yes,yes,4,5,2
GP,16,U,health,1,1,no,yes,yes,yes,4,4,4
GP,16,U,services,1,3,no,yes,yes,yes,3,2,3
GP,16,U,other,3,2,yes,yes,yes,no,5,3,2
GP,17,U,services,1,1,no,yes,yes,yes,5,5,5
GP,16,U,health,1,1,no,yes,yes,yes,3,1,3
GP,15,U,teacher,1,2,no,yes,yes,yes,4,4,1
GP,15,U,health,1,1,no,yes,yes,yes,5,4,2
GP,16,U,teacher,1,2,no,yes,yes,yes,4,5,1
GP,16,U,other,2,2,no,yes,yes,yes,5,4,4
GP,15,R,services,1,3,yes,yes,yes,yes,4,3,2
GP,16,U,services,1,1,no,no,yes,yes,1,2,2
GP,15,U,other,1,1,no,yes,yes,yes,4,2,2
GP,15,U,health,1,1,no,yes,yes,yes,2,2,4
GP,16,U,services,1,2,yes,yes,yes,yes,5,3,3
GP,16,U,teacher,1,2,no,yes,yes,yes,4,4,5
GP,15,U,health,1,2,no,no,yes,yes,5,4,2
GP,15,U,services,2,2,no,yes,yes,yes,4,3,1
GP,15,R,teacher,1,2,no,yes,yes,yes,4,5,2
GP,15,U,other,1,2,no,no,yes,yes,5,3,2
GP,16,U,other,1,1,no,no,yes,yes,5,4,3
GP,15,U,other,2,1,no,yes,yes,no,3,5,1
GP,15,U,teacher,1,3,no,yes,yes,yes,5,4,3
GP,16,R,other,2,3,no,yes,yes,yes,2,4,3
GP,15,R,services,1,3,yes,yes,yes,yes,4,3,2
GP,15,R,at_home,1,1,yes,yes,yes,no,4,3,1
GP,16,U,other,2,2,no,no,yes,yes,3,3,3
GP,15,U,teacher,1,1,no,no,yes,yes,5,4,3
GP,15,U,services,1,2,no,yes,yes,yes,4,3,3
GP,15,U,services,1,1,yes,yes,yes,yes,5,4,1
GP,16,U,other,2,2,yes,yes,yes,yes,4,3,3
GP,15,U,other,1,2,yes,yes,yes,yes,5,2,2
GP,16,U,other,1,2,no,yes,yes,yes,2,3,5
GP,16,U,health,1,4,no,yes,yes,yes,4,2,2
GP,15,U,teacher,1,2,no,yes,yes,no,4,3,3
GP,15,U,services,1,2,yes,no,yes,yes,4,4,4
GP,16,U,services,3,2,no,yes,yes,yes,4,3,3
GP,15,U,health,1,2,no,yes,yes,yes,4,3,3
GP,15,U,health,2,1,no,yes,yes,no,5,5,5
GP,15,U,services,1,1,yes,yes,yes,yes,3,3,4
GP,15,U,other,1,1,no,yes,yes,yes,5,3,4
GP,16,U,other,1,2,no,yes,yes,yes,5,3,4
GP,15,U,services,1,2,no,yes,yes,yes,4,3,2
GP,15,U,teacher,1,2,no,yes,yes,no,3,2,2
GP,15,U,other,1,2,yes,yes,yes,yes,4,3,2
GP,16,U,services,1,2,no,yes,yes,yes,4,2,3
GP,16,R,health,1,2,no,yes,yes,no,2,4,4
GP,16,U,services,4,1,yes,no,yes,yes,5,5,5
GP,16,U,other,1,2,yes,yes,yes,yes,4,4,3
GP,16,U,teacher,1,3,yes,yes,yes,yes,3,4,4
GP,15,U,services,1,2,yes,yes,yes,yes,4,4,4
GP,16,U,teacher,3,2,no,yes,yes,yes,5,4,3
GP,15,U,other,1,4,no,no,yes,yes,1,3,3
GP,16,U,services,1,4,yes,yes,yes,yes,4,3,3
GP,15,R,health,2,2,yes,yes,yes,yes,4,1,3
GP,15,R,other,2,4,no,no,yes,yes,4,4,2
GP,16,U,other,2,4,no,yes,yes,yes,4,3,2
GP,15,U,other,1,4,no,yes,yes,yes,3,3,3
GP,15,R,other,1,2,yes,no,yes,yes,3,3,4
GP,16,U,other,1,1,no,yes,yes,no,5,3,2
GP,16,U,other,1,2,yes,yes,yes,yes,4,3,3
GP,15,U,teacher,1,2,no,yes,yes,yes,4,3,3
GP,15,U,teacher,2,4,no,yes,yes,yes,3,4,3
GP,16,U,other,1,4,no,yes,yes,yes,5,2,3
GP,17,U,other,2,1,yes,yes,no,yes,4,5,1
GP,16,U,at_home,1,2,no,yes,yes,yes,2,4,3
GP,15,U,other,1,1,yes,no,yes,yes,3,2,2
GP,15,U,other,1,3,yes,no,yes,yes,5,3,2
GP,15,U,services,1,2,no,yes,yes,yes,4,4,4
GP,15,U,services,2,2,no,yes,yes,yes,5,3,3
GP,15,U,other,1,2,no,no,yes,yes,4,3,2
GP,15,U,services,2,2,no,yes,yes,yes,4,4,4
GP,16,U,at_home,1,2,no,yes,yes,no,4,3,4
GP,15,U,other,1,3,no,yes,yes,yes,5,3,3
GP,16,U,services,2,2,no,no,yes,yes,4,4,2
GP,16,U,teacher,1,2,no,yes,yes,no,4,1,3
GP,16,U,other,1,3,no,yes,yes,yes,4,3,3
GP,15,U,services,1,1,no,yes,yes,yes,4,5,5
GP,16,U,other,1,2,yes,yes,yes,no,3,3,3
GP,16,U,teacher,2,2,no,yes,yes,yes,5,3,3
GP,15,U,services,1,4,no,yes,yes,yes,4,3,4
GP,15,R,at_home,2,4,yes,yes,yes,yes,3,1,2
GP,16,R,services,2,1,yes,no,yes,yes,3,3,3
GP,16,U,other,1,2,no,yes,yes,no,4,3,5
GP,16,U,other,1,1,no,no,yes,yes,5,3,4
GP,16,U,other,1,3,yes,yes,yes,yes,5,3,5
GP,16,U,services,1,1,yes,yes,yes,yes,4,5,5
GP,16,U,services,1,3,no,yes,yes,yes,4,4,3
GP,15,U,services,1,1,no,no,yes,yes,5,3,3
GP,15,U,services,2,2,yes,yes,yes,yes,4,3,5
GP,15,U,services,1,2,no,yes,yes,yes,5,4,4
GP,15,U,other,1,4,yes,yes,yes,no,4,3,3
GP,15,U,other,1,4,yes,yes,yes,yes,5,1,2
GP,16,U,services,1,3,no,yes,yes,yes,5,3,3
GP,15,R,other,4,4,no,yes,yes,yes,1,3,5
GP,16,U,health,1,3,no,yes,yes,yes,5,4,5
GP,15,U,teacher,1,1,no,yes,yes,yes,5,5,3
GP,16,R,services,1,3,yes,yes,yes,yes,4,1,2
GP,16,U,at_home,1,2,yes,yes,yes,yes,3,1,2
GP,15,U,teacher,1,1,no,yes,yes,yes,3,5,2
GP,15,R,health,1,2,no,yes,yes,yes,5,4,2
GP,16,U,teacher,1,2,no,yes,yes,yes,5,4,4
GP,15,U,other,2,2,no,yes,yes,no,4,4,3
GP,16,U,other,2,1,no,yes,yes,yes,5,4,2
GP,17,R,other,3,2,no,yes,yes,yes,5,2,4
GP,15,U,other,1,1,no,yes,yes,yes,3,4,3
GP,15,U,at_home,1,2,no,no,yes,yes,3,2,3
GP,15,U,services,1,4,no,yes,yes,yes,5,5,4
GP,16,U,other,2,2,no,yes,yes,yes,4,2,2
GP,16,U,health,1,1,no,yes,yes,yes,3,4,4
GP,16,U,other,1,2,no,yes,yes,yes,5,4,4
GP,15,U,services,1,1,yes,yes,yes,yes,5,5,5
GP,15,U,other,1,2,yes,yes,yes,yes,5,3,2
GP,19,U,at_home,1,2,no,no,no,no,3,4,2
GP,18,R,services,1,1,no,yes,yes,yes,3,3,3
GP,16,R,teacher,1,1,no,yes,yes,yes,3,5,5
GP,15,R,services,2,3,no,yes,yes,yes,4,2,2
GP,15,U,at_home,3,1,no,no,yes,yes,4,3,3
GP,17,U,other,1,1,no,yes,yes,yes,3,4,4
GP,16,U,services,1,1,no,yes,yes,yes,3,2,1
GP,15,R,at_home,4,2,no,yes,yes,no,5,3,3
GP,15,U,services,1,3,no,yes,yes,yes,4,3,3
GP,17,R,at_home,3,2,no,yes,yes,no,5,4,5
GP,16,U,other,2,1,no,no,yes,yes,4,3,2
GP,16,U,services,1,2,no,yes,yes,no,4,4,4
GP,15,U,teacher,2,1,no,yes,yes,yes,4,3,2
GP,15,U,teacher,2,4,yes,yes,yes,yes,2,2,2
GP,16,U,services,2,1,no,yes,yes,yes,2,3,3
GP,15,U,teacher,1,3,no,yes,yes,yes,4,2,2
GP,16,U,at_home,1,1,no,yes,yes,yes,3,4,4
GP,17,U,other,1,1,no,yes,yes,yes,5,4,5
GP,15,U,other,1,2,no,yes,yes,yes,4,4,2
GP,15,U,health,1,2,no,yes,yes,yes,3,3,2
GP,15,U,at_home,1,2,no,no,yes,yes,4,3,2
GP,16,U,teacher,1,1,no,yes,no,yes,3,3,2
GP,15,U,services,4,1,no,yes,yes,yes,4,5,5
GP,18,U,other,1,1,no,yes,no,yes,2,3,5
GP,16,U,at_home,1,1,no,yes,yes,no,4,4,4
GP,15,R,services,2,3,no,yes,yes,yes,4,2,1
GP,19,U,services,1,1,no,yes,no,yes,4,5,4
GP,17,U,other,1,1,yes,yes,yes,no,4,2,1
GP,15,R,at_home,1,2,yes,yes,yes,no,4,4,4
GP,17,R,other,1,1,no,yes,yes,no,2,2,2
GP,18,R,at_home,3,1,no,no,yes,no,5,2,5
GP,16,R,at_home,3,1,no,no,yes,no,4,2,2
GP,16,U,other,1,2,no,yes,yes,yes,4,5,5
GP,17,R,at_home,2,1,no,yes,no,yes,3,3,2
GP,15,R,other,2,2,yes,yes,yes,yes,4,4,4
GP,16,U,other,2,1,no,yes,yes,no,4,4,4
GP,17,U,at_home,1,1,no,yes,no,yes,5,3,3
GP,17,R,other,4,2,no,yes,no,no,5,3,5
GP,16,U,services,2,1,no,no,no,no,4,5,2
GP,16,U,other,1,2,no,yes,no,yes,4,3,5
GP,16,U,health,1,2,no,yes,yes,yes,4,2,3
GP,16,U,other,1,2,no,no,yes,yes,5,1,5
GP,16,U,health,1,2,no,yes,yes,yes,4,4,2
GP,16,U,other,3,1,no,no,yes,yes,3,4,5
GP,16,U,other,2,2,no,yes,yes,yes,4,3,2
GP,17,U,teacher,1,2,no,yes,yes,yes,4,4,4
GP,16,U,at_home,1,2,no,no,yes,yes,4,3,5
GP,16,U,other,2,2,no,yes,yes,yes,4,4,5
GP,17,U,teacher,2,2,no,yes,yes,yes,4,4,4
GP,16,U,services,2,2,no,no,yes,yes,3,4,4
GP,17,U,other,1,2,no,no,yes,yes,4,3,4
GP,16,R,teacher,1,1,no,yes,yes,yes,4,3,3
GP,17,U,other,1,2,no,yes,yes,yes,5,2,3
GP,16,U,teacher,1,2,no,yes,yes,yes,3,4,3
GP,16,U,services,1,2,no,yes,yes,yes,4,2,3
GP,17,U,services,1,2,no,yes,yes,no,5,4,2
GP,17,U,other,1,2,no,yes,yes,yes,5,3,3
GP,16,U,other,1,2,no,yes,yes,yes,1,2,2
GP,17,U,services,1,2,no,yes,yes,yes,4,3,4
GP,16,U,services,1,1,no,yes,yes,yes,3,3,3
GP,16,U,other,1,2,no,yes,yes,yes,4,2,3
GP,17,U,health,1,2,no,no,yes,yes,3,3,3
GP,17,R,at_home,1,2,no,yes,yes,no,3,1,3
GP,16,U,services,1,2,no,yes,yes,yes,4,3,3
GP,17,U,at_home,1,2,no,yes,yes,yes,5,3,3
GP,17,U,at_home,2,2,no,no,yes,yes,4,4,4
GP,16,R,services,1,1,no,yes,yes,yes,4,3,2
GP,16,U,other,2,1,no,yes,yes,yes,5,3,3
GP,17,U,services,1,2,no,yes,yes,yes,4,3,2
GP,17,U,services,1,1,no,yes,yes,yes,5,2,3
GP,16,R,teacher,3,1,no,yes,yes,yes,3,3,4
GP,17,U,services,2,1,no,yes,yes,yes,4,2,4
GP,16,U,teacher,1,2,no,yes,yes,yes,4,5,2
GP,16,U,health,1,2,no,yes,yes,yes,4,3,5
GP,16,U,other,1,2,yes,yes,yes,no,4,4,3
GP,17,U,other,1,2,no,no,yes,no,4,4,4
GP,17,R,other,1,1,no,yes,yes,yes,5,3,2
GP,16,R,services,2,4,no,no,yes,yes,5,3,5
GP,17,U,at_home,1,3,no,yes,yes,yes,4,4,3
GP,16,U,services,1,2,no,yes,yes,yes,2,3,3
GP,16,U,teacher,1,2,no,yes,yes,yes,1,3,2
GP,16,U,at_home,2,1,no,yes,yes,no,4,3,2
GP,17,R,teacher,2,3,no,yes,yes,yes,4,4,2
GP,19,U,other,1,4,no,yes,yes,yes,4,3,3
GP,17,U,services,1,2,no,yes,yes,yes,5,3,5
GP,16,U,other,1,2,yes,yes,yes,yes,3,3,4
GP,18,U,services,1,2,no,yes,yes,yes,4,4,4
GP,17,R,services,1,1,no,yes,yes,no,5,2,1
GP,17,U,other,2,2,no,yes,yes,yes,4,4,4
GP,17,U,other,1,2,no,yes,yes,yes,3,4,5
GP,18,U,services,1,2,no,yes,yes,yes,3,2,4
GP,17,U,at_home,2,1,no,yes,yes,no,3,3,3
GP,17,U,at_home,1,3,no,yes,yes,yes,4,3,3
GP,17,R,at_home,2,2,no,yes,yes,yes,4,2,5
GP,17,U,at_home,1,3,no,yes,yes,no,4,3,4
GP,16,U,services,1,2,yes,yes,yes,yes,2,3,1
GP,18,U,other,2,2,no,yes,yes,yes,3,3,3
GP,16,U,teacher,1,3,no,no,yes,yes,5,3,2
GP,18,R,other,1,2,no,yes,yes,yes,5,3,3
GP,17,U,other,1,2,no,no,yes,yes,5,3,4
GP,17,U,services,1,2,no,no,yes,yes,5,3,3
GP,18,U,at_home,4,2,yes,yes,yes,yes,4,3,2
GP,17,U,other,2,3,no,yes,yes,yes,3,2,3
GP,17,U,health,1,2,no,yes,yes,yes,3,2,3
GP,17,R,other,2,2,no,yes,yes,yes,4,5,2
GP,17,U,teacher,1,2,yes,yes,yes,yes,4,5,5
GP,16,U,health,1,2,no,yes,yes,yes,4,2,4
GP,16,U,other,2,2,no,yes,yes,yes,3,4,2
GP,16,U,at_home,2,3,no,yes,yes,yes,5,3,3
GP,17,U,other,1,2,no,no,yes,yes,4,4,2
GP,16,U,other,1,1,no,yes,yes,yes,4,5,2
GP,17,R,at_home,3,2,no,yes,yes,no,2,1,1
GP,18,U,other,1,2,no,yes,no,yes,5,5,4
GP,17,U,health,2,2,no,yes,yes,yes,2,5,5
GP,17,R,teacher,2,2,no,yes,yes,yes,3,3,3
GP,16,U,teacher,1,1,no,no,yes,yes,5,4,5
GP,16,U,services,1,1,no,yes,yes,yes,5,3,2
GP,18,U,other,2,3,no,no,yes,yes,4,4,4
GP,16,U,other,3,1,no,yes,yes,yes,4,3,3
GP,17,U,other,2,1,no,yes,yes,yes,5,2,2
GP,22,U,services,1,1,no,no,no,yes,5,4,5
GP,18,R,other,1,2,no,yes,yes,yes,4,3,3
GP,16,U,other,1,1,no,no,yes,yes,4,3,2
GP,18,U,services,2,1,no,yes,no,yes,4,4,5
GP,16,U,at_home,3,2,yes,no,yes,yes,5,3,3
GP,18,U,services,1,1,no,no,no,yes,3,2,5
GP,16,R,other,2,1,no,no,yes,no,3,3,2
GP,17,R,other,1,1,no,no,yes,yes,4,4,2
GP,17,U,health,2,1,no,yes,yes,yes,4,4,4
GP,17,U,teacher,1,4,no,yes,yes,yes,4,2,3
GP,19,U,services,1,2,no,yes,yes,yes,4,3,1
GP,18,U,other,1,2,no,yes,yes,yes,5,2,4
GP,17,U,services,1,4,no,yes,yes,yes,3,4,1
GP,18,U,services,1,2,no,yes,yes,yes,3,1,2
GP,18,U,teacher,1,2,no,no,yes,yes,4,3,2
GP,18,R,other,1,3,no,no,yes,no,5,3,2
GP,17,U,other,1,3,no,no,yes,no,3,2,3
GP,18,U,at_home,1,3,no,yes,yes,yes,4,3,3
GP,18,R,other,2,2,no,yes,yes,yes,4,2,5
GP,17,U,services,1,2,no,yes,yes,yes,5,4,4
GP,18,R,teacher,2,2,no,yes,yes,yes,4,3,4
GP,18,U,health,1,2,no,yes,yes,yes,5,4,5
GP,18,R,other,2,2,no,yes,no,yes,4,3,5
GP,19,U,other,1,2,no,yes,yes,yes,4,3,5
GP,18,U,other,1,4,no,yes,yes,yes,4,5,5
GP,18,U,other,2,2,no,no,yes,no,4,4,3
