A,E,F,G,H,I,L,O,R,T,Z
MS,GT3,T,3,1,other,mother,0,no,yes,3
MS,GT3,T,3,2,services,mother,0,no,yes,3
MS,LE3,T,1,1,other,mother,0,no,yes,5
MS,GT3,T,4,4,health,father,0,no,no,3
MS,LE3,T,1,2,other,mother,0,no,yes,5
MS,GT3,A,2,4,other,father,1,no,yes,2
MS,GT3,T,2,1,other,mother,0,no,yes,1
MS,LE3,T,1,1,at_home,mother,0,no,yes,2
MS,GT3,T,2,3,at_home,mother,0,no,yes,3
MS,GT3,T,4,4,health,mother,0,no,yes,4
MS,LE3,T,4,4,at_home,mother,0,no,yes,5
MS,LE3,T,3,4,at_home,mother,0,no,no,1
MS,LE3,T,4,4,other,mother,0,no,yes,3
MS,GT3,T,4,1,other,mother,0,no,yes,3
MS,LE3,T,2,2,services,mother,0,no,yes,3
MS,GT3,T,2,2,at_home,mother,0,yes,yes,3
MS,LE3,T,4,4,services,father,0,no,yes,3
MS,GT3,T,3,3,services,mother,0,no,yes,4
MS,GT3,T,1,1,at_home,mother,0,no,yes,3
MS,GT3,T,2,1,health,mother,0,no,no,2
MS,LE3,T,2,1,other,mother,0,no,yes,2
MS,LE3,T,4,4,teacher,father,0,no,yes,2
MS,GT3,T,1,2,other,mother,0,no,yes,5
MS,LE3,A,2,2,other,mother,0,no,yes,5
MS,LE3,A,2,1,services,mother,0,no,yes,3
MS,LE3,T,2,2,other,mother,0,no,no,3
MS,LE3,T,4,1,other,mother,0,no,yes,4
MS,GT3,T,3,2,at_home,mother,0,no,yes,3
MS,GT3,T,2,2,other,mother,0,yes,yes,3
MS,GT3,T,4,4,teacher,mother,0,no,yes,5
MS,GT3,T,4,4,health,father,3,no,yes,3
MS,LE3,T,1,3,other,father,0,no,yes,2
MS,GT3,T,3,4,services,mother,1,no,no,4
MS,GT3,T,4,4,health,father,0,no,yes,5
MS,LE3,T,4,1,other,father,0,no,yes,2
MS,GT3,A,1,1,at_home,mother,0,no,yes,5
MS,GT3,T,4,2,other,mother,0,no,no,3
MS,LE3,A,2,2,other,father,0,no,no,2
MS,GT3,T,3,2,other,father,0,yes,yes,2
MS,GT3,T,1,1,other,mother,2,no,yes,3
MS,LE3,A,1,0,other,mother,0,no,yes,2
MS,GT3,T,1,1,at_home,father,0,no,yes,5
MS,GT3,T,1,2,other,father,0,no,no,4
MS,LE3,T,1,2,other,mother,0,no,yes,4
MS,GT3,T,3,1,other,mother,3,no,no,4
MS,GT3,T,2,2,other,mother,0,no,yes,5
MS,GT3,T,1,0,at_home,other,1,no,yes,2
MS,GT3,T,1,1,other,mother,0,no,no,5
MS,LE3,T,1,1,at_home,mother,0,no,yes,3
MS,LE3,T,2,2,other,father,0,no,yes,3
MS,GT3,T,2,2,other,mother,1,no,yes,1
MS,GT3,T,3,2,services,father,0,no,yes,5
MS,LE3,T,1,1,at_home,mother,0,no,yes,5
MS,GT3,T,1,1,services,other,1,no,yes,3
MS,GT3,T,3,2,services,mother,1,no,yes,1
MS,GT3,T,3,2,at_home,mother,3,no,yes,1
MS,GT3,T,3,3,at_home,mother,2,no,yes,5
MS,GT3,T,2,2,services,mother,0,no,yes,3
MS,GT3,T,2,1,at_home,other,3,no,no,3
MS,GT3,A,3,2,services,mother,2,no,yes,5
MS,GT3,T,1,1,other,mother,0,no,yes,2
MS,GT3,T,1,1,other,other,1,no,yes,3
MS,GT3,A,4,3,services,mother,0,no,yes,4
MS,GT3,T,3,2,other,mother,0,no,no,5
MS,GT3,T,1,1,other,other,1,no,yes,4
MS,GT3,T,3,3,health,mother,1,no,yes,4
MS,LE3,T,1,3,at_home,mother,0,no,yes,3
MS,GT3,T,1,1,other,other,1,no,yes,4
MS,GT3,A,1,2,at_home,mother,2,no,yes,3
MS,LE3,A,1,1,at_home,mother,0,no,yes,4
MS,GT3,T,2,2,other,mother,1,no,yes,5
MS,GT3,T,0,0,at_home,mother,0,no,yes,3
MS,LE3,A,3,1,other,other,0,yes,yes,3
MS,GT3,T,4,2,teacher,mother,0,no,yes,5
MS,LE3,T,2,2,services,mother,1,no,yes,3
MS,GT3,T,4,1,health,mother,0,no,yes,2
MS,LE3,T,1,2,at_home,father,0,no,yes,1
MS,GT3,T,1,1,other,mother,2,no,yes,4
MS,GT3,T,2,2,services,father,0,no,no,5
MS,GT3,T,3,3,services,mother,0,no,yes,3
MS,LE3,A,1,2,at_home,mother,0,no,yes,3
MS,GT3,T,4,4,teacher,mother,0,no,no,5
MS,LE3,T,4,4,services,mother,0,no,yes,5
MS,GT3,T,4,2,other,mother,0,no,yes,3
MS,GT3,T,2,2,at_home,mother,1,no,yes,3
MS,LE3,T,1,2,at_home,mother,0,no,no,4
MS,GT3,T,4,4,at_home,mother,0,yes,yes,5
MS,GT3,T,1,1,other,father,0,no,no,3
MS,GT3,T,2,2,other,mother,0,no,no,1
MS,LE3,T,2,2,services,father,0,no,yes,5
MS,LE3,A,4,2,teacher,mother,0,no,yes,1
MS,GT3,T,1,1,at_home,mother,1,no,yes,2
MS,GT3,T,1,1,at_home,father,1,no,yes,5
MS,GT3,T,4,2,teacher,father,0,no,yes,3
MS,LE3,A,2,1,services,mother,0,no,yes,3
MS,LE3,A,1,1,at_home,mother,0,no,yes,3
MS,GT3,T,1,2,at_home,father,0,no,yes,1
MS,GT3,A,1,1,at_home,other,3,no,yes,4
MS,GT3,T,2,2,services,mother,0,no,yes,1
MS,GT3,T,4,3,services,mother,1,yes,no,5
MS,GT3,T,3,3,services,father,0,no,yes,4
MS,GT3,T,4,4,teacher,father,0,yes,yes,3
MS,LE3,A,3,2,services,mother,0,no,yes,3
MS,LE3,T,1,1,other,father,0,no,no,2
MS,LE3,T,1,1,at_home,father,0,no,yes,2
MS,LE3,A,1,2,at_home,mother,0,no,yes,4
MS,GT3,T,3,3,services,mother,0,no,yes,2
MS,LE3,T,4,4,at_home,mother,0,no,yes,4
MS,GT3,T,1,2,other,father,0,no,no,2
MS,GT3,T,1,3,at_home,mother,0,yes,yes,4
MS,LE3,T,4,4,teacher,mother,0,no,yes,2
MS,GT3,T,1,1,other,mother,1,no,yes,1
MS,GT3,T,2,3,at_home,father,0,no,yes,3
MS,GT3,T,4,4,other,father,0,no,no,2
MS,LE3,T,1,2,at_home,father,0,no,yes,3
MS,GT3,T,2,2,other,mother,0,no,yes,3
MS,GT3,T,1,2,other,mother,0,no,yes,5
MS,LE3,T,4,4,other,mother,0,no,yes,4
MS,GT3,T,1,1,other,mother,0,no,yes,2
MS,GT3,T,1,1,at_home,other,1,no,yes,3
MS,LE3,T,4,4,teacher,mother,0,no,yes,3
MS,GT3,T,3,3,other,mother,0,no,yes,3
MS,GT3,T,3,1,at_home,mother,0,no,no,4
MS,GT3,T,4,4,teacher,father,0,no,no,4
MS,GT3,T,2,1,other,mother,0,no,no,3
MS,GT3,T,2,3,other,father,0,no,yes,3
MS,GT3,T,1,1,other,mother,1,no,yes,2
MS,GT3,T,4,2,other,father,1,yes,yes,3
MS,GT3,T,2,2,at_home,mother,0,no,yes,3
MS,GT3,T,4,3,teacher,mother,0,no,yes,4
MS,GT3,T,4,4,teacher,mother,0,no,yes,3
MS,GT3,T,2,3,services,mother,1,no,no,2
MS,LE3,T,3,1,teacher,mother,0,no,yes,4
MS,GT3,T,1,1,other,mother,0,no,yes,1
MS,LE3,T,3,1,services,mother,0,no,no,5
MS,LE3,T,3,2,services,mother,0,no,no,1
GP,GT3,A,4,4,at_home,mother,0,no,yes,4
GP,GT3,T,1,1,at_home,father,0,no,no,3
GP,LE3,T,1,1,at_home,mother,3,yes,yes,2
GP,GT3,T,4,2,health,mother,0,yes,yes,2
GP,GT3,T,3,3,other,father,0,yes,yes,2
GP,LE3,T,4,3,services,mother,0,yes,yes,2
GP,LE3,T,2,2,other,mother,0,no,yes,4
GP,GT3,A,4,4,other,mother,0,no,yes,4
GP,LE3,A,3,2,services,mother,0,yes,yes,2
GP,GT3,T,3,4,other,mother,0,yes,yes,1
GP,GT3,T,4,4,teacher,mother,0,yes,yes,3
GP,GT3,T,2,1,services,father,0,no,yes,2
GP,LE3,T,4,4,health,father,0,yes,yes,3
GP,GT3,T,4,3,teacher,mother,0,yes,yes,3
GP,GT3,A,2,2,other,other,0,no,yes,2
GP,GT3,T,4,4,health,mother,0,no,yes,4
GP,GT3,T,4,4,services,mother,0,yes,yes,3
GP,GT3,T,3,3,other,mother,0,no,yes,2
GP,GT3,T,3,2,services,mother,3,no,yes,5
GP,LE3,T,4,3,health,father,0,yes,yes,3
GP,GT3,T,4,3,teacher,mother,0,no,yes,1
GP,GT3,T,4,4,health,father,0,yes,yes,2
GP,LE3,T,4,2,teacher,mother,0,no,yes,1
GP,LE3,T,2,2,other,mother,0,no,yes,4
GP,GT3,T,2,4,services,mother,0,yes,yes,2
GP,GT3,T,2,2,services,mother,2,yes,no,2
GP,GT3,T,2,2,other,mother,0,yes,yes,2
GP,GT3,T,4,2,health,mother,0,yes,yes,4
GP,LE3,A,3,4,services,mother,0,no,yes,3
GP,GT3,T,4,4,teacher,mother,0,yes,yes,5
GP,GT3,T,4,4,health,mother,0,yes,no,2
GP,GT3,T,4,4,services,mother,0,no,yes,1
GP,GT3,T,4,3,teacher,mother,0,no,yes,2
GP,LE3,T,3,3,other,mother,0,no,no,2
GP,GT3,T,3,2,other,mother,0,yes,no,3
GP,GT3,T,2,3,other,father,0,no,yes,1
GP,LE3,T,4,3,teacher,mother,0,no,yes,3
GP,GT3,A,4,4,other,mother,0,no,yes,3
GP,GT3,T,3,4,services,mother,0,yes,yes,2
GP,GT3,T,2,2,at_home,mother,0,yes,yes,1
GP,LE3,T,2,2,other,mother,1,no,no,3
GP,LE3,T,4,4,teacher,other,0,no,no,3
GP,GT3,T,4,4,services,father,0,no,yes,3
GP,GT3,T,2,2,services,father,0,no,yes,1
GP,LE3,T,2,2,other,father,1,no,yes,3
GP,LE3,A,4,3,other,mother,0,yes,yes,2
GP,LE3,A,3,3,other,mother,0,no,yes,5
GP,GT3,T,4,3,health,mother,0,no,yes,2
GP,GT3,T,4,2,teacher,mother,0,yes,yes,3
GP,GT3,T,4,4,services,father,1,no,no,4
GP,LE3,T,2,2,services,mother,0,yes,yes,3
GP,LE3,T,4,2,health,mother,0,yes,yes,3
GP,LE3,A,4,2,health,father,1,no,yes,5
GP,GT3,T,4,4,services,mother,0,yes,yes,4
GP,LE3,A,3,3,other,mother,0,yes,yes,4
GP,GT3,A,2,1,other,mother,0,yes,yes,4
GP,GT3,A,4,3,services,mother,0,yes,yes,2
GP,GT3,T,4,4,teacher,mother,0,no,yes,2
GP,LE3,T,1,2,other,father,0,no,yes,2
GP,GT3,T,4,2,services,mother,0,no,yes,3
GP,GT3,T,4,4,health,mother,0,no,yes,4
GP,GT3,T,1,1,services,father,0,no,no,5
GP,LE3,T,1,2,other,father,0,no,yes,3
GP,GT3,T,4,3,teacher,mother,0,yes,yes,4
GP,LE3,T,4,3,services,father,0,no,yes,4
GP,LE3,T,4,3,teacher,mother,0,no,yes,3
GP,GT3,A,4,4,other,mother,0,no,no,3
GP,GT3,T,3,1,services,mother,0,yes,yes,3
GP,LE3,T,2,2,health,mother,0,yes,yes,3
GP,LE3,T,3,1,other,father,0,no,no,2
GP,GT3,T,3,1,other,father,0,yes,yes,2
GP,GT3,T,4,2,other,mother,0,no,yes,3
GP,GT3,T,1,1,other,mother,2,no,no,4
GP,GT3,T,3,1,other,mother,0,no,yes,2
GP,GT3,T,3,3,other,mother,0,yes,yes,3
GP,GT3,T,4,3,teacher,mother,0,yes,yes,3
GP,GT3,T,4,0,teacher,mother,0,no,yes,3
GP,GT3,T,2,2,other,mother,0,yes,yes,3
GP,GT3,T,2,1,other,mother,3,no,yes,1
GP,GT3,T,3,4,at_home,mother,0,no,yes,3
GP,GT3,T,2,3,other,father,0,yes,no,2
GP,GT3,T,2,3,other,mother,0,yes,no,2
GP,LE3,T,3,2,services,mother,0,yes,yes,4
GP,LE3,T,2,2,services,mother,0,yes,yes,3
GP,GT3,T,1,1,other,father,0,no,no,2
GP,GT3,T,4,4,services,father,2,yes,yes,4
GP,LE3,T,2,2,at_home,mother,0,no,yes,4
GP,GT3,T,4,2,other,mother,0,no,yes,3
GP,GT3,T,2,2,services,father,1,yes,no,2
GP,LE3,A,4,4,teacher,mother,0,no,yes,3
GP,GT3,T,3,3,other,mother,0,yes,yes,3
GP,GT3,T,4,3,services,mother,0,yes,yes,5
GP,LE3,T,3,1,other,father,0,no,yes,3
GP,GT3,T,4,2,teacher,mother,0,yes,yes,3
GP,LE3,T,2,2,services,mother,0,no,yes,4
GP,GT3,T,1,1,at_home,mother,1,yes,yes,2
GP,GT3,T,4,3,services,mother,0,no,no,3
GP,GT3,T,2,1,other,mother,0,yes,yes,5
GP,GT3,T,4,4,other,mother,0,no,no,4
GP,GT3,T,4,3,other,mother,0,yes,yes,5
GP,GT3,T,4,4,services,mother,0,yes,yes,5
GP,GT3,T,4,4,services,father,0,no,yes,3
GP,GT3,T,4,4,services,mother,0,no,no,3
GP,GT3,T,3,2,services,mother,0,yes,yes,5
GP,GT3,A,3,4,services,mother,0,yes,yes,4
GP,GT3,A,3,3,other,father,0,no,yes,3
GP,GT3,T,2,2,other,mother,0,yes,yes,2
GP,GT3,T,3,3,services,father,0,no,yes,3
GP,GT3,T,4,4,other,father,0,yes,yes,5
GP,LE3,T,4,4,health,mother,0,yes,yes,5
GP,LE3,A,4,4,teacher,mother,0,no,yes,3
GP,GT3,T,3,3,services,father,1,no,yes,2
GP,GT3,T,2,2,at_home,mother,1,no,yes,2
GP,LE3,T,4,2,teacher,mother,0,no,yes,2
GP,GT3,T,2,1,health,mother,0,no,yes,2
GP,GT3,T,4,4,teacher,father,0,no,yes,4
GP,GT3,T,4,4,other,father,0,no,yes,3
GP,GT3,T,3,3,other,father,0,no,yes,2
GP,GT3,T,1,3,other,father,1,no,yes,4
GP,GT3,T,3,4,other,father,0,no,yes,3
GP,GT3,T,1,2,at_home,mother,0,no,no,3
GP,GT3,T,2,2,services,father,0,yes,yes,4
GP,LE3,T,2,4,other,father,0,yes,yes,2
GP,GT3,T,4,4,health,mother,0,no,yes,4
GP,GT3,T,2,2,other,mother,0,yes,yes,4
GP,GT3,T,3,4,services,father,0,no,yes,5
GP,LE3,A,3,4,other,mother,0,no,yes,2
GP,GT3,T,0,1,at_home,other,3,no,no,2
GP,GT3,T,2,2,services,mother,2,no,yes,3
GP,GT3,T,4,4,teacher,mother,0,yes,yes,5
GP,GT3,T,3,4,services,father,2,no,yes,2
GP,GT3,T,1,1,at_home,mother,0,no,no,3
GP,LE3,T,2,2,other,father,0,no,yes,4
GP,GT3,A,3,4,services,father,0,no,yes,1
GP,GT3,T,3,4,at_home,mother,0,no,yes,3
GP,GT3,T,4,4,services,mother,0,no,yes,3
GP,GT3,T,3,4,at_home,mother,0,no,yes,5
GP,GT3,A,3,3,other,other,2,no,no,2
GP,LE3,T,1,1,services,mother,1,no,yes,4
GP,GT3,T,4,4,teacher,mother,0,no,yes,2
GP,GT3,T,4,3,teacher,father,0,no,yes,2
GP,LE3,T,2,2,services,father,2,no,yes,3
GP,GT3,T,4,4,teacher,mother,0,yes,yes,2
GP,LE3,T,1,1,at_home,mother,0,no,yes,4
GP,GT3,T,2,1,other,mother,3,no,yes,5
GP,GT3,T,1,1,other,father,0,yes,yes,2
GP,GT3,T,3,2,health,father,3,no,yes,2
GP,GT3,T,1,2,at_home,mother,0,yes,no,2
GP,GT3,T,4,4,teacher,mother,0,no,yes,2
GP,LE3,A,2,1,services,mother,3,no,yes,5
GP,LE3,T,1,1,other,mother,3,no,yes,5
GP,LE3,T,2,1,at_home,mother,1,no,yes,4
GP,GT3,T,3,3,services,other,2,yes,yes,1
GP,GT3,T,3,2,services,mother,3,no,yes,4
GP,GT3,T,4,4,other,mother,0,no,yes,1
GP,GT3,T,2,3,at_home,mother,0,yes,yes,4
GP,LE3,T,1,2,other,mother,0,no,yes,2
GP,GT3,T,1,1,at_home,mother,3,no,no,5
GP,GT3,T,2,2,at_home,mother,0,no,no,2
GP,GT3,T,3,3,other,father,1,yes,yes,5
GP,LE3,T,2,1,at_home,mother,2,no,yes,2
GP,GT3,T,3,2,other,mother,2,no,yes,4
GP,LE3,T,1,2,other,mother,1,no,yes,4
GP,GT3,T,1,3,at_home,father,0,no,yes,3
GP,LE3,T,1,1,other,mother,3,no,yes,5
GP,GT3,T,3,2,services,mother,1,no,no,2
GP,GT3,T,2,2,other,father,0,no,yes,5
GP,GT3,T,4,2,health,father,0,yes,yes,3
GP,GT3,T,2,2,other,mother,0,yes,no,5
GP,GT3,T,4,4,health,mother,0,yes,yes,2
GP,GT3,T,3,4,other,father,2,no,no,5
GP,GT3,T,1,0,other,mother,0,yes,yes,2
GP,LE3,T,4,4,teacher,mother,0,yes,yes,4
GP,GT3,T,1,3,at_home,mother,3,no,no,5
GP,LE3,T,3,3,other,mother,0,yes,yes,5
GP,LE3,T,4,3,teacher,mother,0,yes,yes,4
GP,GT3,T,2,2,services,mother,0,yes,no,4
GP,GT3,T,3,3,other,father,0,no,no,4
GP,GT3,T,4,2,teacher,mother,0,no,yes,3
GP,GT3,T,4,3,other,mother,0,no,yes,3
GP,GT3,T,4,3,teacher,mother,0,yes,yes,3
GP,GT3,T,3,3,services,mother,0,yes,yes,3
GP,GT3,T,2,4,services,father,0,no,yes,2
GP,LE3,T,3,3,other,mother,0,no,yes,3
GP,GT3,T,3,2,other,mother,0,yes,yes,2
GP,GT3,T,3,3,services,mother,0,no,yes,4
GP,GT3,T,1,2,services,mother,0,yes,yes,3
GP,LE3,T,2,1,other,mother,0,yes,yes,3
GP,GT3,A,3,3,health,mother,0,no,no,3
GP,GT3,T,1,2,at_home,mother,0,no,yes,3
GP,GT3,T,2,3,services,mother,0,no,yes,3
GP,GT3,T,1,1,at_home,mother,0,no,yes,3
GP,GT3,T,1,2,at_home,other,0,yes,no,4
GP,GT3,T,3,3,services,mother,0,no,yes,2
GP,GT3,T,2,3,other,father,0,no,yes,3
GP,LE3,T,2,4,services,father,0,no,yes,2
GP,GT3,T,4,4,services,mother,0,no,yes,3
GP,LE3,T,3,3,teacher,father,0,yes,yes,4
GP,GT3,T,4,4,services,mother,1,no,yes,4
GP,LE3,T,4,4,teacher,mother,0,yes,yes,2
GP,GT3,T,4,3,health,mother,0,no,yes,5
GP,GT3,T,2,3,other,mother,0,yes,yes,3
GP,GT3,T,1,1,other,mother,0,yes,no,4
GP,GT3,T,2,2,other,mother,0,no,yes,2
GP,GT3,T,2,2,services,mother,0,yes,no,5
GP,GT3,T,3,4,at_home,mother,1,yes,yes,3
GP,GT3,A,3,1,services,mother,3,yes,yes,3
GP,GT3,T,4,3,teacher,mother,0,yes,yes,2
GP,GT3,T,1,1,at_home,mother,0,yes,yes,2
GP,GT3,T,4,3,teacher,mother,0,yes,yes,2
GP,GT3,T,3,3,other,other,0,yes,yes,3
GP,LE3,T,4,4,services,mother,0,yes,yes,5
GP,GT3,A,2,2,other,mother,0,yes,yes,4
GP,GT3,T,2,2,services,mother,1,yes,yes,4
GP,LE3,T,4,4,services,mother,0,yes,yes,1
GP,LE3,T,3,2,other,mother,0,yes,yes,4
GP,GT3,T,4,3,other,mother,2,yes,yes,5
GP,LE3,T,3,3,services,father,1,yes,yes,4
GP,GT3,T,2,3,at_home,father,0,yes,yes,3
GP,GT3,T,2,2,at_home,mother,0,yes,yes,3
GP,GT3,T,2,1,at_home,mother,0,no,yes,5
GP,GT3,T,1,1,at_home,mother,1,no,yes,4
GP,GT3,T,2,3,services,mother,0,no,yes,1
GP,GT3,T,2,2,other,mother,0,yes,yes,3
GP,GT3,T,4,4,teacher,mother,0,no,no,2
GP,GT3,T,3,1,other,mother,1,no,yes,3
GP,GT3,T,3,2,other,mother,0,no,no,4
GP,LE3,T,2,3,services,father,0,yes,no,3
GP,LE3,T,2,1,at_home,mother,0,yes,yes,2
GP,GT3,A,2,1,other,mother,0,no,yes,3
GP,LE3,T,4,3,health,father,0,no,yes,3
GP,GT3,T,2,2,other,father,0,yes,yes,2
GP,GT3,T,4,4,teacher,mother,0,no,yes,5
GP,GT3,T,4,4,health,father,0,yes,yes,4
GP,LE3,T,1,1,other,mother,0,yes,yes,2
GP,GT3,T,3,2,at_home,mother,0,no,yes,3
GP,LE3,T,2,2,other,father,0,yes,no,2
GP,GT3,T,2,1,other,mother,0,no,yes,2
GP,GT3,T,2,1,at_home,mother,0,no,yes,1
GP,GT3,T,2,2,other,father,1,no,yes,4
GP,LE3,T,4,3,health,mother,0,no,yes,5
GP,LE3,A,4,4,teacher,mother,0,yes,yes,3
GP,LE3,T,4,3,teacher,mother,0,no,no,5
GP,GT3,T,4,4,services,mother,0,no,yes,2
GP,GT3,T,2,1,other,other,0,yes,no,4
GP,GT3,T,2,1,other,mother,0,no,yes,3
GP,GT3,T,2,3,other,father,0,no,yes,2
GP,GT3,T,3,1,services,mother,3,no,no,5
GP,LE3,T,3,3,other,mother,1,no,yes,3
GP,GT3,T,0,2,other,mother,0,yes,no,2
GP,GT3,T,3,2,services,mother,1,no,yes,5
GP,GT3,T,3,3,at_home,other,0,no,no,3
GP,GT3,T,2,1,services,mother,1,no,no,5
GP,GT3,T,2,1,other,mother,0,no,no,2
GP,GT3,T,2,1,other,mother,0,no,no,2
GP,LE3,T,1,1,health,mother,1,no,yes,4
GP,LE3,T,4,2,teacher,mother,0,yes,yes,3
GP,LE3,A,4,3,services,mother,0,no,yes,1
GP,GT3,T,2,1,other,mother,0,no,yes,4
GP,LE3,T,2,2,services,father,0,yes,yes,1
GP,GT3,T,4,3,services,father,0,yes,yes,2
GP,GT3,T,4,3,teacher,mother,0,yes,no,2
GP,GT3,T,3,2,other,mother,0,no,no,2
GP,GT3,T,3,3,other,mother,0,no,no,3
GP,GT3,T,2,2,at_home,mother,0,yes,yes,3
GP,LE3,A,3,4,other,mother,0,yes,yes,5
GP,GT3,T,3,1,services,mother,0,yes,yes,4
GP,GT3,T,4,4,teacher,mother,0,yes,yes,4
GP,GT3,T,4,2,health,father,0,yes,yes,5
GP,GT3,T,2,1,other,mother,0,no,yes,5
GP,GT3,T,3,3,other,other,2,yes,yes,5
GP,GT3,T,2,3,other,father,0,yes,yes,5
GP,LE3,T,1,1,other,mother,0,yes,no,3
GP,GT3,T,1,2,at_home,mother,0,yes,no,2
GP,GT3,T,2,4,at_home,mother,0,yes,yes,3
GP,LE3,T,2,2,services,mother,0,yes,yes,4
GP,GT3,A,3,2,other,mother,0,no,no,1
GP,GT3,T,4,4,teacher,mother,0,yes,yes,4
GP,GT3,T,4,4,health,father,1,no,yes,4
GP,LE3,T,4,3,teacher,mother,0,yes,yes,3
GP,LE3,A,4,1,services,mother,0,yes,yes,4
GP,LE3,A,3,2,teacher,mother,1,no,yes,4
GP,LE3,T,1,1,at_home,mother,0,yes,yes,2
GP,GT3,T,1,1,other,mother,0,no,yes,4
GP,GT3,T,2,2,other,mother,0,no,no,5
GP,GT3,T,1,1,other,father,0,yes,no,3
GP,GT3,T,2,2,at_home,mother,0,yes,yes,3
GP,GT3,T,1,1,services,mother,0,yes,yes,3
GP,GT3,T,2,1,services,mother,0,yes,yes,4
GP,LE3,A,4,4,teacher,mother,0,yes,yes,3
GP,GT3,T,4,2,teacher,mother,0,yes,yes,2
GP,GT3,T,4,3,health,mother,0,yes,yes,2
GP,LE3,T,2,1,services,mother,1,no,yes,3
GP,LE3,T,3,1,services,mother,0,yes,yes,2
GP,LE3,T,3,2,services,mother,0,yes,yes,2
GP,GT3,T,3,3,health,mother,0,yes,yes,3
GP,GT3,T,4,4,health,other,0,yes,yes,4
GP,LE3,T,4,3,other,other,0,yes,yes,5
GP,GT3,T,4,3,other,father,0,yes,yes,3
GP,LE3,T,4,4,teacher,mother,0,yes,yes,2
GP,LE3,A,4,4,health,mother,0,no,yes,4
GP,LE3,T,4,4,other,father,0,yes,yes,1
GP,GT3,T,4,2,other,mother,0,yes,yes,3
GP,GT3,T,3,2,health,father,0,yes,no,2
GP,GT3,T,3,3,other,other,1,no,yes,4
GP,GT3,T,2,4,services,other,1,yes,yes,3
GP,GT3,A,3,2,services,other,0,no,yes,3
GP,GT3,T,4,4,teacher,other,1,yes,yes,4
GP,GT3,T,3,3,other,father,1,no,yes,3
GP,LE3,T,1,1,at_home,other,1,no,no,3
GP,LE3,T,1,2,services,other,1,no,no,4
GP,GT3,T,2,1,at_home,other,0,no,yes,1
GP,GT3,T,1,2,other,other,1,no,no,2
GP,LE3,T,3,2,services,other,1,yes,no,2
GP,GT3,T,1,1,at_home,other,2,no,no,2
GP,GT3,T,2,3,other,other,1,no,yes,2
GP,GT3,T,2,1,services,mother,0,yes,yes,3
GP,GT3,T,4,3,other,mother,0,yes,yes,4
GP,GT3,T,3,4,at_home,father,0,yes,no,4
GP,GT3,T,4,4,teacher,mother,0,yes,yes,4
GP,GT3,A,4,3,services,mother,0,yes,yes,2
GP,GT3,T,2,2,other,mother,0,no,yes,2
GP,LE3,T,2,2,services,mother,0,yes,yes,2
GP,GT3,T,3,1,services,father,0,no,no,3
GP,LE3,T,0,2,at_home,father,0,no,yes,3
GP,GT3,T,4,4,other,mother,0,no,yes,3
GP,GT3,T,3,3,other,mother,0,no,no,5
GP,GT3,T,2,2,services,mother,0,no,yes,5
GP,GT3,T,4,4,teacher,mother,0,yes,yes,4
GP,GT3,T,4,4,teacher,mother,0,yes,no,3
GP,LE3,T,2,2,other,mother,0,no,yes,5
GP,GT3,T,2,4,at_home,father,0,no,yes,3
GP,GT3,T,3,3,services,mother,0,no,yes,4
GP,LE3,T,2,2,other,other,0,no,no,3
GP,GT3,T,2,2,at_home,mother,0,no,yes,4
GP,GT3,T,3,4,services,mother,0,no,yes,5
GP,GT3,A,3,1,services,other,1,yes,yes,3
GP,GT3,T,3,2,other,mother,0,yes,yes,2
GP,LE3,T,3,3,services,mother,0,no,yes,3
GP,GT3,A,3,2,other,mother,0,yes,yes,3
GP,GT3,T,2,1,services,other,1,yes,yes,4
GP,GT3,T,4,4,teacher,father,1,no,yes,3
GP,LE3,T,3,4,services,mother,0,no,yes,3
GP,GT3,A,2,2,at_home,father,1,no,yes,1
GP,GT3,T,2,3,at_home,mother,0,no,yes,3
GP,GT3,T,3,2,other,mother,0,no,yes,3
GP,GT3,T,4,3,teacher,mother,0,no,yes,2
GP,GT3,T,4,3,teacher,mother,0,yes,yes,5
GP,GT3,T,4,3,health,mother,0,yes,yes,3
MS,GT3,T,3,2,other,mother,1,no,no,5
MS,GT3,T,1,1,other,other,3,no,yes,4
MS,GT3,T,3,3,health,mother,0,yes,yes,4
MS,LE3,T,1,3,at_home,mother,1,no,yes,3
MS,GT3,T,1,1,other,other,1,no,yes,4
MS,GT3,T,4,3,services,mother,0,yes,no,5
MS,GT3,T,3,3,services,father,0,no,yes,4
MS,GT3,T,4,4,teacher,father,0,yes,yes,3
MS,LE3,A,3,2,services,mother,0,no,yes,3
MS,LE3,T,1,1,other,father,0,no,no,2
MS,LE3,T,1,1,at_home,father,0,no,yes,2
MS,LE3,A,1,4,at_home,mother,0,no,yes,4
MS,LE3,T,1,1,at_home,mother,1,no,no,3
MS,GT3,T,3,3,services,mother,0,no,yes,2
MS,LE3,T,4,4,at_home,mother,0,yes,yes,4
MS,GT3,T,1,2,other,father,0,no,no,2
MS,GT3,T,1,3,at_home,mother,0,yes,yes,4
MS,LE3,T,4,4,teacher,mother,0,yes,yes,2
MS,GT3,T,1,1,other,mother,1,yes,yes,1
MS,GT3,T,2,3,at_home,father,0,yes,yes,3
MS,GT3,T,4,4,other,father,0,yes,no,2
MS,LE3,T,3,2,services,other,2,no,yes,2
MS,LE3,T,1,2,at_home,father,0,yes,yes,3
