A,B,C,D,F,G,H,I,J,K,L,M,O,Q,R,S,T,U,V,W
GP,M,19,U,A,4,3,services,at_home,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,M,18,U,T,2,1,other,other,home,mother,1,0,no,no,yes,yes,yes,yes,no
GP,M,17,R,T,2,2,other,services,other,mother,2,0,no,no,no,no,no,no,no
GP,F,17,U,T,2,2,services,services,course,father,1,0,no,no,yes,yes,yes,yes,yes
GP,F,20,R,T,2,1,other,other,course,other,2,0,yes,yes,yes,yes,no,yes,yes
GP,F,18,U,T,4,3,services,other,home,father,1,0,yes,no,no,yes,yes,yes,yes
GP,M,18,U,T,4,3,teacher,other,course,mother,1,0,yes,no,no,no,yes,yes,no
GP,M,18,R,T,3,2,other,other,course,mother,1,0,no,no,yes,no,yes,no,no
GP,F,17,U,T,3,3,other,other,home,mother,1,0,no,no,yes,no,yes,no,no
GP,F,18,U,T,2,2,at_home,services,home,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,M,17,U,T,2,2,other,other,home,father,2,0,no,no,no,yes,no,yes,no
GP,M,18,R,A,3,4,other,other,reputation,mother,2,0,yes,no,yes,yes,yes,yes,no
GP,M,17,U,T,3,1,services,other,other,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,F,18,R,T,4,4,teacher,other,reputation,mother,2,0,no,no,yes,yes,yes,yes,no
GP,M,18,U,T,4,2,health,other,reputation,father,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,18,R,T,2,1,other,other,reputation,mother,2,0,yes,no,no,yes,no,yes,yes
GP,F,19,U,T,3,3,other,services,home,other,1,0,yes,no,yes,yes,yes,yes,no
GP,F,18,U,T,2,3,other,services,reputation,father,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,18,U,T,1,1,other,other,home,mother,2,0,yes,no,no,no,yes,no,no
GP,M,17,R,T,1,2,at_home,at_home,home,mother,1,0,yes,no,yes,no,yes,no,yes
GP,F,18,U,T,2,1,other,other,home,mother,1,0,yes,no,no,yes,yes,yes,yes
GP,F,17,U,T,2,4,at_home,health,reputation,mother,2,0,yes,no,no,yes,yes,yes,yes
GP,F,17,U,T,2,2,services,other,course,mother,2,0,yes,no,no,yes,yes,yes,yes
GP,F,18,R,A,3,2,other,services,home,mother,2,0,no,no,no,no,no,yes,yes
GP,M,18,U,T,4,4,teacher,services,home,mother,2,0,no,no,yes,yes,yes,yes,no
GP,F,18,U,T,4,4,health,health,reputation,father,1,1,yes,no,yes,yes,yes,yes,yes
GP,F,17,U,T,2,2,other,services,reputation,father,3,0,yes,no,no,yes,yes,yes,yes
GP,F,19,R,T,3,2,services,services,reputation,father,1,1,yes,no,no,yes,no,yes,no
GP,M,18,U,T,4,3,teacher,services,course,mother,2,0,no,no,yes,yes,yes,yes,no
GP,M,18,U,T,1,2,at_home,other,home,other,2,0,no,no,no,no,no,yes,no
GP,M,17,U,A,4,1,services,other,home,mother,2,0,no,no,yes,yes,yes,yes,yes
GP,M,17,U,A,3,2,teacher,services,home,mother,1,0,no,no,no,yes,yes,yes,no
GP,F,18,R,T,1,1,at_home,other,reputation,mother,2,0,yes,no,yes,yes,yes,no,no
GP,F,18,U,T,1,1,other,other,home,mother,2,0,no,no,yes,yes,yes,yes,no
GP,F,17,U,T,2,2,other,other,course,mother,1,0,yes,no,no,no,yes,yes,no
GP,F,18,U,T,2,1,other,other,reputation,mother,2,0,no,no,yes,yes,yes,yes,yes
GP,M,17,U,T,1,1,other,other,reputation,father,1,0,no,no,no,no,yes,yes,no
GP,F,18,U,T,2,2,at_home,at_home,other,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,17,U,T,1,1,services,teacher,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,M,18,U,T,2,1,services,services,reputation,mother,1,0,no,no,yes,yes,yes,yes,no
GP,M,18,U,A,4,4,teacher,teacher,reputation,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,M,18,U,T,4,2,teacher,other,home,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,17,U,T,4,3,health,services,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,17,R,T,3,1,services,other,reputation,mother,2,0,yes,no,no,yes,yes,no,no
GP,M,18,R,T,3,2,services,other,reputation,mother,2,0,yes,no,yes,yes,yes,yes,no
GP,M,17,U,T,3,3,health,other,home,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,19,U,T,4,4,health,other,reputation,other,2,0,yes,no,yes,yes,yes,yes,no
GP,F,18,U,T,4,3,other,other,home,other,2,0,yes,no,no,yes,yes,yes,yes
GP,F,18,U,T,4,3,other,other,reputation,father,1,0,yes,no,no,yes,yes,yes,no
GP,M,18,U,T,4,4,teacher,teacher,home,mother,1,0,yes,no,no,yes,yes,yes,yes
GP,F,18,U,A,4,4,health,other,home,mother,1,0,yes,yes,no,yes,yes,yes,yes
GP,M,17,U,T,4,4,other,teacher,home,father,2,0,no,no,no,yes,yes,yes,no
GP,F,17,R,T,4,4,services,services,reputation,mother,2,0,yes,no,yes,yes,yes,yes,no
GP,F,17,U,T,4,2,other,other,reputation,mother,2,0,yes,no,no,yes,yes,yes,no
GP,F,17,U,T,3,2,health,health,reputation,father,1,0,yes,no,yes,no,yes,yes,no
GP,M,19,R,T,2,1,at_home,services,course,mother,2,1,no,no,yes,yes,yes,yes,yes
GP,M,20,U,A,3,2,services,other,course,other,1,2,no,no,yes,yes,yes,no,no
GP,M,19,R,T,3,3,other,services,reputation,father,1,0,no,no,yes,yes,yes,no,yes
GP,F,18,U,T,1,4,other,teacher,home,mother,1,0,yes,no,no,no,yes,no,yes
GP,F,18,U,T,2,1,services,other,course,mother,2,0,yes,no,yes,yes,yes,yes,no
GP,F,17,U,T,2,3,other,other,course,father,2,0,no,no,yes,yes,yes,yes,yes
GP,F,17,R,T,4,4,teacher,teacher,course,mother,1,0,no,no,yes,yes,yes,yes,no
GP,F,18,U,T,4,3,other,other,course,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,18,U,T,4,3,health,services,course,mother,2,0,yes,no,no,yes,yes,yes,no
GP,F,17,R,T,3,4,at_home,services,course,father,1,0,yes,no,yes,no,yes,yes,no
GP,F,18,U,T,3,3,at_home,other,course,father,1,0,yes,no,no,yes,yes,yes,no
GP,M,19,U,T,4,2,health,other,course,mother,2,0,yes,no,yes,yes,yes,yes,yes
GP,F,18,U,T,4,4,teacher,other,course,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,18,U,T,3,4,other,other,course,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,17,U,T,4,4,health,health,course,mother,1,0,no,no,yes,yes,yes,yes,no
GP,F,17,U,A,4,3,services,services,course,mother,1,0,yes,no,no,yes,yes,yes,yes
GP,F,17,U,A,3,3,services,other,home,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,17,U,T,2,1,other,other,home,father,1,0,no,no,yes,yes,yes,yes,no
GP,M,18,U,T,4,4,other,other,reputation,father,1,0,yes,no,no,yes,yes,yes,no
GP,F,19,U,T,1,1,other,other,course,other,3,0,no,no,yes,yes,no,no,yes
GP,F,19,U,A,1,1,other,other,course,other,3,2,yes,no,no,no,yes,yes,yes
GP,F,18,U,T,2,2,other,other,course,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,17,U,T,2,2,other,other,course,mother,1,0,yes,no,no,yes,yes,no,yes
GP,F,17,R,T,2,2,services,services,course,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,17,U,T,3,1,services,services,course,father,1,0,yes,no,no,no,yes,yes,no
GP,F,17,U,T,0,2,at_home,at_home,home,father,2,0,no,no,no,yes,yes,yes,no
GP,F,18,U,T,1,1,other,other,home,mother,2,0,no,no,yes,yes,yes,yes,no
GP,M,18,U,T,4,4,other,other,course,mother,1,0,no,no,yes,yes,yes,yes,no
GP,M,17,U,T,3,3,other,services,reputation,mother,1,0,no,no,yes,no,yes,yes,no
GP,M,17,R,T,2,2,services,other,course,mother,4,0,yes,no,no,yes,yes,yes,no
GP,F,17,U,T,4,4,teacher,services,course,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,17,U,T,4,4,teacher,teacher,course,mother,2,0,yes,no,no,no,yes,yes,yes
GP,F,17,U,T,3,3,at_home,other,course,mother,1,0,yes,yes,yes,yes,yes,yes,no
GP,M,18,U,T,2,2,other,other,course,mother,1,0,yes,yes,yes,yes,yes,yes,no
GP,M,19,R,T,3,2,at_home,services,home,other,1,0,yes,no,no,no,yes,no,yes
GP,F,18,U,T,2,2,at_home,other,course,mother,4,0,no,no,yes,yes,yes,no,yes
GP,F,17,R,T,2,4,at_home,other,course,father,1,0,yes,no,no,yes,yes,yes,yes
GP,M,18,U,T,2,2,other,other,reputation,mother,1,0,no,no,no,no,yes,yes,no
GP,F,18,U,T,3,3,services,services,home,mother,1,0,no,no,yes,yes,yes,yes,no
GP,F,18,U,T,2,2,other,other,home,other,1,0,no,no,yes,no,yes,yes,yes
GP,F,18,R,T,2,2,at_home,other,course,mother,2,0,no,no,yes,yes,yes,no,no
GP,F,17,U,T,3,4,services,other,course,mother,1,0,no,no,no,yes,yes,yes,no
GP,F,17,U,T,3,2,other,other,home,mother,1,0,yes,no,no,yes,yes,yes,yes
GP,F,18,U,T,3,3,services,services,home,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,17,R,A,3,2,other,other,home,mother,1,0,yes,no,no,yes,yes,yes,no
GP,M,18,U,T,4,4,teacher,services,home,father,1,0,yes,no,yes,yes,yes,yes,no
GP,M,18,U,T,3,4,services,other,home,mother,1,0,no,no,yes,yes,yes,yes,yes
GP,F,17,U,A,2,2,at_home,at_home,home,father,1,0,yes,no,no,yes,yes,yes,yes
GP,F,18,U,T,2,3,at_home,other,course,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,18,U,T,3,2,other,services,other,mother,1,0,no,no,no,yes,yes,yes,yes
GP,M,18,R,T,4,3,teacher,services,course,mother,1,0,no,no,no,yes,yes,yes,yes
GP,M,18,U,T,4,3,teacher,other,course,mother,1,0,yes,no,no,yes,yes,yes,yes
GP,F,17,U,T,4,3,health,other,reputation,mother,1,0,yes,no,yes,yes,yes,yes,yes
GP,F,17,U,T,2,1,services,other,course,mother,2,0,yes,no,yes,yes,yes,yes,yes
GP,F,17,U,T,2,1,services,other,reputation,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,F,19,U,A,2,3,at_home,other,home,other,2,1,no,no,no,yes,no,yes,no
GP,F,17,U,T,3,1,other,at_home,home,mother,1,1,yes,yes,no,yes,yes,yes,yes
GP,F,21,U,T,4,4,other,other,reputation,other,1,2,no,yes,yes,yes,yes,yes,no
GP,M,18,U,T,2,2,services,services,reputation,mother,1,0,yes,no,yes,no,no,yes,no
GP,M,18,U,A,3,4,other,other,reputation,other,1,0,no,no,yes,yes,yes,yes,yes
GP,F,17,U,T,2,2,services,services,reputation,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,M,17,U,A,4,4,health,other,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,18,U,T,4,2,teacher,other,course,mother,1,0,yes,no,yes,yes,yes,yes,no
GP,M,21,R,T,1,1,at_home,other,course,other,2,2,yes,no,yes,yes,no,yes,yes
GP,F,20,R,T,1,1,other,other,reputation,other,2,0,no,no,no,yes,yes,yes,yes
GP,F,19,U,T,4,4,teacher,other,home,other,1,1,yes,no,no,yes,yes,yes,yes
GP,M,17,U,A,3,2,other,other,reputation,mother,1,0,yes,no,no,yes,yes,yes,no
GP,F,18,U,T,3,2,at_home,other,reputation,father,1,0,yes,no,no,yes,yes,yes,yes
GP,M,18,R,T,2,3,other,services,reputation,father,1,0,no,no,no,yes,yes,yes,no
GP,M,19,U,T,2,1,other,other,reputation,mother,1,0,no,no,no,yes,yes,yes,no
GP,F,18,U,A,2,2,services,other,reputation,mother,2,0,yes,no,no,yes,yes,yes,no
GP,F,20,U,T,1,0,other,other,reputation,mother,2,1,no,no,no,yes,yes,yes,yes
GP,F,18,U,T,3,2,services,other,home,mother,1,0,yes,no,yes,no,yes,yes,yes
MS,F,16,U,T,1,3,at_home,other,other,father,2,0,yes,no,no,yes,no,yes,yes
MS,F,16,R,T,2,2,other,other,course,mother,2,0,yes,no,yes,yes,yes,yes,no
MS,F,15,R,T,1,1,at_home,services,other,mother,1,1,yes,no,no,yes,yes,no,yes
MS,F,15,R,T,3,3,at_home,other,course,mother,2,0,yes,no,no,yes,yes,yes,no
MS,F,16,R,T,2,3,at_home,services,course,mother,2,0,no,no,no,yes,yes,no,no
MS,F,15,R,T,2,1,at_home,other,home,mother,2,0,no,no,no,yes,no,no,no
MS,M,16,R,A,4,4,at_home,other,home,mother,1,0,yes,no,no,yes,yes,no,no
MS,M,16,U,A,1,2,other,other,other,mother,1,0,no,no,no,yes,yes,yes,no
MS,F,17,R,T,3,2,at_home,other,course,father,1,1,no,no,no,yes,yes,no,yes
MS,F,17,R,T,1,1,other,other,other,father,1,1,yes,no,no,no,no,yes,no
MS,F,15,R,T,4,4,teacher,other,course,mother,2,0,no,no,no,yes,yes,yes,yes
MS,F,16,U,A,2,2,at_home,other,reputation,mother,2,0,no,no,yes,no,no,no,yes
MS,F,15,R,T,1,1,at_home,services,reputation,father,2,0,yes,no,no,yes,yes,yes,no
MS,F,15,R,T,1,1,other,services,course,mother,2,1,yes,no,no,yes,yes,yes,yes
MS,F,16,R,T,0,2,other,other,other,mother,2,0,yes,no,yes,yes,yes,no,no
MS,F,17,R,T,2,3,other,other,course,mother,2,0,yes,no,no,yes,yes,yes,no
MS,F,15,R,T,3,3,other,services,course,father,2,0,no,no,no,no,yes,yes,no
MS,M,16,U,T,1,1,at_home,services,home,mother,2,0,yes,no,yes,yes,yes,no,yes
MS,M,17,U,T,1,1,other,other,home,mother,1,0,no,yes,no,no,yes,yes,no
MS,M,15,R,T,4,1,health,services,reputation,father,1,0,yes,no,yes,yes,yes,yes,no
MS,M,15,R,T,4,1,health,services,reputation,father,1,0,yes,no,yes,yes,yes,yes,no
MS,M,16,R,T,3,4,other,health,other,mother,3,0,no,no,no,no,yes,no,no
MS,M,15,R,T,1,1,other,other,course,mother,4,0,yes,no,yes,yes,yes,no,yes
MS,M,15,U,T,3,3,at_home,at_home,reputation,father,1,0,yes,no,yes,yes,yes,yes,no
MS,M,17,R,T,2,1,other,other,other,mother,3,0,no,no,yes,yes,no,no,yes
MS,F,16,R,T,4,4,teacher,teacher,course,mother,2,0,no,no,yes,yes,yes,yes,yes
MS,F,15,R,T,1,2,other,services,course,mother,2,0,no,no,no,yes,yes,no,no
MS,F,16,R,T,2,3,other,services,course,mother,3,0,yes,no,no,yes,yes,yes,no
MS,M,16,R,T,1,2,other,other,course,father,2,0,no,no,no,yes,yes,no,no
MS,F,16,R,T,2,2,other,other,course,mother,3,0,yes,no,no,yes,yes,yes,no
MS,F,16,U,T,1,2,other,services,course,mother,1,1,yes,no,no,yes,yes,no,no
MS,F,16,U,T,1,2,other,services,course,mother,1,1,yes,no,no,yes,yes,no,no
MS,F,15,U,T,2,1,at_home,other,home,mother,1,0,yes,no,no,no,yes,yes,no
MS,F,16,U,T,1,1,at_home,other,course,father,1,0,yes,no,no,no,yes,no,yes
MS,M,17,R,T,1,2,at_home,services,reputation,mother,1,0,yes,no,yes,yes,yes,yes,no
MS,F,16,R,T,1,1,other,other,home,father,4,0,yes,no,no,no,yes,yes,no
MS,F,16,R,T,1,1,at_home,other,other,father,4,0,yes,no,no,yes,yes,no,no
MS,F,15,R,T,1,1,at_home,other,home,father,2,0,yes,no,yes,yes,yes,yes,no
MS,F,16,R,T,1,1,at_home,other,other,mother,2,0,no,no,yes,yes,yes,yes,yes
MS,F,15,R,T,1,1,at_home,at_home,course,father,3,0,yes,no,no,yes,yes,no,no
MS,F,15,R,T,2,2,other,other,other,father,1,0,yes,no,no,yes,yes,no,no
MS,M,16,R,T,1,1,at_home,other,other,father,2,0,no,no,yes,yes,yes,no,no
MS,F,18,U,T,1,2,other,other,course,father,1,1,yes,no,yes,yes,yes,yes,yes
MS,M,15,U,T,3,1,other,services,home,mother,2,0,yes,no,no,yes,yes,no,no
MS,F,16,R,T,2,2,other,services,course,father,3,0,yes,no,yes,yes,yes,yes,no
MS,M,15,U,T,2,2,health,other,reputation,mother,3,0,no,no,no,yes,yes,no,no
MS,M,16,U,T,4,4,other,teacher,course,father,1,0,yes,no,yes,yes,yes,no,yes
MS,F,15,R,T,3,3,services,other,reputation,mother,1,0,yes,no,no,yes,yes,yes,yes
MS,F,16,R,T,2,2,at_home,other,course,mother,2,1,yes,no,yes,no,yes,no,no
MS,F,16,R,T,2,2,other,other,home,father,3,0,yes,no,yes,yes,yes,no,yes
MS,M,16,U,T,2,1,at_home,services,course,mother,2,0,yes,no,yes,yes,yes,yes,no
MS,M,15,R,T,1,3,at_home,other,reputation,father,3,0,yes,no,yes,yes,yes,yes,no
MS,F,15,U,T,2,2,other,services,course,mother,2,0,yes,no,yes,yes,yes,no,no
MS,F,16,R,T,2,1,other,other,home,mother,1,0,yes,no,no,yes,yes,yes,yes
MS,M,15,U,T,3,3,services,services,course,father,2,0,yes,no,yes,no,yes,yes,no
MS,F,16,R,T,1,1,at_home,other,course,father,2,3,yes,no,no,yes,yes,no,no
MS,F,17,U,T,2,2,other,at_home,course,mother,1,0,yes,no,yes,yes,no,no,no
MS,F,19,U,T,2,3,at_home,services,course,other,1,1,no,no,no,yes,no,yes,yes
MS,F,17,R,T,2,1,at_home,other,course,mother,3,0,yes,no,yes,yes,no,no,yes
MS,F,15,R,T,1,1,at_home,other,course,mother,2,0,yes,no,no,yes,no,no,yes
MS,F,16,R,T,2,2,other,other,course,father,3,0,yes,no,no,yes,no,yes,no
MS,F,16,U,A,2,2,other,other,home,mother,1,0,yes,no,no,yes,no,no,no
MS,F,17,R,T,2,2,at_home,other,course,mother,2,0,yes,no,no,yes,yes,yes,no
MS,F,16,U,T,2,2,other,services,course,father,1,1,yes,yes,yes,no,yes,yes,no
MS,F,18,R,A,3,2,other,other,course,other,2,2,yes,no,no,no,no,no,yes
MS,F,19,U,T,1,1,at_home,services,course,mother,1,1,no,no,yes,yes,no,no,yes
MS,M,18,R,T,1,1,other,other,home,mother,2,1,no,no,yes,yes,no,yes,no
MS,F,18,R,T,1,1,at_home,at_home,course,mother,2,1,no,no,no,no,no,yes,yes
MS,F,19,U,T,1,1,other,other,course,other,2,1,yes,no,no,yes,yes,yes,yes
MS,F,16,R,A,2,2,health,other,course,mother,1,0,no,no,no,no,yes,no,yes
MS,F,17,U,T,0,1,other,at_home,course,father,2,0,no,no,yes,no,yes,no,no
MS,F,16,R,T,1,2,at_home,other,course,mother,1,0,no,no,yes,yes,no,yes,no
MS,F,16,U,T,3,3,other,other,reputation,mother,1,0,no,no,yes,yes,no,yes,yes
MS,F,16,R,T,1,1,services,services,home,mother,1,0,yes,no,yes,yes,yes,yes,yes
MS,M,17,U,T,3,3,services,at_home,course,mother,2,1,yes,yes,yes,yes,yes,no,no
MS,F,16,U,T,2,1,other,services,course,mother,1,0,yes,no,yes,yes,yes,yes,no
MS,F,16,U,T,2,2,services,other,course,mother,1,0,yes,yes,yes,yes,yes,no,yes
MS,M,17,U,T,1,2,other,other,course,father,1,1,yes,no,yes,yes,no,yes,yes
MS,M,16,U,T,4,3,other,other,course,father,1,0,no,no,yes,yes,yes,yes,no
MS,M,17,R,T,2,2,services,services,other,mother,3,1,yes,no,no,yes,yes,no,no
MS,F,16,U,T,1,1,other,other,course,other,1,0,yes,no,yes,yes,yes,yes,no
MS,F,19,U,T,2,2,other,other,home,mother,1,0,no,no,no,yes,yes,yes,yes
MS,F,17,R,T,1,1,at_home,other,reputation,mother,2,0,yes,no,yes,no,yes,yes,yes
MS,F,20,U,T,3,3,at_home,services,other,mother,2,1,no,no,yes,yes,yes,yes,yes
MS,F,17,U,T,1,1,other,services,course,father,1,0,yes,no,no,yes,yes,no,yes
MS,M,17,R,T,2,2,other,other,course,mother,3,1,yes,no,no,no,yes,yes,no
MS,F,16,R,T,1,1,at_home,other,course,father,3,0,yes,no,no,yes,yes,no,no
MS,F,17,R,T,2,2,other,other,reputation,mother,2,0,yes,no,yes,yes,yes,no,no
MS,F,17,U,A,1,0,other,other,other,mother,2,0,no,no,no,yes,yes,yes,yes
MS,F,18,R,T,1,1,at_home,other,other,mother,1,1,yes,no,no,yes,yes,yes,yes
MS,F,16,U,T,3,1,other,other,course,mother,1,0,no,no,yes,yes,yes,yes,no
MS,F,16,U,T,3,2,services,at_home,course,mother,1,0,no,no,no,yes,yes,yes,no
MS,F,18,U,T,1,1,other,at_home,reputation,mother,2,0,no,no,no,yes,yes,no,no
MS,F,16,R,T,4,4,health,teacher,reputation,father,1,0,no,no,yes,no,yes,yes,yes
MS,F,16,R,T,1,2,other,other,reputation,mother,2,0,no,no,yes,yes,yes,yes,no
MS,F,18,U,A,2,4,other,services,reputation,father,1,1,yes,no,no,yes,yes,yes,no
MS,M,16,R,T,2,1,other,services,reputation,mother,2,0,no,no,yes,yes,yes,yes,no
MS,F,16,U,T,1,1,at_home,other,other,mother,3,0,yes,no,no,yes,yes,yes,no
MS,F,16,R,T,2,3,at_home,services,other,mother,2,0,yes,no,yes,yes,yes,yes,no
MS,F,16,U,T,4,4,health,health,course,mother,1,0,yes,no,no,yes,yes,yes,yes
MS,M,18,U,T,4,4,at_home,health,home,mother,1,0,yes,no,yes,yes,no,yes,yes
MS,F,16,R,T,3,4,at_home,other,other,mother,3,0,yes,no,no,no,yes,no,no
MS,M,17,U,T,4,4,other,services,home,mother,1,0,yes,no,no,yes,yes,yes,no
MS,F,17,R,T,4,1,other,other,other,mother,1,0,no,no,no,yes,yes,yes,yes
MS,M,16,U,T,2,2,services,services,other,mother,4,0,no,no,no,yes,yes,no,no
MS,F,17,R,T,2,2,at_home,other,other,mother,1,0,yes,yes,no,yes,yes,yes,no
MS,F,16,U,T,4,4,services,services,other,father,2,0,yes,no,no,yes,yes,no,no
MS,M,17,U,T,3,3,services,services,home,mother,1,0,yes,no,yes,yes,yes,yes,no
MS,M,17,U,T,1,1,at_home,services,other,mother,3,0,no,no,no,yes,yes,yes,yes
MS,M,16,U,T,2,1,health,services,other,mother,2,0,no,no,no,no,yes,yes,yes
MS,F,16,U,T,2,1,other,services,other,mother,1,0,no,no,no,yes,yes,yes,yes
MS,M,16,U,T,4,4,teacher,health,other,father,1,0,yes,no,no,yes,yes,yes,no
MS,M,15,R,T,1,2,other,services,course,mother,3,0,yes,no,yes,yes,yes,no,no
MS,M,15,U,A,2,2,other,other,reputation,mother,3,0,yes,no,yes,yes,yes,no,no
MS,M,15,U,A,2,1,services,services,course,mother,1,0,no,no,yes,yes,yes,yes,no
MS,F,16,R,T,2,2,other,other,course,mother,1,0,yes,no,no,no,yes,no,yes
MS,F,16,U,T,4,1,other,other,home,mother,2,0,yes,no,yes,yes,yes,yes,no
MS,F,17,U,T,3,2,at_home,other,home,mother,2,0,no,no,no,yes,yes,no,yes
MS,F,17,R,T,2,2,other,other,other,mother,2,0,no,yes,no,yes,yes,no,no
MS,F,16,U,T,4,4,teacher,services,course,mother,2,0,yes,no,no,yes,yes,yes,yes
MS,M,17,R,T,4,4,health,other,course,father,3,3,no,no,yes,yes,yes,yes,yes
MS,M,17,R,T,1,3,other,other,course,father,2,0,no,no,yes,yes,yes,no,yes
MS,M,17,U,T,3,4,services,other,other,mother,1,1,yes,no,yes,no,yes,yes,yes
MS,F,17,U,T,4,4,health,health,course,father,1,0,yes,no,no,yes,yes,yes,no
MS,M,16,R,T,4,1,other,at_home,other,father,1,0,no,no,no,yes,yes,yes,no
MS,F,17,U,A,1,1,at_home,at_home,other,mother,1,0,no,no,yes,yes,yes,yes,yes
MS,F,17,R,T,4,2,other,other,course,mother,2,0,yes,no,no,no,yes,yes,no
MS,M,16,U,A,2,2,other,services,course,father,2,0,yes,no,no,no,yes,yes,yes
MS,M,17,U,T,3,2,other,other,other,father,2,0,yes,yes,no,yes,yes,yes,no
MS,M,19,U,T,1,1,other,other,other,mother,1,2,yes,no,yes,yes,no,yes,no
MS,M,17,U,A,1,0,other,other,home,mother,1,0,no,no,no,yes,yes,no,yes
MS,F,17,R,T,1,1,at_home,at_home,course,father,2,0,yes,no,yes,yes,no,yes,yes
MS,F,16,R,T,1,2,other,other,home,father,1,0,yes,no,no,no,yes,yes,yes
MS,M,16,R,T,1,2,other,at_home,course,mother,1,0,no,no,no,yes,yes,no,no
MS,F,17,R,T,3,1,other,other,course,mother,2,3,yes,no,yes,no,yes,yes,yes
MS,M,17,R,T,2,2,other,other,course,mother,2,0,no,no,yes,yes,no,no,yes
MS,M,18,R,T,1,0,at_home,at_home,course,other,3,1,yes,no,no,yes,yes,no,no
MS,M,17,R,T,1,1,other,services,course,mother,2,0,yes,no,yes,no,yes,yes,yes
MS,M,18,U,T,1,1,at_home,at_home,course,mother,2,0,yes,no,yes,yes,yes,no,no
MS,F,16,R,T,2,2,other,services,course,father,1,0,no,no,yes,yes,yes,no,yes
MS,M,17,U,T,2,2,other,other,course,mother,1,1,no,no,yes,yes,yes,no,yes
MS,M,16,R,T,3,2,services,other,course,father,2,0,no,no,no,yes,yes,yes,no
MS,M,16,R,T,1,1,at_home,other,course,mother,2,0,no,no,yes,yes,yes,yes,no
MS,M,18,R,T,1,1,services,other,course,other,2,1,yes,no,no,yes,no,yes,yes
MS,M,18,R,T,3,2,services,other,course,mother,1,1,no,no,no,yes,no,yes,no
MS,M,19,U,T,3,2,at_home,services,course,mother,2,3,no,no,yes,yes,yes,no,no
MS,M,18,U,T,3,3,at_home,at_home,course,mother,1,2,yes,no,yes,yes,no,yes,no
MS,M,16,R,T,2,2,services,services,course,mother,2,0,yes,no,yes,yes,yes,yes,yes
MS,M,19,U,T,2,1,at_home,other,course,other,2,3,no,no,yes,no,no,yes,yes
MS,F,16,U,A,3,2,services,at_home,course,mother,2,2,yes,no,yes,yes,yes,no,yes
MS,F,17,U,T,1,1,other,at_home,course,mother,1,0,yes,no,yes,yes,yes,no,no
MS,M,20,R,T,1,1,other,other,course,other,2,1,yes,no,no,yes,no,yes,yes
MS,F,18,R,A,4,3,services,services,course,mother,1,0,yes,no,no,yes,yes,yes,no
MS,M,18,R,T,3,2,other,other,course,mother,2,0,yes,no,no,no,yes,yes,no
MS,M,19,R,T,1,1,other,services,home,other,3,1,no,no,no,yes,yes,yes,no
MS,M,17,U,T,3,3,health,other,course,mother,2,1,yes,no,no,yes,yes,yes,no
MS,M,18,U,T,1,3,at_home,services,course,mother,1,0,no,no,no,yes,no,yes,yes
MS,M,19,R,T,1,1,other,other,home,other,3,1,yes,no,no,yes,yes,yes,no
MS,F,18,U,A,1,2,at_home,other,course,mother,2,2,yes,no,no,yes,yes,no,no
MS,F,19,U,A,1,1,at_home,other,course,mother,1,0,yes,no,no,yes,no,no,no
MS,F,18,R,T,2,2,other,other,other,mother,2,1,no,no,no,yes,no,yes,yes
MS,F,17,R,T,0,0,at_home,other,course,mother,2,0,yes,no,no,yes,yes,yes,no
MS,F,17,R,A,3,1,other,at_home,course,other,2,0,yes,yes,no,yes,no,no,no
MS,F,17,U,T,4,2,teacher,services,home,mother,1,0,yes,no,yes,yes,yes,yes,no
MS,F,18,R,T,2,2,services,services,course,mother,1,1,yes,no,yes,yes,yes,yes,no
MS,F,17,U,T,4,1,health,at_home,course,mother,1,0,yes,no,no,yes,yes,no,yes
MS,F,17,U,T,1,2,at_home,other,course,father,1,0,no,no,no,yes,yes,yes,no
MS,F,18,U,T,1,1,other,other,course,mother,3,2,no,no,yes,yes,yes,no,yes
MS,F,18,U,T,2,2,services,at_home,reputation,father,2,0,no,no,yes,no,yes,yes,no
