B,D,E,F,G,J,L,N,S,T,V,W,Y
M,R,GT3,T,3,health,mother,2,no,no,no,no,4
M,R,GT3,T,1,other,mother,2,yes,yes,no,yes,4
M,U,LE3,T,3,at_home,father,2,yes,yes,yes,no,3
M,R,GT3,T,2,other,mother,1,yes,yes,no,yes,5
F,R,GT3,T,4,teacher,mother,3,yes,yes,yes,yes,2
F,R,GT3,T,1,services,mother,1,no,yes,no,no,1
F,R,GT3,T,2,services,mother,2,no,yes,yes,no,5
M,R,GT3,T,1,other,father,2,no,yes,no,no,3
F,R,GT3,T,2,other,mother,2,no,yes,yes,no,4
F,U,GT3,T,1,services,mother,3,no,yes,no,no,3
F,U,GT3,T,1,services,mother,3,no,yes,no,no,3
F,U,GT3,T,2,other,mother,2,no,no,yes,no,4
F,U,GT3,T,1,other,father,2,no,no,no,yes,4
M,R,LE3,T,1,services,mother,1,yes,yes,yes,no,5
F,R,GT3,T,1,other,father,4,no,no,yes,no,3
F,R,GT3,T,1,other,father,3,no,yes,no,no,4
F,R,GT3,T,1,other,father,2,yes,yes,yes,no,3
F,R,GT3,T,1,other,mother,1,yes,yes,yes,yes,2
F,R,GT3,T,1,at_home,father,2,no,yes,no,no,2
F,R,LE3,T,2,other,father,3,no,yes,no,no,4
M,R,GT3,T,1,other,father,1,yes,yes,no,no,4
F,U,GT3,T,1,other,father,2,yes,yes,yes,yes,4
M,U,GT3,T,3,services,mother,1,no,yes,no,no,2
F,R,GT3,T,2,services,father,2,yes,yes,yes,no,3
M,U,GT3,T,2,other,mother,1,no,yes,no,no,3
M,U,GT3,T,4,teacher,father,2,yes,yes,no,yes,3
F,R,GT3,T,3,other,mother,2,no,yes,yes,yes,5
F,R,GT3,T,2,other,mother,2,yes,no,no,no,4
F,R,LE3,T,2,other,father,1,yes,yes,no,yes,3
M,U,LE3,T,2,services,mother,1,yes,yes,yes,no,4
M,R,LE3,T,1,other,father,1,yes,yes,yes,no,2
F,U,GT3,T,2,services,mother,3,yes,yes,no,no,3
F,R,LE3,T,2,other,mother,1,no,yes,yes,yes,4
M,U,GT3,T,3,services,father,1,yes,no,yes,no,3
F,R,GT3,T,1,other,father,2,no,yes,no,no,4
F,U,GT3,T,2,at_home,mother,1,yes,yes,no,no,5
F,U,GT3,T,2,services,other,1,no,yes,yes,yes,4
F,R,GT3,T,2,other,mother,1,yes,yes,no,yes,5
F,R,LE3,T,1,other,mother,1,no,yes,no,yes,2
F,R,GT3,T,2,other,father,2,no,yes,yes,no,4
F,U,LE3,A,2,other,mother,1,no,yes,no,no,3
F,R,GT3,T,2,other,mother,2,no,yes,yes,no,3
F,U,GT3,T,2,services,father,1,yes,no,yes,no,4
F,R,LE3,A,3,other,other,3,no,no,no,yes,3
F,U,GT3,T,1,services,mother,3,yes,yes,no,yes,3
M,R,GT3,T,1,other,mother,1,yes,yes,yes,no,4
F,R,GT3,T,1,at_home,mother,1,no,no,yes,yes,2
F,U,GT3,T,1,other,other,2,no,yes,yes,yes,1
F,R,GT3,A,2,other,mother,2,no,no,no,yes,3
F,U,GT3,T,0,at_home,father,1,yes,no,no,no,4
F,R,LE3,T,1,other,mother,2,yes,yes,yes,no,4
F,U,GT3,T,3,other,mother,1,yes,yes,yes,yes,5
F,R,LE3,T,1,services,mother,1,yes,yes,yes,yes,4
M,U,GT3,T,3,at_home,mother,4,yes,yes,no,no,4
F,U,GT3,T,2,services,mother,2,yes,yes,yes,no,3
F,U,GT3,T,2,other,mother,1,yes,yes,no,yes,2
M,U,GT3,T,1,other,father,1,yes,yes,yes,yes,3
M,U,LE3,T,4,other,father,1,yes,yes,yes,no,2
M,R,LE3,T,2,services,mother,4,no,yes,no,no,3
F,U,GT3,T,1,other,other,4,yes,yes,yes,no,2
F,U,LE3,T,2,other,mother,3,no,yes,yes,yes,4
F,R,GT3,T,1,other,mother,1,yes,no,yes,yes,4
F,U,GT3,T,3,services,mother,2,yes,yes,yes,yes,3
F,U,LE3,T,1,services,father,3,no,yes,no,yes,3
M,R,GT3,T,2,other,mother,1,no,no,yes,no,4
F,R,LE3,T,1,other,father,2,no,yes,no,no,3
F,R,GT3,T,2,other,mother,2,yes,yes,no,no,3
F,U,GT3,A,1,other,mother,2,no,yes,yes,yes,4
F,R,GT3,T,1,other,mother,2,no,yes,yes,yes,3
F,U,GT3,T,3,other,mother,1,yes,yes,yes,no,1
F,U,GT3,T,3,at_home,mother,1,no,yes,yes,no,1
F,U,LE3,T,1,at_home,mother,2,no,yes,no,no,3
F,R,GT3,T,4,teacher,father,2,yes,no,yes,yes,3
F,R,LE3,T,1,other,mother,1,yes,yes,yes,no,4
F,U,GT3,A,2,services,father,2,no,yes,yes,no,3
M,R,GT3,T,2,services,mother,2,yes,yes,yes,no,2
F,U,LE3,T,1,other,mother,2,no,yes,yes,no,3
F,R,GT3,T,2,services,mother,2,yes,yes,yes,no,3
F,U,GT3,T,4,health,mother,2,no,yes,yes,yes,3
M,U,LE3,T,4,health,mother,4,yes,yes,yes,yes,5
F,R,LE3,T,3,other,mother,2,no,no,no,no,2
M,U,LE3,T,4,services,mother,3,no,yes,yes,no,4
F,R,GT3,T,4,other,mother,1,no,yes,yes,yes,2
M,U,LE3,T,2,services,mother,3,no,yes,no,no,1
F,R,GT3,T,2,other,mother,1,no,yes,yes,no,1
F,U,LE3,T,4,services,father,1,no,yes,no,no,1
M,U,GT3,T,3,services,mother,1,yes,yes,yes,no,1
M,U,GT3,T,1,services,mother,2,no,yes,yes,yes,1
M,U,GT3,T,2,services,mother,2,no,no,yes,yes,2
F,U,LE3,T,2,services,mother,2,no,yes,yes,yes,2
M,U,LE3,T,4,health,father,1,no,yes,yes,no,1
M,R,GT3,T,1,services,mother,2,yes,yes,no,no,5
M,U,LE3,A,2,other,mother,4,yes,yes,no,no,4
M,U,LE3,A,2,services,mother,1,yes,yes,yes,no,3
F,R,LE3,T,2,other,mother,3,no,no,no,yes,3
F,U,LE3,T,4,other,mother,2,yes,yes,yes,no,2
F,U,GT3,T,3,other,mother,1,no,yes,no,yes,3
F,R,GT3,T,2,other,mother,2,no,yes,no,no,1
F,U,GT3,T,4,services,mother,3,no,yes,yes,yes,3
M,R,GT3,T,4,other,father,1,yes,yes,yes,yes,3
M,R,LE3,T,1,other,father,1,yes,yes,no,yes,1
M,U,GT3,T,3,other,mother,2,yes,no,yes,yes,4
F,U,GT3,T,4,health,father,2,no,yes,yes,no,2
M,R,LE3,T,4,at_home,father,1,no,yes,yes,no,1
F,U,GT3,A,1,at_home,mother,2,yes,yes,yes,yes,5
F,R,GT3,T,4,other,mother,2,no,no,yes,no,3
M,U,LE3,A,2,services,father,2,no,no,yes,yes,1
M,U,GT3,T,3,other,father,2,no,yes,yes,no,1
M,U,GT3,T,1,other,mother,2,yes,yes,yes,no,4
M,U,LE3,A,1,other,mother,1,no,yes,no,yes,1
F,R,GT3,T,1,at_home,father,1,yes,yes,yes,yes,5
F,R,GT3,T,1,other,father,3,no,no,yes,yes,3
M,R,LE3,T,1,at_home,mother,1,no,yes,no,no,4
F,R,GT3,T,3,other,mother,2,yes,no,yes,yes,4
M,R,GT3,T,2,other,mother,1,yes,yes,no,yes,5
M,R,GT3,T,1,at_home,other,1,no,yes,no,no,3
M,R,GT3,T,1,services,mother,1,yes,no,yes,yes,5
M,U,LE3,T,1,at_home,mother,2,yes,yes,no,no,3
F,R,LE3,T,2,services,father,2,yes,yes,no,yes,4
M,U,GT3,T,2,other,mother,1,yes,yes,no,yes,2
M,R,GT3,T,3,other,father,1,no,yes,yes,no,5
M,R,LE3,T,1,other,mother,1,yes,yes,yes,no,5
M,R,GT3,T,1,other,other,1,no,yes,yes,yes,3
M,R,GT3,T,3,other,mother,1,no,yes,yes,no,3
M,U,GT3,T,3,services,mother,1,yes,yes,no,no,2
M,U,GT3,T,3,at_home,mother,2,yes,yes,yes,no,4
M,R,GT3,T,2,services,mother,1,yes,yes,yes,yes,4
M,U,GT3,T,2,other,other,1,yes,no,yes,yes,4
F,U,GT3,A,3,at_home,mother,2,yes,yes,no,yes,5
F,U,GT3,T,1,at_home,mother,1,yes,yes,no,no,3
M,R,GT3,T,1,other,other,1,no,yes,yes,yes,4
F,R,GT3,A,4,services,mother,1,no,yes,yes,no,4
M,R,GT3,T,3,other,mother,1,no,no,yes,no,5
M,R,GT3,T,1,services,other,2,no,yes,yes,no,4
M,U,GT3,T,3,other,mother,2,no,yes,yes,no,5
M,U,LE3,T,1,services,mother,1,no,yes,yes,yes,3
M,R,GT3,T,1,other,other,1,no,yes,yes,no,4
F,U,GT3,A,1,other,mother,2,no,yes,no,no,3
F,U,LE3,A,1,other,mother,1,no,yes,no,no,4
F,R,GT3,T,2,other,mother,1,no,yes,yes,yes,5
F,R,GT3,T,0,other,mother,1,no,yes,yes,no,4
F,R,LE3,A,3,at_home,other,3,no,yes,no,no,2
F,U,GT3,T,4,services,mother,2,yes,yes,yes,no,5
F,R,LE3,T,2,services,mother,2,yes,yes,yes,no,3
F,U,GT3,T,4,at_home,mother,1,no,yes,no,yes,2
F,U,LE3,T,1,other,father,1,no,yes,yes,no,5
F,U,GT3,T,1,other,mother,2,yes,yes,no,yes,4
F,U,GT3,T,2,at_home,father,2,yes,no,yes,no,3
F,U,GT3,T,3,services,mother,1,no,yes,yes,no,4
F,U,LE3,A,1,other,mother,2,no,yes,yes,no,4
F,U,GT3,T,4,teacher,mother,2,yes,no,yes,no,3
M,U,LE3,T,4,other,mother,1,yes,yes,yes,no,4
F,U,GT3,T,4,other,mother,2,no,yes,yes,no,3
F,R,GT3,T,2,other,mother,2,yes,yes,no,yes,3
M,U,LE3,T,1,services,mother,1,no,no,no,no,1
M,R,GT3,T,4,services,mother,1,yes,yes,yes,yes,5
M,R,GT3,T,1,services,father,1,no,no,no,no,2
F,U,GT3,T,2,other,mother,2,no,no,yes,yes,3
F,U,LE3,T,2,services,father,3,no,yes,yes,yes,4
F,R,LE3,A,4,other,mother,2,yes,yes,yes,yes,3
F,U,GT3,T,1,services,mother,2,no,yes,no,no,4
F,U,GT3,T,1,services,father,1,no,yes,no,no,5
F,U,GT3,T,4,other,father,4,no,yes,yes,yes,2
F,R,LE3,A,2,other,mother,2,yes,yes,yes,yes,3
F,U,LE3,A,1,services,mother,2,no,yes,no,yes,2
F,U,GT3,T,1,at_home,father,2,no,yes,no,no,1
F,R,GT3,A,1,at_home,other,2,yes,yes,no,yes,5
F,R,GT3,T,2,other,mother,3,no,yes,yes,yes,2
M,R,GT3,T,4,other,mother,2,yes,no,yes,yes,5
F,U,GT3,T,3,services,father,2,no,yes,no,yes,3
F,R,GT3,T,4,services,father,2,yes,yes,yes,no,3
F,U,LE3,A,3,other,mother,2,no,yes,no,yes,2
M,U,LE3,T,1,services,father,1,no,no,yes,yes,3
F,U,LE3,T,1,services,father,3,no,yes,yes,no,3
F,R,LE3,A,1,other,mother,2,no,yes,no,yes,3
F,U,GT3,T,3,services,mother,2,no,yes,yes,yes,3
F,U,LE3,T,4,at_home,mother,2,yes,yes,yes,yes,3
F,R,GT3,T,1,services,father,2,no,no,no,no,2
M,R,GT3,T,1,other,mother,2,no,yes,no,no,3
M,U,LE3,T,4,services,mother,3,no,yes,yes,yes,2
F,R,GT3,T,1,services,mother,1,no,yes,yes,yes,2
F,U,GT3,T,2,services,father,1,no,yes,yes,yes,2
F,R,GT3,T,4,teacher,father,2,no,no,yes,yes,2
M,R,LE3,T,1,services,father,1,yes,yes,yes,yes,3
F,U,GT3,T,2,at_home,mother,3,yes,yes,no,yes,4
F,R,GT3,T,1,other,mother,1,yes,yes,yes,no,5
F,R,LE3,T,4,other,mother,3,no,yes,yes,no,4
F,R,GT3,T,1,other,mother,3,no,yes,yes,no,3
F,R,GT3,T,1,other,other,2,no,yes,yes,yes,3
F,R,LE3,T,4,services,mother,2,yes,yes,yes,no,4
F,U,GT3,T,3,other,mother,2,no,yes,yes,yes,1
F,R,GT3,T,3,other,mother,2,yes,no,yes,no,5
M,U,GT3,T,4,teacher,father,2,yes,no,yes,no,2
M,R,GT3,T,2,other,mother,1,yes,no,yes,yes,4
M,U,GT3,T,2,services,father,2,yes,yes,yes,no,4
M,R,GT3,T,1,services,mother,1,no,yes,no,no,3
M,R,GT3,T,4,other,father,1,no,yes,no,no,4
F,R,GT3,T,2,other,mother,3,no,yes,no,no,3
F,U,GT3,T,4,other,mother,2,no,yes,yes,no,5
F,R,GT3,T,4,at_home,mother,1,yes,yes,yes,yes,4
F,R,GT3,T,2,other,mother,3,yes,no,yes,no,4
F,U,LE3,T,3,services,mother,2,no,yes,yes,no,3
F,U,GT3,T,1,other,mother,2,yes,yes,no,no,1
M,U,LE3,T,3,services,mother,1,no,no,yes,no,4
M,R,LE3,T,3,other,mother,1,no,no,yes,no,4
F,U,GT3,A,4,teacher,mother,2,no,yes,no,no,3
F,U,GT3,T,1,other,father,2,no,no,yes,no,3
F,U,LE3,T,1,other,mother,2,no,yes,yes,no,3
F,U,GT3,T,4,services,mother,3,yes,yes,yes,yes,2
F,U,GT3,T,3,other,father,2,no,yes,no,no,3
M,U,LE3,T,4,other,mother,2,yes,yes,yes,no,4
M,U,LE3,T,2,other,mother,2,no,yes,yes,no,4
F,U,GT3,A,4,teacher,mother,2,no,yes,no,no,1
M,U,LE3,A,3,other,mother,2,no,yes,yes,no,2
M,U,GT3,T,3,other,mother,2,yes,yes,yes,no,5
F,U,GT3,T,4,health,mother,2,no,yes,yes,no,3
F,U,GT3,T,2,other,father,3,yes,yes,yes,no,2
M,U,LE3,T,4,services,father,1,yes,yes,yes,no,3
M,U,GT3,T,4,other,mother,2,no,yes,yes,no,4
M,U,GT3,A,2,other,other,3,no,yes,yes,yes,5
F,U,GT3,T,4,other,mother,1,no,yes,yes,no,4
F,U,GT3,T,4,services,mother,3,yes,yes,yes,no,2
F,U,GT3,T,3,other,mother,2,yes,yes,no,no,3
M,U,GT3,T,3,services,mother,1,yes,yes,yes,no,5
M,U,LE3,T,4,other,father,1,yes,yes,yes,no,1
M,U,GT3,T,4,other,mother,2,no,yes,yes,no,4
M,U,GT3,T,4,health,father,1,no,yes,yes,no,4
M,U,LE3,T,4,other,mother,2,yes,yes,yes,no,5
M,U,LE3,T,2,other,mother,2,yes,yes,yes,no,4
F,R,GT3,T,2,health,mother,3,yes,yes,yes,no,3
F,U,GT3,T,2,services,mother,1,no,no,yes,no,2
M,U,GT3,T,2,other,mother,1,no,yes,yes,no,2
M,U,GT3,T,4,services,mother,1,no,yes,yes,no,2
M,U,LE3,A,3,other,mother,2,yes,yes,yes,no,3
M,U,GT3,T,4,teacher,mother,2,yes,yes,yes,yes,4
M,U,GT3,T,4,services,mother,2,no,no,yes,no,4
M,U,GT3,T,4,services,mother,2,yes,yes,yes,no,3
M,R,GT3,T,4,at_home,mother,2,yes,yes,yes,yes,5
M,U,LE3,T,3,other,mother,2,yes,no,yes,no,3
M,U,GT3,T,3,other,mother,1,no,no,yes,no,4
F,U,GT3,T,2,other,father,1,yes,yes,no,no,5
M,U,LE3,T,4,services,mother,3,yes,yes,yes,no,4
M,R,GT3,A,4,teacher,mother,3,yes,yes,yes,yes,4
F,R,GT3,T,3,health,mother,3,yes,yes,yes,no,3
F,R,GT3,T,2,other,mother,1,yes,yes,no,no,3
F,U,LE3,T,2,other,mother,2,yes,no,yes,yes,3
M,U,LE3,T,4,other,other,1,no,no,yes,yes,4
M,U,GT3,T,4,teacher,father,2,yes,yes,yes,no,3
M,U,GT3,T,2,services,father,1,no,yes,yes,no,4
F,U,LE3,T,2,at_home,father,2,yes,yes,yes,no,3
F,U,LE3,A,4,other,mother,2,yes,yes,yes,yes,2
F,U,LE3,A,3,services,mother,2,no,yes,yes,no,3
M,U,GT3,T,4,services,mother,4,yes,yes,yes,no,2
M,U,GT3,T,4,other,mother,2,no,yes,no,no,3
F,U,GT3,T,4,teacher,father,2,yes,no,yes,no,4
F,U,LE3,T,2,services,mother,2,no,yes,yes,no,3
F,U,LE3,T,4,other,mother,2,no,yes,yes,no,3
M,U,LE3,A,4,health,father,1,no,yes,no,no,5
F,U,GT3,T,4,services,mother,1,no,yes,yes,no,3
F,U,LE3,A,3,other,mother,1,no,yes,yes,no,3
F,U,GT3,A,2,other,mother,2,yes,yes,yes,yes,3
F,U,GT3,A,4,services,mother,2,yes,yes,yes,no,3
M,U,GT3,T,4,health,mother,2,yes,yes,no,no,2
M,U,LE3,T,1,at_home,father,2,yes,yes,yes,no,3
F,U,GT3,T,4,other,mother,2,no,yes,yes,no,2
F,R,GT3,T,4,teacher,mother,2,yes,yes,no,no,4
F,U,GT3,T,1,services,father,1,yes,no,yes,yes,5
F,U,LE3,T,1,services,father,2,yes,yes,yes,no,4
F,U,GT3,T,4,health,mother,3,yes,yes,yes,no,4
F,U,LE3,T,4,services,father,2,yes,yes,yes,yes,4
F,U,LE3,T,4,services,mother,2,yes,yes,yes,no,4
M,U,GT3,A,4,services,mother,4,yes,no,yes,yes,3
F,U,GT3,T,3,other,mother,4,no,yes,yes,no,3
F,R,LE3,T,2,services,mother,2,no,yes,yes,no,1
F,R,LE3,T,3,other,father,4,no,no,yes,no,4
M,U,GT3,T,3,other,father,4,no,yes,yes,no,3
M,U,GT3,T,4,other,mother,4,no,yes,yes,no,3
F,R,GT3,T,1,other,mother,2,no,no,yes,yes,3
M,U,GT3,T,3,other,mother,1,yes,yes,no,no,3
F,U,GT3,T,3,services,mother,2,yes,yes,yes,no,3
M,U,GT3,T,4,other,mother,2,yes,yes,yes,no,3
M,U,GT3,T,4,other,mother,4,yes,yes,yes,no,4
F,U,GT3,T,2,other,mother,4,no,yes,yes,yes,2
M,U,GT3,T,2,other,mother,1,yes,yes,yes,no,5
F,U,GT3,T,3,other,mother,2,no,yes,yes,no,4
M,U,GT3,T,2,services,father,1,yes,no,yes,yes,2
M,U,GT3,T,2,other,mother,3,no,no,yes,no,3
F,U,LE3,T,3,other,mother,2,no,yes,yes,no,4
M,U,LE3,T,2,services,mother,2,yes,yes,yes,no,3
F,U,GT3,T,1,other,father,2,yes,no,yes,no,3
F,U,GT3,T,4,services,father,2,no,yes,yes,yes,4
F,U,LE3,T,2,other,mother,2,no,yes,no,no,3
F,U,GT3,T,4,other,mother,3,yes,yes,yes,no,3
M,U,GT3,T,2,other,father,2,yes,no,yes,no,4
M,U,LE3,A,4,health,mother,2,no,yes,no,no,1
F,U,GT3,T,3,other,mother,3,no,yes,yes,yes,3
F,U,GT3,T,4,other,mother,1,yes,yes,yes,no,5
F,U,LE3,T,3,other,father,2,no,yes,no,no,3
F,U,GT3,T,4,services,mother,2,yes,yes,yes,no,3
M,U,LE3,T,2,health,mother,4,yes,yes,yes,no,3
F,R,GT3,T,1,other,mother,4,yes,yes,yes,no,1
M,R,GT3,T,4,other,mother,1,yes,no,yes,no,3
F,U,GT3,T,2,other,mother,2,no,yes,no,yes,3
F,U,GT3,T,4,other,mother,1,yes,no,yes,no,3
F,U,GT3,T,4,at_home,mother,3,no,yes,yes,no,3
M,U,GT3,T,4,services,mother,1,yes,yes,yes,no,5
M,U,GT3,T,4,teacher,father,3,yes,yes,yes,yes,4
M,U,GT3,T,4,other,mother,1,yes,no,yes,no,3
F,U,GT3,T,3,other,mother,2,no,yes,yes,no,3
M,U,GT3,A,3,other,mother,2,yes,yes,yes,no,4
F,U,GT3,A,3,health,father,4,no,yes,no,no,3
F,U,GT3,T,2,other,mother,4,no,yes,yes,no,1
M,U,GT3,T,3,other,father,3,yes,yes,yes,no,3
M,R,GT3,T,4,other,father,4,yes,yes,yes,yes,3
F,U,LE3,T,4,health,mother,3,yes,yes,yes,yes,4
M,U,LE3,A,4,teacher,mother,1,yes,yes,yes,no,5
F,R,GT3,T,3,other,father,3,yes,yes,yes,no,1
F,U,GT3,T,2,other,mother,2,yes,yes,yes,no,1
M,U,LE3,T,4,other,mother,1,no,yes,yes,no,5
M,R,GT3,T,2,services,mother,2,yes,yes,yes,yes,4
M,U,GT3,T,4,teacher,father,2,yes,yes,yes,no,4
M,U,GT3,T,4,teacher,father,2,yes,yes,no,no,4
M,U,GT3,T,3,services,father,1,yes,yes,yes,no,4
M,R,GT3,T,1,other,father,2,yes,yes,yes,no,2
M,U,GT3,T,3,other,father,1,no,yes,yes,no,4
F,U,GT3,T,1,services,mother,2,no,no,yes,no,2
M,U,GT3,T,2,services,father,4,yes,yes,yes,no,5
F,U,LE3,T,2,health,father,2,yes,yes,yes,yes,2
M,U,GT3,T,4,other,mother,1,yes,yes,yes,no,4
F,U,GT3,T,2,other,mother,2,no,yes,yes,yes,4
M,U,GT3,T,3,services,father,1,no,yes,yes,no,5
F,U,LE3,A,3,other,mother,2,yes,yes,yes,yes,3
F,U,GT3,T,0,other,other,2,no,no,no,no,4
M,R,GT3,T,2,other,mother,1,yes,yes,yes,no,3
M,R,GT3,T,4,teacher,mother,1,yes,yes,yes,no,5
F,R,GT3,T,3,teacher,father,3,no,yes,yes,yes,2
F,U,GT3,T,1,other,mother,1,yes,no,yes,yes,3
F,U,LE3,T,2,other,father,1,no,yes,yes,yes,4
F,U,GT3,A,3,other,father,1,no,yes,yes,no,2
M,R,GT3,T,3,teacher,mother,2,no,yes,no,yes,3
F,U,GT3,T,4,at_home,mother,3,yes,yes,yes,yes,3
M,R,GT3,T,3,other,mother,2,no,yes,no,no,4
F,U,GT3,A,3,other,other,1,yes,no,yes,yes,3
M,U,LE3,T,1,other,mother,2,no,yes,no,yes,4
F,U,GT3,T,4,teacher,mother,1,yes,yes,yes,no,3
M,U,GT3,T,4,services,father,4,no,yes,yes,no,2
M,U,LE3,T,2,services,father,1,yes,yes,yes,no,3
F,U,GT3,T,4,services,mother,3,yes,yes,yes,no,2
F,U,LE3,T,1,at_home,mother,1,no,yes,yes,no,4
M,U,GT3,T,2,other,mother,1,no,yes,yes,no,4
F,U,GT3,T,1,services,father,2,no,yes,yes,no,4
F,U,GT3,T,3,services,father,2,no,yes,yes,no,3
F,U,GT3,T,1,other,mother,2,no,no,yes,no,3
M,U,GT3,T,4,teacher,mother,1,no,yes,yes,yes,3
M,U,LE3,A,2,other,mother,1,no,yes,yes,no,5
M,U,LE3,T,1,other,mother,1,no,yes,yes,yes,3
M,U,LE3,T,2,other,mother,1,yes,yes,no,yes,4
F,R,GT3,T,3,services,other,3,yes,yes,yes,yes,2
M,U,GT3,T,3,at_home,mother,1,no,yes,yes,yes,5
F,U,GT3,T,4,teacher,mother,1,no,yes,no,yes,2
M,R,GT3,T,2,services,mother,2,yes,yes,no,no,4
M,R,LE3,T,1,other,mother,1,no,yes,no,no,2
F,R,GT3,T,1,other,mother,1,yes,no,no,no,2
M,R,GT3,T,2,other,mother,1,no,no,no,no,2
M,U,GT3,T,3,services,father,2,no,yes,yes,yes,5
M,R,LE3,T,2,other,mother,1,yes,yes,yes,yes,3
M,R,GT3,T,3,other,mother,2,no,yes,yes,yes,4
M,U,LE3,T,1,other,mother,1,yes,yes,no,no,4
M,U,GT3,T,1,services,father,1,no,yes,yes,no,3
M,R,LE3,T,1,services,mother,2,yes,yes,no,yes,3
M,U,GT3,T,3,services,mother,1,yes,no,no,no,5
M,U,GT3,T,2,other,father,2,no,yes,yes,no,3
F,U,GT3,T,4,services,father,2,no,yes,yes,yes,2
F,U,GT3,T,2,other,mother,2,no,no,yes,no,1
F,U,GT3,T,4,health,mother,2,no,yes,yes,yes,4
M,U,GT3,T,3,other,father,1,yes,no,yes,no,4
M,U,GT3,T,1,other,mother,2,yes,yes,yes,yes,3
M,U,LE3,T,4,other,mother,2,yes,yes,yes,no,4
F,U,GT3,T,1,services,mother,2,yes,no,yes,yes,3
F,U,LE3,T,3,other,mother,2,yes,yes,yes,no,4
M,U,LE3,T,4,other,mother,2,yes,yes,yes,no,4
F,U,GT3,T,2,other,mother,2,yes,no,yes,no,4
M,U,GT3,T,3,other,father,2,yes,no,yes,no,3
M,R,GT3,T,4,services,mother,1,yes,yes,yes,yes,3
M,U,GT3,T,4,other,mother,2,yes,yes,yes,yes,2
M,U,GT3,T,4,other,mother,2,yes,yes,yes,no,4
M,U,GT3,T,3,other,mother,2,yes,yes,yes,yes,2
F,U,GT3,T,2,services,father,2,yes,yes,no,no,4
F,U,LE3,T,3,other,mother,2,yes,yes,yes,yes,3
F,U,GT3,T,3,other,mother,2,no,yes,yes,no,2
M,U,GT3,T,3,services,mother,2,yes,yes,yes,yes,3
M,U,GT3,T,1,services,mother,1,yes,yes,yes,yes,3
M,U,LE3,T,2,other,mother,2,yes,yes,yes,yes,2
F,U,GT3,A,3,other,mother,2,no,no,yes,yes,3
M,R,GT3,T,1,other,mother,2,no,yes,no,no,1
F,U,GT3,T,2,services,mother,2,no,yes,yes,no,3
F,U,GT3,T,1,services,mother,2,yes,yes,yes,no,3
M,U,GT3,T,1,services,other,2,yes,no,yes,no,4
M,R,GT3,T,3,services,mother,1,yes,yes,yes,no,3
M,U,GT3,T,2,other,father,1,no,yes,yes,no,3
F,U,LE3,T,2,services,father,2,yes,yes,yes,yes,3
M,U,GT3,T,4,teacher,mother,1,no,yes,yes,no,2
M,R,LE3,T,3,other,father,1,yes,yes,yes,no,3
F,U,GT3,T,4,teacher,mother,1,no,yes,yes,no,2
F,U,LE3,T,4,teacher,mother,2,no,yes,yes,no,5
F,U,GT3,T,4,other,mother,2,yes,yes,yes,no,3
F,U,GT3,T,2,other,mother,2,yes,yes,no,no,4
F,U,GT3,T,1,other,mother,2,no,no,no,no,4
F,R,GT3,T,2,other,mother,1,no,yes,yes,no,3
F,R,GT3,T,2,services,mother,4,yes,no,yes,no,3
F,U,GT3,T,3,services,mother,3,no,yes,yes,yes,4
F,U,GT3,A,3,other,mother,2,no,yes,yes,no,3
F,U,GT3,T,4,other,mother,2,yes,yes,yes,yes,3
F,U,GT3,T,1,other,mother,1,no,yes,no,no,3
F,R,GT3,T,4,other,mother,3,yes,yes,yes,yes,4
F,U,GT3,T,3,other,other,4,yes,yes,yes,no,3
M,U,LE3,T,4,other,mother,2,no,yes,yes,yes,3
F,U,GT3,A,2,other,mother,2,no,yes,yes,no,3
M,U,GT3,T,2,other,mother,2,yes,yes,yes,no,4
F,R,LE3,T,4,other,mother,1,no,yes,no,no,2
F,U,LE3,T,3,other,mother,2,no,yes,yes,no,4
F,U,GT3,T,4,other,mother,2,no,yes,yes,yes,4
M,U,LE3,T,3,health,father,2,no,yes,yes,no,2
F,U,GT3,T,2,other,father,1,no,yes,no,no,3
F,U,GT3,T,2,at_home,mother,3,yes,yes,yes,no,3
F,R,GT3,T,2,services,mother,2,yes,yes,yes,no,2
F,U,GT3,T,1,other,mother,3,yes,yes,no,yes,3
F,U,GT3,T,2,teacher,mother,2,no,yes,yes,no,3
M,U,GT3,T,2,other,mother,2,no,yes,yes,no,3
F,U,GT3,T,4,services,mother,3,yes,no,yes,no,3
F,R,GT3,T,3,other,mother,2,yes,yes,yes,yes,3
F,U,GT3,T,3,other,mother,2,yes,no,yes,no,3
M,U,LE3,T,2,services,father,2,no,no,yes,no,3
M,U,LE3,T,2,other,mother,2,yes,yes,yes,yes,3
F,U,GT3,A,2,other,mother,3,yes,yes,yes,yes,2
F,U,LE3,T,4,other,father,2,yes,yes,yes,yes,2
M,R,GT3,T,2,other,father,2,yes,yes,yes,no,5
M,U,GT3,T,4,teacher,mother,2,yes,yes,yes,yes,5
M,U,GT3,T,4,other,father,2,yes,yes,yes,no,2
M,U,LE3,T,1,other,mother,2,no,yes,yes,no,4
M,U,GT3,T,3,other,mother,3,yes,yes,yes,yes,3
M,U,LE3,T,2,other,father,2,yes,no,yes,yes,4
F,U,GT3,T,2,other,mother,1,no,yes,yes,yes,5
F,R,GT3,T,2,services,mother,2,yes,yes,no,no,1
M,U,GT3,T,2,services,father,2,no,yes,yes,no,5
