A,B,D,F,I,N,O,P,Q,S,U,V,X,Y,Z
GP,F,U,T,health,3,0,no,yes,yes,yes,yes,4,4,3
GP,F,U,T,services,2,0,no,yes,yes,yes,yes,4,3,4
GP,F,U,T,services,2,0,no,yes,yes,yes,yes,4,3,5
GP,F,U,A,at_home,1,1,no,no,no,no,yes,2,2,3
GP,F,U,T,other,1,1,no,yes,no,yes,yes,4,1,2
GP,F,U,T,other,3,2,no,no,yes,yes,yes,3,3,2
GP,M,U,T,services,2,0,no,yes,yes,no,yes,4,4,4
GP,M,U,A,other,2,0,no,no,yes,yes,yes,4,3,5
GP,F,U,T,services,2,0,no,yes,yes,yes,yes,4,3,4
GP,M,U,A,health,3,0,no,yes,no,yes,yes,4,4,2
GP,F,U,T,teacher,2,0,no,yes,yes,yes,yes,4,2,2
GP,M,R,T,at_home,2,2,no,yes,yes,no,yes,5,3,3
GP,F,R,T,other,3,0,no,no,no,yes,yes,3,2,2
GP,F,U,T,teacher,1,1,no,yes,no,yes,yes,3,2,5
GP,M,U,A,other,2,0,no,yes,no,yes,yes,4,4,4
GP,F,U,T,at_home,3,0,no,yes,no,yes,yes,4,3,4
GP,M,R,T,other,1,0,no,no,no,yes,yes,3,1,3
GP,M,U,T,other,1,0,no,no,no,yes,yes,5,3,4
GP,F,U,A,services,2,0,no,yes,no,yes,yes,4,1,4
GP,F,U,T,other,1,1,yes,no,no,yes,yes,5,3,1
GP,F,U,T,services,2,0,no,yes,yes,yes,yes,3,1,2
MS,F,U,T,at_home,1,0,no,yes,no,no,yes,4,3,3
MS,F,R,T,other,2,0,no,yes,yes,yes,yes,4,4,4
MS,F,R,T,at_home,1,1,no,yes,no,yes,no,4,1,3
MS,F,R,T,at_home,1,0,no,yes,no,yes,yes,5,4,4
MS,F,R,T,at_home,2,0,no,no,no,yes,no,4,5,2
MS,F,R,T,at_home,1,0,no,no,no,no,no,1,3,4
MS,M,R,A,at_home,2,0,no,yes,no,yes,no,5,3,2
MS,M,U,A,other,3,0,yes,no,no,yes,yes,4,4,3
MS,F,R,T,at_home,2,1,no,no,no,yes,no,4,5,4
MS,F,R,T,other,1,1,no,yes,no,no,yes,5,4,4
MS,F,R,T,teacher,1,0,no,no,no,yes,yes,1,5,1
MS,F,U,A,at_home,4,0,no,no,yes,no,no,1,2,1
MS,F,R,T,at_home,2,0,no,yes,no,yes,yes,5,4,3
MS,F,R,T,other,1,1,no,yes,no,yes,yes,4,4,3
MS,F,R,T,other,1,0,no,yes,yes,yes,no,3,2,3
MS,F,R,T,other,1,0,no,yes,no,yes,yes,5,5,5
MS,F,R,T,other,1,0,no,no,no,yes,yes,4,1,3
MS,M,U,T,at_home,2,0,no,yes,yes,yes,no,5,4,5
MS,M,U,T,other,2,0,no,no,no,yes,yes,4,4,3
MS,M,R,T,health,2,0,no,yes,yes,yes,yes,5,3,4
MS,M,R,T,health,2,0,no,yes,yes,yes,yes,5,3,4
MS,M,R,T,other,2,0,no,no,no,yes,no,3,4,5
MS,M,R,T,other,2,0,no,yes,yes,yes,no,5,4,5
MS,M,U,T,at_home,2,0,no,yes,yes,yes,yes,5,3,3
MS,M,R,T,other,1,0,no,no,yes,no,no,5,5,5
MS,F,R,T,teacher,3,0,no,no,yes,yes,yes,4,2,2
MS,F,R,T,other,1,0,no,no,no,yes,no,5,1,2
MS,F,R,T,other,2,0,no,yes,no,yes,yes,4,5,4
MS,M,R,T,other,2,0,no,no,no,yes,no,4,3,3
MS,F,R,T,other,2,0,no,yes,no,yes,yes,4,4,5
MS,F,U,T,other,3,1,no,yes,no,yes,no,1,3,2
MS,F,U,T,other,3,1,no,yes,no,yes,no,1,3,2
MS,F,U,T,at_home,2,0,yes,yes,no,yes,yes,4,4,2
MS,F,U,T,at_home,2,0,no,yes,no,yes,no,5,4,3
MS,M,R,T,at_home,1,0,no,yes,yes,yes,yes,5,5,5
MS,F,R,T,other,4,0,no,yes,no,yes,yes,4,3,2
MS,F,R,T,at_home,3,0,yes,yes,no,yes,no,4,4,3
MS,F,R,T,at_home,2,0,no,yes,yes,yes,yes,4,3,3
MS,F,R,T,at_home,1,0,no,no,yes,yes,yes,4,2,2
MS,F,R,T,at_home,2,0,no,yes,no,yes,no,4,2,1
MS,F,R,T,other,3,0,yes,yes,no,yes,no,4,4,3
MS,M,R,T,at_home,1,0,no,no,yes,yes,no,3,4,4
MS,F,U,T,other,2,1,no,yes,yes,yes,yes,3,4,4
MS,M,U,T,other,1,0,no,yes,no,yes,no,3,2,3
MS,F,R,T,other,2,0,no,yes,yes,yes,yes,5,3,4
MS,M,U,T,health,1,0,no,no,no,yes,no,4,3,3
MS,M,U,T,other,2,0,no,yes,yes,yes,no,4,3,1
MS,F,R,T,services,2,0,no,yes,no,yes,yes,4,5,4
MS,F,R,T,at_home,2,1,no,yes,yes,yes,no,4,4,4
MS,F,R,T,other,1,0,no,yes,yes,yes,no,4,3,2
MS,M,U,T,at_home,1,0,no,yes,yes,yes,yes,2,4,3
MS,M,R,T,at_home,1,0,no,yes,yes,yes,yes,4,2,4
MS,F,U,T,other,3,0,no,yes,yes,yes,no,5,3,2
MS,F,R,T,other,1,0,no,yes,no,yes,yes,5,4,3
MS,M,U,T,services,1,0,no,yes,yes,yes,yes,4,3,3
MS,F,R,T,at_home,2,3,yes,yes,no,yes,no,3,4,3
MS,F,U,T,other,1,0,no,yes,yes,no,no,4,5,3
MS,F,U,T,at_home,1,1,no,no,no,no,yes,4,4,4
MS,F,R,T,at_home,1,0,no,yes,yes,no,no,5,5,3
MS,F,R,T,at_home,1,0,no,yes,no,no,no,5,2,1
MS,F,R,T,other,2,0,no,yes,no,no,yes,3,4,5
MS,F,U,A,other,1,0,no,yes,no,no,no,4,3,4
MS,F,R,T,at_home,2,0,no,yes,no,yes,yes,4,3,5
MS,F,U,T,other,1,1,no,yes,yes,yes,yes,4,4,3
MS,F,R,A,other,3,2,no,yes,no,no,no,3,3,2
MS,F,U,T,at_home,3,1,no,no,yes,no,no,5,3,1
MS,M,R,T,other,1,1,no,no,yes,no,yes,4,4,3
MS,F,R,T,at_home,1,1,no,no,no,no,yes,3,2,3
MS,F,U,T,other,2,1,no,yes,no,yes,yes,1,1,4
MS,F,R,A,health,2,0,no,no,no,yes,no,3,3,2
MS,F,U,T,other,1,0,no,no,yes,yes,no,2,4,4
MS,F,R,T,at_home,2,0,no,no,yes,no,yes,4,4,5
MS,F,U,T,other,1,0,no,no,yes,no,yes,4,5,4
MS,F,R,T,services,1,0,no,yes,yes,yes,yes,4,4,4
MS,M,U,T,services,4,1,no,yes,yes,yes,no,5,4,5
MS,F,U,T,other,2,0,no,yes,yes,yes,yes,5,3,3
MS,F,U,T,services,1,0,no,yes,yes,yes,no,4,2,5
MS,M,U,T,other,1,1,no,yes,yes,no,yes,5,3,5
MS,M,U,T,other,1,0,no,no,yes,yes,yes,4,2,5
MS,M,R,T,services,4,1,no,yes,no,yes,no,1,3,5
MS,F,U,T,other,4,0,yes,yes,yes,yes,yes,2,2,1
MS,F,U,T,other,3,0,no,no,no,yes,yes,5,4,5
MS,F,R,T,at_home,1,0,no,yes,yes,yes,yes,4,4,5
MS,F,U,T,at_home,2,1,no,no,yes,yes,yes,3,3,4
MS,F,U,T,other,3,0,no,yes,no,yes,no,4,3,3
MS,M,R,T,other,1,1,no,yes,no,yes,yes,4,4,5
MS,F,R,T,at_home,2,0,no,yes,no,yes,no,5,3,2
MS,F,R,T,other,2,0,no,yes,yes,yes,no,5,3,2
MS,F,U,A,other,2,0,no,no,no,yes,yes,4,4,5
MS,F,R,T,at_home,2,1,no,yes,no,yes,yes,4,3,2
MS,F,U,T,other,1,0,no,no,yes,yes,yes,3,1,3
MS,F,U,T,services,1,0,no,no,no,yes,yes,3,1,3
MS,F,U,T,other,2,0,yes,no,no,yes,no,2,3,5
MS,F,R,T,health,2,0,no,no,yes,yes,yes,4,3,3
MS,F,R,T,other,1,0,no,no,yes,yes,yes,5,4,5
MS,F,U,A,other,2,1,no,yes,no,yes,yes,2,3,2
MS,M,R,T,other,2,0,no,no,yes,yes,yes,5,2,1
MS,F,U,T,at_home,2,0,no,yes,no,yes,yes,4,3,2
MS,F,R,T,at_home,2,0,no,yes,yes,yes,yes,3,3,3
MS,F,U,T,health,2,0,no,yes,no,yes,yes,4,3,4
MS,M,U,T,at_home,4,0,no,yes,yes,no,yes,5,5,5
MS,F,R,T,at_home,2,0,no,yes,no,yes,no,4,2,1
MS,M,U,T,other,3,0,no,yes,no,yes,yes,4,4,3
MS,F,R,T,other,1,0,no,no,no,yes,yes,4,2,3
MS,M,U,T,services,3,0,no,no,no,yes,no,5,1,3
MS,F,R,T,at_home,1,0,no,yes,no,yes,yes,5,1,3
MS,F,U,T,services,1,0,no,yes,no,yes,no,5,1,3
MS,M,U,T,services,1,0,no,yes,yes,yes,yes,4,1,4
MS,M,U,T,at_home,2,0,no,no,no,yes,yes,5,1,3
MS,M,U,T,health,2,0,no,no,no,yes,yes,4,2,2
MS,F,U,T,other,2,0,no,no,no,yes,yes,3,2,2
MS,M,U,T,teacher,1,0,no,yes,no,yes,yes,4,1,2
MS,M,R,T,other,2,0,no,yes,yes,yes,no,5,5,5
MS,M,U,A,other,4,0,no,yes,yes,yes,no,5,4,5
MS,M,U,A,services,1,0,no,no,yes,yes,yes,4,3,3
MS,F,R,T,other,3,0,no,yes,no,yes,no,4,3,3
MS,F,U,T,other,2,0,no,yes,yes,yes,yes,1,2,4
MS,F,U,T,at_home,1,0,no,no,no,yes,no,4,3,3
MS,F,R,T,other,2,0,yes,no,no,yes,no,5,1,3
MS,F,U,T,teacher,3,0,no,yes,no,yes,yes,5,3,5
MS,M,R,T,health,1,3,no,no,yes,yes,yes,3,3,3
MS,M,R,T,other,1,0,no,no,yes,yes,no,5,1,2
MS,M,U,T,services,2,1,no,yes,yes,yes,yes,5,4,4
MS,F,U,T,health,2,0,no,yes,no,yes,yes,5,2,5
MS,M,R,T,other,1,0,no,no,no,yes,yes,4,1,2
MS,F,U,A,at_home,2,0,no,no,yes,yes,yes,4,5,5
MS,F,R,T,other,2,0,yes,yes,no,yes,yes,4,3,3
MS,M,U,A,other,2,0,no,yes,no,yes,yes,4,1,2
MS,M,U,T,other,2,0,no,yes,no,yes,yes,4,1,2
MS,M,U,T,other,2,2,no,yes,yes,no,yes,4,4,3
MS,M,U,A,other,1,0,no,no,no,yes,no,4,1,2
MS,F,R,T,at_home,1,0,no,yes,yes,no,yes,3,5,5
MS,F,R,T,other,3,0,yes,yes,no,yes,yes,4,3,4
MS,M,R,T,other,1,0,no,no,no,yes,no,4,4,4
MS,F,R,T,other,2,3,no,yes,yes,yes,yes,5,4,4
MS,M,R,T,other,1,0,no,no,yes,no,no,5,5,5
MS,M,R,T,at_home,1,1,yes,yes,no,yes,no,4,3,2
MS,M,R,T,other,1,0,no,yes,yes,yes,yes,4,5,5
MS,M,U,T,at_home,2,0,no,yes,yes,yes,no,4,3,3
MS,F,R,T,other,2,0,no,no,yes,yes,no,5,4,3
MS,M,U,T,other,1,1,no,no,yes,yes,no,1,2,1
MS,M,R,T,services,1,0,no,no,no,yes,yes,4,5,5
MS,M,R,T,at_home,1,0,no,no,yes,yes,yes,4,5,5
MS,M,R,T,services,1,1,no,yes,no,no,yes,5,3,3
MS,M,R,T,services,1,1,no,no,no,no,yes,2,3,1
MS,M,U,T,at_home,1,3,no,no,yes,yes,no,3,2,1
MS,M,U,T,at_home,2,2,no,yes,yes,no,yes,4,4,5
MS,M,R,T,services,1,0,no,yes,yes,yes,yes,5,4,3
MS,M,U,T,at_home,1,3,no,no,yes,no,yes,4,4,3
MS,F,U,A,services,2,2,no,yes,yes,yes,no,2,5,5
MS,F,U,T,other,1,0,no,yes,yes,yes,no,4,3,2
MS,M,R,T,other,1,1,no,yes,no,no,yes,4,4,3
MS,F,R,A,services,1,0,no,yes,no,yes,yes,5,4,4
MS,M,R,T,other,1,0,no,yes,no,yes,yes,2,5,5
MS,M,R,T,other,2,1,no,no,no,yes,yes,5,4,4
MS,M,U,T,health,2,1,no,yes,no,yes,yes,4,5,4
MS,M,U,T,at_home,1,0,no,no,no,no,yes,4,3,3
MS,M,R,T,other,1,1,no,yes,no,yes,yes,4,4,4
MS,F,U,A,at_home,2,2,no,yes,no,yes,no,4,3,3
MS,F,U,A,at_home,1,0,no,yes,no,no,no,1,4,4
MS,F,R,T,other,1,1,no,no,no,no,yes,5,5,5
MS,F,R,T,at_home,1,0,no,yes,no,yes,yes,4,4,3
MS,F,R,A,other,3,0,no,yes,no,no,no,4,2,3
MS,F,U,T,teacher,2,0,yes,yes,yes,yes,yes,5,5,5
MS,F,R,T,services,2,1,no,yes,yes,yes,yes,2,3,3
MS,F,U,T,health,1,0,no,yes,no,yes,no,3,2,2
MS,F,U,T,at_home,1,0,no,no,no,yes,yes,5,5,1
MS,F,U,T,other,2,2,no,no,yes,yes,no,3,4,4
MS,F,U,T,services,2,0,no,no,yes,yes,yes,4,3,5
MS,F,U,T,services,1,0,no,yes,no,yes,yes,4,4,3
MS,F,U,A,at_home,2,0,no,no,no,yes,yes,4,4,3
MS,F,U,T,teacher,2,0,no,no,yes,yes,yes,4,3,5
MS,M,U,T,services,1,0,no,yes,yes,yes,yes,5,4,5
MS,F,U,T,other,2,0,no,yes,no,yes,yes,4,3,3
MS,F,R,T,at_home,2,1,no,no,yes,yes,no,4,3,3
MS,M,U,T,at_home,1,0,no,yes,no,yes,no,4,1,4
MS,M,R,T,at_home,1,0,no,yes,yes,yes,yes,2,5,5
MS,M,R,T,other,1,0,no,no,no,no,no,4,2,3
MS,F,U,T,other,2,0,no,yes,no,yes,yes,1,3,1
MS,F,U,T,services,3,0,no,no,no,yes,yes,5,4,5
MS,F,R,A,teacher,2,0,no,no,yes,yes,yes,5,3,1
MS,F,U,T,at_home,2,1,no,no,no,no,no,4,4,2
MS,F,U,T,at_home,1,1,no,no,no,no,no,5,5,5
MS,F,U,T,teacher,4,0,no,no,no,yes,yes,4,2,3
MS,F,R,A,services,2,0,no,no,yes,yes,yes,5,3,3
MS,F,U,A,at_home,2,0,no,no,no,yes,no,5,2,3
MS,F,U,T,at_home,2,0,no,yes,no,no,no,4,1,1
MS,F,R,A,at_home,2,3,no,yes,yes,no,no,3,5,4
MS,F,R,T,services,3,0,no,no,no,yes,yes,4,2,1
MS,M,R,T,services,2,1,no,yes,yes,yes,yes,4,5,5
MS,F,U,T,services,2,0,no,yes,no,yes,no,5,3,4
MS,F,R,T,teacher,2,0,no,yes,yes,yes,yes,4,3,3
MS,F,U,A,services,2,0,no,no,no,yes,no,1,2,3
MS,M,U,T,other,1,0,no,no,no,yes,yes,3,3,2
MS,F,U,T,at_home,3,0,no,no,no,yes,yes,5,3,2
MS,F,R,A,at_home,2,0,no,no,no,yes,no,4,3,4
MS,F,U,T,services,2,0,no,yes,no,yes,yes,4,3,2
MS,F,U,T,at_home,2,0,no,yes,yes,yes,yes,2,3,4
MS,F,R,T,other,2,0,no,no,no,yes,no,3,2,2
MS,M,R,T,at_home,2,0,no,yes,no,yes,no,3,3,4
MS,M,U,T,teacher,3,0,no,no,no,yes,yes,4,2,2
MS,F,R,T,other,1,1,no,yes,no,yes,yes,5,2,1
MS,F,U,T,at_home,1,0,no,yes,no,yes,yes,5,2,3
MS,F,R,T,other,2,0,no,yes,no,yes,yes,3,2,2
MS,M,R,T,at_home,1,0,no,yes,yes,no,yes,4,3,3
MS,F,U,T,other,3,0,no,no,yes,yes,no,3,4,3
MS,F,R,T,other,1,0,no,no,yes,yes,yes,3,5,5
MS,F,R,T,other,3,0,no,no,no,yes,yes,5,4,4
MS,F,R,T,other,3,0,no,no,no,yes,yes,4,3,2
MS,F,R,T,at_home,2,1,no,yes,no,yes,yes,4,3,3
MS,F,R,T,teacher,2,0,no,no,yes,yes,yes,5,4,3
MS,F,U,T,other,2,0,no,no,no,yes,yes,4,1,3
MS,F,R,T,at_home,2,0,no,yes,yes,yes,yes,4,5,4
MS,M,U,T,teacher,2,0,no,no,yes,yes,yes,3,2,4
MS,M,R,T,other,1,0,no,no,yes,yes,yes,4,4,3
MS,M,U,T,other,2,0,no,no,yes,yes,yes,4,4,3
MS,M,R,T,other,1,1,no,no,no,yes,no,4,3,2
MS,M,R,T,other,1,1,no,no,no,yes,no,5,4,3
MS,F,R,T,at_home,3,0,no,no,no,yes,no,5,3,3
MS,F,U,T,teacher,2,0,no,no,no,yes,yes,5,5,4
MS,F,R,T,teacher,1,0,no,yes,yes,yes,yes,4,4,3
MS,F,R,T,services,3,1,no,no,yes,yes,yes,5,4,2
MS,F,U,T,teacher,2,0,no,yes,no,yes,yes,4,3,4
MS,F,U,T,other,2,0,no,no,yes,yes,no,1,1,1
MS,M,U,T,services,1,0,no,no,no,yes,yes,2,4,5
MS,M,R,T,services,1,0,no,no,no,yes,yes,4,4,1
GP,F,U,A,at_home,2,0,yes,no,no,yes,no,4,3,4
GP,F,U,T,at_home,2,0,no,yes,no,yes,yes,5,3,3
GP,F,U,T,at_home,2,3,yes,no,no,yes,yes,4,3,2
GP,F,U,T,health,3,0,no,yes,yes,yes,yes,3,2,2
GP,F,U,T,other,2,0,no,yes,no,yes,no,4,3,2
GP,M,U,T,services,2,0,no,yes,yes,yes,yes,5,4,2
GP,M,U,T,other,2,0,no,no,no,yes,yes,4,4,4
GP,F,U,A,other,2,0,yes,yes,no,yes,no,4,1,4
GP,M,U,A,services,2,0,no,yes,no,yes,yes,4,2,2
GP,M,U,T,other,2,0,no,yes,yes,yes,yes,5,5,1
GP,F,U,T,teacher,2,0,no,yes,no,yes,yes,3,3,3
GP,F,U,T,services,3,0,no,yes,yes,yes,yes,5,2,2
GP,M,U,T,health,1,0,no,yes,yes,yes,yes,4,3,3
GP,M,U,T,teacher,2,0,no,yes,no,yes,yes,5,4,3
GP,M,U,A,other,3,0,no,yes,no,yes,yes,4,5,2
GP,F,U,T,health,1,0,no,yes,no,yes,yes,4,4,4
GP,F,U,T,services,3,0,no,yes,yes,yes,yes,3,2,3
GP,F,U,T,other,2,0,yes,yes,yes,yes,no,5,3,2
GP,M,U,T,services,1,3,no,yes,yes,yes,yes,5,5,5
GP,M,U,T,health,1,0,no,no,yes,yes,yes,3,1,3
GP,M,U,T,teacher,2,0,no,no,no,yes,yes,4,4,1
GP,M,U,T,health,1,0,no,yes,no,yes,yes,5,4,2
GP,M,U,T,teacher,2,0,no,no,yes,yes,yes,4,5,1
GP,M,U,T,other,2,0,no,yes,yes,yes,yes,5,4,4
GP,F,R,T,services,3,0,yes,yes,yes,yes,yes,4,3,2
GP,F,U,T,services,1,2,no,yes,no,yes,yes,1,2,2
GP,M,U,T,other,1,0,no,yes,no,yes,yes,4,2,2
GP,M,U,T,health,1,0,no,no,no,yes,yes,2,2,4
GP,M,U,A,services,2,0,yes,yes,yes,yes,yes,5,3,3
GP,M,U,T,teacher,2,0,no,yes,yes,yes,yes,4,4,5
GP,M,U,T,health,2,0,no,yes,no,yes,yes,5,4,2
GP,M,U,T,services,2,0,no,yes,yes,yes,yes,4,3,1
GP,M,R,T,teacher,2,0,no,yes,yes,yes,yes,4,5,2
GP,M,U,T,other,2,0,no,no,yes,yes,yes,5,3,2
GP,M,U,T,other,1,0,no,yes,no,yes,yes,5,4,3
GP,F,U,T,other,1,0,no,yes,yes,yes,no,3,5,1
GP,M,U,T,teacher,3,0,no,yes,yes,yes,yes,5,4,3
GP,M,R,A,other,3,0,no,yes,yes,yes,yes,2,4,3
GP,F,R,T,services,3,0,yes,yes,yes,yes,yes,4,3,2
GP,F,R,T,at_home,1,0,yes,yes,yes,yes,no,4,3,1
GP,F,U,T,other,2,1,no,yes,yes,yes,yes,3,3,3
GP,M,U,T,teacher,1,0,no,yes,no,yes,yes,5,4,3
GP,M,U,T,services,2,0,no,yes,yes,yes,yes,4,3,3
GP,M,U,T,services,1,0,yes,yes,no,yes,yes,5,4,1
GP,F,U,T,other,2,1,yes,no,yes,yes,yes,4,3,3
GP,F,U,A,other,2,0,yes,yes,yes,yes,yes,5,2,2
GP,F,U,A,other,2,0,no,yes,no,yes,yes,2,3,5
GP,M,U,T,health,4,0,no,no,yes,yes,yes,4,2,2
GP,M,U,T,teacher,2,0,no,yes,no,yes,no,4,3,3
GP,F,U,T,services,2,1,yes,yes,yes,yes,yes,4,4,4
GP,F,U,T,services,2,0,no,yes,no,yes,yes,4,3,3
GP,F,U,T,health,2,0,no,yes,no,yes,yes,4,3,3
GP,M,U,A,health,1,1,no,no,no,yes,no,5,5,5
GP,F,U,T,services,1,0,yes,yes,no,yes,yes,3,3,4
GP,F,U,A,other,1,0,no,no,no,yes,yes,5,3,4
GP,F,U,A,other,2,0,no,no,yes,yes,yes,5,3,4
GP,F,U,A,services,2,0,no,yes,yes,yes,yes,4,3,2
GP,M,U,T,teacher,2,0,no,yes,yes,yes,no,3,2,2
GP,M,U,T,other,2,0,yes,yes,yes,yes,yes,4,3,2
GP,F,U,T,services,2,0,no,yes,no,yes,yes,4,2,3
GP,F,R,T,health,2,0,no,yes,yes,yes,no,2,4,4
GP,F,U,T,services,1,0,yes,yes,yes,yes,yes,5,5,5
GP,F,U,T,other,2,0,yes,no,yes,yes,yes,4,4,3
GP,F,U,T,teacher,3,0,yes,yes,yes,yes,yes,3,4,4
GP,F,U,T,services,2,0,yes,no,yes,yes,yes,4,4,4
GP,F,U,T,teacher,2,0,no,yes,yes,yes,yes,5,4,3
GP,M,U,A,other,4,0,no,yes,yes,yes,yes,1,3,3
GP,F,U,T,services,4,0,yes,yes,no,yes,yes,4,3,3
GP,F,R,T,health,2,0,yes,yes,no,yes,yes,4,1,3
GP,F,R,T,other,4,0,no,yes,no,yes,yes,4,4,2
GP,M,U,T,other,4,0,no,yes,no,yes,yes,4,3,2
GP,M,U,T,other,4,0,no,no,no,yes,yes,3,3,3
GP,F,R,T,other,2,2,yes,yes,no,yes,yes,3,3,4
GP,M,U,T,other,1,0,no,no,yes,yes,no,5,3,2
GP,F,U,T,other,2,0,yes,yes,yes,yes,yes,4,3,3
GP,M,U,T,teacher,2,0,no,yes,yes,yes,yes,4,3,3
GP,M,U,T,teacher,4,0,no,no,yes,yes,yes,3,4,3
GP,F,U,T,other,4,0,no,no,no,yes,yes,5,2,3
GP,M,U,T,other,1,3,yes,yes,yes,no,yes,4,5,1
GP,F,U,T,at_home,2,0,no,yes,no,yes,yes,2,4,3
GP,M,U,T,other,1,0,yes,yes,yes,yes,yes,3,2,2
GP,M,U,T,other,3,0,yes,no,no,yes,yes,5,3,2
GP,F,U,T,services,2,0,no,yes,no,yes,yes,4,4,4
GP,M,U,T,services,2,0,no,no,yes,yes,yes,5,3,3
GP,F,U,T,other,2,0,no,yes,yes,yes,yes,4,3,2
GP,F,U,T,services,2,2,no,no,no,yes,yes,4,4,4
GP,F,U,T,at_home,2,0,no,yes,no,yes,no,4,3,4
GP,F,U,T,other,3,0,no,yes,yes,yes,yes,5,3,3
GP,M,U,T,services,2,1,no,no,yes,yes,yes,4,4,2
GP,M,U,A,teacher,2,0,no,yes,no,yes,no,4,1,3
GP,F,U,T,other,3,0,no,yes,no,yes,yes,4,3,3
GP,F,U,T,services,1,0,no,no,yes,yes,yes,4,5,5
GP,F,U,T,other,2,0,yes,yes,no,yes,no,3,3,3
GP,F,U,T,teacher,2,0,no,yes,yes,yes,yes,5,3,3
GP,M,U,T,services,4,0,no,yes,yes,yes,yes,4,3,4
GP,F,R,T,at_home,4,1,yes,yes,yes,yes,yes,3,1,2
GP,M,R,T,services,1,0,yes,yes,yes,yes,yes,3,3,3
GP,F,U,T,other,2,0,no,yes,no,yes,no,4,3,5
GP,F,U,T,other,1,0,no,no,yes,yes,yes,5,3,4
GP,F,U,T,other,3,0,yes,yes,no,yes,yes,5,3,5
GP,M,U,T,services,1,0,yes,yes,yes,yes,yes,4,5,5
GP,M,U,T,services,3,0,no,yes,yes,yes,yes,4,4,3
GP,M,U,T,services,1,0,no,yes,yes,yes,yes,5,3,3
GP,F,U,T,services,2,0,yes,yes,no,yes,yes,4,3,5
GP,M,U,A,services,2,0,no,yes,yes,yes,yes,5,4,4
GP,F,U,A,other,4,0,yes,no,no,yes,no,4,3,3
GP,F,U,T,other,4,0,yes,yes,no,yes,yes,5,1,2
GP,M,U,T,services,3,0,no,yes,yes,yes,yes,5,3,3
GP,M,R,T,other,4,0,no,yes,yes,yes,yes,1,3,5
GP,F,U,T,health,3,0,no,yes,yes,yes,yes,5,4,5
GP,M,U,A,teacher,1,0,no,no,yes,yes,yes,5,5,3
GP,F,R,T,services,3,1,yes,yes,yes,yes,yes,4,1,2
GP,F,U,T,at_home,2,1,yes,no,yes,yes,yes,3,1,2
GP,M,U,T,teacher,1,0,no,no,no,yes,yes,3,5,2
GP,M,R,T,health,2,0,no,no,yes,yes,yes,5,4,2
GP,M,U,T,teacher,2,0,no,yes,yes,yes,yes,5,4,4
GP,M,U,T,other,2,0,no,yes,yes,yes,no,4,4,3
GP,M,U,T,other,1,0,no,no,yes,yes,yes,5,4,2
GP,M,R,T,other,2,1,no,yes,yes,yes,yes,5,2,4
GP,M,U,T,other,1,0,no,no,no,yes,yes,3,4,3
GP,F,U,T,at_home,2,0,no,no,no,yes,yes,3,2,3
GP,M,U,T,services,4,0,no,yes,yes,yes,yes,5,5,4
GP,F,U,T,other,2,0,no,yes,yes,yes,yes,4,2,2
GP,M,U,T,health,1,0,no,yes,yes,yes,yes,3,4,4
GP,F,U,T,other,2,0,no,no,no,yes,yes,5,4,4
GP,M,U,T,services,1,0,yes,no,no,yes,yes,5,5,5
GP,F,U,A,other,2,0,yes,no,yes,yes,yes,5,3,2
GP,F,U,T,at_home,2,3,no,yes,no,no,no,3,4,2
GP,M,R,T,services,1,2,no,yes,yes,yes,yes,3,3,3
GP,M,R,T,teacher,1,0,no,no,yes,yes,yes,3,5,5
GP,F,R,T,services,3,2,no,yes,no,yes,yes,4,2,2
GP,F,U,T,at_home,1,0,no,yes,yes,yes,yes,4,3,3
GP,F,U,T,other,1,0,no,yes,no,yes,yes,3,4,4
GP,F,U,A,services,1,0,no,no,no,yes,yes,3,2,1
GP,M,R,T,at_home,2,0,no,yes,no,yes,no,5,3,3
GP,F,U,T,services,3,0,no,yes,yes,yes,yes,4,3,3
GP,M,R,T,at_home,2,0,no,no,no,yes,no,5,4,5
GP,F,U,A,other,1,2,no,yes,yes,yes,yes,4,3,2
GP,M,U,T,services,2,1,no,no,no,yes,no,4,4,4
GP,F,U,T,teacher,1,0,no,no,yes,yes,yes,4,3,2
GP,M,U,T,teacher,4,0,yes,yes,no,yes,yes,2,2,2
GP,M,U,T,services,1,2,no,yes,yes,yes,yes,2,3,3
GP,F,U,T,teacher,3,0,no,yes,yes,yes,yes,4,2,2
GP,F,U,T,at_home,1,0,no,no,no,yes,yes,3,4,4
GP,M,U,T,other,1,3,no,yes,no,yes,yes,5,4,5
GP,F,U,T,other,2,0,no,yes,no,yes,yes,4,4,2
GP,F,U,T,health,2,3,no,yes,no,yes,yes,3,3,2
GP,F,U,T,at_home,2,0,no,yes,no,yes,yes,4,3,2
GP,M,U,T,teacher,1,0,no,yes,no,no,yes,3,3,2
GP,M,U,A,services,1,3,no,no,no,yes,yes,4,5,5
GP,M,U,T,other,1,3,no,no,no,no,yes,2,3,5
GP,M,U,T,at_home,1,1,no,no,yes,yes,no,4,4,4
GP,F,R,T,services,3,2,no,yes,yes,yes,yes,4,2,1
GP,M,U,T,services,1,3,no,yes,no,no,yes,4,5,4
GP,F,U,T,other,1,0,yes,yes,no,yes,no,4,2,1
GP,M,R,T,at_home,2,0,yes,no,yes,yes,no,4,4,4
GP,M,R,T,other,1,0,no,no,no,yes,no,2,2,2
