F,H,I,J,K,N
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Germany
Divorced,Unmarried,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Wife,White,Female,0,Mexico
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,99999,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-spouse-absent,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,Black,Female,0,Trinadad&Tobago
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,Asian-Pac-Islander,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Not-in-family,White,Female,0,noValueSetHere123156456
Separated,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Not-in-family,Black,Female,0,United-States
Never-married,Not-in-family,White,Female,2964,United-States
Divorced,Unmarried,Black,Female,0,United-States
Divorced,Own-child,Black,Male,0,United-States
Married-spouse-absent,Unmarried,White,Male,0,United-States
Married-spouse-absent,Other-relative,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,United-States
Never-married,Own-child,White,Male,0,noValueSetHere123156456
Never-married,Not-in-family,White,Male,0,Dominican-Republic
Never-married,Own-child,Asian-Pac-Islander,Male,0,South
Married-civ-spouse,Wife,White,Female,0,United-States
Widowed,Unmarried,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Other,Male,0,United-States
Widowed,Not-in-family,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Greece
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Divorced,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Wife,White,Female,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3464,United-States
Never-married,Own-child,Black,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Not-in-family,White,Male,0,noValueSetHere123156456
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Not-in-family,White,Male,0,Poland
Never-married,Own-child,White,Male,0,Mexico
Married-civ-spouse,Husband,Other,Male,0,Puerto-Rico
Never-married,Own-child,Asian-Pac-Islander,Female,0,Philippines
Never-married,Unmarried,White,Female,0,United-States
Separated,Not-in-family,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,Mexico
Separated,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3103,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,20051,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,noValueSetHere123156456
Divorced,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Unmarried,White,Female,5455,United-States
Married-civ-spouse,Husband,White,Male,0,Peru
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Wife,Black,Female,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,Mexico
Never-married,Other-relative,White,Male,0,United-States
Separated,Other-relative,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Cuba
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Canada
Never-married,Unmarried,Black,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Other-relative,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,El-Salvador
Divorced,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,Guatemala
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,Black,Female,0,United-States
Widowed,Unmarried,White,Female,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Separated,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,Other,Male,0,Mexico
Never-married,Own-child,White,Male,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Separated,Unmarried,White,Female,0,United-States
Married-spouse-absent,Other-relative,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,Germany
Married-civ-spouse,Wife,White,Female,0,United-States
Married-spouse-absent,Not-in-family,Other,Male,0,Mexico
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Never-married,Unmarried,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Female,3325,Dominican-Republic
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Other-relative,White,Female,0,Mexico
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,5013,United-States
Married-civ-spouse,Husband,White,Male,99999,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Separated,Own-child,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,White,Female,0,United-States
Never-married,Unmarried,Other,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,Black,Female,15024,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,3464,Columbia
Married-spouse-absent,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,Iran
Widowed,Unmarried,White,Male,15020,Iran
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Separated,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,2885,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Unmarried,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-spouse-absent,Not-in-family,White,Male,3325,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Other-relative,Amer-Indian-Eskimo,Male,0,Mexico
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,Italy
Married-civ-spouse,Husband,White,Male,15024,El-Salvador
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Own-child,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,7688,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Other-relative,Other,Female,0,United-States
Divorced,Unmarried,Black,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Unmarried,White,Female,0,noValueSetHere123156456
Divorced,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,4386,United-States
Never-married,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7298,United-States
Never-married,Not-in-family,White,Female,0,Portugal
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,England
Never-married,Own-child,Black,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,1424,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,Black,Male,0,noValueSetHere123156456
Never-married,Other-relative,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,5013,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,5178,Mexico
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Own-child,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,Cuba
Never-married,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,Cuba
Never-married,Own-child,White,Male,0,United-States
Never-married,Other-relative,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Separated,Not-in-family,White,Female,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Unmarried,Black,Female,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,Jamaica
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,Other,Female,0,United-States
Divorced,Not-in-family,White,Female,3273,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Not-in-family,Black,Male,10520,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,1055,United-States
Never-married,Not-in-family,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,7688,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Not-in-family,Asian-Pac-Islander,Male,0,noValueSetHere123156456
Married-civ-spouse,Husband,White,Male,0,United-States
Married-spouse-absent,Unmarried,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Never-married,Own-child,Amer-Indian-Eskimo,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Widowed,Not-in-family,White,Female,0,El-Salvador
Married-civ-spouse,Wife,White,Female,22040,United-States
Married-civ-spouse,Wife,White,Female,7688,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Own-child,Black,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Divorced,Not-in-family,Amer-Indian-Eskimo,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,Amer-Indian-Eskimo,Female,1055,United-States
Married-civ-spouse,Husband,White,Male,0,Canada
Separated,Not-in-family,White,Male,0,United-States
Never-married,Own-child,Black,Female,0,Jamaica
Never-married,Not-in-family,White,Female,0,Canada
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,7688,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Own-child,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Divorced,Unmarried,White,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Separated,Other-relative,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,3137,Mexico
Widowed,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,China
Never-married,Other-relative,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Widowed,Not-in-family,White,Female,0,United-States
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,Other,Male,0,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,noValueSetHere123156456
Divorced,Unmarried,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Never-married,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,1055,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Wife,Asian-Pac-Islander,Female,0,China
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,15024,United-States
Married-civ-spouse,Husband,Black,Male,7688,United-States
Divorced,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,7688,United-States
Never-married,Own-child,Black,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,White,Female,0,United-States
Never-married,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,France
Divorced,Unmarried,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,Other,Male,0,United-States
Married-civ-spouse,Husband,White,Male,7688,Germany
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Male,0,Guatemala
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Married-civ-spouse,Husband,Black,Male,0,England
Never-married,Own-child,White,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,White,Female,0,United-States
Never-married,Other-relative,White,Male,0,Mexico
Divorced,Not-in-family,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Wife,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Unmarried,White,Female,0,United-States
Never-married,Other-relative,White,Female,0,Mexico
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Male,3325,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Not-in-family,Black,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Divorced,Not-in-family,White,Female,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Other-relative,Black,Male,0,United-States
Married-civ-spouse,Husband,Amer-Indian-Eskimo,Male,7298,United-States
Married-civ-spouse,Husband,Asian-Pac-Islander,Male,0,Vietnam
Married-civ-spouse,Wife,White,Female,0,United-States
Never-married,Not-in-family,White,Male,4416,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Divorced,Own-child,White,Male,0,United-States
Married-civ-spouse,Other-relative,Asian-Pac-Islander,Female,0,China
Never-married,Own-child,Asian-Pac-Islander,Male,0,United-States
Married-civ-spouse,Husband,Black,Male,0,United-States
Never-married,Own-child,White,Male,0,United-States
Never-married,Own-child,White,Female,0,United-States
Never-married,Own-child,White,Male,0,Guatemala
Married-civ-spouse,Husband,White,Male,0,United-States
Married-civ-spouse,Husband,White,Male,0,United-States
