I,K,O
White,15024,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,8614,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
Black,0,>50K
Black,0,<=50K
White,0,<=50K
White,5013,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,99999,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,5178,>50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,15024,>50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,99999,>50K
Black,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
Amer-Indian-Eskimo,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
Black,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,7430,>50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,5013,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,6849,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,8614,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,7688,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,15024,>50K
White,7688,>50K
White,0,<=50K
Black,0,<=50K
Black,0,<=50K
White,0,<=50K
White,7688,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,34095,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
Black,15024,>50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,6497,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,4064,<=50K
White,0,<=50K
White,0,>50K
White,15024,>50K
White,0,<=50K
Black,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,7298,>50K
White,0,>50K
Black,0,<=50K
Black,0,<=50K
White,7688,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
Amer-Indian-Eskimo,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
Black,0,<=50K
White,3674,<=50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,99999,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,3137,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
Black,14084,>50K
White,0,<=50K
White,15024,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
Black,5178,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
Black,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,5013,<=50K
White,0,>50K
White,0,<=50K
Black,99999,>50K
White,0,>50K
White,0,<=50K
White,7298,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
Amer-Indian-Eskimo,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,7298,>50K
White,0,<=50K
White,6849,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,3908,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,114,<=50K
White,0,>50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,2407,<=50K
Asian-Pac-Islander,3137,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,7298,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,4650,<=50K
White,0,<=50K
White,8614,>50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,14344,>50K
Black,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,7896,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,15024,>50K
White,0,<=50K
White,9386,>50K
White,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,>50K
White,8614,>50K
White,7430,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,4101,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
Black,2346,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,5178,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,5013,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,99999,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,>50K
White,0,<=50K
White,0,>50K
White,10520,>50K
White,0,<=50K
White,0,>50K
White,914,<=50K
White,0,<=50K
White,2174,<=50K
Black,0,<=50K
White,0,<=50K
White,7298,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,2407,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
White,2407,<=50K
Black,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Amer-Indian-Eskimo,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Asian-Pac-Islander,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,8614,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,27828,>50K
White,0,<=50K
White,5013,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,10605,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Amer-Indian-Eskimo,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Black,0,>50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,7298,>50K
White,0,<=50K
White,0,>50K
White,594,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,7688,>50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
Black,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,7298,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,99999,>50K
White,0,>50K
White,2580,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
Other,0,<=50K
Black,0,<=50K
White,0,<=50K
White,3103,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Amer-Indian-Eskimo,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,2174,<=50K
Black,0,<=50K
White,0,<=50K
Black,0,<=50K
White,4386,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,10520,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,5178,>50K
White,7298,>50K
White,0,<=50K
White,7688,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,1506,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,99999,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
Black,3411,<=50K
White,0,<=50K
White,0,<=50K
White,15024,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Asian-Pac-Islander,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Other,0,<=50K
Black,0,<=50K
White,3418,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Amer-Indian-Eskimo,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,4064,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Other,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,5013,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,2580,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
Amer-Indian-Eskimo,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
White,20051,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
Black,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,7430,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Other,0,<=50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Black,0,>50K
White,0,>50K
Black,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Amer-Indian-Eskimo,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,13550,>50K
White,0,<=50K
White,0,>50K
White,2354,<=50K
White,0,<=50K
Black,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
White,7688,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,7298,>50K
White,0,<=50K
Amer-Indian-Eskimo,3325,<=50K
White,0,<=50K
Amer-Indian-Eskimo,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,99999,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,7688,>50K
White,15024,>50K
Amer-Indian-Eskimo,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,4416,<=50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
Black,2977,<=50K
Black,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,>50K
White,0,<=50K
White,8614,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,7688,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,7298,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,7688,>50K
White,0,<=50K
White,7298,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
Other,0,<=50K
White,0,<=50K
White,99999,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,2597,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,2174,<=50K
White,0,<=50K
Other,0,<=50K
Amer-Indian-Eskimo,0,>50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
White,0,>50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,8614,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Other,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,7298,>50K
White,0,<=50K
White,3432,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,15024,>50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
White,0,<=50K
White,2885,<=50K
White,0,>50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,14344,>50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,7688,>50K
White,0,>50K
White,0,<=50K
Black,0,>50K
White,2228,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,>50K
White,3103,>50K
White,0,>50K
Other,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,4064,<=50K
White,0,<=50K
White,0,>50K
Black,0,<=50K
White,0,<=50K
Black,0,<=50K
Asian-Pac-Islander,0,>50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
Amer-Indian-Eskimo,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Asian-Pac-Islander,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,15024,>50K
White,0,>50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
Black,0,<=50K
Black,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,15024,>50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
Black,0,<=50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
White,0,<=50K
White,0,>50K
White,0,<=50K
