B,F,G,H,J,K,L,O
Private,Divorced,Craft-repair,Not-in-family,Male,0,0,<=50K
Local-gov,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Priv-house-serv,Not-in-family,Female,0,0,<=50K
Private,Divorced,Exec-managerial,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Unmarried,Female,2174,0,<=50K
Local-gov,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,>50K
Private,Never-married,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,15024,0,>50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,2051,<=50K
Private,Never-married,Prof-specialty,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Divorced,Adm-clerical,Not-in-family,Male,0,0,>50K
Private,Never-married,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,2392,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Self-emp-inc,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,2057,<=50K
Private,Never-married,Craft-repair,Not-in-family,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,594,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,>50K
State-gov,Separated,Prof-specialty,Not-in-family,Male,10520,0,>50K
Private,Separated,Priv-house-serv,Unmarried,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Federal-gov,Never-married,Tech-support,Own-child,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Never-married,Transport-moving,Own-child,Male,0,0,<=50K
Federal-gov,Never-married,Tech-support,Own-child,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Self-emp-inc,Never-married,Farming-fishing,Own-child,Male,0,0,<=50K
Private,Divorced,Other-service,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
noValueSetHere123156456,Divorced,noValueSetHere123156456,Own-child,Male,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Female,0,0,<=50K
Private,Never-married,Exec-managerial,Own-child,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Federal-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Widowed,Adm-clerical,Not-in-family,Female,15831,0,>50K
Private,Divorced,Farming-fishing,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,1573,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,>50K
Private,Never-married,Sales,Not-in-family,Male,27828,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,1740,<=50K
Private,Separated,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,>50K
State-gov,Never-married,Prof-specialty,Not-in-family,Male,0,0,<=50K
Federal-gov,Never-married,Craft-repair,Other-relative,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Farming-fishing,Other-relative,Male,41310,0,<=50K
Private,Divorced,Craft-repair,Unmarried,Female,0,0,<=50K
Private,Widowed,Machine-op-inspct,Unmarried,Female,0,0,<=50K
Private,Never-married,Sales,Other-relative,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,594,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Widowed,Other-service,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Never-married,Craft-repair,Own-child,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,>50K
Private,Never-married,Exec-managerial,Own-child,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Female,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Other-service,Own-child,Female,0,0,<=50K
State-gov,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,<=50K
Federal-gov,Never-married,Exec-managerial,Not-in-family,Female,14084,0,>50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,1977,>50K
Private,Divorced,Sales,Unmarried,Female,0,0,<=50K
Private,Never-married,Sales,Other-relative,Male,0,0,<=50K
Private,Married-spouse-absent,Adm-clerical,Unmarried,Female,0,0,<=50K
Local-gov,Widowed,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
State-gov,Divorced,Adm-clerical,Other-relative,Female,4650,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Local-gov,Divorced,Adm-clerical,Own-child,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Separated,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,0,2559,>50K
Local-gov,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,15024,0,>50K
Private,Divorced,Prof-specialty,Not-in-family,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Local-gov,Never-married,Prof-specialty,Not-in-family,Female,4650,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Federal-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Self-emp-inc,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
State-gov,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Self-emp-not-inc,Widowed,Exec-managerial,Unmarried,Female,0,0,<=50K
Private,Divorced,Exec-managerial,Unmarried,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Divorced,Craft-repair,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,7688,0,>50K
Private,Never-married,Farming-fishing,Own-child,Male,0,0,<=50K
Private,Divorced,Sales,Not-in-family,Male,0,0,<=50K
Private,Never-married,Tech-support,Not-in-family,Female,1151,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Private,Separated,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Federal-gov,Married-civ-spouse,Tech-support,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Unmarried,Female,0,0,<=50K
Self-emp-not-inc,Never-married,Protective-serv,Not-in-family,Male,0,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Transport-moving,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Self-emp-not-inc,Divorced,Exec-managerial,Unmarried,Male,25236,0,>50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
noValueSetHere123156456,Separated,noValueSetHere123156456,Unmarried,Female,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Self-emp-inc,Divorced,Prof-specialty,Unmarried,Male,99999,0,>50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Never-married,Transport-moving,Not-in-family,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Widowed,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Male,13550,0,>50K
State-gov,Never-married,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Never-married,Sales,Not-in-family,Male,27828,0,>50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Self-emp-not-inc,Divorced,Machine-op-inspct,Not-in-family,Male,0,2205,<=50K
Private,Separated,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Male,2597,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,1672,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Divorced,Sales,Not-in-family,Male,2346,0,<=50K
Private,Never-married,Machine-op-inspct,Unmarried,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,0,>50K
Private,Widowed,Sales,Unmarried,Male,0,0,>50K
State-gov,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,<=50K
Private,Divorced,Tech-support,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Local-gov,Divorced,Prof-specialty,Unmarried,Female,0,0,<=50K
Local-gov,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,>50K
Local-gov,Never-married,Tech-support,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
State-gov,Never-married,Prof-specialty,Not-in-family,Male,2463,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,1504,<=50K
Private,Never-married,Adm-clerical,Unmarried,Female,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Self-emp-not-inc,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Self-emp-not-inc,Married-civ-spouse,Sales,Own-child,Male,0,0,<=50K
Private,Never-married,Farming-fishing,Own-child,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Local-gov,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Separated,Other-service,Not-in-family,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,1902,>50K
Private,Separated,Other-service,Not-in-family,Male,0,2559,>50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Divorced,Priv-house-serv,Unmarried,Female,0,0,<=50K
Private,Never-married,Craft-repair,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Other-relative,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Other-relative,Female,0,1504,<=50K
Private,Divorced,Machine-op-inspct,Own-child,Female,0,0,<=50K
Self-emp-not-inc,Married-spouse-absent,Adm-clerical,Not-in-family,Male,0,0,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Private,Widowed,Sales,Not-in-family,Female,0,0,<=50K
Private,Never-married,Sales,Own-child,Male,0,0,<=50K
Private,Never-married,Other-service,Unmarried,Female,0,0,<=50K
Self-emp-inc,Divorced,Sales,Unmarried,Female,25236,0,>50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Other-relative,Male,2597,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,4386,0,>50K
Private,Married-civ-spouse,Tech-support,Husband,Male,15024,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Married-spouse-absent,Other-service,Not-in-family,Female,0,0,<=50K
Private,Widowed,Machine-op-inspct,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Private,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
Local-gov,Never-married,Other-service,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Protective-serv,Husband,Male,0,0,<=50K
Local-gov,Widowed,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Never-married,Other-service,Not-in-family,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Other-relative,Male,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Husband,Male,0,0,>50K
Private,Never-married,Exec-managerial,Not-in-family,Female,0,0,<=50K
Self-emp-not-inc,Never-married,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Separated,Sales,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
State-gov,Separated,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Self-emp-inc,Divorced,Exec-managerial,Not-in-family,Male,27828,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Divorced,Craft-repair,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Adm-clerical,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Never-married,Other-service,Unmarried,Female,0,0,<=50K
Private,Married-spouse-absent,Sales,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,4508,0,<=50K
Private,Divorced,Prof-specialty,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Federal-gov,Never-married,Prof-specialty,Not-in-family,Female,0,1564,>50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,1977,>50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Female,0,0,<=50K
Private,Never-married,Machine-op-inspct,Own-child,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Not-in-family,Male,0,0,<=50K
Private,Divorced,Prof-specialty,Not-in-family,Male,0,0,<=50K
Private,Widowed,Craft-repair,Unmarried,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
noValueSetHere123156456,Separated,noValueSetHere123156456,Unmarried,Male,0,0,<=50K
Federal-gov,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
State-gov,Never-married,Adm-clerical,Not-in-family,Male,0,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Never-married,Handlers-cleaners,Own-child,Female,0,0,<=50K
Private,Divorced,Transport-moving,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,<=50K
Private,Divorced,Machine-op-inspct,Unmarried,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Divorced,Other-service,Own-child,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Own-child,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Other-service,Husband,Male,4386,0,>50K
Private,Married-civ-spouse,Sales,Husband,Male,5013,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,>50K
Federal-gov,Married-civ-spouse,Craft-repair,Husband,Male,4386,0,>50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Wife,Female,0,1902,>50K
Local-gov,Married-civ-spouse,Protective-serv,Husband,Male,0,1887,>50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Wife,Female,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,1902,>50K
Private,Never-married,Handlers-cleaners,Not-in-family,Male,0,0,<=50K
Private,Divorced,Tech-support,Not-in-family,Female,0,0,<=50K
Private,Never-married,Prof-specialty,Own-child,Female,0,0,<=50K
Private,Divorced,Adm-clerical,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,>50K
Private,Never-married,Tech-support,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Tech-support,Wife,Female,0,0,>50K
Private,Never-married,Sales,Not-in-family,Male,0,0,<=50K
noValueSetHere123156456,Married-civ-spouse,noValueSetHere123156456,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Divorced,Sales,Not-in-family,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-not-inc,Never-married,Sales,Unmarried,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,>50K
Private,Never-married,Adm-clerical,Not-in-family,Female,0,0,<=50K
State-gov,Never-married,Other-service,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Unmarried,Male,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Separated,Machine-op-inspct,Not-in-family,Female,0,0,<=50K
Private,Married-civ-spouse,Other-service,Wife,Female,0,0,<=50K
Private,Never-married,Adm-clerical,Own-child,Female,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,<=50K
Local-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Self-emp-inc,Divorced,Sales,Not-in-family,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Own-child,Male,0,0,<=50K
Private,Divorced,Adm-clerical,Unmarried,Female,0,0,<=50K
Local-gov,Separated,Other-service,Other-relative,Female,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Divorced,Exec-managerial,Not-in-family,Female,5455,0,<=50K
State-gov,Never-married,Prof-specialty,Not-in-family,Female,0,0,<=50K
Private,Never-married,Handlers-cleaners,Other-relative,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Divorced,Sales,Unmarried,Male,0,0,>50K
Private,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,>50K
Private,Married-civ-spouse,Transport-moving,Husband,Male,0,0,<=50K
Self-emp-inc,Married-civ-spouse,Exec-managerial,Wife,Female,0,0,>50K
Private,Married-spouse-absent,Farming-fishing,Other-relative,Male,0,0,<=50K
Private,Never-married,Other-service,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,5013,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Self-emp-not-inc,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Adm-clerical,Husband,Male,0,2051,<=50K
Self-emp-not-inc,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,<=50K
Private,Divorced,Exec-managerial,Not-in-family,Male,0,0,<=50K
Private,Never-married,Prof-specialty,Not-in-family,Female,2174,0,<=50K
Private,Divorced,Prof-specialty,Not-in-family,Male,14084,0,>50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,>50K
Private,Never-married,Handlers-cleaners,Unmarried,Male,0,0,<=50K
Local-gov,Divorced,Craft-repair,Not-in-family,Male,0,1876,<=50K
Private,Married-civ-spouse,Sales,Husband,Male,0,0,<=50K
Private,Never-married,Handlers-cleaners,Other-relative,Female,0,0,<=50K
noValueSetHere123156456,Never-married,noValueSetHere123156456,Own-child,Male,0,0,<=50K
noValueSetHere123156456,Separated,noValueSetHere123156456,Unmarried,Female,0,0,<=50K
State-gov,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,>50K
Private,Never-married,Farming-fishing,Own-child,Male,0,0,<=50K
Private,Married-civ-spouse,Other-service,Husband,Male,0,0,<=50K
Private,Married-civ-spouse,Craft-repair,Husband,Male,0,0,<=50K
Private,Never-married,Exec-managerial,Not-in-family,Male,0,1974,<=50K
Private,Married-civ-spouse,Exec-managerial,Husband,Male,0,1672,<=50K
