I,N
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Japan
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,Scotland
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Canada
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Japan
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Puerto-Rico
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
Black,Jamaica
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Puerto-Rico
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,El-Salvador
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Cuba
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
Asian-Pac-Islander,China
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,Poland
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,China
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Greece
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
White,Cuba
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,Puerto-Rico
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,Portugal
White,United-States
White,United-States
White,United-States
White,United-States
White,Hungary
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Vietnam
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Vietnam
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Germany
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,Jamaica
White,United-States
White,Poland
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,Haiti
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,Puerto-Rico
White,United-States
White,United-States
White,United-States
White,Puerto-Rico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Taiwan
White,United-States
Black,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Canada
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Cuba
Asian-Pac-Islander,United-States
Asian-Pac-Islander,United-States
White,United-States
Other,Mexico
White,United-States
White,United-States
White,United-States
White,Canada
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,noValueSetHere123156456
White,United-States
Asian-Pac-Islander,Philippines
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,Mexico
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
Asian-Pac-Islander,South
White,United-States
Asian-Pac-Islander,Taiwan
White,United-States
White,United-States
White,United-States
Black,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
Other,Dominican-Republic
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Vietnam
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Italy
White,United-States
White,Mexico
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
Asian-Pac-Islander,United-States
Black,Jamaica
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Dominican-Republic
White,United-States
White,United-States
White,United-States
White,United-States
White,El-Salvador
White,United-States
White,United-States
White,United-States
Other,noValueSetHere123156456
Black,United-States
Asian-Pac-Islander,Japan
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,Mexico
Black,England
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
Asian-Pac-Islander,China
Black,Haiti
Black,United-States
White,United-States
White,United-States
Other,Puerto-Rico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Germany
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Poland
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,India
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Cuba
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,El-Salvador
Asian-Pac-Islander,China
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Nicaragua
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Poland
White,China
White,United-States
White,United-States
Black,United-States
White,Guatemala
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,England
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
Other,Nicaragua
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Japan
White,United-States
White,United-States
White,England
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,El-Salvador
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Puerto-Rico
White,Greece
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,Jamaica
White,United-States
Black,United-States
White,United-States
Asian-Pac-Islander,South
White,United-States
White,United-States
White,United-States
White,El-Salvador
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,Ecuador
White,United-States
White,United-States
White,Cuba
White,United-States
White,Thailand
White,United-States
White,United-States
White,United-States
White,United-States
Other,United-States
White,Cuba
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Germany
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,Poland
White,United-States
White,United-States
White,United-States
White,Dominican-Republic
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Thailand
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Japan
White,United-States
Black,United-States
White,United-States
Black,United-States
Asian-Pac-Islander,Philippines
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Vietnam
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Vietnam
White,United-States
White,United-States
White,United-States
White,United-States
White,Germany
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,Guatemala
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Canada
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,China
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,India
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,noValueSetHere123156456
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Asian-Pac-Islander,South
White,Nicaragua
White,United-States
Asian-Pac-Islander,Trinadad&Tobago
Other,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,noValueSetHere123156456
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
Black,Haiti
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,El-Salvador
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,noValueSetHere123156456
White,United-States
Asian-Pac-Islander,Vietnam
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
Black,Haiti
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,Dominican-Republic
Black,United-States
White,Canada
White,United-States
White,United-States
White,United-States
White,United-States
White,Peru
White,El-Salvador
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
Asian-Pac-Islander,Germany
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
Black,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Vietnam
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,South
White,United-States
White,United-States
White,United-States
Other,noValueSetHere123156456
White,United-States
Black,United-States
White,United-States
White,France
White,Mexico
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,El-Salvador
White,Germany
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Germany
White,United-States
White,United-States
White,Dominican-Republic
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,Haiti
Asian-Pac-Islander,United-States
White,United-States
White,United-States
White,United-States
Black,Jamaica
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
Black,Jamaica
White,United-States
White,United-States
White,India
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
Black,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,England
White,United-States
Black,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Canada
White,United-States
White,United-States
White,Puerto-Rico
White,United-States
Amer-Indian-Eskimo,United-States
White,Iran
White,United-States
White,Columbia
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Asian-Pac-Islander,China
White,Mexico
Black,United-States
White,Cuba
White,United-States
White,Mexico
White,United-States
Other,Mexico
White,United-States
White,United-States
Black,United-States
Amer-Indian-Eskimo,United-States
Asian-Pac-Islander,Philippines
Black,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,El-Salvador
White,United-States
White,United-States
Black,United-States
White,England
White,United-States
Asian-Pac-Islander,Philippines
Asian-Pac-Islander,Taiwan
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
Other,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,South
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Cuba
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,India
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,Iran
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
Asian-Pac-Islander,Taiwan
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,China
White,United-States
Black,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
Black,United-States
White,England
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Other,Guatemala
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,United-States
Asian-Pac-Islander,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Amer-Indian-Eskimo,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Cuba
White,United-States
White,Puerto-Rico
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
Black,United-States
White,United-States
Asian-Pac-Islander,Taiwan
Other,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Germany
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,India
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Iran
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Puerto-Rico
White,United-States
Black,United-States
Amer-Indian-Eskimo,United-States
White,United-States
Black,Jamaica
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,Mexico
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,noValueSetHere123156456
White,United-States
White,noValueSetHere123156456
White,United-States
White,United-States
White,United-States
Asian-Pac-Islander,Hong
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
Black,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,Ireland
White,United-States
White,United-States
Asian-Pac-Islander,Philippines
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
White,United-States
