D,E,O
Assoc-voc,11,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,>50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Masters,14,>50K
HS-grad,9,<=50K
9th,5,<=50K
HS-grad,9,<=50K
Some-college,10,>50K
Assoc-acdm,12,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
11th,7,<=50K
12th,8,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
HS-grad,9,>50K
10th,6,<=50K
Assoc-voc,11,>50K
Some-college,10,>50K
Some-college,10,<=50K
Bachelors,13,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
Bachelors,13,>50K
Assoc-voc,11,>50K
HS-grad,9,>50K
Some-college,10,>50K
Some-college,10,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Masters,14,<=50K
Some-college,10,<=50K
Assoc-voc,11,<=50K
11th,7,<=50K
Assoc-acdm,12,>50K
Assoc-acdm,12,<=50K
Masters,14,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Masters,14,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
Doctorate,16,>50K
10th,6,<=50K
Prof-school,15,>50K
HS-grad,9,<=50K
Masters,14,>50K
HS-grad,9,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
9th,5,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Prof-school,15,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
12th,8,<=50K
Bachelors,13,<=50K
Some-college,10,>50K
Assoc-voc,11,<=50K
Assoc-acdm,12,<=50K
9th,5,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
5th-6th,3,<=50K
HS-grad,9,>50K
HS-grad,9,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
Prof-school,15,>50K
Bachelors,13,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
11th,7,<=50K
Bachelors,13,>50K
Bachelors,13,<=50K
9th,5,<=50K
Assoc-voc,11,<=50K
5th-6th,3,<=50K
Masters,14,<=50K
Masters,14,>50K
Some-college,10,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
5th-6th,3,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
Some-college,10,>50K
HS-grad,9,<=50K
12th,8,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Prof-school,15,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Assoc-acdm,12,<=50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Masters,14,>50K
Some-college,10,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
7th-8th,4,<=50K
Masters,14,>50K
HS-grad,9,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Assoc-voc,11,>50K
Some-college,10,<=50K
Some-college,10,<=50K
11th,7,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
Some-college,10,<=50K
1st-4th,2,<=50K
HS-grad,9,<=50K
11th,7,<=50K
Some-college,10,<=50K
Doctorate,16,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
7th-8th,4,>50K
Doctorate,16,>50K
HS-grad,9,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
7th-8th,4,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
1st-4th,2,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Assoc-acdm,12,<=50K
Prof-school,15,>50K
Some-college,10,>50K
7th-8th,4,<=50K
Masters,14,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
Some-college,10,>50K
Bachelors,13,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Masters,14,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
7th-8th,4,<=50K
9th,5,<=50K
Bachelors,13,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Masters,14,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
Masters,14,<=50K
12th,8,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
Masters,14,<=50K
10th,6,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
11th,7,<=50K
7th-8th,4,<=50K
Assoc-acdm,12,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
Assoc-voc,11,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
Bachelors,13,<=50K
10th,6,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
9th,5,<=50K
9th,5,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Some-college,10,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Masters,14,<=50K
HS-grad,9,>50K
Assoc-voc,11,<=50K
HS-grad,9,>50K
Some-college,10,>50K
HS-grad,9,<=50K
HS-grad,9,>50K
9th,5,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
Bachelors,13,>50K
Bachelors,13,<=50K
Some-college,10,>50K
HS-grad,9,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Bachelors,13,<=50K
11th,7,<=50K
5th-6th,3,<=50K
Prof-school,15,<=50K
Doctorate,16,>50K
Some-college,10,<=50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
11th,7,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
12th,8,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
Doctorate,16,>50K
Bachelors,13,<=50K
Some-college,10,>50K
Assoc-acdm,12,<=50K
Bachelors,13,>50K
Masters,14,>50K
Prof-school,15,>50K
10th,6,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
10th,6,>50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Bachelors,13,<=50K
Bachelors,13,>50K
12th,8,<=50K
Some-college,10,>50K
Some-college,10,<=50K
Bachelors,13,>50K
7th-8th,4,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Bachelors,13,>50K
7th-8th,4,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
11th,7,<=50K
Some-college,10,>50K
Some-college,10,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Assoc-voc,11,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
11th,7,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
11th,7,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,>50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Some-college,10,>50K
Bachelors,13,<=50K
9th,5,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
9th,5,<=50K
Assoc-voc,11,<=50K
HS-grad,9,>50K
Doctorate,16,>50K
Masters,14,>50K
Assoc-acdm,12,<=50K
11th,7,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,>50K
Masters,14,<=50K
Some-college,10,<=50K
Some-college,10,>50K
9th,5,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
10th,6,<=50K
Some-college,10,>50K
Masters,14,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Masters,14,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
7th-8th,4,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Masters,14,<=50K
Some-college,10,<=50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
Some-college,10,>50K
Some-college,10,<=50K
Doctorate,16,>50K
HS-grad,9,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Assoc-acdm,12,<=50K
5th-6th,3,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
9th,5,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
7th-8th,4,<=50K
HS-grad,9,<=50K
Assoc-acdm,12,>50K
Bachelors,13,<=50K
Bachelors,13,>50K
Bachelors,13,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
11th,7,<=50K
HS-grad,9,<=50K
Assoc-acdm,12,<=50K
12th,8,<=50K
Masters,14,>50K
Assoc-acdm,12,<=50K
Some-college,10,<=50K
5th-6th,3,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
7th-8th,4,>50K
Bachelors,13,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
Masters,14,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
10th,6,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
5th-6th,3,<=50K
Bachelors,13,<=50K
10th,6,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Masters,14,>50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
HS-grad,9,<=50K
Some-college,10,>50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
Masters,14,>50K
7th-8th,4,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
Bachelors,13,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
9th,5,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
12th,8,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
Bachelors,13,<=50K
Bachelors,13,<=50K
11th,7,<=50K
Bachelors,13,>50K
9th,5,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
Masters,14,<=50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
Some-college,10,>50K
Masters,14,>50K
Assoc-voc,11,>50K
Some-college,10,>50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
Masters,14,<=50K
Assoc-voc,11,<=50K
HS-grad,9,<=50K
Some-college,10,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
Masters,14,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
Assoc-voc,11,<=50K
Some-college,10,>50K
Prof-school,15,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
9th,5,<=50K
Bachelors,13,>50K
Some-college,10,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
5th-6th,3,<=50K
12th,8,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
10th,6,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
11th,7,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
Bachelors,13,<=50K
HS-grad,9,>50K
Some-college,10,>50K
Masters,14,>50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Bachelors,13,>50K
10th,6,<=50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Prof-school,15,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Bachelors,13,>50K
Bachelors,13,>50K
Some-college,10,>50K
10th,6,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
7th-8th,4,<=50K
10th,6,<=50K
Some-college,10,<=50K
HS-grad,9,>50K
Assoc-voc,11,>50K
Some-college,10,<=50K
Masters,14,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Masters,14,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,>50K
11th,7,<=50K
Assoc-acdm,12,<=50K
1st-4th,2,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,>50K
Assoc-acdm,12,<=50K
HS-grad,9,>50K
10th,6,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
5th-6th,3,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Some-college,10,<=50K
Doctorate,16,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Masters,14,>50K
Masters,14,>50K
Some-college,10,<=50K
5th-6th,3,<=50K
HS-grad,9,<=50K
Assoc-acdm,12,>50K
Masters,14,>50K
Assoc-acdm,12,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Some-college,10,>50K
10th,6,<=50K
Masters,14,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
11th,7,<=50K
10th,6,<=50K
Some-college,10,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,>50K
7th-8th,4,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
10th,6,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
Some-college,10,>50K
Bachelors,13,<=50K
Some-college,10,>50K
Some-college,10,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
HS-grad,9,<=50K
Masters,14,>50K
HS-grad,9,>50K
Some-college,10,>50K
HS-grad,9,<=50K
Bachelors,13,>50K
Assoc-voc,11,<=50K
Assoc-voc,11,<=50K
Assoc-voc,11,<=50K
Prof-school,15,>50K
Bachelors,13,>50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Masters,14,>50K
HS-grad,9,<=50K
HS-grad,9,>50K
Bachelors,13,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
HS-grad,9,>50K
Bachelors,13,>50K
Bachelors,13,>50K
Bachelors,13,<=50K
11th,7,<=50K
Assoc-voc,11,<=50K
HS-grad,9,>50K
11th,7,<=50K
7th-8th,4,<=50K
HS-grad,9,<=50K
Assoc-voc,11,>50K
HS-grad,9,>50K
Doctorate,16,>50K
Some-college,10,<=50K
Masters,14,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
5th-6th,3,<=50K
Assoc-acdm,12,>50K
Bachelors,13,>50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Masters,14,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Some-college,10,<=50K
5th-6th,3,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Masters,14,>50K
12th,8,<=50K
HS-grad,9,<=50K
11th,7,<=50K
HS-grad,9,>50K
10th,6,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Masters,14,<=50K
Bachelors,13,>50K
HS-grad,9,<=50K
Some-college,10,>50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,>50K
Assoc-acdm,12,>50K
Bachelors,13,<=50K
HS-grad,9,>50K
7th-8th,4,<=50K
9th,5,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
1st-4th,2,<=50K
HS-grad,9,>50K
Bachelors,13,<=50K
Doctorate,16,>50K
HS-grad,9,>50K
Bachelors,13,<=50K
Some-college,10,<=50K
Some-college,10,>50K
Masters,14,<=50K
Some-college,10,>50K
Bachelors,13,<=50K
10th,6,<=50K
Some-college,10,<=50K
Masters,14,<=50K
Bachelors,13,<=50K
Bachelors,13,<=50K
9th,5,<=50K
Doctorate,16,>50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
11th,7,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Assoc-voc,11,>50K
Some-college,10,<=50K
Some-college,10,>50K
Bachelors,13,<=50K
11th,7,<=50K
HS-grad,9,<=50K
7th-8th,4,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
Prof-school,15,>50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Masters,14,<=50K
Prof-school,15,>50K
Doctorate,16,>50K
Some-college,10,>50K
HS-grad,9,>50K
Some-college,10,>50K
Prof-school,15,>50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
5th-6th,3,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Assoc-voc,11,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Assoc-acdm,12,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Prof-school,15,>50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
1st-4th,2,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
11th,7,<=50K
HS-grad,9,<=50K
9th,5,<=50K
Some-college,10,<=50K
1st-4th,2,<=50K
HS-grad,9,<=50K
7th-8th,4,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
9th,5,<=50K
Bachelors,13,>50K
Some-college,10,>50K
HS-grad,9,<=50K
HS-grad,9,>50K
9th,5,<=50K
9th,5,<=50K
Some-college,10,<=50K
Bachelors,13,>50K
HS-grad,9,>50K
Assoc-voc,11,>50K
Masters,14,>50K
Some-college,10,<=50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Doctorate,16,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,>50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
Some-college,10,<=50K
Masters,14,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
10th,6,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
7th-8th,4,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
HS-grad,9,>50K
HS-grad,9,>50K
HS-grad,9,>50K
Bachelors,13,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Assoc-voc,11,>50K
HS-grad,9,<=50K
10th,6,<=50K
HS-grad,9,<=50K
Assoc-acdm,12,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
12th,8,<=50K
10th,6,<=50K
Some-college,10,<=50K
9th,5,<=50K
Assoc-voc,11,<=50K
HS-grad,9,<=50K
Assoc-voc,11,>50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Assoc-acdm,12,>50K
Masters,14,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
10th,6,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
10th,6,<=50K
12th,8,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
Masters,14,<=50K
Some-college,10,<=50K
1st-4th,2,<=50K
HS-grad,9,<=50K
Masters,14,>50K
Bachelors,13,<=50K
Some-college,10,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Masters,14,<=50K
1st-4th,2,<=50K
10th,6,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
10th,6,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Assoc-acdm,12,>50K
10th,6,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
10th,6,<=50K
Masters,14,<=50K
Masters,14,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
11th,7,<=50K
HS-grad,9,<=50K
7th-8th,4,<=50K
Bachelors,13,>50K
7th-8th,4,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Some-college,10,>50K
Masters,14,>50K
1st-4th,2,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
10th,6,<=50K
Masters,14,>50K
10th,6,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
9th,5,<=50K
Bachelors,13,>50K
Bachelors,13,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
Bachelors,13,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
11th,7,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
11th,7,<=50K
HS-grad,9,>50K
Masters,14,<=50K
HS-grad,9,>50K
10th,6,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Some-college,10,>50K
Masters,14,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
Some-college,10,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Some-college,10,>50K
Some-college,10,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,>50K
HS-grad,9,>50K
10th,6,<=50K
Bachelors,13,>50K
Bachelors,13,>50K
9th,5,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
Bachelors,13,>50K
Some-college,10,<=50K
11th,7,<=50K
Bachelors,13,<=50K
Bachelors,13,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,>50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
1st-4th,2,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Bachelors,13,>50K
12th,8,<=50K
Assoc-voc,11,<=50K
Doctorate,16,>50K
HS-grad,9,<=50K
Bachelors,13,>50K
5th-6th,3,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
5th-6th,3,<=50K
Bachelors,13,<=50K
Doctorate,16,>50K
HS-grad,9,<=50K
10th,6,>50K
Bachelors,13,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
HS-grad,9,>50K
Bachelors,13,<=50K
10th,6,<=50K
Some-college,10,<=50K
HS-grad,9,<=50K
Bachelors,13,<=50K
9th,5,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Some-college,10,<=50K
11th,7,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
HS-grad,9,<=50K
11th,7,<=50K
10th,6,<=50K
Masters,14,>50K
HS-grad,9,<=50K
Assoc-acdm,12,>50K
Bachelors,13,>50K
5th-6th,3,<=50K
Bachelors,13,>50K
Assoc-voc,11,>50K
HS-grad,9,<=50K
Bachelors,13,>50K
Some-college,10,>50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
HS-grad,9,>50K
Some-college,10,<=50K
Assoc-acdm,12,<=50K
10th,6,>50K
Some-college,10,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,>50K
HS-grad,9,>50K
HS-grad,9,<=50K
Some-college,10,<=50K
Some-college,10,<=50K
Bachelors,13,<=50K
HS-grad,9,>50K
Bachelors,13,<=50K
Assoc-acdm,12,>50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
Bachelors,13,>50K
HS-grad,9,>50K
7th-8th,4,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
Assoc-voc,11,<=50K
Some-college,10,<=50K
HS-grad,9,>50K
Some-college,10,<=50K
Some-college,10,<=50K
HS-grad,9,>50K
HS-grad,9,<=50K
Bachelors,13,<=50K
Assoc-voc,11,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
HS-grad,9,<=50K
