HRBP,VENTTUBE,ERRCAUTER,PVSAT,CO,MINVOL,HRSAT,HREKG,PCWP,KINKEDTUBE,VENTALV,TPR
LOW,ZERO,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
LOW,LOW,False,NORMAL,NORMAL,ZERO,LOW,LOW,HIGH,False,ZERO,NORMAL
LOW,LOW,False,LOW,LOW,ZERO,NORMAL,HIGH,NORMAL,False,ZERO,HIGH
HIGH,ZERO,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,LOW
LOW,LOW,False,LOW,LOW,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,LOW,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,True,LOW,HIGH,ZERO,HIGH,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,False,LOW,NORMAL
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,LOW,HIGH
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,LOW
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,LOW,NORMAL,True,ZERO,NORMAL
LOW,LOW,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,True,ZERO,NORMAL
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,True,LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,LOW
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,NORMAL,HIGH,HIGH,HIGH,False,NORMAL,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,LOW,False,LOW,LOW,ZERO,LOW,LOW,LOW,False,NORMAL,HIGH
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,NORMAL,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,HIGH,HIGH,HIGH,LOW,False,ZERO,NORMAL
HIGH,ZERO,False,HIGH,NORMAL,HIGH,HIGH,HIGH,LOW,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,HIGH,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
NORMAL,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,LOW,HIGH
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,LOW
HIGH,LOW,False,LOW,HIGH,LOW,HIGH,NORMAL,HIGH,False,ZERO,NORMAL
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,HIGH,False,HIGH,NORMAL,LOW,LOW,LOW,NORMAL,False,HIGH,HIGH
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
LOW,LOW,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,LOW
NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,True,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,True,ZERO,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
LOW,ZERO,False,HIGH,LOW,ZERO,LOW,LOW,LOW,False,HIGH,HIGH
LOW,HIGH,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
LOW,ZERO,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,HIGH,True,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,NORMAL,HIGH,HIGH,False,ZERO,HIGH
LOW,ZERO,False,HIGH,LOW,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,ZERO,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
NORMAL,LOW,False,LOW,HIGH,NORMAL,HIGH,LOW,NORMAL,False,ZERO,HIGH
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,LOW
HIGH,NORMAL,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,False,NORMAL,LOW
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,ZERO,True,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,ZERO,False,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,False,NORMAL,HIGH
HIGH,LOW,True,LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,HIGH,False,NORMAL,LOW
HIGH,ZERO,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,LOW,NORMAL,False,ZERO,NORMAL
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL
HIGH,ZERO,False,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
LOW,ZERO,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,LOW,True,LOW,LOW,ZERO,NORMAL,NORMAL,LOW,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,LOW,NORMAL,False,ZERO,NORMAL
HIGH,ZERO,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,LOW
HIGH,LOW,True,LOW,HIGH,ZERO,LOW,NORMAL,NORMAL,False,ZERO,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,ZERO,True,HIGH,HIGH,HIGH,NORMAL,NORMAL,NORMAL,False,HIGH,LOW
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
LOW,HIGH,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,ZERO,False,LOW,LOW,ZERO,HIGH,LOW,NORMAL,False,NORMAL,HIGH
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,ZERO,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,True,ZERO,LOW
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
HIGH,ZERO,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,NORMAL,HIGH,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL
HIGH,ZERO,False,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,LOW,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,HIGH
HIGH,ZERO,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
LOW,LOW,True,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
HIGH,ZERO,False,LOW,HIGH,NORMAL,HIGH,HIGH,HIGH,False,NORMAL,NORMAL
HIGH,HIGH,False,LOW,LOW,ZERO,NORMAL,HIGH,LOW,True,ZERO,HIGH
HIGH,LOW,False,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,False,HIGH,NORMAL
LOW,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,LOW
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,LOW
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,NORMAL
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,LOW
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,HIGH,False,ZERO,LOW
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,ZERO,True,HIGH,LOW,HIGH,LOW,HIGH,HIGH,False,HIGH,NORMAL
LOW,ZERO,False,LOW,LOW,ZERO,LOW,LOW,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,HIGH
LOW,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
LOW,HIGH,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,NORMAL
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,False,NORMAL,LOW
HIGH,LOW,False,LOW,HIGH,NORMAL,HIGH,HIGH,LOW,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,False,NORMAL,LOW
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
HIGH,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
LOW,ZERO,False,LOW,LOW,ZERO,LOW,LOW,NORMAL,True,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,NORMAL
LOW,LOW,False,LOW,LOW,NORMAL,LOW,LOW,LOW,False,NORMAL,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,HIGH
HIGH,ZERO,False,LOW,NORMAL,LOW,HIGH,HIGH,HIGH,False,LOW,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
LOW,ZERO,False,HIGH,LOW,HIGH,LOW,LOW,LOW,False,HIGH,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,HIGH
LOW,ZERO,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,LOW
LOW,ZERO,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,LOW
HIGH,ZERO,False,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,ZERO,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
LOW,ZERO,True,HIGH,NORMAL,HIGH,NORMAL,HIGH,NORMAL,False,HIGH,HIGH
HIGH,LOW,True,LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,True,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,LOW
LOW,ZERO,False,HIGH,NORMAL,NORMAL,LOW,LOW,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,False,ZERO,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,LOW,ZERO,HIGH,HIGH,LOW,False,ZERO,LOW
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,True,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,False,ZERO,HIGH
HIGH,ZERO,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,NORMAL,HIGH,LOW,HIGH,HIGH,NORMAL,False,LOW,NORMAL
HIGH,ZERO,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL
HIGH,HIGH,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,False,HIGH,HIGH
LOW,ZERO,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,ZERO,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,True,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,HIGH,False,ZERO,NORMAL
LOW,LOW,False,LOW,NORMAL,ZERO,LOW,LOW,HIGH,False,ZERO,LOW
LOW,LOW,False,LOW,LOW,ZERO,LOW,LOW,NORMAL,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,NORMAL
HIGH,LOW,False,LOW,LOW,ZERO,NORMAL,HIGH,HIGH,False,ZERO,HIGH
LOW,LOW,True,LOW,NORMAL,ZERO,NORMAL,NORMAL,HIGH,False,ZERO,HIGH
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,LOW
NORMAL,LOW,False,LOW,HIGH,ZERO,HIGH,LOW,NORMAL,False,ZERO,NORMAL
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,False,ZERO,HIGH
LOW,LOW,False,LOW,LOW,ZERO,LOW,LOW,NORMAL,False,ZERO,LOW
HIGH,ZERO,False,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,False,NORMAL,NORMAL
HIGH,ZERO,False,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,False,ZERO,NORMAL
LOW,LOW,False,HIGH,NORMAL,ZERO,LOW,LOW,NORMAL,False,HIGH,HIGH
LOW,ZERO,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,False,HIGH,NORMAL
HIGH,ZERO,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,False,HIGH,LOW
HIGH,LOW,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,False,ZERO,HIGH
