HRBP,VENTMACH,VENTTUBE,PULMEMBOLUS,INSUFFANESTH,LVFAILURE,PVSAT,CO,MINVOL,HRSAT,HREKG,VENTALV,TPR,VENTLUNG,ARTCO2,HR,SAO2,CATECHOL,DISCONNECT
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,LOW,HIGH,HIGH,LOW,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,HIGH,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,HIGH,NORMAL,False,False,False,NORMAL,NORMAL,LOW,LOW,HIGH,LOW,HIGH,HIGH,HIGH,NORMAL,NORMAL,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,False,HIGH,NORMAL,LOW,LOW,LOW,HIGH,NORMAL,NORMAL,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,LOW,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,NORMAL,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,HIGH,LOW,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL,True
NORMAL,NORMAL,ZERO,False,False,False,LOW,LOW,ZERO,HIGH,LOW,ZERO,LOW,ZERO,HIGH,LOW,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,True,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,LOW,ZERO,False,False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,LOW,ZERO,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,ZERO,ZERO,False,False,False,HIGH,LOW,HIGH,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,ZERO,ZERO,False,True,False,HIGH,HIGH,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,LOW,HIGH,NORMAL,NORMAL,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
LOW,ZERO,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,True
LOW,HIGH,HIGH,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,LOW,ZERO,False,False,False,HIGH,LOW,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,ZERO,ZERO,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,True
LOW,NORMAL,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,NORMAL,NORMAL,HIGH,NORMAL,True
LOW,NORMAL,HIGH,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,ZERO,LOW,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,ZERO,LOW,False,True,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,ZERO,False,True,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,LOW,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,True,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,ZERO,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,True
LOW,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,LOW,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,NORMAL,LOW,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,True,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,True,False,LOW,NORMAL,ZERO,LOW,LOW,LOW,NORMAL,LOW,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,HIGH,LOW,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True
LOW,NORMAL,LOW,False,True,False,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,True,False,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,NORMAL,NORMAL,LOW,NORMAL,False
NORMAL,NORMAL,LOW,False,False,False,LOW,HIGH,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,NORMAL,HIGH,LOW,HIGH,HIGH,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,HIGH,True
NORMAL,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,LOW,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,LOW,HIGH,ZERO,LOW,LOW,HIGH,HIGH,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,ZERO,ZERO,False,False,False,HIGH,LOW,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,LOW,ZERO,False,True,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,LOW,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,True,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,HIGH,HIGH,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,ZERO,ZERO,False,False,False,LOW,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,True
HIGH,NORMAL,NORMAL,False,False,False,LOW,NORMAL,LOW,HIGH,HIGH,LOW,LOW,HIGH,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,HIGH,LOW,HIGH,LOW,LOW,HIGH,NORMAL,LOW,NORMAL,NORMAL,LOW,HIGH,True
HIGH,NORMAL,ZERO,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,True,False,LOW,LOW,ZERO,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,True,LOW,LOW,ZERO,HIGH,HIGH,LOW,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,False,NORMAL,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,False
LOW,LOW,ZERO,False,False,False,HIGH,NORMAL,HIGH,NORMAL,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,HIGH,ZERO,NORMAL,NORMAL,LOW,NORMAL,False
HIGH,NORMAL,LOW,False,False,True,LOW,NORMAL,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,LOW,NORMAL,LOW,LOW,NORMAL,HIGH,ZERO,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,False,LOW,NORMAL,ZERO,LOW,LOW,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,LOW,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,False,LOW,LOW,LOW,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,HIGH,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,False,LOW,LOW,ZERO,NORMAL,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,False,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,LOW,HIGH,False
LOW,ZERO,ZERO,False,True,False,LOW,LOW,ZERO,LOW,LOW,LOW,HIGH,ZERO,HIGH,NORMAL,LOW,NORMAL,False
LOW,ZERO,ZERO,False,False,False,HIGH,NORMAL,HIGH,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,False
NORMAL,NORMAL,LOW,False,False,False,LOW,HIGH,ZERO,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,HIGH,False
LOW,ZERO,HIGH,False,False,False,NORMAL,NORMAL,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,False
