HRBP,INTUBATION,EXPCO2,PVSAT,PAP,MINVOL,KINKEDTUBE,VENTALV,SHUNT,VENTLUNG,ARTCO2,SAO2,PRESS,HYPOVOLEMIA
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,HIGH,LOW,LOW,LOW,HIGH,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
LOW,ESOPHAGEAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,HIGH,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,ZERO,HIGH,HIGH,HIGH,False,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,ONESIDED,HIGH,LOW,LOW,HIGH,False,LOW,HIGH,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
NORMAL,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH,LOW,ZERO,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,ONESIDED,NORMAL,LOW,NORMAL,LOW,False,LOW,HIGH,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,HIGH,NORMAL,ZERO,False,HIGH,HIGH,LOW,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,ZERO,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,LOW,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,True,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,False
LOW,ESOPHAGEAL,NORMAL,HIGH,NORMAL,ZERO,False,HIGH,NORMAL,NORMAL,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,LOW,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,True
LOW,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,NORMAL,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH,NORMAL,HIGH,True
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,ESOPHAGEAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,LOW,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,ESOPHAGEAL,NORMAL,HIGH,LOW,ZERO,False,HIGH,NORMAL,NORMAL,LOW,HIGH,NORMAL,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,LOW,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,True
LOW,NORMAL,LOW,LOW,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
NORMAL,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,True
HIGH,ONESIDED,HIGH,LOW,HIGH,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL,LOW,HIGH,True
LOW,NORMAL,ZERO,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,NORMAL,LOW,LOW,ZERO,False,NORMAL,NORMAL,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,LOW,False
LOW,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
LOW,NORMAL,LOW,HIGH,NORMAL,ZERO,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH,LOW,ZERO,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,HIGH,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,ZERO,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,LOW,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
HIGH,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH,LOW,ZERO,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,True,ZERO,NORMAL,ZERO,HIGH,LOW,ZERO,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
NORMAL,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,ZERO,LOW,LOW,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
LOW,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,NORMAL,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
NORMAL,NORMAL,LOW,LOW,NORMAL,HIGH,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,ONESIDED,LOW,LOW,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL,LOW,HIGH,False
LOW,NORMAL,ZERO,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,NORMAL,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,ESOPHAGEAL,LOW,LOW,NORMAL,LOW,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,NORMAL,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,True
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,LOW,ZERO,True,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,HIGH,LOW,NORMAL,ZERO,False,LOW,NORMAL,HIGH,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,NORMAL,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,NORMAL,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,NORMAL,NORMAL,ZERO,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False
HIGH,ONESIDED,LOW,LOW,NORMAL,NORMAL,False,NORMAL,HIGH,ZERO,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,LOW,LOW,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,False
HIGH,NORMAL,ZERO,LOW,NORMAL,HIGH,False,NORMAL,NORMAL,LOW,NORMAL,LOW,HIGH,True
LOW,NORMAL,ZERO,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
HIGH,NORMAL,LOW,NORMAL,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,False
LOW,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,False
NORMAL,ONESIDED,NORMAL,LOW,NORMAL,ZERO,False,LOW,HIGH,LOW,HIGH,LOW,HIGH,True
NORMAL,NORMAL,ZERO,HIGH,NORMAL,HIGH,False,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,NORMAL,True
HIGH,NORMAL,HIGH,LOW,NORMAL,LOW,False,LOW,NORMAL,HIGH,HIGH,LOW,NORMAL,False
HIGH,NORMAL,LOW,LOW,HIGH,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,False
HIGH,NORMAL,LOW,LOW,NORMAL,ZERO,False,ZERO,NORMAL,ZERO,HIGH,LOW,HIGH,True
