HRBP,VENTMACH,VENTTUBE,ERRCAUTER,LVFAILURE,PVSAT,CO,MINVOL,HRSAT,HREKG,PCWP,VENTALV,TPR,VENTLUNG,ARTCO2,HR,FIO2,SAO2,CATECHOL,DISCONNECT
HIGH,NORMAL,LOW,False,True,LOW,LOW,NORMAL,HIGH,HIGH,LOW,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False
NORMAL,NORMAL,ZERO,False,False,HIGH,LOW,HIGH,HIGH,LOW,LOW,HIGH,NORMAL,LOW,LOW,LOW,NORMAL,HIGH,NORMAL,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,LOW,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,LOW,LOW,ZERO,NORMAL,LOW,HIGH,ZERO,NORMAL,ZERO,HIGH,LOW,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,LOW,LOW,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,ZERO,ZERO,False,False,LOW,NORMAL,ZERO,LOW,LOW,HIGH,ZERO,HIGH,ZERO,LOW,NORMAL,NORMAL,LOW,NORMAL,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,HIGH,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,LOW,HIGH,HIGH,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,LOW,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,LOW,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,HIGH,HIGH,False
NORMAL,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,HIGH,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,NORMAL,False,False,LOW,LOW,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,NORMAL,HIGH,HIGH,NORMAL,NORMAL,LOW,ZERO,NORMAL,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,LOW,ZERO,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,NORMAL,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,ZERO,ZERO,False,False,LOW,NORMAL,ZERO,LOW,LOW,HIGH,ZERO,LOW,ZERO,HIGH,NORMAL,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,LOW,LOW,LOW,NORMAL,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,NORMAL,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,HIGH,False,False,LOW,NORMAL,HIGH,LOW,LOW,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,LOW,HIGH,True
HIGH,HIGH,HIGH,False,False,HIGH,NORMAL,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,NORMAL,LOW,NORMAL,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,LOW,ZERO,LOW,LOW,NORMAL,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,NORMAL,False,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,NORMAL,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,HIGH,NORMAL,False,False,LOW,LOW,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,True
HIGH,HIGH,HIGH,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,HIGH,LOW,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,HIGH,HIGH,True,False,NORMAL,HIGH,LOW,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,LOW,HIGH,LOW,NORMAL,HIGH,False
HIGH,HIGH,HIGH,False,False,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,NORMAL,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,LOW,ZERO,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,LOW,ZERO,NORMAL,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,LOW,ZERO,NORMAL,NORMAL,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,HIGH,NORMAL,False,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,LOW,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,HIGH,HIGH,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,False
LOW,NORMAL,NORMAL,False,False,LOW,NORMAL,LOW,LOW,LOW,NORMAL,LOW,LOW,HIGH,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,True
HIGH,LOW,ZERO,True,False,LOW,HIGH,ZERO,NORMAL,NORMAL,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,ZERO,False,False,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,LOW,ZERO,HIGH,HIGH,LOW,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,HIGH,HIGH,False,False,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,LOW,NORMAL,False
LOW,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,True,False,LOW,NORMAL,NORMAL,NORMAL,NORMAL,HIGH,NORMAL,NORMAL,ZERO,NORMAL,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,HIGH,NORMAL,False,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
NORMAL,NORMAL,LOW,False,True,LOW,LOW,ZERO,LOW,LOW,LOW,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True
HIGH,NORMAL,LOW,True,True,LOW,LOW,ZERO,NORMAL,NORMAL,LOW,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,LOW,ZERO,True,False,HIGH,HIGH,HIGH,NORMAL,HIGH,NORMAL,HIGH,HIGH,LOW,LOW,NORMAL,NORMAL,HIGH,NORMAL,False
HIGH,LOW,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,LOW,LOW,LOW,ZERO,NORMAL,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,NORMAL,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,True,False,HIGH,NORMAL,HIGH,NORMAL,NORMAL,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,ZERO,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
LOW,NORMAL,ZERO,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,HIGH,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,NORMAL,ZERO,HIGH,LOW,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
NORMAL,NORMAL,ZERO,False,False,LOW,NORMAL,ZERO,LOW,LOW,NORMAL,ZERO,LOW,ZERO,HIGH,NORMAL,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,LOW,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,HIGH,HIGH,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,HIGH,LOW,LOW,NORMAL,HIGH,NORMAL,HIGH,HIGH,True
HIGH,NORMAL,ZERO,False,False,LOW,HIGH,ZERO,HIGH,HIGH,HIGH,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,HIGH,HIGH,False,False,HIGH,LOW,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,False
HIGH,NORMAL,ZERO,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,True,LOW,LOW,ZERO,HIGH,HIGH,LOW,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
LOW,NORMAL,LOW,False,False,LOW,LOW,ZERO,LOW,HIGH,NORMAL,ZERO,HIGH,ZERO,HIGH,LOW,NORMAL,LOW,HIGH,False
LOW,NORMAL,NORMAL,False,False,LOW,NORMAL,NORMAL,LOW,LOW,NORMAL,NORMAL,HIGH,ZERO,NORMAL,NORMAL,NORMAL,LOW,NORMAL,False
NORMAL,NORMAL,LOW,False,False,LOW,HIGH,LOW,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,NORMAL,False,False,LOW,HIGH,LOW,HIGH,HIGH,HIGH,LOW,NORMAL,HIGH,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,LOW,ZERO,LOW,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,LOW,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,ZERO,False,False,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,HIGH,NORMAL,LOW,LOW,HIGH,NORMAL,HIGH,HIGH,True
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
HIGH,NORMAL,LOW,False,False,LOW,HIGH,ZERO,HIGH,HIGH,NORMAL,ZERO,NORMAL,ZERO,HIGH,HIGH,NORMAL,LOW,HIGH,False
