LungFlow,XrayReport,ChestXray,LungParench
High,Plethoric,Plethoric,Normal
High,Oligaemic,Oligaemic,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Normal,Grd_Glass,Congested
Low,Normal,Oligaemic,Normal
High,Normal,Normal,Abnormal
Low,Asy/Patchy,Normal,Normal
Normal,Normal,Normal,Normal
Low,Grd_Glass,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Normal,Oligaemic,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Congested
Low,Asy/Patchy,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Plethoric,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Congested
Normal,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Normal
High,Plethoric,Plethoric,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Congested
Low,Normal,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
High,Normal,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Normal,Normal,Normal
High,Normal,Normal,Normal
Normal,Plethoric,Plethoric,Abnormal
High,Normal,Normal,Normal
Low,Plethoric,Plethoric,Normal
Normal,Grd_Glass,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Congested
Low,Oligaemic,Oligaemic,Normal
Normal,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Oligaemic,Normal
Low,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Asy/Patchy,Plethoric,Normal
High,Oligaemic,Oligaemic,Abnormal
High,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Congested
Low,Plethoric,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Normal,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Grd_Glass,Congested
Normal,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Oligaemic,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Asy/Patchy,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Normal,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
High,Normal,Normal,Normal
Low,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Normal,Oligaemic,Congested
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Normal,Normal
Low,Normal,Grd_Glass,Congested
High,Asy/Patchy,Asy/Patch,Abnormal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Grd_Glass,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Normal,Normal,Plethoric,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Oligaemic,Normal,Normal
Low,Asy/Patchy,Oligaemic,Normal
Normal,Plethoric,Plethoric,Congested
High,Plethoric,Normal,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Oligaemic,Normal
High,Normal,Normal,Normal
High,Oligaemic,Plethoric,Normal
Low,Normal,Oligaemic,Normal
High,Plethoric,Plethoric,Congested
Normal,Asy/Patchy,Plethoric,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Grd_Glass,Grd_Glass,Normal
High,Asy/Patchy,Plethoric,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Normal,Plethoric,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Grd_Glass,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Abnormal
Low,Normal,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Plethoric,Plethoric,Congested
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Oligaemic,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
High,Grd_Glass,Grd_Glass,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Normal
Normal,Asy/Patchy,Grd_Glass,Congested
Normal,Asy/Patchy,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Congested
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Congested
Low,Asy/Patchy,Asy/Patch,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Asy/Patch,Abnormal
Low,Normal,Normal,Normal
Low,Plethoric,Plethoric,Normal
Low,Normal,Normal,Normal
Low,Grd_Glass,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Asy/Patchy,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Oligaemic,Congested
High,Asy/Patchy,Normal,Abnormal
Normal,Asy/Patchy,Grd_Glass,Abnormal
Low,Normal,Normal,Normal
Low,Asy/Patchy,Grd_Glass,Normal
High,Asy/Patchy,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Congested
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Asy/Patchy,Plethoric,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Normal,Normal
High,Normal,Normal,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Asy/Patchy,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Congested
High,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Grd_Glass,Grd_Glass,Congested
Normal,Normal,Grd_Glass,Congested
Normal,Asy/Patchy,Grd_Glass,Congested
Normal,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Asy/Patch,Abnormal
Low,Grd_Glass,Asy/Patch,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Asy/Patchy,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Abnormal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Congested
Low,Grd_Glass,Asy/Patch,Abnormal
Low,Asy/Patchy,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Congested
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Asy/Patchy,Grd_Glass,Congested
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Oligaemic,Oligaemic,Normal
Normal,Plethoric,Plethoric,Abnormal
Normal,Normal,Normal,Normal
Normal,Plethoric,Normal,Normal
Low,Grd_Glass,Grd_Glass,Congested
Low,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Grd_Glass,Abnormal
High,Normal,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Normal
High,Normal,Normal,Normal
High,Plethoric,Normal,Normal
High,Normal,Normal,Normal
High,Normal,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Grd_Glass,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Abnormal
Normal,Normal,Normal,Normal
Normal,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Asy/Patch,Abnormal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Asy/Patchy,Plethoric,Congested
High,Plethoric,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Abnormal
High,Oligaemic,Oligaemic,Abnormal
Normal,Grd_Glass,Asy/Patch,Abnormal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Asy/Patchy,Normal,Abnormal
Low,Normal,Normal,Normal
Normal,Plethoric,Normal,Normal
Low,Grd_Glass,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Asy/Patchy,Normal,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Asy/Patchy,Asy/Patch,Congested
High,Plethoric,Plethoric,Congested
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Congested
Low,Asy/Patchy,Oligaemic,Normal
High,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Asy/Patchy,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Congested
High,Grd_Glass,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Normal,Plethoric,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
High,Normal,Normal,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Congested
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Grd_Glass,Abnormal
High,Grd_Glass,Grd_Glass,Congested
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Plethoric,Plethoric,Normal
High,Normal,Normal,Normal
Low,Asy/Patchy,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Oligaemic,Normal,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Normal,Normal,Abnormal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Grd_Glass,Congested
Normal,Normal,Normal,Normal
High,Oligaemic,Oligaemic,Abnormal
Low,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Low,Plethoric,Plethoric,Normal
High,Asy/Patchy,Plethoric,Normal
High,Normal,Normal,Abnormal
High,Normal,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Normal,Normal,Congested
Normal,Normal,Normal,Normal
High,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
High,Oligaemic,Normal,Normal
High,Asy/Patchy,Asy/Patch,Congested
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Oligaemic,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Congested
High,Normal,Normal,Abnormal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Grd_Glass,Grd_Glass,Abnormal
High,Plethoric,Plethoric,Normal
High,Normal,Normal,Abnormal
Low,Normal,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Normal,Normal,Normal
High,Plethoric,Plethoric,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Abnormal
Low,Asy/Patchy,Oligaemic,Abnormal
Low,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Normal,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Asy/Patchy,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
High,Normal,Normal,Normal
Low,Normal,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Grd_Glass,Congested
Normal,Asy/Patchy,Asy/Patch,Normal
High,Normal,Plethoric,Normal
Normal,Asy/Patchy,Asy/Patch,Normal
High,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Low,Normal,Normal,Normal
Normal,Grd_Glass,Plethoric,Congested
High,Plethoric,Plethoric,Normal
High,Asy/Patchy,Plethoric,Normal
Low,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Grd_Glass,Grd_Glass,Congested
High,Normal,Oligaemic,Abnormal
Normal,Plethoric,Plethoric,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Grd_Glass,Normal,Normal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Congested
High,Plethoric,Plethoric,Normal
Low,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Plethoric,Plethoric,Normal
Low,Normal,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
High,Plethoric,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
High,Normal,Normal,Abnormal
Normal,Normal,Normal,Normal
Low,Normal,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Abnormal
High,Plethoric,Plethoric,Normal
Low,Normal,Normal,Normal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Plethoric,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Congested
High,Plethoric,Plethoric,Normal
Low,Plethoric,Asy/Patch,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
High,Grd_Glass,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Plethoric,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Congested
High,Normal,Normal,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
High,Grd_Glass,Grd_Glass,Abnormal
Low,Grd_Glass,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Plethoric,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Normal,Normal
Low,Asy/Patchy,Oligaemic,Normal
High,Plethoric,Plethoric,Abnormal
Normal,Plethoric,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Grd_Glass,Congested
Low,Asy/Patchy,Asy/Patch,Abnormal
Low,Oligaemic,Oligaemic,Normal
High,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Oligaemic,Oligaemic,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Normal,Normal,Normal,Normal
High,Plethoric,Plethoric,Normal
Low,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Normal
High,Oligaemic,Oligaemic,Abnormal
Low,Oligaemic,Oligaemic,Normal
Normal,Plethoric,Normal,Abnormal
Low,Asy/Patchy,Asy/Patch,Congested
Normal,Oligaemic,Normal,Normal
Normal,Normal,Normal,Normal
Low,Plethoric,Plethoric,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Normal,Oligaemic,Oligaemic,Normal
Normal,Normal,Normal,Normal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Asy/Patch,Congested
Normal,Plethoric,Normal,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
High,Normal,Grd_Glass,Congested
Low,Oligaemic,Oligaemic,Normal
Low,Normal,Oligaemic,Normal
High,Plethoric,Plethoric,Normal
Normal,Plethoric,Plethoric,Abnormal
High,Asy/Patchy,Asy/Patch,Congested
High,Asy/Patchy,Asy/Patch,Congested
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Normal
Low,Oligaemic,Oligaemic,Normal
High,Oligaemic,Oligaemic,Abnormal
High,Normal,Normal,Abnormal
Low,Asy/Patchy,Oligaemic,Normal
Normal,Normal,Normal,Normal
High,Normal,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
High,Plethoric,Grd_Glass,Normal
High,Normal,Normal,Abnormal
High,Oligaemic,Oligaemic,Abnormal
High,Normal,Normal,Abnormal
Normal,Grd_Glass,Grd_Glass,Congested
Normal,Normal,Normal,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
High,Normal,Normal,Normal
Normal,Grd_Glass,Asy/Patch,Abnormal
High,Normal,Plethoric,Normal
High,Normal,Normal,Abnormal
High,Asy/Patchy,Plethoric,Normal
High,Plethoric,Plethoric,Normal
High,Plethoric,Plethoric,Congested
Low,Oligaemic,Oligaemic,Normal
Normal,Grd_Glass,Grd_Glass,Congested
Normal,Normal,Normal,Normal
High,Oligaemic,Plethoric,Normal
High,Oligaemic,Oligaemic,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
High,Plethoric,Plethoric,Congested
High,Plethoric,Plethoric,Normal
Low,Grd_Glass,Grd_Glass,Normal
High,Plethoric,Plethoric,Normal
Normal,Normal,Normal,Normal
Normal,Normal,Normal,Normal
High,Normal,Normal,Abnormal
Normal,Normal,Normal,Normal
Low,Plethoric,Plethoric,Abnormal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Oligaemic,Oligaemic,Normal
Low,Asy/Patchy,Asy/Patch,Abnormal
Normal,Asy/Patchy,Asy/Patch,Abnormal
Low,Asy/Patchy,Asy/Patch,Abnormal
