G,N,S
AL,Pneumonia,AL_PN-6
CA,Heart Attack,CA_AMI-1
AL,Children&#8217;s Asthma Care,AL_CAC-1
AL,Children&#8217;s Asthma Care,AL_CAC-1
AL,Children&#8217;s Asthma Care,AL_CAC-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AZ,Pneumonia,AZ_PN-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AL,Surgical Infection Prevention,AL_SCIP-INF-1
AZ,Heart Attack,AZ_AMI-1
CA,Heart Attack,CA_AMI-4
AZ,Pneumonia,AZ_PN-2
CA,Heart Attack,CA_AMI-1
CA,Heart Attack,CA_AMI-4
AZ,Heart Attack,AZ_AMI-2
AR,Pneumonia,AR_PN-5C
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-INF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-1
AL,Children&#8217;s Asthma Care,AL_CAC-1
AL,Children&#8217;s Asthma Care,AL_CAC-3
CA,Heart Attack,CA_AMI-1
CA,Heart Attack,CA_AMI-1
CA,Heart Attack,CA_AMI-5
AZ,Heart Attack,AZ_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
AZ,Heart Attack,AZ_AMI-2
AL,Pneumonia,AL_PN-6
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Children&#8217;s Asthma Care,AL_CAC-2
CA,Heart Attack,CA_AMI-4
AZ,Pneumonia,AZ_PN-2
CA,Pneumonia,CA_PN-5C
CA,Heart Attack,CA_AMI-4
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-5C
AL,Surgical Infection Prevention,AL_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Attack,CA_AMI-5
AZ,Heart Attack,AZ_AMI-2
AL,Children&#8217;s Asthma Care,AL_CAC-2
CA,Heart Attack,CA_AMI-1
CA,Heart Attack,CA_AMI-4
AL,Children&#8217;s Asthma Care,AL_CAC-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Attack,CA_AMI-5
CA,Heart Attack,CA_AMI-4
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Children&#8217;s Asthma Care,AL_CAC-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AZ,Heart Attack,AZ_AMI-1
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Attack,CA_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Attack,CA_AMI-5
AL,Pneumonia,AL_PN-6
AL,Pneumonia,AL_PN-6
AL,Surgical Infection Prevention,AL_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Pneumonia,AL_PN-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AL,Children&#8217;s Asthma Care,AL_CAC-3
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-3B
CA,Heart Attack,CA_AMI-1
AL,Children&#8217;s Asthma Care,AL_CAC-3
CA,Heart Attack,CA_AMI-4
AL,Children&#8217;s Asthma Care,AL_CAC-1
AZ,Pneumonia,AZ_PN-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Heart Attack,CA_AMI-4
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AL,Children&#8217;s Asthma Care,AL_CAC-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Heart Attack,CA_AMI-1
AL,Children&#8217;s Asthma Care,AL_CAC-1
AR,Pneumonia,AR_PN-5C
CA,Heart Failure,CA_HF-1
AR,Pneumonia,AR_PN-5C
AL,Children&#8217;s Asthma Care,AL_CAC-2
AL,Children&#8217;s Asthma Care,AL_CAC-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-5C
AL,Pneumonia,AL_PN-6
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-1
AL,Children&#8217;s Asthma Care,AL_CAC-3
AR,Pneumonia,AR_PN-5C
AL,Children&#8217;s Asthma Care,AL_CAC-1
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AZ,Pneumonia,AZ_PN-2
CA,Heart Attack,CA_AMI-1
AL,Pneumonia,AL_PN-6
AL,Children&#8217;s Asthma Care,AL_CAC-1
CA,Pneumonia,CA_PN-3B
AZ,Heart Attack,AZ_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Pneumonia,CA_PN-5C
AL,Pneumonia,AL_PN-6
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Pneumonia,AL_PN-6
AZ,Pneumonia,AZ_PN-2
AL,Surgical Infection Prevention,AL_SCIP-INF-1
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Heart Attack,CA_AMI-1
CA,Heart Failure,CA_HF-1
CA,Heart Attack,CA_AMI-1
AL,Children&#8217;s Asthma Care,AL_CAC-3
CA,Heart Attack,CA_AMI-1
CA,Heart Failure,CA_HF-1
CA,Heart Attack,CA_AMI-5
CA,Heart Attack,CA_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AZ,Heart Attack,AZ_AMI-1
CA,Heart Attack,CA_AMI-4
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Children&#8217;s Asthma Care,AL_CAC-3
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AZ,Heart Attack,AZ_AMI-1
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Children&#8217;s Asthma Care,AL_CAC-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-5
AL,Children&#8217;s Asthma Care,AL_CAC-3
CA,Heart Failure,CA_HF-1
AR,Pneumonia,AR_PN-5C
CA,Pneumonia,CA_PN-5C
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Children&#8217;s Asthma Care,AL_CAC-2
AZ,Heart Attack,AZ_AMI-1
CA,Pneumonia,CA_PN-3B
CA,Heart Attack,CA_AMI-5
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Children&#8217;s Asthma Care,AL_CAC-3
AR,Pneumonia,AR_PN-5C
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
AR,Pneumonia,AR_PN-5C
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AL,Surgical Infection Prevention,AL_SCIP-INF-1
CA,Heart Failure,CA_HF-1
CA,Heart Attack,CA_AMI-1
AZ,Pneumonia,AZ_PN-2
AL,Children&#8217;s Asthma Care,AL_CAC-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Pneumonia,AL_PN-6
AL,Children&#8217;s Asthma Care,AL_CAC-3
CA,Pneumonia,CA_PN-5C
CA,Heart Attack,CA_AMI-1
CA,Heart Attack,CA_AMI-4
CA,Heart Attack,CA_AMI-1
CA,Heart Failure,CA_HF-1
AL,Pneumonia,AL_PN-6
CA,Pneumonia,CA_PN-5C
AL,Children&#8217;s Asthma Care,AL_CAC-3
AL,Children&#8217;s Asthma Care,AL_CAC-2
CA,Heart Attack,CA_AMI-1
AZ,Heart Attack,AZ_AMI-1
AZ,Heart Attack,AZ_AMI-2
CA,Heart Attack,CA_AMI-5
AL,Children&#8217;s Asthma Care,AL_CAC-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AL,Children&#8217;s Asthma Care,AL_CAC-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Pneumonia,CA_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-2
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-2
AZ,Pneumonia,AZ_PN-2
CA,Pneumonia,CA_PN-5C
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AZ,Pneumonia,AZ_PN-2
AZ,Pneumonia,AZ_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AL,Heart Failure,AL_HF-1
AL,Heart Failure,AL_HF-1
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AZ,Pneumonia,AZ_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-3B
AL,Heart Failure,AL_HF-1
CA,Pneumonia,CA_PN-2
AZ,Pneumonia,AZ_PN-2
AZ,Pneumonia,AZ_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AZ,Heart Attack,AZ_AMI-2
AZ,Heart Attack,AZ_AMI-2
CA,Pneumonia,CA_PN-2
CA,Pneumonia,CA_PN-3B
AZ,Heart Attack,AZ_AMI-2
AZ,Pneumonia,AZ_PN-2
CA,Pneumonia,CA_PN-5C
AL,Heart Failure,AL_HF-1
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
AL,Heart Failure,AL_HF-1
CA,Pneumonia,CA_PN-3B
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AZ,Pneumonia,AZ_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
AZ,Heart Attack,AZ_AMI-2
AZ,Pneumonia,AZ_PN-2
CA,Pneumonia,CA_PN-2
CA,Pneumonia,CA_PN-2
AZ,Pneumonia,AZ_PN-2
AL,Heart Failure,AL_HF-1
AZ,Heart Attack,AZ_AMI-2
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-5C
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-2
AZ,Heart Attack,AZ_AMI-2
CA,Pneumonia,CA_PN-3B
AL,Heart Failure,AL_HF-1
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-2
AL,Heart Failure,AL_HF-1
AZ,Heart Attack,AZ_AMI-2
AL,Heart Failure,AL_HF-1
AZ,Heart Attack,AZ_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-3B
AL,Heart Failure,AL_HF-1
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-3B
AZ,Heart Attack,AZ_AMI-2
CA,Pneumonia,CA_PN-5C
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-5C
AL,Heart Failure,AL_HF-1
CA,Pneumonia,CA_PN-3B
AL,Heart Failure,AL_HF-1
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-5C
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-2
AZ,Heart Attack,AZ_AMI-2
AZ,Heart Attack,AZ_AMI-2
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-2
AL,Heart Failure,AL_HF-1
CA,Pneumonia,CA_PN-3B
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-3B
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AZ,Pneumonia,AZ_PN-2
AL,Heart Failure,AL_HF-1
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-2
AZ,Pneumonia,AZ_PN-2
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AZ,Pneumonia,AZ_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AZ,Pneumonia,AZ_PN-2
AL,Heart Failure,AL_HF-1
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-5C
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-5C
AZ,Heart Attack,AZ_AMI-2
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Heart Failure,CA_HF-2
AR,Pneumonia,AR_PN-3B
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Pneumonia,CA_PN-3B
AR,Pneumonia,AR_PN-3B
AR,Pneumonia,AR_PN-3B
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Pneumonia,CA_PN-3B
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Heart Failure,CA_HF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Heart Failure,CA_HF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AZ,Heart Failure,AZ_HF-1
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Heart Failure,CA_HF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
CA,Heart Failure,CA_HF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AZ,Heart Failure,AZ_HF-1
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Pneumonia,CA_PN-3B
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-1
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Heart Failure,CA_HF-1
CA,Pneumonia,CA_PN-3B
AR,Pneumonia,AR_PN-3B
CA,Heart Failure,CA_HF-1
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Heart Failure,CA_HF-2
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Heart Failure,CA_HF-2
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
AR,Pneumonia,AR_PN-3B
CA,Heart Failure,CA_HF-2
AR,Surgical Infection Prevention,AR_SCIP-INF-6
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
CA,Heart Failure,CA_HF-1
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Heart Failure,CA_HF-1
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
CA,Heart Failure,CA_HF-2
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AR,Pneumonia,AR_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AR,Surgical Infection Prevention,AR_SCIP-INF-6
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AL,Surgical Infection Prevention,AL_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Heart Failure,CA_HF-1
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Heart Failure,CA_HF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AZ,Heart Failure,AZ_HF-1
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-1
CA,Heart Failure,CA_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AZ,Heart Failure,AZ_HF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Heart Failure,CA_HF-1
AR,Pneumonia,AR_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AR,Pneumonia,AR_PN-3B
AR,Pneumonia,AR_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
AL,Surgical Infection Prevention,AL_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
AR,Surgical Infection Prevention,AR_SCIP-INF-6
AR,Surgical Infection Prevention,AR_SCIP-INF-6
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Pneumonia,CA_PN-3B
CA,Heart Failure,CA_HF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-1
CA,Heart Failure,CA_HF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-2
CA,Pneumonia,CA_PN-3B
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Surgical Infection Prevention,CA_SCIP-INF-2
CA,Surgical Infection Prevention,CA_SCIP-INF-1
AL,Surgical Infection Prevention,AL_SCIP-INF-6
CA,Heart Failure,CA_HF-1
AR,Pneumonia,AR_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-2
AR,Pneumonia,AR_PN-3B
CA,Pneumonia,CA_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-1
CA,Heart Failure,CA_HF-2
CA,Surgical Infection Prevention,CA_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Attack,CA_AMI-5
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Pneumonia,AL_PN-5C
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Heart Attack,CA_AMI-5
CA,Heart Attack,CA_AMI-5
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Heart Attack,CA_AMI-5
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AL,Pneumonia,AL_PN-3B
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-1
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AK,Surgical Infection Prevention,AK_SCIP-INF-3
CA,Pneumonia,CA_PN-2
AL,Pneumonia,AL_PN-3B
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-1
CA,Pneumonia,CA_PN-2
AL,Pneumonia,AL_PN-3B
AK,Surgical Infection Prevention,AK_SCIP-INF-3
AR,Pneumonia,AR_PN-2
AL,Surgical Infection Prevention,AL_SCIP-VTE-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
CA,Pneumonia,CA_PN-2
AL,Pneumonia,AL_PN-3B
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AR,Pneumonia,AR_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
AR,Pneumonia,AR_PN-2
AZ,Surgical Infection Prevention,AZ_SCIP-INF-3
CA,Pneumonia,CA_PN-2
CA,Pneumonia,CA_PN-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AZ,Surgical Infection Prevention,AZ_SCIP-INF-1
AR,Pneumonia,AR_PN-2
CA,Surgical Infection Prevention,CA_SCIP-INF-3
AL,Pneumonia,AL_PN-3B
