OriginState,OriginStateFips
IL,17
CA,6
OR,41
FL,12
IL,17
NY,36
OH,39
CA,6
CA,6
TX,48
WA,53
MA,25
CA,6
HI,15
CA,6
IL,17
HI,15
MA,25
NC,37
OK,40
NC,37
IL,17
MN,27
UT,49
MS,28
GA,13
OR,41
NC,37
CA,6
IL,17
CA,6
VA,51
GA,13
CA,6
FL,12
CO,8
IL,17
CO,8
CA,6
NC,37
TX,48
NC,37
IL,17
KY,21
CA,6
NH,33
OR,41
FL,12
IL,17
TN,47
CO,8
MA,25
FL,12
UT,49
PA,42
ME,23
MA,25
MT,30
IL,17
VA,51
CA,6
UT,49
TX,48
NC,37
HI,15
UT,49
AZ,4
CA,6
GA,13
AK,2
CA,6
CA,6
CA,6
OK,40
CA,6
TX,48
NM,35
CA,6
NC,37
CA,6
HI,15
IL,17
NY,36
CA,6
AZ,4
NC,37
MO,29
PA,42
IL,17
AZ,4
UT,49
MI,26
PA,42
UT,49
NC,37
MD,24
MA,25
VA,51
CA,6
CA,6
AZ,4
SC,45
VA,51
NC,37
PA,42
OK,40
NC,37
GA,13
CA,6
MA,25
TX,48
NJ,34
TX,48
IL,17
PA,42
MS,28
AZ,4
CO,8
TX,48
NC,37
CA,6
UT,49
CO,8
IL,17
VA,51
GA,13
TX,48
CA,6
TX,48
FL,12
MA,25
FL,12
KY,21
KY,21
CA,6
TX,48
FL,12
CO,8
FL,12
AZ,4
FL,12
TX,48
HI,15
NY,36
TX,48
GA,13
LA,22
AR,5
TX,48
GA,13
AZ,4
TX,48
MA,25
NY,36
GA,13
CA,6
MD,24
PA,42
CO,8
HI,15
AZ,4
OK,40
NJ,34
OH,39
IA,19
CA,6
IL,17
CA,6
CO,8
NY,36
MO,29
GA,13
IL,17
IL,17
TX,48
CA,6
TX,48
UT,49
IL,17
GA,13
VA,51
TX,48
WA,53
TX,48
FL,12
CA,6
OH,39
TX,48
TX,48
TN,47
NV,32
IL,17
MO,29
TX,48
MN,27
NV,32
PA,42
NM,35
WY,56
TX,48
WA,53
CA,6
CA,6
CO,8
UT,49
NV,32
CA,6
VA,51
MI,26
VA,51
CA,6
CA,6
MD,24
GA,13
KY,21
GA,13
NV,32
MN,27
FL,12
CA,6
ID,16
NC,37
GA,13
FL,12
TX,48
CO,8
IL,17
NV,32
AZ,4
UT,49
VA,51
NV,32
HI,15
CO,8
MI,26
TX,48
GA,13
TN,47
VA,51
CO,8
MA,25
TX,48
PR,72
NY,36
MT,30
NY,36
TX,48
WA,53
NY,36
MD,24
CA,6
NC,37
FL,12
MN,27
MN,27
CO,8
WA,53
TX,48
CT,9
TX,48
TX,48
UT,49
CA,6
TX,48
CA,6
MI,26
TX,48
CO,8
CA,6
MD,24
IL,17
CO,8
TX,48
CO,8
IL,17
HI,15
PR,72
FL,12
OK,40
TX,48
GA,13
TX,48
NJ,34
PA,42
CA,6
NY,36
TX,48
TX,48
CA,6
MO,29
17,Illinois
UT,49
NV,32
NH,33
MI,26
WV,54
IL,17
CA,6
IL,17
TX,48
FL,12
TX,48
TX,48
FL,12
IL,17
FL,12
AZ,4
CA,6
PR,72
NM,35
MN,27
CO,8
NY,36
OK,40
MA,25
TX,48
WA,53
CA,6
FL,12
GA,13
IL,17
AK,2
NC,37
TX,48
CA,6
AZ,4
NJ,34
AL,1
NY,36
NC,37
CA,6
TX,48
TX,48
MS,28
AZ,4
GA,13
NC,37
GA,13
AZ,4
HI,15
TN,47
NY,36
GA,13
WA,53
TX,48
TX,48
CO,8
AZ,4
GA,13
TX,48
GA,13
GA,13
MD,24
CO,8
IL,17
MA,25
FL,12
CA,6
CO,8
MO,29
CO,8
VA,51
NJ,34
IN,18
AR,5
CA,6
IL,17
HI,15
FL,12
TX,48
FL,12
FL,12
NC,37
FL,12
KY,21
CO,8
IL,17
TX,48
FL,12
SD,46
IL,17
PA,42
RI,44
FL,12
IL,17
FL,12
CA,6
CO,8
FL,12
AZ,4
PA,42
IN,18
IL,17
GA,13
CA,6
FL,12
FL,12
NV,32
MD,24
HI,15
VA,51
KY,21
NC,37
PA,42
TX,48
OH,39
NY,36
MA,25
IL,17
IL,17
MS,28
FL,12
VA,51
MO,29
IL,17
VA,51
VA,51
WA,53
NC,37
CA,6
FL,12
FL,12
WA,53
TX,48
NY,36
MD,24
TN,47
IL,17
GA,13
GA,13
NY,36
KY,21
CA,6
FL,12
IL,17
IL,17
CA,6
FL,12
FL,12
NC,37
LA,22
AZ,4
NC,37
IN,18
GA,13
UT,49
KY,21
OK,40
MN,27
CA,6
IN,18
OR,41
FL,12
TX,48
FL,12
CO,8
TN,47
HI,15
NV,32
CA,6
IN,18
NV,32
AK,2
CA,6
OR,41
CA,6
MI,26
GA,13
CA,6
CA,6
VA,51
FL,12
NY,36
CO,8
VA,51
AZ,4
CO,8
TX,48
GA,13
KY,21
TX,48
FL,12
NC,37
VA,51
CO,8
CA,6
FL,12
CA,6
TX,48
NY,36
CA,6
NY,36
OR,41
MA,25
GA,13
CA,6
VA,51
MN,27
RI,44
TX,48
GA,13
NJ,34
AL,1
FL,12
CA,6
AZ,4
CA,6
NC,37
IL,17
CA,6
CA,6
MD,24
FL,12
UT,49
CO,8
CO,8
CA,6
CO,8
FL,12
ME,23
TX,48
KY,21
GA,13
IN,18
IL,17
CA,6
WA,53
CO,8
WA,53
MS,28
AZ,4
NM,35
CA,6
TX,48
MA,25
HI,15
MI,26
NY,36
FL,12
AZ,4
FL,12
GA,13
NV,32
VA,51
TX,48
OR,41
MI,26
WA,53
CA,6
CA,6
IN,18
NC,37
KY,21
TX,48
TX,48
IL,17
MD,24
MI,26
MD,24
TX,48
CA,6
MN,27
TX,48
GA,13
TX,48
CO,8
TX,48
CO,8
TX,48
FL,12
WA,53
AK,2
KY,21
FL,12
NV,32
MO,29
LA,22
NV,32
TX,48
KY,21
HI,15
IN,18
CA,6
PA,42
CA,6
CA,6
TX,48
LA,22
HI,15
NJ,34
MA,25
TN,47
FL,12
FL,12
OH,39
MT,30
TX,48
FL,12
TX,48
NY,36
CA,6
TX,48
TX,48
NJ,34
IL,17
GA,13
CA,6
CO,8
UT,49
NY,36
CA,6
NC,37
MI,26
MS,28
GA,13
TX,48
TX,48
FL,12
TX,48
CA,6
TX,48
FL,12
TX,48
VT,50
NE,31
OR,41
IL,17
CA,6
NV,32
LA,22
RI,44
CA,6
GA,13
FL,12
FL,12
GA,13
IL,17
NY,36
GA,13
MN,27
PA,42
GA,13
WA,53
TX,48
VA,51
WA,53
CA,6
TX,48
GA,13
WY,56
MI,26
TX,48
ME,23
FL,12
VA,51
CA,6
GA,13
FL,12
TX,48
CO,8
IL,17
CA,6
TN,47
HI,15
UT,49
CA,6
IA,19
NV,32
CA,6
TX,48
CA,6
CA,6
GA,13
CA,6
MO,29
TN,47
MA,25
IN,18
TX,48
VA,51
NY,36
CA,6
NC,37
MA,25
VA,51
CA,6
CO,8
AL,1
OK,40
NC,37
NC,37
IN,18
TX,48
FL,12
NV,32
NJ,34
GA,13
FL,12
NY,36
NM,35
IL,17
FL,12
AK,2
NJ,34
GA,13
TX,48
MI,26
CA,6
CA,6
NC,37
VA,51
KY,21
MI,26
CA,6
MD,24
NV,32
CA,6
PA,42
CA,6
TX,48
CO,8
CA,6
TX,48
CO,8
FL,12
MD,24
CA,6
TX,48
FL,12
NC,37
TX,48
FL,12
GA,13
GA,13
IL,17
MA,25
NY,36
NJ,34
CO,8
TN,47
MN,27
FL,12
MI,26
IL,17
KY,21
TX,48
IL,17
MA,25
NY,36
FL,12
GA,13
MN,27
UT,49
MA,25
AZ,4
NY,36
TX,48
CA,6
MI,26
MA,25
NY,36
TX,48
GA,13
FL,12
MI,26
OH,39
TX,48
GA,13
AZ,4
AZ,4
TX,48
NC,37
NC,37
IL,17
VA,51
UT,49
CA,6
LA,22
NV,32
NY,36
GA,13
FL,12
WI,55
MA,25
FL,12
TX,48
MD,24
KY,21
WI,55
NC,37
VA,51
CA,6
AZ,4
FL,12
ND,38
FL,12
HI,15
CA,6
MI,26
IL,17
TX,48
CO,8
IL,17
CA,6
CO,8
NC,37
CA,6
FL,12
FL,12
TX,48
FL,12
CA,6
MO,29
FL,12
AZ,4
NV,32
IN,18
CO,8
CO,8
VA,51
MD,24
CA,6
IL,17
NC,37
OH,39
FL,12
FL,12
CO,8
FL,12
VA,51
IL,17
TX,48
GA,13
VA,51
GA,13
FL,12
MO,29
TX,48
TX,48
TX,48
CO,8
NV,32
NC,37
VA,51
CA,6
GA,13
TX,48
WA,53
NJ,34
OR,41
MN,27
GA,13
CO,8
VA,51
AZ,4
WI,55
NC,37
VA,51
OH,39
TX,48
CA,6
WA,53
AZ,4
CO,8
TX,48
CA,6
FL,12
MT,30
OH,39
CA,6
NY,36
FL,12
AZ,4
NV,32
IL,17
TX,48
SC,45
NY,36
WA,53
NJ,34
TX,48
TX,48
KY,21
OH,39
MO,29
FL,12
MA,25
TX,48
NC,37
KS,20
TX,48
CA,6
TX,48
IL,17
FL,12
UT,49
PA,42
OR,41
GA,13
FL,12
GA,13
NV,32
AR,5
HI,15
ID,16
WA,53
TX,48
FL,12
FL,12
VA,51
MN,27
TX,48
CA,6
GA,13
WA,53
MO,29
WA,53
WA,53
MD,24
AZ,4
VA,51
CO,8
UT,49
MD,24
MO,29
CA,6
TX,48
NY,36
IL,17
NY,36
IL,17
GA,13
WI,55
CA,6
SC,45
CA,6
CA,6
FL,12
LA,22
VA,51
IL,17
FL,12
LA,22
FL,12
VA,51
TX,48
FL,12
IL,17
TT,75
VA,51
CA,6
MD,24
VA,51
MO,29
CA,6
VA,51
CA,6
GA,13
CT,9
NM,35
MI,26
AZ,4
CA,6
TX,48
FL,12
CO,8
TN,47
IL,17
FL,12
IL,17
FL,12
WI,55
CA,6
GA,13
IL,17
PA,42
OR,41
CA,6
FL,12
AZ,4
WI,55
IL,17
HI,15
MA,25
OR,41
TX,48
OK,40
IL,17
NM,35
TX,48
IL,17
GA,13
NM,35
CA,6
TX,48
NJ,34
NJ,34
MN,27
IL,17
NV,32
IN,18
GA,13
CA,6
IL,17
CA,6
CA,6
CO,8
WA,53
MO,29
CO,8
NY,36
OR,41
CA,6
GA,13
PA,42
OK,40
CA,6
TX,48
LA,22
VA,51
FL,12
TX,48
TX,48
VA,51
FL,12
MI,26
IL,17
CA,6
TX,48
FL,12
IL,17
IL,17
TX,48
MA,25
CO,8
FL,12
TX,48
TX,48
NY,36
CA,6
NY,36
IL,17
IL,17
TX,48
UT,49
MT,30
FL,12
IL,17
MA,25
MO,29
AK,2
OH,39
TX,48
MN,27
FL,12
NV,32
GA,13
UT,49
NY,36
NC,37
FL,12
NC,37
NY,36
OR,41
MO,29
TX,48
IL,17
NC,37
NV,32
NH,33
IL,17
FL,12
CA,6
HI,15
CO,8
CO,8
TX,48
WI,55
TX,48
FL,12
MN,27
TX,48
FL,12
FL,12
NC,37
MO,29
AZ,4
HI,15
CA,6
FL,12
GA,13
CA,6
CA,6
ND,38
NJ,34
FL,12
TX,48
ID,16
PA,42
MI,26
NJ,34
NY,36
NY,36
OK,40
LA,22
IL,17
IL,17
CA,6
PA,42
FL,12
NC,37
GA,13
NC,37
CA,6
IL,17
CA,6
WI,55
UT,49
IL,17
NY,36
NJ,34
NV,32
NC,37
IL,17
PA,42
TX,48
CA,6
AZ,4
NY,36
FL,12
NV,32
NV,32
LA,22
TX,48
TX,48
TX,48
OH,39
FL,12
AZ,4
TX,48
FL,12
CA,6
MN,27
HI,15
TX,48
IL,17
FL,12
UT,49
CO,8
FL,12
SC,45
CO,8
NM,35
FL,12
CO,8
PA,42
FL,12
CA,6
GA,13
NE,31
WA,53
CA,6
MN,27
GA,13
OK,40
FL,12
CA,6
IL,17
TN,47
TX,48
MA,25
CA,6
GA,13
CA,6
MO,29
UT,49
CT,9
TX,48
WA,53
AK,2
NV,32
TX,48
CA,6
NH,33
NY,36
TX,48
VA,51
NY,36
GA,13
IL,17
FL,12
UT,49
CA,6
VA,51
PA,42
AZ,4
NY,36
OR,41
NY,36
VA,51
NY,36
CO,8
WA,53
GA,13
NY,36
IL,17
IL,17
CA,6
TX,48
MD,24
51,Virginia
OH,39
NJ,34
TN,47
NC,37
FL,12
FL,12
IL,17
IL,17
CO,8
CA,6
VA,51
NY,36
IL,17
CO,8
CA,6
TX,48
IL,17
CA,6
GA,13
CA,6
FL,12
CA,6
CA,6
VA,51
CA,6
CA,6
FL,12
IL,17
MA,25
VA,51
TX,48
IL,17
FL,12
GA,13
GA,13
VA,51
VA,51
CA,6
GA,13
TX,48
CA,6
IL,17
CO,8
CO,8
MN,27
NC,37
TX,48
TX,48
CA,6
CA,6
VA,51
MD,24
TX,48
CA,6
KY,21
WA,53
TX,48
GA,13
TX,48
KY,21
NC,37
GA,13
AL,1
MI,26
NY,36
OH,39
CO,8
GA,13
GA,13
HI,15
MD,24
MT,30
PA,42
KY,21
HI,15
TX,48
MD,24
FL,12
WA,53
TX,48
CO,8
WY,56
IL,17
WA,53
WA,53
GA,13
MD,24
NC,37
IL,17
NY,36
NV,32
TX,48
MA,25
ID,16
TX,48
SC,45
CA,6
NJ,34
TX,48
CO,8
TX,48
NJ,34
IA,19
AZ,4
VA,51
IL,17
MA,25
FL,12
FL,12
VA,51
NV,32
MD,24
ID,16
TX,48
CA,6
TX,48
CA,6
TX,48
IL,17
NC,37
WA,53
FL,12
IL,17
OH,39
MD,24
OH,39
GA,13
IL,17
AK,2
VA,51
MI,26
NC,37
FL,12
IL,17
TN,47
IL,17
WI,55
AR,5
TN,47
HI,15
UT,49
IN,18
TX,48
NC,37
FL,12
36,New York
TX,48
WA,53
AZ,4
MN,27
PA,42
CA,6
FL,12
IL,17
MA,25
KY,21
FL,12
GA,13
MO,29
FL,12
NY,36
LA,22
IL,17
FL,12
TX,48
CO,8
IL,17
UT,49
MO,29
NC,37
AZ,4
NY,36
GA,13
CA,6
NY,36
MI,26
IL,17
NV,32
NJ,34
CA,6
CO,8
CA,6
CA,6
TX,48
CO,8
VA,51
CA,6
OH,39
GA,13
CA,6
CO,8
PA,42
UT,49
NY,36
PA,42
GA,13
IL,17
NV,32
FL,12
AZ,4
OH,39
TN,47
TX,48
GA,13
KY,21
WA,53
NV,32
SC,45
GA,13
MO,29
FL,12
GA,13
AZ,4
GA,13
FL,12
NM,35
MA,25
CO,8
TX,48
MI,26
TX,48
CA,6
MO,29
GA,13
NY,36
FL,12
NY,36
GA,13
HI,15
UT,49
IL,17
ND,38
NJ,34
NC,37
TX,48
PR,72
WI,55
GA,13
NJ,34
GA,13
CO,8
TX,48
ND,38
VA,51
CA,6
FL,12
TX,48
NV,32
FL,12
MO,29
CA,6
CA,6
FL,12
CA,6
TX,48
GA,13
CA,6
TX,48
CA,6
NY,36
MA,25
AZ,4
NJ,34
FL,12
MA,25
MA,25
AZ,4
MT,30
TX,48
CA,6
AK,2
ID,16
TX,48
NV,32
FL,12
CA,6
FL,12
MN,27
TX,48
AZ,4
PA,42
GA,13
NC,37
GA,13
GA,13
NJ,34
FL,12
UT,49
NJ,34
MO,29
VA,51
CA,6
KY,21
MN,27
VA,51
CA,6
TX,48
IL,17
NV,32
VA,51
GA,13
FL,12
UT,49
PA,42
VI,78
NJ,34
CO,8
TX,48
UT,49
CA,6
MD,24
NV,32
CA,6
TN,47
MD,24
AZ,4
UT,49
OH,39
MI,26
TX,48
MD,24
NV,32
AZ,4
TN,47
AL,1
IN,18
TX,48
GA,13
NV,32
IL,17
TX,48
TX,48
TX,48
CA,6
HI,15
CO,8
FL,12
WI,55
TX,48
FL,12
TN,47
NV,32
MO,29
CA,6
FL,12
VA,51
MA,25
TX,48
CA,6
NY,36
IL,17
NV,32
CA,6
MA,25
MN,27
WI,55
NC,37
TX,48
MO,29
VA,51
NC,37
TX,48
IL,17
NE,31
CA,6
TX,48
CO,8
GA,13
VA,51
CA,6
IA,19
AK,2
IL,17
NJ,34
FL,12
CA,6
IL,17
GA,13
FL,12
IL,17
NV,32
CO,8
CO,8
IL,17
CA,6
CA,6
ME,23
GA,13
FL,12
TX,48
CA,6
IL,17
MN,27
NY,36
OR,41
MD,24
CA,6
PA,42
WA,53
MN,27
MA,25
MO,29
TX,48
OH,39
CA,6
MA,25
TX,48
CA,6
MI,26
CO,8
HI,15
FL,12
CA,6
CA,6
NY,36
CA,6
PA,42
TX,48
FL,12
FL,12
IL,17
NJ,34
MD,24
NY,36
TX,48
NC,37
IL,17
MI,26
MA,25
CO,8
GA,13
TX,48
TX,48
TX,48
OH,39
NC,37
HI,15
TX,48
NC,37
WA,53
FL,12
WI,55
IL,17
AZ,4
CA,6
NH,33
CO,8
HI,15
SC,45
ND,38
CA,6
GA,13
IL,17
PA,42
NJ,34
AZ,4
CA,6
TX,48
MD,24
IL,17
MI,26
FL,12
CO,8
CO,8
CO,8
GA,13
FL,12
UT,49
CA,6
UT,49
MA,25
GA,13
TX,48
IL,17
NY,36
TX,48
LA,22
WA,53
TN,47
GA,13
GA,13
AZ,4
FL,12
NY,36
FL,12
MD,24
TX,48
GA,13
MA,25
MD,24
TX,48
GA,13
AR,5
NC,37
TX,48
WI,55
IL,17
TX,48
AZ,4
TX,48
VA,51
WA,53
TX,48
FL,12
TX,48
TX,48
NY,36
IL,17
IL,17
TX,48
IN,18
GA,13
NY,36
IL,17
GA,13
MI,26
AZ,4
TX,48
HI,15
CO,8
NC,37
IL,17
FL,12
CA,6
MN,27
FL,12
MO,29
IN,18
IL,17
KY,21
NY,36
GA,13
GA,13
NC,37
NY,36
TN,47
CA,6
UT,49
TX,48
MI,26
FL,12
FL,12
UT,49
CA,6
CA,6
FL,12
CA,6
TX,48
VA,51
TX,48
GA,13
NY,36
TX,48
TX,48
LA,22
FL,12
CA,6
IL,17
IL,17
NJ,34
NY,36
IL,17
CA,6
UT,49
NV,32
NJ,34
NJ,34
CA,6
NC,37
PA,42
NY,36
NY,36
GA,13
IL,17
IN,18
TX,48
FL,12
IL,17
MN,27
TX,48
GA,13
FL,12
MA,25
AZ,4
NY,36
AZ,4
CO,8
HI,15
FL,12
IL,17
FL,12
CA,6
IN,18
LA,22
CA,6
FL,12
KS,20
IL,17
HI,15
MD,24
CO,8
TN,47
GA,13
TX,48
NC,37
CA,6
IL,17
MA,25
AZ,4
MN,27
MA,25
IL,17
NV,32
WA,53
HI,15
TX,48
FL,12
FL,12
MN,27
HI,15
CA,6
CA,6
TX,48
CA,6
CA,6
PA,42
NY,36
PR,72
CA,6
NY,36
AZ,4
CO,8
NJ,34
CA,6
IL,17
OH,39
CO,8
TX,48
CA,6
TX,48
CA,6
AZ,4
MT,30
MI,26
HI,15
MA,25
FL,12
LA,22
TX,48
CO,8
FL,12
CO,8
UT,49
CA,6
CO,8
NV,32
TX,48
LA,22
NC,37
NJ,34
NJ,34
TX,48
NC,37
TX,48
OH,39
NJ,34
TX,48
CA,6
WA,53
OH,39
MD,24
OK,40
CA,6
GA,13
AZ,4
NY,36
FL,12
MO,29
NY,36
GA,13
IL,17
HI,15
NV,32
HI,15
PA,42
NY,36
CA,6
CO,8
MA,25
TX,48
NC,37
CO,8
TX,48
GA,13
KY,21
IL,17
CO,8
PA,42
NY,36
FL,12
TX,48
GA,13
CA,6
GA,13
NY,36
PA,42
VA,51
FL,12
NC,37
VA,51
CA,6
TX,48
TX,48
IL,17
VA,51
GA,13
IL,17
FL,12
TX,48
NV,32
GA,13
FL,12
CO,8
NJ,34
FL,12
IL,17
GA,13
CO,8
AZ,4
CA,6
MI,26
TX,48
GA,13
TX,48
SC,45
UT,49
FL,12
MO,29
CA,6
NC,37
IN,18
IL,17
IL,17
VA,51
TX,48
AZ,4
TX,48
AZ,4
MI,26
MI,26
MO,29
VA,51
TX,48
CA,6
HI,15
ID,16
NY,36
FL,12
IL,17
OH,39
TX,48
NY,36
VA,51
NJ,34
TX,48
NV,32
FL,12
HI,15
IL,17
CA,6
AR,5
CO,8
WA,53
MI,26
NJ,34
CA,6
KY,21
WI,55
TX,48
OR,41
GA,13
NM,35
NV,32
VA,51
CO,8
TX,48
AZ,4
GA,13
CO,8
MA,25
NV,32
SD,46
TX,48
TX,48
AR,5
NY,36
MI,26
TN,47
TX,48
NC,37
IL,17
NV,32
AR,5
VA,51
CA,6
AZ,4
OH,39
OR,41
FL,12
TN,47
UT,49
GA,13
WI,55
MA,25
MA,25
OK,40
CA,6
CO,8
MO,29
TX,48
LA,22
MA,25
UT,49
GA,13
UT,49
NV,32
CA,6
IL,17
NJ,34
IL,17
KY,21
WI,55
FL,12
MA,25
TX,48
PA,42
CA,6
CA,6
TX,48
NY,36
OH,39
GA,13
CO,8
MT,30
CA,6
MN,27
WA,53
TX,48
TX,48
TX,48
MD,24
NH,33
NY,36
GA,13
CA,6
VA,51
CA,6
CO,8
NV,32
NC,37
CA,6
FL,12
CA,6
TN,47
OH,39
GA,13
FL,12
NJ,34
CA,6
CA,6
IL,17
PA,42
CA,6
AZ,4
FL,12
TX,48
TX,48
GA,13
CA,6
TX,48
TX,48
WA,53
IL,17
CO,8
SC,45
NV,32
NJ,34
MI,26
TX,48
OH,39
OK,40
AL,1
AZ,4
FL,12
PR,72
NC,37
TX,48
KY,21
TX,48
WA,53
TX,48
OK,40
CA,6
NV,32
OR,41
TX,48
OR,41
AZ,4
KY,21
RI,44
NJ,34
SD,46
FL,12
NE,31
CO,8
NM,35
FL,12
IL,17
TN,47
OH,39
HI,15
FL,12
MO,29
GA,13
IL,17
TX,48
AZ,4
WI,55
CA,6
CA,6
LA,22
CA,6
HI,15
CA,6
FL,12
MI,26
CA,6
IL,17
FL,12
FL,12
KY,21
MO,29
GA,13
CA,6
WI,55
CA,6
PR,72
TX,48
NJ,34
AZ,4
HI,15
GA,13
IL,17
TX,48
PA,42
NC,37
TN,47
GA,13
CA,6
CA,6
CO,8
GA,13
TX,48
RI,44
CO,8
TX,48
AR,5
NC,37
VA,51
MI,26
OH,39
CO,8
TX,48
CA,6
GA,13
IL,17
MO,29
NC,37
TX,48
FL,12
NM,35
MI,26
CA,6
OH,39
AZ,4
HI,15
FL,12
NY,36
UT,49
TX,48
NJ,34
NY,36
PR,72
OH,39
GA,13
IL,17
NJ,34
PA,42
MI,26
MD,24
GA,13
NE,31
MA,25
LA,22
TX,48
OK,40
MN,27
PA,42
AZ,4
NE,31
OK,40
CO,8
CA,6
PR,72
GA,13
TX,48
CA,6
CA,6
NE,31
OH,39
CO,8
NM,35
MD,24
MO,29
TX,48
GA,13
TX,48
UT,49
GA,13
NV,32
IN,18
CA,6
FL,12
UT,49
IN,18
CO,8
MD,24
CA,6
UT,49
NC,37
AL,1
NY,36
NC,37
TX,48
NC,37
IL,17
FL,12
GA,13
CO,8
FL,12
GA,13
MD,24
AR,5
MN,27
KY,21
NC,37
MA,25
CO,8
NY,36
NM,35
HI,15
NY,36
PA,42
FL,12
IL,17
TX,48
CA,6
NC,37
MI,26
AZ,4
MD,24
UT,49
IL,17
TX,48
CA,6
FL,12
AZ,4
IL,17
IL,17
AZ,4
TX,48
IL,17
WA,53
HI,15
TX,48
MO,29
TX,48
NJ,34
TX,48
CA,6
NJ,34
MN,27
ME,23
NV,32
TX,48
CA,6
TX,48
CA,6
OH,39
AZ,4
KY,21
CA,6
CA,6
TX,48
TX,48
MO,29
HI,15
CA,6
NJ,34
CO,8
CA,6
CA,6
ND,38
PA,42
NY,36
IL,17
CA,6
NC,37
CA,6
CA,6
GA,13
CA,6
CA,6
CA,6
GA,13
IN,18
AR,5
TX,48
MS,28
CA,6
CA,6
CA,6
MN,27
PA,42
TN,47
CA,6
TX,48
NV,32
CA,6
TX,48
MO,29
WA,53
CO,8
TX,48
VA,51
NY,36
CO,8
MA,25
FL,12
CA,6
GA,13
TN,47
MT,30
PR,72
MD,24
CO,8
MN,27
LA,22
FL,12
IN,18
NY,36
AZ,4
TN,47
OH,39
NY,36
IL,17
ND,38
NJ,34
AZ,4
MN,27
SC,45
TX,48
TX,48
IL,17
WY,56
MA,25
FL,12
MA,25
TX,48
MI,26
TX,48
AL,1
HI,15
IL,17
WI,55
CT,9
WA,53
MI,26
MD,24
NC,37
VA,51
TX,48
PA,42
MI,26
TN,47
CO,8
WA,53
WI,55
TX,48
CO,8
CA,6
NC,37
VA,51
TX,48
TX,48
PA,42
NE,31
MD,24
AR,5
FL,12
VA,51
FL,12
IN,18
MI,26
TX,48
AZ,4
MD,24
MI,26
CA,6
CA,6
FL,12
WA,53
MN,27
MO,29
TX,48
CA,6
CA,6
MT,30
IL,17
NE,31
CA,6
CO,8
FL,12
CA,6
SC,45
CA,6
FL,12
AK,2
WA,53
CA,6
WA,53
HI,15
SC,45
AK,2
NY,36
NV,32
AZ,4
NY,36
AZ,4
TX,48
PA,42
IL,17
OH,39
TX,48
CA,6
WI,55
UT,49
MO,29
NC,37
NC,37
MO,29
NV,32
TX,48
FL,12
TX,48
NC,37
UT,49
HI,15
FL,12
NY,36
CA,6
CA,6
CA,6
NV,32
NY,36
CA,6
CA,6
UT,49
WA,53
CA,6
AZ,4
CA,6
KS,20
AK,2
NY,36
NJ,34
TX,48
MD,24
IA,19
CO,8
AZ,4
HI,15
GA,13
LA,22
FL,12
AZ,4
CA,6
TX,48
GA,13
CA,6
WA,53
MA,25
FL,12
FL,12
PR,72
IL,17
FL,12
FL,12
GA,13
TX,48
OH,39
CA,6
NV,32
NY,36
CA,6
PA,42
GA,13
CA,6
CA,6
VA,51
AZ,4
IL,17
AL,1
TX,48
TX,48
IL,17
CO,8
MD,24
PA,42
CA,6
TX,48
WA,53
CA,6
TX,48
GA,13
FL,12
GA,13
TX,48
TN,47
CO,8
FL,12
MO,29
GA,13
MO,29
OH,39
NY,36
HI,15
NY,36
MN,27
PR,72
FL,12
FL,12
FL,12
IL,17
CA,6
MO,29
HI,15
IL,17
WA,53
HI,15
GA,13
AL,1
NC,37
NY,36
FL,12
LA,22
IL,17
WA,53
TX,48
HI,15
NV,32
HI,15
CA,6
AZ,4
CA,6
AZ,4
CA,6
PA,42
TX,48
GA,13
NV,32
IL,17
GA,13
FL,12
MN,27
CA,6
TX,48
CA,6
NY,36
MN,27
WA,53
TX,48
CO,8
IL,17
AR,5
VA,51
AZ,4
TN,47
FL,12
WA,53
NC,37
SC,45
TN,47
NC,37
CA,6
PA,42
NV,32
FL,12
CA,6
MO,29
TX,48
OH,39
GA,13
NV,32
MO,29
AZ,4
GA,13
FL,12
IL,17
TX,48
PR,72
CA,6
NY,36
GA,13
LA,22
CA,6
MN,27
FL,12
IL,17
CA,6
AZ,4
NY,36
PA,42
MN,27
MD,24
MA,25
FL,12
VA,51
MN,27
NV,32
NJ,34
AZ,4
TX,48
MO,29
MA,25
NV,32
NC,37
CO,8
CO,8
TN,47
NY,36
TX,48
IL,17
NV,32
MN,27
CA,6
KY,21
MN,27
FL,12
TX,48
FL,12
AR,5
FL,12
TX,48
TX,48
TX,48
PA,42
TN,47
FL,12
TX,48
TX,48
CO,8
CA,6
CO,8
MO,29
PR,72
TX,48
TX,48
SC,45
FL,12
TX,48
CA,6
CA,6
NJ,34
OK,40
WA,53
AZ,4
GA,13
NY,36
CA,6
NV,32
NJ,34
UT,49
CA,6
NV,32
NC,37
TX,48
CA,6
IL,17
MI,26
HI,15
MA,25
FL,12
FL,12
PR,72
TX,48
FL,12
TX,48
MO,29
AZ,4
CA,6
AZ,4
VA,51
VA,51
CA,6
CO,8
GA,13
MN,27
TX,48
TX,48
NJ,34
NV,32
MI,26
NC,37
CA,6
TX,48
TX,48
UT,49
CA,6
NJ,34
CA,6
AZ,4
FL,12
TX,48
TX,48
CA,6
WY,56
GA,13
GA,13
HI,15
CA,6
CA,6
NY,36
FL,12
LA,22
MO,29
NY,36
MO,29
FL,12
CA,6
FL,12
FL,12
MA,25
CA,6
TX,48
