lai_0,lai_3,nedboer_3,lai_1,lai_4
2_5___3_5,0_5___1_5,____4,1_5___2_5,0_0___0_5
3_5___4_5,0_0___0_5,2___3,0_5___1_5,0_0___0_5
4_5___5_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
4_5___5_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
2_5___3_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
5_5___6_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,0_5___1_5,____4,2_5___3_5,0_0___0_5
5_5___6_5,4_5___5_5,____4,___6_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,4_5___5_5,0___1,5_5___6_5,1_5___2_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
2_5___3_5,0_5___1_5,0___1,2_5___3_5,0_0___0_5
3_5___4_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
5_5___6_5,4_5___5_5,2___3,___6_5,1_5___2_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,1_5___2_5
___6_5,3_5___4_5,____4,___6_5,1_5___2_5
2_5___3_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
2_5___3_5,1_5___2_5,____4,1_5___2_5,0_5___1_5
4_5___5_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,1_5___2_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,0_5___1_5,____4,2_5___3_5,0_0___0_5
4_5___5_5,2_5___3_5,____4,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
4_5___5_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
2_5___3_5,1_5___2_5,____4,3_5___4_5,0_0___0_5
2_5___3_5,0_0___0_5,2___3,0_0___0_5,0_0___0_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
3_5___4_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,0_5___1_5,0___1,2_5___3_5,0_0___0_5
5_5___6_5,2_5___3_5,2___3,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,1_5___2_5
3_5___4_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,0___1,___6_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
5_5___6_5,4_5___5_5,2___3,___6_5,0_5___1_5
5_5___6_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
4_5___5_5,4_5___5_5,____4,4_5___5_5,1_5___2_5
2_5___3_5,0_5___1_5,____4,2_5___3_5,0_0___0_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,4_5___5_5,____4,5_5___6_5,1_5___2_5
3_5___4_5,0_5___1_5,2___3,2_5___3_5,0_0___0_5
5_5___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,0___1,4_5___5_5,0_5___1_5
4_5___5_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,2_5___3_5,____4,5_5___6_5,0_5___1_5
2_5___3_5,1_5___2_5,0___1,1_5___2_5,0_0___0_5
2_5___3_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
3_5___4_5,0_5___1_5,0___1,1_5___2_5,0_0___0_5
5_5___6_5,0_0___0_5,2___3,3_5___4_5,0_0___0_5
4_5___5_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
2_5___3_5,0_5___1_5,0___1,1_5___2_5,0_0___0_5
___6_5,5_5___6_5,2___3,___6_5,1_5___2_5
___6_5,4_5___5_5,2___3,___6_5,1_5___2_5
5_5___6_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
2_5___3_5,0_5___1_5,0___1,1_5___2_5,0_0___0_5
4_5___5_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
3_5___4_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,0_0___0_5,2___3,3_5___4_5,0_0___0_5
5_5___6_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,____4,3_5___4_5,0_5___1_5
4_5___5_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
___6_5,3_5___4_5,0___1,___6_5,0_5___1_5
4_5___5_5,1_5___2_5,0___1,3_5___4_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
3_5___4_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
5_5___6_5,0_0___0_5,2___3,0_5___1_5,0_0___0_5
4_5___5_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
5_5___6_5,2_5___3_5,____4,3_5___4_5,0_5___1_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
4_5___5_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,1_5___2_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
2_5___3_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
4_5___5_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
3_5___4_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
2_5___3_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
3_5___4_5,0_0___0_5,____4,3_5___4_5,0_0___0_5
5_5___6_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
2_5___3_5,0_5___1_5,0___1,2_5___3_5,0_0___0_5
___6_5,5_5___6_5,0___1,___6_5,1_5___2_5
5_5___6_5,3_5___4_5,0___1,___6_5,0_5___1_5
2_5___3_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
4_5___5_5,3_5___4_5,0___1,4_5___5_5,0_5___1_5
2_5___3_5,0_5___1_5,____4,2_5___3_5,0_0___0_5
5_5___6_5,1_5___2_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,4_5___5_5,0___1,5_5___6_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
3_5___4_5,0_5___1_5,____4,0_5___1_5,0_0___0_5
5_5___6_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
4_5___5_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
2_5___3_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_0___0_5
5_5___6_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
5_5___6_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
2_5___3_5,0_5___1_5,2___3,0_5___1_5,0_0___0_5
3_5___4_5,0_0___0_5,____4,2_5___3_5,0_0___0_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
5_5___6_5,0_5___1_5,2___3,0_5___1_5,0_0___0_5
3_5___4_5,0_0___0_5,0___1,0_5___1_5,0_0___0_5
___6_5,5_5___6_5,____4,___6_5,1_5___2_5
5_5___6_5,2_5___3_5,2___3,5_5___6_5,0_5___1_5
4_5___5_5,1_5___2_5,2___3,3_5___4_5,0_0___0_5
5_5___6_5,4_5___5_5,2___3,___6_5,1_5___2_5
4_5___5_5,0_0___0_5,2___3,0_5___1_5,0_0___0_5
2_5___3_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
5_5___6_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
___6_5,4_5___5_5,____4,___6_5,1_5___2_5
2_5___3_5,0_5___1_5,____4,1_5___2_5,0_0___0_5
5_5___6_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,0_0___0_5,____4,0_5___1_5,0_0___0_5
4_5___5_5,0_0___0_5,2___3,0_0___0_5,0_0___0_5
4_5___5_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
3_5___4_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
3_5___4_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
___6_5,0_5___1_5,0___1,3_5___4_5,0_0___0_5
___6_5,3_5___4_5,2___3,5_5___6_5,1_5___2_5
3_5___4_5,2_5___3_5,____4,3_5___4_5,0_5___1_5
4_5___5_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,5_5___6_5,0_5___1_5
___6_5,4_5___5_5,2___3,5_5___6_5,1_5___2_5
5_5___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
3_5___4_5,1_5___2_5,0___1,3_5___4_5,0_5___1_5
2_5___3_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
___6_5,4_5___5_5,____4,___6_5,1_5___2_5
5_5___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
3_5___4_5,0_0___0_5,____4,1_5___2_5,0_0___0_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,0___1,4_5___5_5,0_5___1_5
3_5___4_5,0_0___0_5,0___1,0_5___1_5,0_0___0_5
5_5___6_5,1_5___2_5,2___3,5_5___6_5,0_0___0_5
5_5___6_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
2_5___3_5,0_5___1_5,0___1,1_5___2_5,0_0___0_5
3_5___4_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
2_5___3_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
3_5___4_5,0_0___0_5,2___3,0_0___0_5,0_0___0_5
5_5___6_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
3_5___4_5,2_5___3_5,____4,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,0_5___1_5,2___3,0_5___1_5,0_0___0_5
5_5___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
5_5___6_5,0_0___0_5,0___1,0_5___1_5,0_0___0_5
___6_5,4_5___5_5,2___3,___6_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
2_5___3_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
3_5___4_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
___6_5,3_5___4_5,0___1,___6_5,0_5___1_5
___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
___6_5,4_5___5_5,____4,5_5___6_5,1_5___2_5
2_5___3_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
4_5___5_5,1_5___2_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,2_5___3_5,____4,5_5___6_5,0_5___1_5
5_5___6_5,0_5___1_5,0___1,0_5___1_5,0_0___0_5
5_5___6_5,2_5___3_5,____4,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,5_5___6_5,0_5___1_5
3_5___4_5,0_0___0_5,0___1,0_5___1_5,0_0___0_5
5_5___6_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
4_5___5_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
2_5___3_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
3_5___4_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
5_5___6_5,2_5___3_5,____4,5_5___6_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
___6_5,3_5___4_5,0___1,___6_5,0_5___1_5
3_5___4_5,0_5___1_5,2___3,2_5___3_5,0_0___0_5
5_5___6_5,0_5___1_5,____4,0_5___1_5,0_0___0_5
4_5___5_5,0_5___1_5,2___3,0_5___1_5,0_0___0_5
4_5___5_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
3_5___4_5,0_5___1_5,2___3,2_5___3_5,0_0___0_5
5_5___6_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,____4,3_5___4_5,0_5___1_5
3_5___4_5,0_5___1_5,____4,1_5___2_5,0_0___0_5
___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
4_5___5_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,2_5___3_5,____4,5_5___6_5,0_5___1_5
5_5___6_5,0_0___0_5,2___3,0_0___0_5,0_0___0_5
4_5___5_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
2_5___3_5,2_5___3_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
2_5___3_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
4_5___5_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
4_5___5_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
4_5___5_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
3_5___4_5,3_5___4_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
2_5___3_5,0_5___1_5,2___3,2_5___3_5,0_0___0_5
3_5___4_5,0_0___0_5,____4,2_5___3_5,0_0___0_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
2_5___3_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
5_5___6_5,0_0___0_5,0___1,0_5___1_5,0_0___0_5
3_5___4_5,0_0___0_5,____4,3_5___4_5,0_0___0_5
5_5___6_5,2_5___3_5,2___3,5_5___6_5,0_5___1_5
4_5___5_5,2_5___3_5,____4,2_5___3_5,0_5___1_5
___6_5,3_5___4_5,0___1,___6_5,0_5___1_5
4_5___5_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
4_5___5_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
4_5___5_5,1_5___2_5,0___1,4_5___5_5,0_0___0_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,2_5___3_5,2___3,2_5___3_5,0_5___1_5
2_5___3_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
4_5___5_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
3_5___4_5,0_5___1_5,____4,1_5___2_5,0_0___0_5
4_5___5_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,4_5___5_5,2___3,5_5___6_5,1_5___2_5
2_5___3_5,1_5___2_5,____4,2_5___3_5,0_0___0_5
4_5___5_5,0_5___1_5,0___1,3_5___4_5,0_0___0_5
4_5___5_5,0_5___1_5,0___1,4_5___5_5,0_0___0_5
___6_5,3_5___4_5,____4,___6_5,0_5___1_5
4_5___5_5,4_5___5_5,____4,5_5___6_5,1_5___2_5
5_5___6_5,4_5___5_5,____4,5_5___6_5,1_5___2_5
4_5___5_5,0_5___1_5,____4,4_5___5_5,0_0___0_5
5_5___6_5,2_5___3_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,4_5___5_5,0_5___1_5
2_5___3_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
4_5___5_5,0_0___0_5,____4,3_5___4_5,0_0___0_5
3_5___4_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
4_5___5_5,0_5___1_5,0___1,3_5___4_5,0_0___0_5
5_5___6_5,0_0___0_5,2___3,0_5___1_5,0_0___0_5
2_5___3_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
3_5___4_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
3_5___4_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,0_0___0_5,2___3,0_0___0_5,0_0___0_5
5_5___6_5,0_5___1_5,0___1,0_5___1_5,0_0___0_5
3_5___4_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
___6_5,0_0___0_5,0___1,1_5___2_5,0_0___0_5
2_5___3_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
3_5___4_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,3_5___4_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
4_5___5_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
4_5___5_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
___6_5,3_5___4_5,____4,___6_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
2_5___3_5,0_5___1_5,0___1,1_5___2_5,0_0___0_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
2_5___3_5,0_5___1_5,____4,1_5___2_5,0_5___1_5
5_5___6_5,4_5___5_5,0___1,___6_5,1_5___2_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
2_5___3_5,1_5___2_5,2___3,2_5___3_5,0_0___0_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
___6_5,4_5___5_5,____4,___6_5,1_5___2_5
2_5___3_5,0_0___0_5,____4,1_5___2_5,0_0___0_5
___6_5,4_5___5_5,____4,___6_5,1_5___2_5
___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
5_5___6_5,2_5___3_5,2___3,5_5___6_5,0_5___1_5
3_5___4_5,0_0___0_5,2___3,0_0___0_5,0_0___0_5
5_5___6_5,4_5___5_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
4_5___5_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,____4,1_5___2_5,0_0___0_5
4_5___5_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
4_5___5_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
2_5___3_5,1_5___2_5,0___1,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
2_5___3_5,0_5___1_5,____4,1_5___2_5,0_0___0_5
3_5___4_5,1_5___2_5,____4,1_5___2_5,0_0___0_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,4_5___5_5,0___1,5_5___6_5,1_5___2_5
2_5___3_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
4_5___5_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,3_5___4_5,0___1,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,___6_5,0_5___1_5
5_5___6_5,0_0___0_5,0___1,2_5___3_5,0_0___0_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
3_5___4_5,0_0___0_5,0___1,0_5___1_5,0_0___0_5
3_5___4_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
3_5___4_5,1_5___2_5,2___3,1_5___2_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
3_5___4_5,0_5___1_5,2___3,2_5___3_5,0_0___0_5
2_5___3_5,2_5___3_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
4_5___5_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,3_5___4_5,____4,5_5___6_5,0_5___1_5
5_5___6_5,1_5___2_5,____4,1_5___2_5,0_5___1_5
5_5___6_5,1_5___2_5,0___1,3_5___4_5,0_5___1_5
5_5___6_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,4_5___5_5,2___3,5_5___6_5,1_5___2_5
5_5___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
3_5___4_5,3_5___4_5,2___3,4_5___5_5,0_5___1_5
4_5___5_5,2_5___3_5,2___3,4_5___5_5,0_5___1_5
___6_5,0_0___0_5,____4,0_5___1_5,0_0___0_5
___6_5,2_5___3_5,2___3,5_5___6_5,0_5___1_5
5_5___6_5,2_5___3_5,0___1,4_5___5_5,0_5___1_5
___6_5,4_5___5_5,2___3,___6_5,1_5___2_5
___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
3_5___4_5,0_5___1_5,0___1,1_5___2_5,0_0___0_5
5_5___6_5,0_0___0_5,____4,0_0___0_5,0_0___0_5
___6_5,3_5___4_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,3_5___4_5,0___1,___6_5,0_5___1_5
4_5___5_5,3_5___4_5,0___1,4_5___5_5,0_5___1_5
5_5___6_5,4_5___5_5,____4,5_5___6_5,0_5___1_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,3_5___4_5,0_5___1_5
___6_5,3_5___4_5,2___3,___6_5,1_5___2_5
2_5___3_5,1_5___2_5,2___3,1_5___2_5,0_5___1_5
3_5___4_5,1_5___2_5,0___1,3_5___4_5,0_5___1_5
4_5___5_5,1_5___2_5,0___1,3_5___4_5,0_5___1_5
3_5___4_5,2_5___3_5,2___3,3_5___4_5,0_5___1_5
5_5___6_5,4_5___5_5,2___3,___6_5,1_5___2_5
2_5___3_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
___6_5,3_5___4_5,2___3,___6_5,0_5___1_5
3_5___4_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
5_5___6_5,1_5___2_5,____4,5_5___6_5,0_5___1_5
2_5___3_5,0_5___1_5,0___1,1_5___2_5,0_5___1_5
5_5___6_5,2_5___3_5,____4,5_5___6_5,0_5___1_5
2_5___3_5,0_5___1_5,2___3,2_5___3_5,0_0___0_5
4_5___5_5,1_5___2_5,____4,4_5___5_5,0_5___1_5
5_5___6_5,4_5___5_5,____4,5_5___6_5,0_5___1_5
3_5___4_5,3_5___4_5,0___1,4_5___5_5,0_5___1_5
___6_5,3_5___4_5,____4,4_5___5_5,0_5___1_5
2_5___3_5,1_5___2_5,2___3,2_5___3_5,0_5___1_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_5___1_5
3_5___4_5,1_5___2_5,2___3,3_5___4_5,0_0___0_5
3_5___4_5,2_5___3_5,0___1,2_5___3_5,0_5___1_5
4_5___5_5,0_0___0_5,0___1,5_5___6_5,0_0___0_5
3_5___4_5,0_5___1_5,____4,2_5___3_5,0_0___0_5
5_5___6_5,3_5___4_5,2___3,4_5___5_5,1_5___2_5
2_5___3_5,0_5___1_5,2___3,1_5___2_5,0_0___0_5
3_5___4_5,1_5___2_5,____4,2_5___3_5,0_5___1_5
4_5___5_5,0_5___1_5,0___1,0_5___1_5,0_0___0_5
2_5___3_5,0_0___0_5,2___3,0_0___0_5,0_0___0_5
___6_5,0_0___0_5,2___3,3_5___4_5,0_0___0_5
5_5___6_5,3_5___4_5,2___3,5_5___6_5,0_5___1_5
___6_5,2_5___3_5,____4,4_5___5_5,0_5___1_5
