VENTTUBE,MINVOL,VENTALV,VENTLUNG,PRESS
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,ZERO
LOW,LOW,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,LOW,LOW,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
HIGH,HIGH,HIGH,LOW,LOW
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,LOW,NORMAL,NORMAL,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,ZERO,ZERO,ZERO,HIGH
ZERO,LOW,LOW,ZERO,ZERO
ZERO,ZERO,ZERO,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,LOW,LOW,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
ZERO,ZERO,ZERO,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,LOW
LOW,NORMAL,NORMAL,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,ZERO,ZERO,ZERO,ZERO
ZERO,NORMAL,NORMAL,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,HIGH,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
HIGH,HIGH,LOW,HIGH,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
NORMAL,LOW,LOW,HIGH,HIGH
ZERO,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,ZERO,ZERO,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,LOW,LOW,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
HIGH,ZERO,HIGH,NORMAL,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,LOW,LOW,ZERO,HIGH
HIGH,HIGH,HIGH,LOW,NORMAL
LOW,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,HIGH,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
HIGH,ZERO,HIGH,NORMAL,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,LOW,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,LOW,LOW,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ZERO,LOW,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,LOW,ZERO,HIGH
HIGH,HIGH,HIGH,LOW,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,NORMAL,NORMAL,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,NORMAL,NORMAL,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
HIGH,HIGH,HIGH,LOW,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
ZERO,ZERO,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
NORMAL,LOW,LOW,HIGH,HIGH
ZERO,ZERO,ZERO,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,HIGH,ZERO,ZERO,LOW
LOW,HIGH,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
ZERO,LOW,LOW,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,ZERO,ZERO,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,HIGH,ZERO,ZERO,LOW
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,NORMAL,NORMAL,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,LOW,LOW,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
NORMAL,ZERO,LOW,HIGH,HIGH
LOW,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,NORMAL,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,NORMAL,NORMAL,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,NORMAL,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,LOW,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,LOW,LOW,HIGH,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,LOW,LOW,ZERO,HIGH
LOW,HIGH,HIGH,LOW,ZERO
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,NORMAL,NORMAL,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
ZERO,ZERO,ZERO,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,HIGH,HIGH,LOW,LOW
ZERO,HIGH,HIGH,LOW,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,LOW,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,HIGH,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,HIGH,HIGH,LOW,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
ZERO,LOW,LOW,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,ZERO,ZERO,ZERO,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,LOW,LOW,ZERO,NORMAL
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,LOW,LOW,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
HIGH,LOW,HIGH,NORMAL,HIGH
LOW,HIGH,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,NORMAL,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,ZERO
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
HIGH,HIGH,HIGH,LOW,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
HIGH,HIGH,HIGH,LOW,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,NORMAL,NORMAL,ZERO,LOW
HIGH,HIGH,HIGH,LOW,LOW
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
ZERO,NORMAL,NORMAL,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,NORMAL,NORMAL,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,HIGH,HIGH,LOW,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,LOW,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,LOW,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,NORMAL,NORMAL,ZERO,HIGH
LOW,HIGH,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,LOW,LOW,ZERO,ZERO
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,LOW,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,LOW,LOW,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
HIGH,HIGH,HIGH,LOW,LOW
HIGH,HIGH,HIGH,LOW,LOW
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,LOW,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
HIGH,HIGH,HIGH,LOW,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,NORMAL,NORMAL,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,NORMAL,NORMAL,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,LOW,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,LOW
LOW,NORMAL,NORMAL,ZERO,HIGH
ZERO,ZERO,LOW,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
HIGH,HIGH,HIGH,LOW,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
NORMAL,LOW,LOW,HIGH,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,NORMAL,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,NORMAL,NORMAL,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,HIGH,ZERO,ZERO,NORMAL
LOW,ZERO,NORMAL,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
ZERO,HIGH,HIGH,LOW,HIGH
LOW,ZERO,ZERO,ZERO,HIGH
ZERO,HIGH,HIGH,LOW,HIGH
LOW,NORMAL,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,NORMAL
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,LOW
LOW,ZERO,ZERO,ZERO,HIGH
