RUQO2,HypoxiaInO2,LowerBodyO2,DuctFlow,CardiacMixing
12+,Moderate,5-12,,Mild
<5,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,<5,Lt_to_Rt,Complete
12+,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,12+,Lt_to_Rt,Complete
5-12,Severe,5-12,Lt_to_Rt,
<5,Moderate,<5,Lt_to_Rt,Mild
5-12,Moderate,5-12,,Transp.
5-12,Severe,<5,,Transp.
5-12,Severe,<5,Rt_to_Lt,Complete
5-12,Moderate,<5,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,,Mild
5-12,Moderate,5-12,,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
12+,Moderate,12+,Lt_to_Rt,Complete
<5,Severe,<5,,Transp.
5-12,Moderate,<5,,Transp.
5-12,Moderate,5-12,,Mild
5-12,Mild,5-12,,
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Mild
<5,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
12+,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,,Complete
<5,Moderate,5-12,,Transp.
12+,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,<5,Lt_to_Rt,Complete
12+,Mild,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
12+,Severe,5-12,,Transp.
5-12,Severe,5-12,,Transp.
<5,Severe,5-12,Rt_to_Lt,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Mild
5-12,Moderate,<5,,Transp.
5-12,Severe,5-12,,Transp.
12+,Severe,5-12,,Complete
5-12,Moderate,12+,,Complete
5-12,Severe,<5,,Transp.
5-12,Moderate,12+,,Transp.
<5,Severe,<5,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,<5,Lt_to_Rt,Complete
5-12,Moderate,<5,,Transp.
5-12,Severe,<5,Lt_to_Rt,Complete
12+,Moderate,5-12,,Mild
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,Rt_to_Lt,
<5,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,,Transp.
<5,Moderate,5-12,Rt_to_Lt,Complete
<5,Severe,<5,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Mild,12+,Lt_to_Rt,Complete
5-12,Moderate,<5,,Complete
12+,Mild,12+,,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
12+,Mild,12+,,
5-12,Severe,12+,Rt_to_Lt,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,<5,Lt_to_Rt,Complete
12+,Moderate,5-12,,Complete
12+,Mild,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Mild
5-12,Severe,<5,,Complete
12+,Moderate,<5,,Transp.
5-12,Mild,5-12,,
12+,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
5-12,Severe,<5,,Transp.
<5,Severe,12+,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Mild
5-12,Mild,5-12,Lt_to_Rt,Complete
<5,Severe,<5,,Transp.
5-12,Moderate,<5,Rt_to_Lt,Transp.
5-12,Severe,5-12,,Transp.
5-12,Severe,5-12,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,5-12,,Complete
5-12,Moderate,5-12,,Transp.
<5,Severe,<5,Rt_to_Lt,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
12+,Moderate,5-12,,Complete
<5,Severe,12+,,Transp.
12+,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Mild,12+,Lt_to_Rt,
<5,Severe,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,Rt_to_Lt,Transp.
<5,Severe,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,,Transp.
5-12,Moderate,5-12,Rt_to_Lt,Complete
5-12,Moderate,<5,Rt_to_Lt,Transp.
5-12,Severe,5-12,,Transp.
5-12,Moderate,<5,,Transp.
12+,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,12+,Lt_to_Rt,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Rt_to_Lt,Mild
12+,Mild,12+,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,12+,Lt_to_Rt,Complete
12+,Severe,5-12,Rt_to_Lt,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Mild,5-12,Rt_to_Lt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,<5,Lt_to_Rt,Complete
<5,Severe,<5,Lt_to_Rt,Complete
<5,Severe,5-12,,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,<5,,Complete
<5,Moderate,<5,,Complete
5-12,Severe,<5,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Complete
5-12,Severe,<5,,Complete
<5,Severe,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Mild
<5,Severe,<5,,Complete
5-12,Severe,<5,,Transp.
12+,Mild,12+,Lt_to_Rt,Complete
5-12,Severe,5-12,,Transp.
12+,Mild,12+,Lt_to_Rt,Complete
12+,Mild,5-12,,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,Lt_to_Rt,Transp.
12+,Moderate,<5,,Transp.
<5,Severe,5-12,,Transp.
<5,Moderate,5-12,Lt_to_Rt,
<5,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,5-12,Rt_to_Lt,Transp.
<5,Severe,<5,,Transp.
5-12,Moderate,12+,,Complete
<5,Severe,5-12,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Mild
5-12,Severe,<5,Rt_to_Lt,Mild
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,12+,Rt_to_Lt,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
12+,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,,Mild
5-12,Mild,12+,Lt_to_Rt,Complete
5-12,Severe,<5,Lt_to_Rt,Complete
<5,Severe,5-12,Lt_to_Rt,Transp.
5-12,Mild,12+,Lt_to_Rt,Complete
5-12,Moderate,<5,Rt_to_Lt,
12+,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,Lt_to_Rt,Complete
12+,Mild,12+,,
<5,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,Rt_to_Lt,Transp.
<5,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,Rt_to_Lt,Complete
5-12,Mild,<5,Rt_to_Lt,
<5,Severe,<5,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Mild
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,,Transp.
<5,Severe,12+,,Complete
5-12,Severe,12+,,Transp.
5-12,Severe,<5,,Transp.
<5,Moderate,<5,,Transp.
5-12,Moderate,5-12,Rt_to_Lt,Mild
5-12,Moderate,<5,,Mild
<5,Severe,<5,,Transp.
<5,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,5-12,Rt_to_Lt,Transp.
<5,Severe,5-12,,Transp.
5-12,Severe,<5,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Mild
<5,Severe,<5,,Transp.
<5,Moderate,12+,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Transp.
12+,Moderate,<5,,Complete
<5,Severe,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Rt_to_Lt,Mild
12+,Moderate,<5,,Complete
5-12,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Rt_to_Lt,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Mild
<5,Severe,<5,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,,Complete
<5,Severe,5-12,Rt_to_Lt,Transp.
12+,Mild,5-12,Rt_to_Lt,
12+,Mild,<5,Rt_to_Lt,Mild
5-12,Moderate,5-12,,Complete
<5,Moderate,<5,Lt_to_Rt,Mild
<5,Severe,<5,,Transp.
<5,Severe,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Mild
<5,Moderate,5-12,,Transp.
5-12,Severe,5-12,Lt_to_Rt,Transp.
<5,Severe,5-12,,Complete
5-12,Moderate,5-12,Lt_to_Rt,Mild
12+,Moderate,12+,Rt_to_Lt,Mild
5-12,Severe,5-12,Rt_to_Lt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Mild
12+,Severe,5-12,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,5-12,,Transp.
<5,Severe,<5,,Transp.
<5,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,<5,Lt_to_Rt,Transp.
5-12,Moderate,5-12,,Complete
12+,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,12+,,Transp.
<5,Severe,5-12,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,5-12,,Transp.
12+,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,,Mild
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,12+,,Transp.
12+,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Complete
5-12,Moderate,<5,,Transp.
<5,Moderate,<5,,Transp.
<5,Moderate,5-12,,Mild
12+,Severe,5-12,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
<5,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
12+,Moderate,5-12,Rt_to_Lt,Mild
12+,Mild,12+,,Complete
5-12,Mild,12+,Lt_to_Rt,Mild
<5,Severe,<5,,Transp.
<5,Moderate,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,<5,,Transp.
5-12,Severe,<5,,Transp.
5-12,Moderate,5-12,Rt_to_Lt,Complete
12+,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,<5,Rt_to_Lt,Transp.
5-12,Severe,<5,,Transp.
<5,Severe,5-12,Rt_to_Lt,Transp.
12+,Moderate,5-12,Lt_to_Rt,Complete
12+,Severe,<5,Rt_to_Lt,Transp.
5-12,Severe,<5,,Transp.
5-12,Severe,5-12,,Transp.
<5,Severe,<5,Rt_to_Lt,
12+,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Mild
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,Lt_to_Rt,Mild
5-12,Moderate,12+,Lt_to_Rt,Complete
<5,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,<5,,Complete
5-12,Moderate,<5,,Complete
5-12,Moderate,5-12,,Complete
<5,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,12+,,Transp.
5-12,Moderate,12+,,Complete
5-12,Moderate,5-12,,Mild
5-12,Mild,12+,,Mild
5-12,Moderate,5-12,Lt_to_Rt,
5-12,Severe,5-12,Lt_to_Rt,Transp.
<5,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Mild,<5,Rt_to_Lt,
5-12,Severe,<5,,Complete
5-12,Mild,12+,,
12+,Mild,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,Lt_to_Rt,Complete
5-12,Moderate,<5,,Complete
<5,Moderate,<5,Lt_to_Rt,Mild
5-12,Severe,5-12,Lt_to_Rt,Complete
<5,Moderate,<5,Lt_to_Rt,Complete
12+,Moderate,5-12,Rt_to_Lt,Transp.
<5,Mild,5-12,Rt_to_Lt,
<5,Moderate,5-12,,Mild
5-12,Moderate,5-12,,Mild
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Mild
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,5-12,,Transp.
5-12,Moderate,<5,Rt_to_Lt,Transp.
5-12,Severe,5-12,Lt_to_Rt,
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
12+,Mild,5-12,,Complete
5-12,Severe,5-12,,Transp.
<5,Severe,12+,Rt_to_Lt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Complete
5-12,Moderate,5-12,,Complete
12+,Mild,12+,Lt_to_Rt,Complete
<5,Severe,5-12,,Transp.
5-12,Moderate,5-12,Rt_to_Lt,
12+,Mild,12+,,Transp.
5-12,Severe,5-12,Lt_to_Rt,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,Lt_to_Rt,Complete
<5,Severe,12+,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
12+,Mild,5-12,Rt_to_Lt,
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,12+,Lt_to_Rt,Complete
12+,Mild,5-12,Rt_to_Lt,
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,<5,,Complete
12+,Severe,<5,,Transp.
<5,Severe,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Mild
<5,Severe,<5,Rt_to_Lt,Transp.
5-12,Moderate,5-12,Rt_to_Lt,Mild
5-12,Severe,5-12,,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,12+,Lt_to_Rt,Complete
<5,Moderate,5-12,,Transp.
<5,Severe,5-12,Lt_to_Rt,Transp.
12+,Moderate,12+,Lt_to_Rt,Mild
<5,Moderate,<5,Rt_to_Lt,
5-12,Moderate,<5,Lt_to_Rt,Mild
<5,Severe,<5,Lt_to_Rt,Transp.
5-12,Moderate,<5,,Complete
5-12,Severe,5-12,,Transp.
<5,Severe,<5,Rt_to_Lt,Transp.
<5,Moderate,5-12,,Mild
5-12,Severe,<5,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,<5,Rt_to_Lt,Transp.
5-12,Severe,<5,Lt_to_Rt,Transp.
5-12,Moderate,5-12,,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
<5,Severe,5-12,,Transp.
5-12,Severe,<5,,Transp.
<5,Moderate,<5,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Transp.
<5,Severe,12+,Lt_to_Rt,Transp.
<5,Severe,<5,,Transp.
5-12,Moderate,5-12,,Complete
5-12,Moderate,12+,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Mild,5-12,Lt_to_Rt,
<5,Moderate,5-12,,Complete
5-12,Moderate,5-12,,Transp.
5-12,Moderate,<5,,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,5-12,,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Mild,12+,,
<5,Severe,<5,,Transp.
5-12,Severe,12+,,Transp.
5-12,Severe,<5,Lt_to_Rt,Complete
<5,Severe,12+,Lt_to_Rt,Complete
<5,Moderate,12+,,Mild
<5,Moderate,<5,Lt_to_Rt,Mild
5-12,Moderate,5-12,,Transp.
5-12,Moderate,5-12,,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Mild
<5,Moderate,5-12,,Mild
5-12,Moderate,12+,Lt_to_Rt,Complete
5-12,Moderate,12+,Lt_to_Rt,Complete
<5,Severe,5-12,,Mild
12+,Moderate,<5,,Mild
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
12+,Moderate,5-12,Lt_to_Rt,Complete
12+,Mild,<5,Rt_to_Lt,
<5,Severe,<5,Lt_to_Rt,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Mild
<5,Severe,<5,Lt_to_Rt,Complete
5-12,Moderate,<5,Rt_to_Lt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Mild
5-12,Moderate,<5,Rt_to_Lt,Complete
5-12,Moderate,5-12,,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,12+,Rt_to_Lt,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,5-12,Rt_to_Lt,
5-12,Moderate,5-12,,Mild
12+,Mild,5-12,,Transp.
<5,Moderate,12+,Lt_to_Rt,Complete
5-12,Severe,<5,Lt_to_Rt,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
12+,Moderate,5-12,,Transp.
12+,Moderate,12+,Lt_to_Rt,Complete
12+,Mild,12+,,
<5,Severe,<5,,Complete
12+,Severe,<5,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,<5,,Transp.
5-12,Moderate,12+,Lt_to_Rt,Complete
5-12,Mild,12+,,Complete
5-12,Moderate,12+,,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,<5,Lt_to_Rt,Mild
<5,Severe,12+,Lt_to_Rt,Complete
12+,Severe,12+,,Transp.
<5,Severe,5-12,Lt_to_Rt,Transp.
<5,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,,Transp.
12+,Mild,12+,,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
12+,Mild,12+,Rt_to_Lt,Mild
5-12,Moderate,5-12,,Complete
<5,Severe,5-12,Lt_to_Rt,Transp.
<5,Severe,5-12,,Transp.
12+,Mild,<5,Rt_to_Lt,
5-12,Mild,5-12,Rt_to_Lt,
5-12,Moderate,5-12,Lt_to_Rt,Mild
5-12,Severe,5-12,,Transp.
<5,Moderate,12+,Lt_to_Rt,Complete
5-12,Severe,<5,Lt_to_Rt,Complete
<5,Severe,12+,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,5-12,,Complete
12+,Mild,5-12,,Complete
5-12,Moderate,12+,Lt_to_Rt,Complete
<5,Severe,12+,,Transp.
12+,Severe,5-12,,Transp.
<5,Severe,5-12,,Transp.
<5,Mild,12+,Lt_to_Rt,Complete
<5,Severe,5-12,,Transp.
5-12,Severe,<5,,Transp.
<5,Severe,5-12,,Transp.
5-12,Mild,12+,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
12+,Mild,12+,Lt_to_Rt,Complete
<5,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,,Complete
5-12,Moderate,12+,Rt_to_Lt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,5-12,,Transp.
<5,Severe,<5,,Transp.
12+,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,Lt_to_Rt,Complete
<5,Moderate,<5,Rt_to_Lt,Complete
12+,Mild,5-12,Rt_to_Lt,
5-12,Mild,<5,Rt_to_Lt,
<5,Severe,12+,,Transp.
<5,Severe,<5,,Transp.
5-12,Severe,12+,,Transp.
5-12,Severe,5-12,,Transp.
5-12,Moderate,5-12,,Mild
5-12,Moderate,5-12,Lt_to_Rt,Mild
5-12,Moderate,<5,,Complete
<5,Moderate,5-12,Rt_to_Lt,Complete
5-12,Mild,12+,Lt_to_Rt,Complete
5-12,Moderate,<5,Rt_to_Lt,Mild
12+,Mild,12+,Lt_to_Rt,Complete
<5,Severe,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Transp.
<5,Severe,<5,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,<5,,Complete
5-12,Severe,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,<5,,Transp.
5-12,Moderate,5-12,,Mild
5-12,Moderate,<5,Rt_to_Lt,Mild
5-12,Moderate,<5,,Mild
12+,Severe,<5,,Transp.
12+,Mild,5-12,,
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
12+,Mild,12+,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Mild,5-12,Lt_to_Rt,Complete
<5,Moderate,<5,Rt_to_Lt,Mild
5-12,Moderate,<5,Lt_to_Rt,Transp.
5-12,Severe,<5,,Transp.
12+,Severe,5-12,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
12+,Moderate,5-12,,Complete
12+,Moderate,5-12,Lt_to_Rt,Complete
12+,Severe,<5,,Complete
<5,Severe,5-12,,Transp.
<5,Severe,12+,Lt_to_Rt,Complete
<5,Severe,5-12,Rt_to_Lt,Complete
5-12,Severe,5-12,,Transp.
12+,Severe,5-12,,Transp.
<5,Severe,<5,,Transp.
12+,Moderate,<5,Lt_to_Rt,Mild
<5,Severe,<5,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
12+,Mild,12+,Rt_to_Lt,
12+,Mild,<5,,Transp.
<5,Severe,<5,,Transp.
5-12,Mild,12+,,Mild
5-12,Severe,5-12,Lt_to_Rt,Complete
12+,Mild,12+,Lt_to_Rt,Complete
12+,Severe,12+,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
5-12,Moderate,5-12,,Mild
<5,Moderate,<5,,Transp.
5-12,Mild,5-12,Rt_to_Lt,
<5,Severe,<5,,Complete
5-12,Severe,5-12,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Mild
<5,Severe,<5,,Complete
12+,Mild,<5,Rt_to_Lt,Mild
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Rt_to_Lt,Mild
<5,Moderate,5-12,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Mild
<5,Severe,5-12,,Transp.
5-12,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,<5,,Transp.
5-12,Moderate,12+,,Complete
5-12,Severe,<5,,Transp.
5-12,Moderate,12+,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Mild
<5,Severe,12+,Lt_to_Rt,Mild
<5,Moderate,5-12,Lt_to_Rt,Complete
12+,Mild,<5,,Transp.
<5,Severe,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Mild,<5,,Complete
<5,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,12+,Lt_to_Rt,Complete
12+,Severe,5-12,,Transp.
<5,Severe,5-12,Rt_to_Lt,Transp.
<5,Severe,<5,,
5-12,Moderate,5-12,Lt_to_Rt,Complete
12+,Moderate,<5,Rt_to_Lt,Mild
5-12,Moderate,<5,Rt_to_Lt,Mild
5-12,Severe,<5,,Transp.
5-12,Moderate,5-12,,Transp.
12+,Mild,5-12,Rt_to_Lt,
<5,Severe,12+,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,<5,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Severe,5-12,,Transp.
5-12,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,,Mild
<5,Moderate,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Rt_to_Lt,Complete
5-12,Moderate,5-12,,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
12+,Moderate,5-12,Rt_to_Lt,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,<5,,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
<5,Severe,<5,,Transp.
<5,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,<5,Rt_to_Lt,Complete
12+,Severe,5-12,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Complete
12+,Moderate,5-12,Lt_to_Rt,Complete
<5,Moderate,<5,,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Moderate,5-12,Lt_to_Rt,Complete
<5,Severe,5-12,Lt_to_Rt,Complete
5-12,Moderate,5-12,Rt_to_Lt,Complete
5-12,Mild,5-12,Rt_to_Lt,
<5,Severe,<5,Lt_to_Rt,Complete
<5,Severe,5-12,,Complete
5-12,Severe,<5,Rt_to_Lt,Complete
5-12,Severe,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,Lt_to_Rt,Mild
5-12,Severe,5-12,,Transp.
5-12,Moderate,5-12,,Transp.
<5,Severe,<5,Lt_to_Rt,Transp.
5-12,Moderate,5-12,,Transp.
5-12,Severe,<5,,Transp.
<5,Moderate,5-12,Lt_to_Rt,Mild
<5,Moderate,<5,,Transp.
5-12,Severe,5-12,,Transp.
5-12,Moderate,<5,Lt_to_Rt,Complete
5-12,Severe,5-12,,Transp.
12+,Moderate,<5,Lt_to_Rt,Complete
