temp_1,lai_0,lai_1
15_0___16_9_C,3_5___4_5,3_5___4_5
____17_0_C,4_5___5_5,1_5___2_5
15_0___16_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,0_5___1_5
13_0___14_9_C,5_5___6_5,2_5___3_5
____17_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
____17_0_C,5_5___6_5,1_5___2_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,3_5___4_5
15_0___16_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,3_5___4_5,4_5___5_5
13_0___14_9_C,3_5___4_5,1_5___2_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,3_5___4_5
___13_0_C,2_5___3_5,0_0___0_5
___13_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,2_5___3_5,2_5___3_5
___13_0_C,4_5___5_5,3_5___4_5
15_0___16_9_C,5_5___6_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
___13_0_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,1_5___2_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,2_5___3_5,2_5___3_5
15_0___16_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,4_5___5_5,1_5___2_5
15_0___16_9_C,3_5___4_5,4_5___5_5
___13_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,4_5___5_5
____17_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,___6_5
____17_0_C,2_5___3_5,1_5___2_5
13_0___14_9_C,___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,2_5___3_5,1_5___2_5
13_0___14_9_C,5_5___6_5,___6_5
13_0___14_9_C,2_5___3_5,2_5___3_5
____17_0_C,5_5___6_5,0_5___1_5
13_0___14_9_C,2_5___3_5,2_5___3_5
15_0___16_9_C,5_5___6_5,5_5___6_5
____17_0_C,2_5___3_5,2_5___3_5
13_0___14_9_C,5_5___6_5,0_5___1_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,4_5___5_5,0_5___1_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,4_5___5_5
15_0___16_9_C,5_5___6_5,0_0___0_5
13_0___14_9_C,5_5___6_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,0_5___1_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,4_5___5_5,4_5___5_5
___13_0_C,5_5___6_5,5_5___6_5
____17_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,4_5___5_5,3_5___4_5
15_0___16_9_C,5_5___6_5,___6_5
15_0___16_9_C,5_5___6_5,1_5___2_5
15_0___16_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,0_5___1_5
13_0___14_9_C,3_5___4_5,2_5___3_5
____17_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
____17_0_C,5_5___6_5,3_5___4_5
15_0___16_9_C,4_5___5_5,1_5___2_5
13_0___14_9_C,4_5___5_5,4_5___5_5
___13_0_C,5_5___6_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,4_5___5_5,5_5___6_5
___13_0_C,3_5___4_5,0_0___0_5
15_0___16_9_C,3_5___4_5,3_5___4_5
____17_0_C,2_5___3_5,2_5___3_5
___13_0_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,3_5___4_5
13_0___14_9_C,5_5___6_5,___6_5
13_0___14_9_C,___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
___13_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
____17_0_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,3_5___4_5
15_0___16_9_C,5_5___6_5,3_5___4_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
___13_0_C,3_5___4_5,2_5___3_5
____17_0_C,4_5___5_5,0_5___1_5
13_0___14_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
___13_0_C,5_5___6_5,5_5___6_5
15_0___16_9_C,___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,0_0___0_5
13_0___14_9_C,4_5___5_5,3_5___4_5
15_0___16_9_C,4_5___5_5,4_5___5_5
15_0___16_9_C,5_5___6_5,0_5___1_5
___13_0_C,3_5___4_5,3_5___4_5
____17_0_C,2_5___3_5,2_5___3_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,4_5___5_5,4_5___5_5
___13_0_C,5_5___6_5,___6_5
____17_0_C,5_5___6_5,5_5___6_5
15_0___16_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,4_5___5_5,4_5___5_5
____17_0_C,4_5___5_5,4_5___5_5
____17_0_C,4_5___5_5,2_5___3_5
___13_0_C,3_5___4_5,3_5___4_5
____17_0_C,2_5___3_5,2_5___3_5
___13_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,2_5___3_5,1_5___2_5
13_0___14_9_C,5_5___6_5,___6_5
___13_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,5_5___6_5
___13_0_C,___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,3_5___4_5
____17_0_C,5_5___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,___6_5,___6_5
____17_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,5_5___6_5
___13_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,0_5___1_5
___13_0_C,5_5___6_5,5_5___6_5
15_0___16_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,5_5___6_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,3_5___4_5
___13_0_C,5_5___6_5,0_0___0_5
15_0___16_9_C,4_5___5_5,3_5___4_5
15_0___16_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,3_5___4_5,2_5___3_5
____17_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,___6_5,___6_5
___13_0_C,2_5___3_5,0_5___1_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,2_5___3_5,1_5___2_5
____17_0_C,4_5___5_5,4_5___5_5
13_0___14_9_C,___6_5,___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
____17_0_C,4_5___5_5,4_5___5_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,4_5___5_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,5_5___6_5,___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,___6_5,___6_5
13_0___14_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,5_5___6_5,4_5___5_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,___6_5
____17_0_C,3_5___4_5,2_5___3_5
15_0___16_9_C,4_5___5_5,5_5___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,0_0___0_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
____17_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,2_5___3_5
15_0___16_9_C,5_5___6_5,5_5___6_5
____17_0_C,___6_5,4_5___5_5
15_0___16_9_C,5_5___6_5,___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
____17_0_C,3_5___4_5,0_0___0_5
15_0___16_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,1_5___2_5
15_0___16_9_C,___6_5,3_5___4_5
13_0___14_9_C,3_5___4_5,4_5___5_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,2_5___3_5
15_0___16_9_C,3_5___4_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
____17_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,0_0___0_5
15_0___16_9_C,5_5___6_5,4_5___5_5
15_0___16_9_C,3_5___4_5,1_5___2_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,___6_5,___6_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
___13_0_C,5_5___6_5,4_5___5_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
___13_0_C,5_5___6_5,1_5___2_5
___13_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,3_5___4_5,2_5___3_5
____17_0_C,3_5___4_5,2_5___3_5
15_0___16_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,2_5___3_5,0_5___1_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,2_5___3_5
____17_0_C,5_5___6_5,5_5___6_5
____17_0_C,5_5___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,0_0___0_5
13_0___14_9_C,4_5___5_5,0_0___0_5
13_0___14_9_C,3_5___4_5,1_5___2_5
____17_0_C,5_5___6_5,5_5___6_5
___13_0_C,4_5___5_5,4_5___5_5
15_0___16_9_C,5_5___6_5,4_5___5_5
___13_0_C,4_5___5_5,3_5___4_5
13_0___14_9_C,3_5___4_5,3_5___4_5
___13_0_C,4_5___5_5,5_5___6_5
13_0___14_9_C,2_5___3_5,2_5___3_5
____17_0_C,3_5___4_5,3_5___4_5
15_0___16_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,1_5___2_5
___13_0_C,5_5___6_5,5_5___6_5
____17_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,___6_5,2_5___3_5
____17_0_C,4_5___5_5,3_5___4_5
15_0___16_9_C,4_5___5_5,4_5___5_5
___13_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,4_5___5_5
13_0___14_9_C,2_5___3_5,2_5___3_5
____17_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,___6_5,___6_5
___13_0_C,5_5___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
____17_0_C,5_5___6_5,5_5___6_5
15_0___16_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,___6_5,0_5___1_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,___6_5,2_5___3_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,4_5___5_5,0_0___0_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,0_5___1_5
15_0___16_9_C,5_5___6_5,0_0___0_5
13_0___14_9_C,___6_5,5_5___6_5
____17_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,2_5___3_5,1_5___2_5
____17_0_C,4_5___5_5,4_5___5_5
____17_0_C,4_5___5_5,5_5___6_5
____17_0_C,3_5___4_5,1_5___2_5
15_0___16_9_C,4_5___5_5,5_5___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
___13_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
____17_0_C,4_5___5_5,4_5___5_5
____17_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,___6_5
13_0___14_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,5_5___6_5,4_5___5_5
___13_0_C,5_5___6_5,3_5___4_5
13_0___14_9_C,4_5___5_5,2_5___3_5
15_0___16_9_C,___6_5,5_5___6_5
___13_0_C,3_5___4_5,3_5___4_5
____17_0_C,3_5___4_5,2_5___3_5
15_0___16_9_C,5_5___6_5,___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,0_0___0_5
___13_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,3_5___4_5
___13_0_C,3_5___4_5,4_5___5_5
____17_0_C,4_5___5_5,4_5___5_5
13_0___14_9_C,5_5___6_5,___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
15_0___16_9_C,___6_5,5_5___6_5
___13_0_C,3_5___4_5,0_0___0_5
15_0___16_9_C,___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,___6_5,3_5___4_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,___6_5,___6_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
___13_0_C,5_5___6_5,4_5___5_5
___13_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,3_5___4_5,4_5___5_5
____17_0_C,3_5___4_5,0_5___1_5
15_0___16_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,2_5___3_5,1_5___2_5
13_0___14_9_C,___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,0_5___1_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,___6_5,___6_5
15_0___16_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,4_5___5_5,2_5___3_5
13_0___14_9_C,___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,___6_5
13_0___14_9_C,5_5___6_5,0_0___0_5
13_0___14_9_C,3_5___4_5,3_5___4_5
___13_0_C,___6_5,___6_5
15_0___16_9_C,4_5___5_5,5_5___6_5
15_0___16_9_C,3_5___4_5,0_5___1_5
15_0___16_9_C,___6_5,5_5___6_5
15_0___16_9_C,5_5___6_5,___6_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,1_5___2_5
___13_0_C,2_5___3_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
____17_0_C,___6_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,1_5___2_5
____17_0_C,3_5___4_5,2_5___3_5
___13_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,0_0___0_5
15_0___16_9_C,2_5___3_5,3_5___4_5
13_0___14_9_C,5_5___6_5,3_5___4_5
____17_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,2_5___3_5
13_0___14_9_C,5_5___6_5,3_5___4_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,2_5___3_5
____17_0_C,5_5___6_5,___6_5
15_0___16_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,0_5___1_5
13_0___14_9_C,2_5___3_5,1_5___2_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,2_5___3_5,2_5___3_5
15_0___16_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
____17_0_C,4_5___5_5,0_5___1_5
13_0___14_9_C,3_5___4_5,0_5___1_5
13_0___14_9_C,5_5___6_5,3_5___4_5
13_0___14_9_C,4_5___5_5,2_5___3_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,4_5___5_5,0_5___1_5
13_0___14_9_C,5_5___6_5,4_5___5_5
___13_0_C,4_5___5_5,3_5___4_5
13_0___14_9_C,5_5___6_5,3_5___4_5
13_0___14_9_C,4_5___5_5,3_5___4_5
____17_0_C,___6_5,___6_5
13_0___14_9_C,3_5___4_5,1_5___2_5
13_0___14_9_C,5_5___6_5,5_5___6_5
15_0___16_9_C,___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,5_5___6_5
___13_0_C,___6_5,4_5___5_5
15_0___16_9_C,___6_5,5_5___6_5
___13_0_C,5_5___6_5,2_5___3_5
____17_0_C,2_5___3_5,1_5___2_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
15_0___16_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,2_5___3_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,4_5___5_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
____17_0_C,3_5___4_5,2_5___3_5
____17_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,4_5___5_5,1_5___2_5
13_0___14_9_C,3_5___4_5,4_5___5_5
___13_0_C,2_5___3_5,1_5___2_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,0_5___1_5
____17_0_C,4_5___5_5,0_0___0_5
13_0___14_9_C,___6_5,5_5___6_5
___13_0_C,2_5___3_5,2_5___3_5
___13_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,2_5___3_5,1_5___2_5
13_0___14_9_C,___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,0_5___1_5
13_0___14_9_C,___6_5,___6_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,2_5___3_5,2_5___3_5
13_0___14_9_C,4_5___5_5,3_5___4_5
____17_0_C,4_5___5_5,4_5___5_5
___13_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,2_5___3_5,0_0___0_5
13_0___14_9_C,5_5___6_5,4_5___5_5
___13_0_C,3_5___4_5,0_5___1_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,2_5___3_5,3_5___4_5
13_0___14_9_C,2_5___3_5,1_5___2_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,4_5___5_5
15_0___16_9_C,5_5___6_5,___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,___6_5,___6_5
13_0___14_9_C,3_5___4_5,0_5___1_5
___13_0_C,4_5___5_5,5_5___6_5
13_0___14_9_C,___6_5,___6_5
13_0___14_9_C,4_5___5_5,1_5___2_5
13_0___14_9_C,4_5___5_5,3_5___4_5
___13_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,___6_5
___13_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,1_5___2_5
____17_0_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,0_5___1_5
___13_0_C,5_5___6_5,5_5___6_5
____17_0_C,2_5___3_5,2_5___3_5
___13_0_C,3_5___4_5,3_5___4_5
____17_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,2_5___3_5
13_0___14_9_C,3_5___4_5,3_5___4_5
___13_0_C,___6_5,5_5___6_5
___13_0_C,2_5___3_5,0_5___1_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,___6_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,4_5___5_5,1_5___2_5
13_0___14_9_C,2_5___3_5,2_5___3_5
___13_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,4_5___5_5,4_5___5_5
15_0___16_9_C,5_5___6_5,4_5___5_5
___13_0_C,4_5___5_5,4_5___5_5
13_0___14_9_C,2_5___3_5,1_5___2_5
13_0___14_9_C,4_5___5_5,4_5___5_5
____17_0_C,5_5___6_5,4_5___5_5
15_0___16_9_C,___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,3_5___4_5
____17_0_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,4_5___5_5,1_5___2_5
13_0___14_9_C,5_5___6_5,4_5___5_5
15_0___16_9_C,3_5___4_5,0_5___1_5
15_0___16_9_C,___6_5,___6_5
13_0___14_9_C,3_5___4_5,2_5___3_5
___13_0_C,5_5___6_5,2_5___3_5
13_0___14_9_C,5_5___6_5,4_5___5_5
15_0___16_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,3_5___4_5
15_0___16_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,2_5___3_5
15_0___16_9_C,3_5___4_5,0_5___1_5
15_0___16_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,3_5___4_5,2_5___3_5
15_0___16_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,4_5___5_5,5_5___6_5
___13_0_C,4_5___5_5,0_5___1_5
___13_0_C,5_5___6_5,5_5___6_5
____17_0_C,4_5___5_5,4_5___5_5
13_0___14_9_C,4_5___5_5,3_5___4_5
13_0___14_9_C,3_5___4_5,3_5___4_5
___13_0_C,4_5___5_5,1_5___2_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,4_5___5_5
___13_0_C,3_5___4_5,3_5___4_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
____17_0_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,2_5___3_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,4_5___5_5
____17_0_C,3_5___4_5,2_5___3_5
13_0___14_9_C,3_5___4_5,4_5___5_5
____17_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,1_5___2_5
___13_0_C,3_5___4_5,3_5___4_5
____17_0_C,5_5___6_5,3_5___4_5
13_0___14_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,___6_5
15_0___16_9_C,4_5___5_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,3_5___4_5
___13_0_C,5_5___6_5,3_5___4_5
____17_0_C,___6_5,___6_5
13_0___14_9_C,5_5___6_5,___6_5
15_0___16_9_C,3_5___4_5,4_5___5_5
13_0___14_9_C,4_5___5_5,5_5___6_5
13_0___14_9_C,5_5___6_5,___6_5
____17_0_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,1_5___2_5
13_0___14_9_C,3_5___4_5,3_5___4_5
13_0___14_9_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,___6_5
15_0___16_9_C,5_5___6_5,0_5___1_5
15_0___16_9_C,___6_5,___6_5
___13_0_C,5_5___6_5,4_5___5_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,5_5___6_5,5_5___6_5
13_0___14_9_C,3_5___4_5,4_5___5_5
13_0___14_9_C,4_5___5_5,4_5___5_5
