B,D,E,F,G,H,I,J,N,O
Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
State-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Preschool,1,Never-married,Farming-fishing,Not-in-family,White,Male,Mexico,<=50K
Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
noValueSetHere123156456,HS-grad,9,Divorced,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,Assoc-voc,11,Divorced,Machine-op-inspct,Unmarried,White,Male,United-States,<=50K
Private,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,Preschool,1,Married-civ-spouse,noValueSetHere123156456,Wife,White,Female,Mexico,<=50K
Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Own-child,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Male,United-States,<=50K
State-gov,10th,6,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
noValueSetHere123156456,Preschool,1,Married-spouse-absent,noValueSetHere123156456,Other-relative,White,Male,Mexico,<=50K
Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
noValueSetHere123156456,12th,8,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
Private,Some-college,10,Divorced,Handlers-cleaners,Unmarried,Black,Male,Nicaragua,<=50K
noValueSetHere123156456,Some-college,10,Divorced,noValueSetHere123156456,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
Federal-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Male,United-States,<=50K
Private,11th,7,Divorced,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,12th,8,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,Peru,<=50K
Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,7th-8th,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,China,<=50K
Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Assoc-voc,11,Never-married,Handlers-cleaners,Not-in-family,Black,Male,United-States,<=50K
Private,HS-grad,9,Separated,Other-service,Unmarried,Black,Male,United-States,<=50K
Self-emp-not-inc,Bachelors,13,Separated,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,Mexico,>50K
Private,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,United-States,<=50K
Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,Other,Male,India,>50K
Self-emp-not-inc,Bachelors,13,Never-married,Sales,Unmarried,White,Male,United-States,>50K
Private,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,11th,7,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Local-gov,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
State-gov,Assoc-acdm,12,Never-married,Adm-clerical,Own-child,Black,Female,United-States,<=50K
noValueSetHere123156456,11th,7,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,Assoc-voc,11,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Divorced,Sales,Not-in-family,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Separated,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Female,United-States,<=50K
Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,noValueSetHere123156456,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Own-child,White,Female,United-States,<=50K
noValueSetHere123156456,Assoc-acdm,12,Never-married,noValueSetHere123156456,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,10th,6,Never-married,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,United-States,<=50K
Private,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Japan,>50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Other-service,Unmarried,Amer-Indian-Eskimo,Female,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,noValueSetHere123156456,>50K
Private,Assoc-acdm,12,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Private,7th-8th,4,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,Scotland,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Local-gov,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,>50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
State-gov,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Farming-fishing,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,>50K
Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,12th,8,Never-married,Other-service,Not-in-family,Other,Male,United-States,<=50K
Private,7th-8th,4,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,12th,8,Married-civ-spouse,Other-service,Wife,White,Female,United-States,<=50K
Private,Assoc-acdm,12,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Separated,Machine-op-inspct,Other-relative,White,Male,United-States,<=50K
Private,Assoc-voc,11,Widowed,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,Black,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Female,United-States,<=50K
Local-gov,Masters,14,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Self-emp-not-inc,Some-college,10,Never-married,Sales,Own-child,White,Female,United-States,<=50K
noValueSetHere123156456,Assoc-voc,11,Married-civ-spouse,noValueSetHere123156456,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Tech-support,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,United-States,<=50K
Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Priv-house-serv,Own-child,White,Female,United-States,<=50K
Private,11th,7,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-inc,Bachelors,13,Divorced,Farming-fishing,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,Black,Male,noValueSetHere123156456,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,1st-4th,2,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,Canada,<=50K
Private,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,Black,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
noValueSetHere123156456,Assoc-acdm,12,Never-married,noValueSetHere123156456,Other-relative,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Self-emp-not-inc,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Male,noValueSetHere123156456,>50K
Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
State-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Tech-support,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
State-gov,HS-grad,9,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
Private,Doctorate,16,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Self-emp-not-inc,10th,6,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,Japan,>50K
Private,7th-8th,4,Divorced,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,Assoc-voc,11,Never-married,Exec-managerial,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Widowed,Sales,Not-in-family,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,10th,6,Never-married,Machine-op-inspct,Own-child,White,Male,Mexico,<=50K
Self-emp-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Federal-gov,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,United-States,<=50K
Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,United-States,<=50K
Federal-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
State-gov,Masters,14,Divorced,Prof-specialty,Unmarried,Black,Female,United-States,>50K
Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Widowed,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,Puerto-Rico,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Local-gov,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Divorced,Machine-op-inspct,Unmarried,White,Female,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Private,5th-6th,3,Never-married,Handlers-cleaners,Not-in-family,White,Male,Mexico,<=50K
Private,HS-grad,9,Divorced,Other-service,Unmarried,Black,Female,Jamaica,<=50K
Private,HS-grad,9,Never-married,Farming-fishing,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Local-gov,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
State-gov,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,noValueSetHere123156456,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
Private,5th-6th,3,Separated,Handlers-cleaners,Not-in-family,White,Male,Mexico,<=50K
Private,11th,7,Never-married,Transport-moving,Unmarried,Amer-Indian-Eskimo,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,>50K
Private,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
Private,7th-8th,4,Widowed,Machine-op-inspct,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Widowed,Other-service,Other-relative,White,Female,United-States,<=50K
Federal-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,10th,6,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,Mexico,<=50K
Private,HS-grad,9,Divorced,Other-service,Not-in-family,Black,Male,United-States,<=50K
Private,9th,5,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,United-States,<=50K
Private,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
Private,1st-4th,2,Widowed,Priv-house-serv,Not-in-family,Black,Female,United-States,<=50K
Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,Black,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,United-States,<=50K
State-gov,HS-grad,9,Separated,Adm-clerical,Unmarried,Black,Female,United-States,<=50K
Private,Some-college,10,Never-married,Transport-moving,Own-child,White,Male,United-States,<=50K
Local-gov,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
Private,9th,5,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
noValueSetHere123156456,Some-college,10,Never-married,noValueSetHere123156456,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Transport-moving,Unmarried,White,Male,United-States,<=50K
State-gov,Prof-school,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
State-gov,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,Puerto-Rico,<=50K
Private,Some-college,10,Separated,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,United-States,<=50K
Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
Private,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,<=50K
State-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
Local-gov,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Never-married,Prof-specialty,Unmarried,Black,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,United-States,<=50K
Private,Bachelors,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,United-States,<=50K
Local-gov,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,>50K
State-gov,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Female,United-States,<=50K
Private,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,El-Salvador,<=50K
Private,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,>50K
Private,11th,7,Never-married,Sales,Own-child,White,Female,United-States,<=50K
Private,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Private,10th,6,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
Self-emp-not-inc,11th,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,12th,8,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,noValueSetHere123156456,<=50K
Local-gov,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,United-States,<=50K
Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
Private,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,United-States,>50K
Self-emp-inc,Bachelors,13,Never-married,Sales,Own-child,White,Male,United-States,>50K
Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
Private,Prof-school,15,Married-civ-spouse,Exec-managerial,Wife,White,Female,United-States,>50K
noValueSetHere123156456,HS-grad,9,Divorced,noValueSetHere123156456,Unmarried,White,Female,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,noValueSetHere123156456,<=50K
Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
Self-emp-inc,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
Private,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,United-States,<=50K
Self-emp-not-inc,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
Private,Some-college,10,Separated,Sales,Not-in-family,White,Male,United-States,<=50K
Private,Assoc-voc,11,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
Private,HS-grad,9,Never-married,Other-service,Own-child,White,Female,Mexico,<=50K
Private,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,>50K
