J,L,O
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,1977,>50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,>50K
Female,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,1902,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,2002,<=50K
Female,0,<=50K
Female,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,1977,>50K
Male,0,<=50K
Male,1902,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,1579,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,1602,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,1672,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,1902,>50K
Male,0,<=50K
Male,0,<=50K
Male,2377,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1977,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,2042,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,1602,<=50K
Male,1980,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,1876,<=50K
Male,1887,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1380,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,>50K
Male,1902,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,2001,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,2042,<=50K
Male,2415,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,2377,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,1590,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,>50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,1977,>50K
Male,1092,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,>50K
Female,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,1485,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,>50K
Male,1408,<=50K
Male,0,<=50K
Female,1602,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,1902,>50K
Male,0,>50K
Male,0,>50K
Male,1977,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,1977,>50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,1876,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,2603,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,2231,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,>50K
Female,2444,>50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,>50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,1590,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,2246,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,1977,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,625,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,1980,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,1902,>50K
Male,1977,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,1590,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,1594,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,1669,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,810,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,>50K
Female,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,1902,>50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,1977,>50K
Male,0,>50K
Female,0,<=50K
Male,1602,<=50K
Female,0,<=50K
Male,1848,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,2149,<=50K
Male,1887,>50K
Male,1741,<=50K
Male,0,<=50K
Female,2258,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,>50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,1980,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,2051,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Female,0,<=50K
Male,1977,>50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,<=50K
Male,0,>50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Male,0,>50K
Male,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,0,<=50K
Female,1617,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
Male,0,<=50K
